window,subset,event_pair_code,n,p_UP_PEN,p_DOWN_PEN,p_NEW_UPPER,p_NEW_LOWER
B_TB1TB2_to_TB3,eval,1>11,1,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,1>12,850,0.43411764705882355,0.25529411764705884,0.24705882352941178,0.28352941176470586
B_TB1TB2_to_TB3,eval,1>13,28,0.6428571428571429,0.14285714285714285,0.0,0.25
B_TB1TB2_to_TB3,eval,1>14,15,0.06666666666666667,0.8666666666666667,0.06666666666666667,0.0
B_TB1TB2_to_TB3,eval,1>2,162,0.08024691358024691,0.4012345679012346,0.5370370370370371,0.41975308641975306
B_TB1TB2_to_TB3,eval,1>4,307,0.4364820846905538,0.23127035830618892,0.17263843648208468,0.3811074918566775
B_TB1TB2_to_TB3,eval,1>5,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
B_TB1TB2_to_TB3,eval,1>6,77,0.14285714285714285,0.5454545454545454,0.24675324675324675,0.22077922077922077
B_TB1TB2_to_TB3,eval,1>8,406,0.3497536945812808,0.23399014778325122,0.3866995073891626,0.29064039408866993
B_TB1TB2_to_TB3,eval,1>9,207,0.4492753623188406,0.07246376811594203,0.4106280193236715,0.41545893719806765
B_TB1TB2_to_TB3,eval,2>1,144,0.3958333333333333,0.10416666666666667,0.3819444444444444,0.5069444444444444
B_TB1TB2_to_TB3,eval,2>10,4,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,2>11,1,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,2>12,891,0.27946127946127947,0.39057239057239057,0.30303030303030304,0.2671156004489338
B_TB1TB2_to_TB3,eval,2>13,9,0.6666666666666666,0.3333333333333333,0.0,0.0
B_TB1TB2_to_TB3,eval,2>14,23,0.2608695652173913,0.7391304347826086,0.043478260869565216,0.0
B_TB1TB2_to_TB3,eval,2>2,923,0.03683640303358613,0.4008667388949079,0.5395449620801733,0.47670639219934996
B_TB1TB2_to_TB3,eval,2>4,350,0.23714285714285716,0.36857142857142855,0.24285714285714285,0.39714285714285713
B_TB1TB2_to_TB3,eval,2>5,1,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,2>6,189,0.13227513227513227,0.37566137566137564,0.3968253968253968,0.4444444444444444
B_TB1TB2_to_TB3,eval,2>8,320,0.2375,0.325,0.43125,0.25625
B_TB1TB2_to_TB3,eval,2>9,96,0.46875,0.11458333333333333,0.3020833333333333,0.3125
B_TB1TB2_to_TB3,eval,3>1,1,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,3>12,1,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,3>2,1,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,4>1,353,0.37677053824362605,0.08781869688385269,0.41359773371104813,0.5580736543909348
B_TB1TB2_to_TB3,eval,4>10,3,0.3333333333333333,0.6666666666666666,0.0,0.0
B_TB1TB2_to_TB3,eval,4>11,1,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,4>12,142,0.4225352112676056,0.4084507042253521,0.19014084507042253,0.20422535211267606
B_TB1TB2_to_TB3,eval,4>13,2,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,4>14,3,0.0,0.6666666666666666,0.3333333333333333,0.0
B_TB1TB2_to_TB3,eval,4>2,354,0.11864406779661017,0.3700564971751412,0.3983050847457627,0.480225988700565
B_TB1TB2_to_TB3,eval,4>3,2,0.5,0.5,0.0,0.0
B_TB1TB2_to_TB3,eval,4>4,77,0.4935064935064935,0.2597402597402597,0.15584415584415584,0.33766233766233766
B_TB1TB2_to_TB3,eval,4>6,26,0.07692307692307693,0.5769230769230769,0.2692307692307692,0.3076923076923077
B_TB1TB2_to_TB3,eval,4>7,1,0.0,0.0,0.0,1.0
B_TB1TB2_to_TB3,eval,4>8,208,0.3125,0.3557692307692308,0.27884615384615385,0.25
B_TB1TB2_to_TB3,eval,4>9,94,0.4148936170212766,0.19148936170212766,0.24468085106382978,0.3404255319148936
B_TB1TB2_to_TB3,eval,5>1,6,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
B_TB1TB2_to_TB3,eval,5>2,2,0.5,0.5,0.0,0.0
B_TB1TB2_to_TB3,eval,5>8,1,0.0,0.0,0.0,1.0
B_TB1TB2_to_TB3,eval,6>1,48,0.5625,0.041666666666666664,0.2708333333333333,0.3958333333333333
B_TB1TB2_to_TB3,eval,6>12,88,0.48863636363636365,0.17045454545454544,0.2727272727272727,0.2840909090909091
B_TB1TB2_to_TB3,eval,6>13,1,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,6>14,2,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,6>2,193,0.06735751295336788,0.39378238341968913,0.42487046632124353,0.48186528497409326
B_TB1TB2_to_TB3,eval,6>4,45,0.3333333333333333,0.3111111111111111,0.17777777777777778,0.35555555555555557
B_TB1TB2_to_TB3,eval,6>5,1,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,6>6,13,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.38461538461538464
B_TB1TB2_to_TB3,eval,6>8,50,0.3,0.16,0.44,0.34
B_TB1TB2_to_TB3,eval,6>9,17,0.4117647058823529,0.058823529411764705,0.5294117647058824,0.4117647058823529
B_TB1TB2_to_TB3,eval,7>8,1,0.0,0.0,1.0,1.0
B_TB1TB2_to_TB3,eval,8>1,373,0.4450402144772118,0.09919571045576407,0.39946380697050937,0.40482573726541554
B_TB1TB2_to_TB3,eval,8>12,194,0.4329896907216495,0.4020618556701031,0.12886597938144329,0.15979381443298968
B_TB1TB2_to_TB3,eval,8>13,2,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,8>14,3,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,8>2,336,0.125,0.34226190476190477,0.5416666666666666,0.4583333333333333
B_TB1TB2_to_TB3,eval,8>3,1,0.0,0.0,1.0,1.0
B_TB1TB2_to_TB3,eval,8>4,224,0.38392857142857145,0.32142857142857145,0.20535714285714285,0.25892857142857145
B_TB1TB2_to_TB3,eval,8>5,1,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,8>6,71,0.18309859154929578,0.49295774647887325,0.2676056338028169,0.28169014084507044
B_TB1TB2_to_TB3,eval,8>8,107,0.2897196261682243,0.32710280373831774,0.4205607476635514,0.205607476635514
B_TB1TB2_to_TB3,eval,8>9,35,0.4,0.22857142857142856,0.37142857142857144,0.22857142857142856
B_TB1TB2_to_TB3,eval,9>1,212,0.419811320754717,0.06132075471698113,0.42924528301886794,0.4669811320754717
B_TB1TB2_to_TB3,eval,9>10,1,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,9>12,124,0.31451612903225806,0.3709677419354839,0.22580645161290322,0.25806451612903225
B_TB1TB2_to_TB3,eval,9>13,1,1.0,0.0,0.0,0.0
B_TB1TB2_to_TB3,eval,9>14,2,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,9>2,62,0.03225806451612903,0.43548387096774194,0.3870967741935484,0.45161290322580644
B_TB1TB2_to_TB3,eval,9>4,55,0.38181818181818183,0.21818181818181817,0.18181818181818182,0.41818181818181815
B_TB1TB2_to_TB3,eval,9>5,1,0.0,1.0,0.0,0.0
B_TB1TB2_to_TB3,eval,9>6,10,0.3,0.4,0.4,0.4
B_TB1TB2_to_TB3,eval,9>8,58,0.3103448275862069,0.3103448275862069,0.3103448275862069,0.20689655172413793
B_TB1TB2_to_TB3,eval,9>9,18,0.2777777777777778,0.2222222222222222,0.3333333333333333,0.3888888888888889
