window,comparison,symbol,n,mean_delta,n_negative,n_positive
B_TB1TB2_to_TB3,PT-T,RB,834,-0.012045257436850526,479,355
B_TB1TB2_to_TB3,PT-T,RU,875,-0.01496142324293885,529,346
B_TB1TB2_to_TB3,PT-T,SC,895,-0.00421717870747139,467,428
B_TB1TB2_to_TB3,PT-T,SN,874,-0.011088202083746652,503,371
B_TB1TB2_to_TB3,PT-T,TA,829,0.00022452241155337797,470,359
B_TB1TB2_to_TB3,PT-P,AG,869,-0.002858118089504157,464,405
B_TB1TB2_to_TB3,PT-P,AL,851,-0.008929392876537068,478,373
B_TB1TB2_to_TB3,PT-P,AU,961,-0.0025707026029168677,505,456
B_TB1TB2_to_TB3,PT-P,CF,798,-0.0013744394404211749,417,381
B_TB1TB2_to_TB3,PT-P,CU,831,-0.003231836410976462,465,366
B_TB1TB2_to_TB3,PT-P,I,790,-0.005989958794544704,426,364
B_TB1TB2_to_TB3,PT-P,M,819,-0.0072731798939080165,450,369
B_TB1TB2_to_TB3,PT-P,MA,813,0.0004998171657931569,424,389
B_TB1TB2_to_TB3,PT-P,NI,908,-0.0038589700583463843,511,397
B_TB1TB2_to_TB3,PT-P,P,794,-0.0046770670450475265,451,343
B_TB1TB2_to_TB3,PT-P,RB,834,-0.002637039861236489,448,386
B_TB1TB2_to_TB3,PT-P,RU,875,-0.004972549253546154,471,404
B_TB1TB2_to_TB3,PT-P,SC,895,-0.008475129909468531,500,395
B_TB1TB2_to_TB3,PT-P,SN,874,-0.006792987019018414,505,369
B_TB1TB2_to_TB3,PT-P,TA,829,-0.004453826940285146,461,368
