block,hazard_bin,conviction_bin,n,mean_p_h,mean_abs_m,observed_H1_rate,mu0,mu1,EV,H1_loss_rate,H1_mean_pi,p_star
TB2,3,2,4812,0.12561193607148116,0.04932078384200715,0.0928927680798005,0.033315666723143664,-0.25676648974846494,0.006369132237938123,0.5570469798657718,-0.25676648974846494,0.11484907285706968
TB2,3,3,5145,0.12584636419339765,0.07710182201186168,0.10592808551992225,0.04885655174350235,-0.312475926376868,0.01058129410004232,0.6422018348623854,-0.312475926376868,0.13521217909237268
TB2,3,4,5476,0.126809218373588,0.14872228380625516,0.21658144631117604,0.1437381858068748,-0.4410188709154532,0.017090656721286606,0.6930860033726813,-0.4410188709154532,0.24580838171078098
TB2,4,0,3395,0.17424352833002169,0.009088281229401538,0.11575846833578793,0.012702076545025967,-0.03022584964622332,0.007732805560295199,0.48346055979643765,-0.03022584964622332,0.29589308573716383
TB2,4,1,3634,0.174912009280706,0.028227479877365815,0.11832691249312052,0.030099028808956967,-0.10675200222149654,0.013905868835623175,0.5372093023255814,-0.10675200222149654,0.21994009531619108
TB2,4,2,4112,0.1750419568434667,0.04973849840185255,0.13788910505836577,0.03066835364929332,-0.28334756723923854,-0.012631020656104929,0.5908289241622575,-0.28334756723923854,0.09766496412829925
TB2,4,3,5099,0.17810643066170914,0.0779513692741871,0.14846048244753873,0.07254407462933803,-0.3141359096335887,0.015137377612857253,0.6433289299867899,-0.3141359096335887,0.18760752452087356
TB2,4,4,8672,0.1871775701061568,0.16115062497222704,0.2683348708487085,0.18636924941560162,-0.43277302904333226,0.020231786088348497,0.675118177911474,-0.43277302904333226,0.30101199013493474
TB3,0,0,5789,0.051500029162190646,0.009171437710217813,0.0468129210571774,0.014511824615509343,-0.03564853798484324,0.012163671520899639,0.5350553505535055,-0.03564853798484324,0.28930860670068875
TB3,0,1,5731,0.05150064173021514,0.027902330574359764,0.046588727970685744,0.013452632656025525,-0.7624182272371813,-0.022694203775921115,0.5093632958801498,-0.7624182272371813,0.017338752299418985
TB3,0,2,5123,0.05135364145247165,0.04923522880850233,0.048213937146203395,0.0053450625991245644,-0.15818919172789217,-0.002539567660249462,0.5748987854251012,-0.15818919172789217,0.032684666714755256
TB3,0,3,4339,0.05233406982409643,0.07624013882210236,0.06453099792578935,0.037023597967823924,-0.48075613716422083,0.003610754954002189,0.6964285714285714,-0.48075613716422083,0.07150453263371175
TB3,0,4,2937,0.04979055115941994,0.14799724040732,0.15491998638066054,0.0599424485570308,-0.47908770738791295,-0.023564095860725214,0.778021978021978,-0.47908770738791295,0.11120425804739817
TB3,1,0,5802,0.07707429470383764,0.008968420273091896,0.06187521544295071,0.0068510629323795666,-0.06189539899107274,0.002597360789925344,0.49025069637883006,-0.06189539899107274,0.09965695310993715
TB3,1,1,5652,0.07719192606928936,0.028038782471814492,0.06670205237084217,0.013404568198306899,-0.08918080262492334,0.006561913421173528,0.5145888594164456,-0.08918080262492334,0.13066744401016936
TB3,1,2,5276,0.07727954006849762,0.04921985529876889,0.06008339651250948,0.010143345653906581,-0.36533060910718534,-0.012416404850124152,0.5962145110410094,-0.36533060910718534,0.02701477832293489
TB3,1,3,4777,0.0773000566618247,0.07655052079224028,0.08017584257902449,0.024814555410923398,-0.42044883724909404,-0.010884812265188532,0.6553524804177546,-0.42044883724909404,0.055730059600634284
TB3,1,4,3275,0.0774794928759379,0.13771079440479828,0.19755725190839696,0.10750201428264541,-0.4106485211860738,0.005137618420580895,0.7109737248840804,-0.4106485211860738,0.20747255271173085
TB3,2,0,5316,0.0990119861743825,0.008933150633735969,0.06602708803611738,0.005258533754123981,0.035020514636606166,0.007223630685980874,0.46153846153846156,0.035020514636606166,
TB3,2,1,5261,0.09901077931296959,0.028170355994342033,0.07165938034594184,-0.007654284367552433,0.052386972715825694,-0.003351765089766167,0.4827586206896552,0.052386972715825694,
TB3,2,2,4914,0.09899603561745458,0.049210071081278485,0.07488807488807489,0.029170298294910656,-0.1962165487119474,0.01229151121747399,0.5788043478260869,-0.1962165487119474,0.12942325021310166
TB3,2,3,4856,0.09909286424489597,0.07684825583848078,0.09102141680395387,0.02694305198896483,-0.31365398530915134,-0.0040585729051388205,0.6040723981900452,-0.31365398530915134,0.07910536216843907
TB3,2,4,4156,0.09950586955534707,0.14213017201949754,0.20404234841193455,0.12348558781024926,-0.47813705617744345,0.0007290906732031921,0.7299528301886793,-0.47813705617744345,0.20525422213459005
TB3,3,0,4429,0.12521971011556457,0.00910577741420096,0.07134793407089636,-0.01472715681207085,0.05832095360926757,-0.009515325045725635,0.46835443037974683,0.05832095360926757,
TB3,3,1,4520,0.1256251332458015,0.027979711744360616,0.07920353982300884,0.01213100314962802,-0.09913565641446713,0.003318289847870039,0.4888268156424581,-0.09913565641446713,0.10902639835826074
TB3,3,2,4752,0.12553923784408091,0.04934150569009518,0.09154040404040405,0.04432598748205027,-0.15167833070347586,0.026383673001683292,0.5241379310344828,-0.15167833070347586,0.22614801496410863
TB3,3,3,4969,0.12602052075447737,0.07740988665786702,0.10122761118937412,0.04782332166135903,-0.23821591886247828,0.018868252636708164,0.6083499005964215,-0.23821591886247828,0.1671914719595042
TB3,3,4,5388,0.1265285216949452,0.1462000957732965,0.22178916109873795,0.13047158490043725,-0.46007583310205497,-0.0005054315273612089,0.705439330543933,-0.46007583310205497,0.22093329159198294
TB3,4,0,3121,0.17388794382895553,0.009136270732783208,0.09355975648830503,0.00545146466396799,-0.04459137037489395,0.0007694692037476497,0.4726027397260274,-0.04459137037489395,0.10893596775111816
TB3,4,1,3279,0.17354001452547066,0.02825471251550979,0.09850564196401342,0.01716939073251394,-0.32349861290926957,-0.016388329662818803,0.5820433436532507,-0.32349861290926957,0.05039918791600916
TB3,4,2,3775,0.17371503551495573,0.04988848349015914,0.11178807947019867,0.04953885171386007,-0.3888320511221249,0.0005342103902082354,0.6279620853080569,-0.3888320511221249,0.11300670595008645
TB3,4,3,4767,0.17687853519669666,0.07782081395190378,0.13635410111181037,0.08661834978801433,-0.4275544664312433,0.016508777616309405,0.6646153846153846,-0.4275544664312433,0.16846155038868849
TB3,4,4,7976,0.18421381208950874,0.1563836192144456,0.28309929789368105,0.1784413640935221,-0.4256842279492726,0.0074138331466025486,0.6722763507528786,-0.4256842279492726,0.29537130431793024
