window,comparison,symbol,n_episodes,mean_delta,n_negative,n_positive
B_TB1TB2_to_TB3,T0-TP,AU,961,-0.009619508040435848,518,443
B_TB1TB2_to_TB3,T0-TP,CF,798,-0.006411130393855994,458,340
B_TB1TB2_to_TB3,T0-TP,CU,831,-0.002216516830442706,435,396
B_TB1TB2_to_TB3,T0-TP,I,790,-0.003536366827686801,438,352
B_TB1TB2_to_TB3,T0-TP,M,819,-0.0057716792433271874,461,358
B_TB1TB2_to_TB3,T0-TP,MA,813,-0.004795496731031304,433,380
B_TB1TB2_to_TB3,T0-TP,NI,908,-0.0032661422612668026,474,434
B_TB1TB2_to_TB3,T0-TP,P,794,-0.0013410721442454491,431,363
B_TB1TB2_to_TB3,T0-TP,RB,834,-0.0015090944007438698,454,380
B_TB1TB2_to_TB3,T0-TP,RU,875,-0.005607966356708435,492,383
B_TB1TB2_to_TB3,T0-TP,SC,895,-0.0037489094172847306,488,407
B_TB1TB2_to_TB3,T0-TP,SN,874,-0.004708609177645558,477,397
B_TB1TB2_to_TB3,T0-TP,TA,829,-0.0067766984210783695,454,375
B_TB1TB2_to_TB3,T1-T0,AG,869,0.04362607363708185,435,434
B_TB1TB2_to_TB3,T1-T0,AL,851,-0.01243878126845102,503,348
B_TB1TB2_to_TB3,T1-T0,AU,961,0.025451789922993344,483,478
B_TB1TB2_to_TB3,T1-T0,CF,798,-0.02296522734918892,465,333
B_TB1TB2_to_TB3,T1-T0,CU,831,0.030289300775508614,445,386
B_TB1TB2_to_TB3,T1-T0,I,790,-0.015248583830332315,485,305
B_TB1TB2_to_TB3,T1-T0,M,819,0.0062649189741019575,464,355
B_TB1TB2_to_TB3,T1-T0,MA,813,0.03967368650569483,444,369
B_TB1TB2_to_TB3,T1-T0,NI,908,0.00543596567506134,523,385
B_TB1TB2_to_TB3,T1-T0,P,794,-0.009925097192519317,461,333
B_TB1TB2_to_TB3,T1-T0,RB,834,-0.03243248285967802,525,309
B_TB1TB2_to_TB3,T1-T0,RU,875,-0.008329312159110942,493,382
B_TB1TB2_to_TB3,T1-T0,SC,895,0.0031289473160802665,492,403
B_TB1TB2_to_TB3,T1-T0,SN,874,-0.0036462069962522534,498,376
B_TB1TB2_to_TB3,T1-T0,TA,829,-0.017470028227986673,488,341
B_TB1TB2_to_TB3,T2-T1,AG,869,-0.004433407315162705,414,455
B_TB1TB2_to_TB3,T2-T1,AL,851,-0.010676271807269799,443,408
B_TB1TB2_to_TB3,T2-T1,AU,961,-0.006621457637497493,453,508
B_TB1TB2_to_TB3,T2-T1,CF,798,-0.005277805930771598,391,407
B_TB1TB2_to_TB3,T2-T1,CU,831,-0.004245203323761651,377,454
B_TB1TB2_to_TB3,T2-T1,I,790,-0.0015731441428120138,398,392
B_TB1TB2_to_TB3,T2-T1,M,819,0.0005446854874009557,373,446
B_TB1TB2_to_TB3,T2-T1,MA,813,0.00011931782084996749,372,441
B_TB1TB2_to_TB3,T2-T1,NI,908,-0.0038053269459404192,448,460
B_TB1TB2_to_TB3,T2-T1,P,794,-0.0002059118018629709,359,435
B_TB1TB2_to_TB3,T2-T1,RB,834,-0.0008526147237989763,380,454
B_TB1TB2_to_TB3,T2-T1,RU,875,-0.00012324884105303192,395,480
B_TB1TB2_to_TB3,T2-T1,SC,895,-0.0045607247973064894,423,472
B_TB1TB2_to_TB3,T2-T1,SN,874,-0.0020372636520368695,389,485
B_TB1TB2_to_TB3,T2-T1,TA,829,-0.004754057733504972,408,421
