meta_base_bar_index,meta_base_bar_time,meta_decision_time,feat_15m_ret_1,feat_15m_ret_4,feat_15m_ret_8,feat_15m_ret_16,feat_15m_location_32,feat_15m_volume_ratio_32,feat_15m_oi_log_change_4,feat_time_tod_sin,feat_time_tod_cos,feat_time_dow_sin,feat_time_dow_cos,feat_time_decision_gap_minutes,feat_time_after_long_gap,feat_time_bars_since_segment_start,feat_5m_1h_rv,feat_5m_4h_rv,feat_5m_rv_rate_ratio_1h_4h,target_raw_return_h4,target_long_mfe_h4,target_short_mfe_h4,target_raw_return_h8,target_long_mfe_h8,target_short_mfe_h8,target_raw_return_h16,target_long_mfe_h16,target_short_mfe_h16
6988,2026-04-15 23:30:00,2026-04-15 23:45:00,0.0015788438251096437,0.0005917743539889386,0.014700304450814272,0.018710736936466077,0.8389830508474576,0.9798860383090865,0.02814668284502453,-0.06540312923014367,0.9978589232386035,0.9749279121818236,-0.22252093395631434,15.0,0,10,2.086214921569924e-05,8.460746856317781e-05,0.986302962137255,-0.0001972192097902316,0.002166848085090293,0.001183899112235324,0.0019700557987127765,0.004329011089585479,0.001183899112235324,0.007465653535778877,0.00766136740273104,0.001183899112235324
6989,2026-04-15 23:45:00,2026-04-16 00:00:00,-0.00039447732267028357,-0.0025613254077594405,0.011508063512623679,0.017111440190944904,0.8205128205128205,0.3916670732302288,0.003560358778315731,0.0,1.0,0.43388373911755823,-0.900968867902419,15.0,0,11,8.900189167783112e-06,8.505510290548599e-05,0.4185610910457934,0.0011829654376387922,0.0025613254077600763,0.00019729703131966857,0.0017739237922743797,0.004723488412255318,0.00019729703131966857,0.008642756607649954,0.009229324226383947,0.0007894217895656158
6990,2026-04-16 00:00:00,2026-04-16 00:15:00,0.001182965437639183,0.001182965437639183,0.012092525191748749,0.017893121514049426,0.8717948717948718,0.32746924226744856,0.0041784759969534235,0.06540312923014306,0.9978589232386035,0.43388373911755823,-0.900968867902419,15.0,0,12,4.437396828566504e-06,8.503587622037553e-05,0.2087305747078669,0.0027548226788446837,0.0035405229746165944,0.0013802624689584903,-0.0017749733483675798,0.0035405229746165944,0.001972387227204354,0.008046358788745187,0.008437212809745978,0.001972387227204354
6991,2026-04-16 00:15:00,2026-04-16 00:30:00,0.0011815676837443334,0.0035488996238228765,0.007705263845867449,0.017871802124123093,0.9230769230769231,0.48791113047266393,0.004999478723895834,0.13052619222005157,0.9914448613738104,0.43388373911755823,-0.900968867902419,15.0,0,13,5.132870921860138e-06,8.39432602171379e-05,0.24458763734374037,-0.0007875566463376183,0.0023589552908727753,0.002561830152702181,-0.0029565410321113718,0.0023589552908727753,0.0031539549109481837,0.008622432412877074,0.00881753533028444,0.0031539549109481837
6992,2026-04-16 00:30:00,2026-04-16 00:45:00,-0.002167275008503111,-0.0001972192097898784,0.00039455514419906024,0.015303886084620189,0.8290598290598291,0.4636273917718629,0.001027055389601017,0.19509032201612825,0.9807852804032304,0.43388373911755823,-0.900968867902419,15.0,0,14,5.321370756392122e-06,8.494611241187765e-05,0.25057630562728644,0.0021672750085031237,0.004526230299375772,0.0001972581128793886,-0.00039455514419920097,0.004526230299375772,0.0009866799024451063,0.011179875198471812,0.011569890804039595,0.0009866799024451063
6993,2026-04-16 00:45:00,2026-04-16 09:00:00,0.0009857073247587778,0.001182965437639183,-0.0013783599701202576,0.017491998363865946,0.8717948717948718,0.3430613460393091,0.00047947239903756156,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,495.0,1,15,4.814533276448156e-06,8.400562257624053e-05,0.22924814453121425,0.0,0.0029495646199807894,0.0017739237922743797,-0.0007880221053965311,0.0029495646199807894,0.0025633455818400257,0.008432249197926598,0.01116236009803485,0.0025633455818400257
6994,2026-04-16 09:00:00,2026-04-16 09:15:00,0.002754822678843638,0.002754822678843638,0.003937788116482821,0.01564543250992223,0.9666666666666667,3.0594019842120446,0.027777870053094844,0.6593458151000686,-0.7518398074789776,0.43388373911755823,-0.900968867902419,15.0,0,0,6.826105777555416e-06,7.739555257992888e-05,0.3527905958423581,-0.004529796027212087,0.0003929273135032925,0.004727209906048983,-0.0041350851478029905,0.0003929273135032925,0.004727209906048983,0.006658857350369547,0.008998495773825829,0.004727209906048983
6995,2026-04-16 09:15:00,2026-04-16 09:30:00,-0.0023608116414379765,-0.0007875566463386718,0.0027613429774842047,0.01148982529246112,0.8666666666666667,1.484060620539934,0.026203518830637762,0.6087614290087204,-0.7933533402912353,0.43388373911755823,-0.900968867902419,15.0,0,1,1.0616054904817705e-05,8.05541173184168e-05,0.5271514484035241,-0.0021689843857738414,0.002164290072563785,0.002366398264610608,0.004520003765022917,0.005695782854034836,0.002366398264610608,0.006478868250355693,0.011359307415264334,0.002366398264610608
6996,2026-04-16 09:30:00,2026-04-16 09:45:00,0.0007875566463386718,0.002167275008503111,0.0019700557987132328,0.016670360249527505,0.9,0.9231144018929195,0.032081611080108985,0.5555702330196022,-0.8314696123025453,0.43388373911755823,-0.900968867902419,15.0,0,2,1.0417635596131765e-05,7.387114979052834e-05,0.564097655210316,-0.0025618301527022603,0.0013767334262261902,0.0031539549109481837,0.005495597737066123,0.0056913116040181455,0.0031539549109481837,0.003536349461423809,0.01057175076892661,0.0031539549109481837
6997,2026-04-16 09:45:00,2026-04-16 10:00:00,-0.0005906093291088155,0.0005909583546355179,0.0017739237922747009,0.01328198730489838,0.875,0.6822456629218157,0.03598537763640941,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,15.0,0,3,1.24292510071778e-05,7.175354618544807e-05,0.6928856714651691,-0.0007880221053965311,0.0005906093291080436,0.0025633455818400257,0.006868832815375594,0.007455400434109557,0.0025633455818400257,0.006281920933126356,0.01116236009803485,0.0025633455818400257
