instrument,horizon,model,stratum,offset,mod,n,auc,brier_skill,logloss_skill,return_spread
CU,H30,D0b,ALL,5,6,3049,0.5130741988648344,-0.00035035865084775963,-0.00025866952186870407,0.00035911268490043696
CU,H30,D0b,TOP50,0,6,2361,0.5206452770600057,0.001508644875745424,0.0010936908028049697,-6.770733275917565e-05
CU,H30,D0b,TOP50,1,6,2362,0.5080442005916468,-0.0001976876938110106,-0.00013924586149105522,-9.454744117295386e-05
CU,H30,D0b,TOP50,2,6,2362,0.5020647245802969,-0.0011665738757600241,-0.0008411880134389094,-0.00010223309592498473
CU,H30,D0b,TOP50,3,6,2330,0.5181209398837525,-0.0002314500338416181,-0.00017381275462957646,4.026781819506118e-05
CU,H30,D0b,TOP50,4,6,2330,0.5153085433711362,-0.0003481030080194625,-0.0002567300078597512,1.3848329896644474e-05
CU,H30,D0b,TOP50,5,6,2330,0.5038570375829035,-0.00126119966371796,-0.0009190166997434801,0.00016797786786256616
CU,H30,D0b,TOP30,0,6,1448,0.5338153928339756,0.002668181149819371,0.00192622624277905,0.0005154352713537223
CU,H30,D0b,TOP30,1,6,1449,0.5158106459238923,0.0005177385339240059,0.0003749341641468007,0.00019594381089315603
CU,H30,D0b,TOP30,2,6,1449,0.49614669248242954,-0.001608471359828556,-0.001160729133607985,-1.4399503929324895e-05
CU,H30,D0b,TOP30,3,6,1460,0.52538702188792,0.0010708261188523416,0.0007704039298784826,0.0003923108686963492
CU,H30,D0b,TOP30,4,6,1460,0.5300227436497928,0.0019428695413874486,0.001401989904007861,0.00039591680579770174
CU,H30,D0b,TOP30,5,6,1460,0.5237261448322326,0.00130027441979097,0.0009365552410558475,0.0004303484385252904
CU,H30,D0b,TOP20,0,6,1035,0.5211609983420711,0.0019241641090221862,0.0013945000452854073,-0.0001397156380496086
CU,H30,D0b,TOP20,1,6,1036,0.5095248211883011,0.0005251556306040683,0.00038240149335777573,-6.17385632430369e-05
CU,H30,D0b,TOP20,2,6,1036,0.492273228769084,-0.0013463865086078552,-0.0009710961728830458,-1.5269289778002252e-05
CU,H30,D0b,TOP20,3,6,1021,0.5037573785088696,-0.002766560066538748,-0.0020030717339718507,-0.00012767014531189671
CU,H30,D0b,TOP20,4,6,1021,0.5105042823674003,-0.0018593434289939648,-0.0013460988227098625,-8.084194148864645e-05
CU,H30,D0b,TOP20,5,6,1021,0.4945580424303828,-0.0030788358498554658,-0.0022320669254192183,7.4115211434597e-05
AL,H15,D0b,ALL,0,3,6099,0.48742282667611064,-0.0035968573489075784,-0.0026296462366381945,0.0001235974334538208
AL,H15,D0b,ALL,1,3,6099,0.4939255612365887,-0.002924556546000323,-0.002137591199439015,4.376055492122334e-05
AL,H15,D0b,ALL,2,3,6100,0.48156444616088045,-0.0033250011093044485,-0.0024346101982346546,3.603778017310723e-05
AL,H15,D0b,TOP50,0,3,4637,0.48355364666259454,-0.00433588986461908,-0.0031690388442815465,5.355514955117045e-05
AL,H15,D0b,TOP50,1,3,4637,0.48933632630502133,-0.0036950598616816155,-0.002699852630175581,-2.7717295014885987e-05
AL,H15,D0b,TOP50,2,3,4638,0.475893150766839,-0.004327322818981072,-0.0031645664214270397,-3.4441987353409757e-05
AL,H15,D0b,TOP30,0,3,2965,0.482295751253937,-0.008313338997304465,-0.0061134712301820215,9.238002932702519e-05
AL,H15,D0b,TOP30,1,3,2965,0.48639301270210483,-0.006987637526179924,-0.00513919447994593,4.826505911270239e-05
AL,H15,D0b,TOP30,2,3,2966,0.476746871219233,-0.009818840410833474,-0.007222375421398919,9.700726240341294e-05
AL,H15,D0b,TOP20,0,3,2200,0.4797063603176021,-0.011942996355058355,-0.008767674356001454,0.00027518368689996223
AL,H15,D0b,TOP20,1,3,2200,0.485798812157373,-0.008677499123898036,-0.00637614777301132,3.6126143543903e-05
AL,H15,D0b,TOP20,2,3,2200,0.4666838217987861,-0.012793365456485128,-0.009384763537139351,-2.5181795340278867e-05
AL,H30,D0b,ALL,0,6,3049,0.5023969201589361,-0.001702019247392661,-0.0012345806502085388,-2.1699051862609446e-05
AL,H30,D0b,ALL,1,6,3050,0.4912261234910055,-0.004186055486480766,-0.0030429305652179828,-3.110373526566701e-05
AL,H30,D0b,ALL,2,6,3050,0.4853054201763711,-0.003452896851770193,-0.0025092841229408247,-6.0872915256962e-05
AL,H30,D0b,ALL,3,6,3050,0.49957923094302814,-7.843410158248076e-05,-6.575566284339196e-05,0.00011018338988473081
AL,H30,D0b,ALL,4,6,3049,0.5043562370600414,-0.0009698773603217248,-0.0007082098807145165,9.0782146998703e-05
AL,H30,D0b,ALL,5,6,3049,0.4973571062370483,-0.0028009753081061906,-0.002041441731329252,7.429722364317651e-05
AL,H30,D0b,TOP50,0,6,2311,0.4876926652273,-0.002073179969576122,-0.0015081475247935572,6.145884057216799e-05
AL,H30,D0b,TOP50,1,6,2312,0.479059143104087,-0.005561103037938553,-0.004048594183770016,-0.00010575551945388119
AL,H30,D0b,TOP50,2,6,2312,0.4842445061528691,-0.003539013843002925,-0.0025739509888123013,-0.00019273112279130243
AL,H30,D0b,TOP50,3,6,2325,0.48424051310095584,-0.0014100225880602224,-0.0010338377038734414,-9.67769211937997e-05
AL,H30,D0b,TOP50,4,6,2325,0.4892559154697926,-0.002604177092686122,-0.0018963994994205535,-0.00017085800231424067
AL,H30,D0b,TOP50,5,6,2325,0.48236874692641774,-0.003674662280102714,-0.002683420132187919,-0.0002092986806787361
AL,H30,D0b,TOP30,0,6,1486,0.5014754077548229,-0.004093813319333783,-0.003013091310234417,0.0001721624625436014
AL,H30,D0b,TOP30,1,6,1487,0.48438907642378787,-0.010710890585277744,-0.007872538822033537,2.6260386475523272e-05
AL,H30,D0b,TOP30,2,6,1487,0.49375251294051165,-0.0067841289015388995,-0.004981118222436409,-6.285255179733703e-05
AL,H30,D0b,TOP30,3,6,1478,0.46403812187224025,-0.008785582828401584,-0.00643073856035703,-5.059270840925115e-05
AL,H30,D0b,TOP30,4,6,1478,0.4767428429997525,-0.007859543381649736,-0.005759172028150461,-0.0002989741052978889
AL,H30,D0b,TOP30,5,6,1478,0.4713783419126813,-0.009312977848657145,-0.006853350035317174,-0.00039138955281253627
AL,H30,D0b,TOP20,0,6,1103,0.4968615323880646,-0.00431505088295836,-0.00312100982110719,0.00039168889882268106
AL,H30,D0b,TOP20,1,6,1103,0.4811478106392078,-0.01163937344532373,-0.008480879995556023,-1.1460908793772104e-05
AL,H30,D0b,TOP20,2,6,1103,0.487706400894678,-0.007721166545809011,-0.0056114387385048925,-0.00022067013684209697
AL,H30,D0b,TOP20,3,6,1097,0.46511744127936033,-0.00851255684027219,-0.00619741369593374,-3.121235314034593e-05
AL,H30,D0b,TOP20,4,6,1097,0.49335780574413235,-0.003163567914481691,-0.002300874985619261,-0.0002631304958488088
AL,H30,D0b,TOP20,5,6,1097,0.47749096644107725,-0.008797890119328411,-0.0064301167421729755,-0.00021910580725847142
SN,H15,D0b,ALL,0,3,6099,0.4934942260536877,-0.00020033979684730419,-0.00014450862582982005,-0.00032237107193243923
SN,H15,D0b,ALL,1,3,6099,0.49031282421418654,-0.00029514767935689967,-0.00021294268586502518,-0.00015373365966216002
SN,H15,D0b,ALL,2,3,6100,0.4873592557416087,-0.0004413693943448038,-0.000318390091935683,-0.00010679095848809468
SN,H15,D0b,TOP50,0,3,4746,0.4913174947538739,-0.0007402990446823132,-0.0005339346566408665,-0.0004313590881290596
SN,H15,D0b,TOP50,1,3,4746,0.4914734216510783,-0.0007588748876090623,-0.0005479692956162907,-0.000187097449140982
SN,H15,D0b,TOP50,2,3,4747,0.48752863093525944,-0.0011629031061197725,-0.0008395777924261605,-5.814118675406376e-05
SN,H15,D0b,TOP30,0,3,3566,0.48899191211670745,-0.0021544893672695853,-0.0015535936110655513,-0.0005071821441485454
SN,H15,D0b,TOP30,1,3,3566,0.4773753556604471,-0.0021645817473932016,-0.0015629534944945345,-0.00021367521311001426
SN,H15,D0b,TOP30,2,3,3567,0.4946381126961618,-0.0015339661971867091,-0.001108257976287108,-0.00022377269071046152
SN,H15,D0b,TOP20,0,3,2829,0.49400101174504024,-0.0010731920759654567,-0.0007746620173711971,-0.00031556748850479504
SN,H15,D0b,TOP20,1,3,2829,0.4830128288428053,-0.0020575335591830335,-0.0014860378987884282,-0.000275845955788422
SN,H15,D0b,TOP20,2,3,2830,0.48188012722920837,-0.002398820715857397,-0.0017325556542935328,-0.00018249505793904112
SN,H30,D0b,ALL,0,6,3049,0.4847715626767883,-0.0015367201170397582,-0.0011117915495384434,-0.0002340902919218356
SN,H30,D0b,ALL,1,6,3050,0.490837550202621,-0.0005069069673815374,-0.0003661568543797955,8.573013050770071e-05
SN,H30,D0b,ALL,2,6,3050,0.5012700783494924,-0.0003577032119739254,-0.0002574469318934458,-0.00012078186271713567
SN,H30,D0b,ALL,3,6,3050,0.4971372250713648,-0.0010680168338443874,-0.0007731225989491275,-0.00044250523024077484
SN,H30,D0b,ALL,4,6,3049,0.4979761843260836,-0.0015790144277676443,-0.001143382967690787,-0.0004535579754464075
SN,H30,D0b,ALL,5,6,3049,0.49424392354303354,-0.0011135462166667054,-0.0008072175544306948,-0.0002938032943935938
SN,H30,D0b,TOP50,0,6,2374,0.4845994405993639,-0.002718913670470391,-0.001975154523810474,8.568917721947632e-05
SN,H30,D0b,TOP50,1,6,2375,0.4801866359872978,-0.0020641182333476227,-0.0014903214837496126,0.0003163280327070339
SN,H30,D0b,TOP50,2,6,2375,0.4869701816114014,-0.0020053272642042153,-0.0014567391508799599,-8.548381043362651e-05
SN,H30,D0b,TOP50,3,6,2371,0.4934369742991486,-0.0036240521386741165,-0.0026321319656341657,-0.0007093325207627437
SN,H30,D0b,TOP50,4,6,2371,0.4961009396493268,-0.003678204685769071,-0.0026764424898335637,-0.0004968328637496157
SN,H30,D0b,TOP50,5,6,2371,0.49388245700385913,-0.002903795991543223,-0.0021164482950459806,-0.000161160979814888
SN,H30,D0b,TOP30,0,6,1781,0.49795276465123794,-0.0035235106532052196,-0.0025801083983088002,0.0003800826245993644
SN,H30,D0b,TOP30,1,6,1782,0.501722525528258,-0.0016659652454380502,-0.0012088590915946273,0.00027687613627928507
SN,H30,D0b,TOP30,2,6,1782,0.5082229014148163,-0.0020292443688947337,-0.0014945395575196585,-0.00022659214493991485
SN,H30,D0b,TOP30,3,6,1784,0.47413471617481046,-0.007269371628654264,-0.005301499188880454,-0.0012324802695323882
SN,H30,D0b,TOP30,4,6,1784,0.4833217538401124,-0.00616837480889787,-0.004517774350191184,-0.0010414492504375549
SN,H30,D0b,TOP30,5,6,1784,0.49067077522629177,-0.004893933009620488,-0.0035964840654645336,-0.0009194960667929602
SN,H30,D0b,TOP20,0,6,1422,0.49330035125909066,-0.0026158534191849103,-0.0019000725898747906,-6.516788843584877e-05
SN,H30,D0b,TOP20,1,6,1423,0.5024955436720142,-0.0008224392484172949,-0.0005934605120476721,0.0003375366977517539
SN,H30,D0b,TOP20,2,6,1423,0.5024642427694449,-0.0013868762303383964,-0.0010055727048190466,-0.00024021475122766546
SN,H30,D0b,TOP20,3,6,1407,0.4717783239065391,-0.00588091323375961,-0.004263417782126577,-0.001630795950749501
SN,H30,D0b,TOP20,4,6,1407,0.487543490573671,-0.003976143873271942,-0.0028898675185300426,-0.0011979325832357415
SN,H30,D0b,TOP20,5,6,1406,0.4924618736383442,-0.003254987413224608,-0.002367968316346891,-0.0015584916093024427
I,H15,D0b,ALL,0,3,4543,0.5035342549190233,-0.0003322358999269248,-0.00024280040645985324,-5.971845302364334e-06
I,H15,D0b,ALL,1,3,4543,0.502139223352647,-0.00027202962669159447,-0.00019762103623954808,-8.912167075832546e-05
I,H15,D0b,ALL,2,3,4543,0.4972769491404946,-0.0005643254142499998,-0.0004104516323288898,3.160852771415613e-07
I,H15,D0b,TOP50,0,3,1575,0.49722021588883514,-0.000894453978708798,-0.000651899974763559,-0.00026672805590943126
I,H15,D0b,TOP50,1,3,1575,0.4940351212063371,-0.0006094896666852812,-0.0004424811685248553,-0.0003020714171385597
I,H15,D0b,TOP50,2,3,1576,0.48439182801003,-0.0008441094463944587,-0.0006143959137678845,-0.00018087755444078985
I,H15,D0b,TOP30,0,3,805,0.5103524928548746,-0.0001084890071783029,-7.896497657911006e-05,-5.130487694987895e-05
I,H15,D0b,TOP30,1,3,805,0.5164097495057681,1.654423068286892e-05,1.5460935142486143e-05,-0.00015232141275733568
I,H15,D0b,TOP30,2,3,805,0.5202769535113749,0.0003989242639609314,0.0002985770781672725,-8.624534235773703e-05
I,H15,D0b,TOP20,0,3,455,0.5120907297830375,0.0006570833917503016,0.00047648842153946713,-0.00010670251800180873
I,H15,D0b,TOP20,1,3,455,0.5281100946125576,0.00027344338806478685,0.00020103376273428175,-6.99693902821479e-05
I,H15,D0b,TOP20,2,3,455,0.5239751601619306,0.0010884336331268285,0.0008059715962180913,-0.00012213460431968246
I,H30,D0b,ALL,0,6,2271,0.5156059699997182,0.00021347682409678104,0.00015418369186481762,5.795846144284567e-05
I,H30,D0b,ALL,1,6,2271,0.5018907553168697,-0.00032926556831580633,-0.00023813741854938897,0.00023068998492379239
I,H30,D0b,ALL,2,6,2271,0.5007625272331155,-0.0009332775778814195,-0.0006756883725895779,0.00020250179767601972
I,H30,D0b,ALL,3,6,2271,0.508304740069566,-0.0011377460200558964,-0.0008232260123879342,-0.00028703265627577667
I,H30,D0b,ALL,4,6,2271,0.509869578604733,-0.0009616295010854703,-0.0006957337909143657,-0.0003160138939461831
I,H30,D0b,ALL,5,6,2271,0.4998389945758367,-0.0002612863268283139,-0.000188979349081686,-0.0001486243929640729
I,H30,D0b,TOP50,0,6,786,0.49513156255532315,-0.0011451371807453814,-0.0008312011373872163,-0.0002913162281296389
I,H30,D0b,TOP50,1,6,786,0.4903979255619894,0.000831487587300006,0.0006066666306223656,-0.00044830200539389516
I,H30,D0b,TOP50,2,6,786,0.4698514303777461,-0.0020501714903387036,-0.0014825168442118564,-0.00030910566149304817
I,H30,D0b,TOP50,3,6,787,0.49213900712958447,-0.0018351428425877891,-0.001329650145437844,-0.0008883732084059429
I,H30,D0b,TOP50,4,6,789,0.48147282291057864,-0.0011213091458577296,-0.0008130010457982895,-0.0005984498015875292
I,H30,D0b,TOP50,5,6,789,0.5003447423538748,-0.0003649299629915337,-0.0002643684359866505,-0.0002918858911303202
I,H30,D0b,TOP30,0,6,420,0.5109326193663543,-0.001241153063746836,-0.0008941553069448105,-8.056301847667166e-05
I,H30,D0b,TOP30,1,6,420,0.5105232892466935,0.0004985755582168627,0.00036418190797204986,-0.00011951918825886266
I,H30,D0b,TOP30,2,6,420,0.5005355812220567,-0.0012627064492591877,-0.0009117440185182346,-0.00032036442629643355
I,H30,D0b,TOP30,3,6,384,0.5051401869158878,0.000275264967055211,0.000202375926152909,-0.0006087710001795527
I,H30,D0b,TOP30,4,6,385,0.5002979092189361,0.0007307718351974302,0.0005358212202039025,-0.0005768484035302626
I,H30,D0b,TOP30,5,6,385,0.4692801217920835,-0.0012960895405322859,-0.0009455448420225832,-0.0005426946151280706
I,H30,D0b,TOP20,0,6,228,0.45141314703080343,-0.005805285404759886,-0.004213082057827444,-0.0006434611691070349
I,H30,D0b,TOP20,1,6,228,0.4519373197162236,-0.0021850229969746504,-0.001593656006409594,-0.0012491535468915277
I,H30,D0b,TOP20,2,6,228,0.4245682888540031,-0.0036620098567636816,-0.0026443087759735473,-0.0011780284339253763
I,H30,D0b,TOP20,3,6,227,0.4799375487900078,-0.0012474340676233986,-0.0009156034745438912,-0.0009424649308855863
I,H30,D0b,TOP20,4,6,227,0.4468235294117647,-0.004831203477076995,-0.00352522017622392,-0.0016276937998376262
I,H30,D0b,TOP20,5,6,227,0.4366744366744366,-0.0037289176549266667,-0.0027357019916685044,-0.0016904609308628384
SC,H15,D0b,ALL,0,3,7268,0.503444282519806,-0.0016904478837478365,-0.0012227783763287814,3.0827189328287465e-05
SC,H15,D0b,ALL,1,3,7268,0.49823628185543517,-0.0018123804509841968,-0.0013114987952254076,0.0001147572906064619
SC,H15,D0b,ALL,2,3,7267,0.49774528385600947,-0.00104567057092253,-0.0007566546573916089,0.0001664998579965061
SC,H15,D0b,TOP50,0,3,5502,0.5029770305600221,-0.0014100373342202932,-0.001019156971795443,-0.00011824036926044734
SC,H15,D0b,TOP50,1,3,5502,0.49527093528349875,-0.001895915357749356,-0.0013715743911275613,7.489607204154999e-06
SC,H15,D0b,TOP50,2,3,5501,0.49396506183802835,-0.0014951466314168105,-0.0010816915276665728,4.574244058222519e-06
SC,H15,D0b,TOP30,0,3,4483,0.5056464823185429,-0.0016830143167680944,-0.0012097869450027332,-0.0003045081685482356
SC,H15,D0b,TOP30,1,3,4484,0.5033319108426616,-0.0016128458475952456,-0.001162334014266131,-0.00036743801400989593
SC,H15,D0b,TOP30,2,3,4483,0.49831468457966255,-0.0015798158965347753,-0.0011388234679812204,-0.000526058575023517
SC,H15,D0b,TOP20,0,3,3464,0.5060460496108181,-0.003590101586650185,-0.0025852829220591733,-0.00026106331785423644
SC,H15,D0b,TOP20,1,3,3465,0.5069905874858739,-0.002255120756332385,-0.0016250954571583875,-0.00034241516680927174
SC,H15,D0b,TOP20,2,3,3464,0.501315270507301,-0.0019521275796499094,-0.001408630994516935,-0.0003451533339657012
SC,H30,D0b,ALL,0,6,3633,0.4910743412284457,-0.0019528727123643286,-0.0014107973414689834,-8.591846119977774e-05
SC,H30,D0b,ALL,1,6,3633,0.4938108576764039,-0.002038508926655913,-0.0014727848484077377,-0.00019078066839012047
SC,H30,D0b,ALL,2,6,3633,0.5037034004694066,-0.0009587459043545188,-0.000691434068341934,0.0003769376738017948
SC,H30,D0b,ALL,3,6,3633,0.5031299710949018,-0.001873150570102844,-0.0013520339181478658,0.00030886251194337086
SC,H30,D0b,ALL,4,6,3633,0.4961263453978376,-0.002417336821744165,-0.0017466259712388688,-4.9904199616653314e-05
SC,H30,D0b,ALL,5,6,3633,0.5049063274098824,-0.0011922344705701526,-0.0008597505666299021,0.00011848386826664585
SC,H30,D0b,TOP50,0,6,2744,0.4863636363636364,-0.0019465329535377496,-0.0014053238155815606,-0.0003695768835329311
SC,H30,D0b,TOP50,1,6,2758,0.48634565143311503,-0.0017617255615076655,-0.0012714757312097813,-0.00026227764093569335
SC,H30,D0b,TOP50,2,6,2757,0.49692302429371393,-0.0009670605333556015,-0.0006976201329775833,0.00017751852500361918
SC,H30,D0b,TOP50,3,6,2756,0.48967481092035353,-0.0015357170819658705,-0.0011085066001395028,4.029593085918144e-06
SC,H30,D0b,TOP50,4,6,2743,0.48908586910060625,-0.0017140107520456915,-0.0012375631406256193,-2.969751160029148e-06
SC,H30,D0b,TOP50,5,6,2743,0.49190220552193875,-0.001758493378239967,-0.0012691491543332933,0.00018571114671754417
SC,H30,D0b,TOP30,0,6,2263,0.49357781683264984,-0.001192135401510308,-0.0008583469957965661,-0.0007991139626305922
SC,H30,D0b,TOP30,1,6,2235,0.4874011655933748,-0.0012521893057102496,-0.0009009497106737818,-0.0017020677413081388
SC,H30,D0b,TOP30,2,6,2235,0.48167415994887386,-0.001649543442399093,-0.0011893358709764712,-0.0015384074956169562
SC,H30,D0b,TOP30,3,6,2218,0.48059897612031566,-0.0015558604829677414,-0.0011203090283706807,-0.0017077070357072019
SC,H30,D0b,TOP30,4,6,2247,0.5008910163053211,-0.0007180723375899145,-0.0005159228788969017,-0.0003919546506878804
SC,H30,D0b,TOP30,5,6,2247,0.4991914974528803,-0.0006902030662645497,-0.0004959748119139906,-0.0007067427498233414
SC,H30,D0b,TOP20,0,6,1738,0.4962330287509028,-0.004159033354821817,-0.003002891420737175,-0.0006125126705040168
SC,H30,D0b,TOP20,1,6,1732,0.4882878810305811,-0.003031145142168068,-0.0021839426832535036,-0.0015936504483748718
SC,H30,D0b,TOP20,2,6,1731,0.48344631667196214,-0.0031743768635610348,-0.002293973676401384,-0.0014406362779924807
SC,H30,D0b,TOP20,3,6,1723,0.4895848493178743,-0.0016316235089743891,-0.0011772719617504368,-0.0017667462227937418
SC,H30,D0b,TOP20,4,6,1731,0.5011581181747791,-0.0012568807998440956,-0.0009050092030513657,-0.00038303460312418393
SC,H30,D0b,TOP20,5,6,1731,0.500046072610434,-0.002790252620906486,-0.002014083937604383,-0.0007406317954454552
M,H15,D0b,ALL,0,3,4543,0.49555752320468976,-0.00044267714846024653,-0.0003244994359079545,-6.904803457512815e-05
M,H15,D0b,ALL,1,3,4543,0.48697044198970757,-0.0010063597234579724,-0.0007340978213807858,-9.427126540776318e-05
M,H15,D0b,ALL,2,3,4543,0.47619572199634946,-0.0014649355927940366,-0.0010706152821293724,-0.00012081836829559459
M,H15,D0b,TOP50,0,3,1924,0.512573862557313,-0.0010204910161264458,-0.0007584075847708593,3.0378540430252666e-05
M,H15,D0b,TOP50,1,3,1924,0.5053819444444445,-0.001350156530093738,-0.0009995877524056063,0.00021471931849739368
M,H15,D0b,TOP50,2,3,1925,0.5007279500364515,-0.004208092149793119,-0.003092185346373677,7.857195041712163e-05
