group,horizon,model,stratum,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread,median_calibration_slope,positive_share_calibration_slope
ALL_8,H5,D0b,TOP50,8,0.49950845310926056,1.0,-0.0012996328235445054,0.0,-0.000958066807609792,0.0,-1.3870710418039697e-05,0.375,-0.06387429038903678,0.375
ALL_8,H5,D0c,ALL,8,0.5130042554070722,1.0,-0.0008453024723861224,0.125,-0.0006248670488191443,0.125,-1.4984385777754396e-06,0.5,0.09964730037269966,1.0
ALL_8,H5,D0c,TOP20,8,0.5024838813488857,1.0,-0.0042023971937852345,0.0,-0.003099171225575015,0.0,-5.733978954302589e-05,0.0,0.025093066807615038,0.625
ALL_8,H5,D0c,TOP30,8,0.5037893092057982,1.0,-0.003551172565143146,0.0,-0.0026295991817600894,0.0,-2.048172149007559e-05,0.25,0.04033053527376386,0.75
ALL_8,H5,D0c,TOP50,8,0.504554372314737,1.0,-0.0018446536232683552,0.0,-0.0013788728509889214,0.0,-2.7599136267754982e-05,0.375,0.04281141514769149,0.75
EX_I_7,H15,D0a,ALL,7,0.5035593859965358,1.0,-0.0013998557437620018,0.0,-0.0010215928616574832,0.0,-6.288148846828649e-05,0.42857142857142855,-0.0031852810360182096,0.42857142857142855
EX_I_7,H15,D0a,TOP20,7,0.49222539012444444,1.0,-0.002385854158283296,0.0,-0.001743363042752577,0.0,-3.7495870255333195e-05,0.42857142857142855,-0.10075176585772419,0.2857142857142857
EX_I_7,H15,D0a,TOP30,7,0.4953064845045346,1.0,-0.0013248905406282319,0.0,-0.0009575451531096402,0.0,-6.883084290010337e-05,0.2857142857142857,-0.09874378689624067,0.2857142857142857
EX_I_7,H15,D0a,TOP50,7,0.5006640238297271,1.0,-0.001575869330720625,0.0,-0.0011385516155728581,0.0,-2.6632143360264454e-05,0.2857142857142857,0.03493538299794757,0.5714285714285714
EX_I_7,H15,D0b,ALL,7,0.49284055795338766,1.0,-0.0009712158749717315,0.14285714285714285,-0.0007096805122481786,0.14285714285714285,-2.779777302748524e-05,0.42857142857142855,-0.15232661171111656,0.2857142857142857
EX_I_7,H15,D0b,TOP20,7,0.5047831400257743,1.0,-0.0025990721689950202,0.0,-0.0018729733766151835,0.0,9.45305838325595e-05,0.5714285714285714,0.020925956009779267,0.5714285714285714
EX_I_7,H15,D0b,TOP30,7,0.5024307787701654,1.0,-0.0016469457314045588,0.14285714285714285,-0.0012601158869609552,0.14285714285714285,7.94104979340277e-05,0.5714285714285714,0.05250130614041476,0.7142857142857143
EX_I_7,H15,D0b,TOP50,7,0.4987136167858327,1.0,-0.00160037490720355,0.0,-0.0011574799286262483,0.0,-1.4339515604169543e-05,0.2857142857142857,-0.006258857703597392,0.42857142857142855
EX_I_7,H15,D0c,ALL,7,0.5093219540279132,1.0,-0.001503167445668696,0.0,-0.0011411356787589533,0.0,2.9067562982911468e-06,0.5714285714285714,0.07384326907445186,0.5714285714285714
EX_I_7,H15,D0c,TOP20,7,0.4991967532268576,1.0,-0.0051129231778686,0.0,-0.0038530419732274446,0.0,-0.00015575326367499388,0.2857142857142857,-0.013227627645767721,0.42857142857142855
EX_I_7,H15,D0c,TOP30,7,0.5011944532241037,1.0,-0.005118544716161688,0.0,-0.003723936224536706,0.0,2.5866689340563594e-06,0.5714285714285714,-0.00389216311805151,0.42857142857142855
EX_I_7,H15,D0c,TOP50,7,0.5030354706274109,1.0,-0.0026395982653579786,0.0,-0.0019617486283789454,0.0,-7.89648921480883e-05,0.2857142857142857,-0.007971454921550351,0.42857142857142855
EX_I_7,H30,D0a,ALL,7,0.502213775060422,1.0,-0.0011303149710533145,0.0,-0.000842334598238903,0.0,-4.687337825888188e-05,0.42857142857142855,0.06239150289452716,0.5714285714285714
EX_I_7,H30,D0a,TOP20,7,0.49667482653279105,1.0,-0.002372269595772636,0.14285714285714285,-0.0017184465530031279,0.14285714285714285,-8.421468786865058e-05,0.42857142857142855,-0.05470169394724494,0.2857142857142857
EX_I_7,H30,D0a,TOP30,7,0.49884420134897933,1.0,-0.0017329315335745665,0.14285714285714285,-0.0012513329477215063,0.14285714285714285,-0.00013870037344024933,0.2857142857142857,-0.03130020669020387,0.2857142857142857
EX_I_7,H30,D0a,TOP50,7,0.4977187497746335,1.0,-0.001358196052308136,0.0,-0.000979944159170687,0.0,-1.1717942821330525e-05,0.42857142857142855,0.08412773384878953,0.5714285714285714
EX_I_7,H30,D0b,ALL,7,0.4967570509389345,1.0,-0.0014590036261423744,0.14285714285714285,-0.001058521952035374,0.14285714285714285,3.198609283823142e-05,0.5714285714285714,-0.05566032349999573,0.14285714285714285
EX_I_7,H30,D0b,TOP20,7,0.4932058931717163,1.0,-0.0029818001430930163,0.0,-0.0021644259971302926,0.0,-6.02540855460723e-05,0.14285714285714285,-0.06803764043111735,0.42857142857142855
EX_I_7,H30,D0b,TOP30,7,0.4926691791469969,1.0,-0.0024672361891588945,0.14285714285714285,-0.0017877912037163046,0.14285714285714285,-0.0003693423750487479,0.2857142857142857,-0.03495576694258004,0.2857142857142857
EX_I_7,H30,D0b,TOP50,7,0.49000760910032765,1.0,-0.0027338353727044407,0.0,-0.0019952998070771333,0.0,-0.00012334796072618632,0.14285714285714285,-0.1115503299720913,0.2857142857142857
EX_I_7,H30,D0c,ALL,7,0.5047005421907551,1.0,-0.001622131272492,0.0,-0.0011830171623803398,0.0,-8.392056940306772e-05,0.42857142857142855,0.04005008154011133,0.8571428571428571
EX_I_7,H30,D0c,TOP20,7,0.4953609683193607,1.0,-0.011511302642940757,0.0,-0.008536187782986815,0.0,-0.00038702626654866503,0.14285714285714285,-0.011845121978150935,0.42857142857142855
EX_I_7,H30,D0c,TOP30,7,0.499822239086345,1.0,-0.005128827802288738,0.0,-0.0037441504739064158,0.0,-0.0003553459265848848,0.2857142857142857,-0.014376829169488663,0.2857142857142857
EX_I_7,H30,D0c,TOP50,7,0.50070567155489,1.0,-0.005277156707317987,0.0,-0.0038473061076402804,0.0,-0.000290890104222801,0.14285714285714285,-0.011213118545142755,0.42857142857142855
EX_I_7,H5,D0a,ALL,7,0.5062150067421284,1.0,-0.001351665117927947,0.0,-0.0009853973427143004,0.0,-1.505548673352697e-05,0.42857142857142855,0.05525909129076997,0.7142857142857143
EX_I_7,H5,D0a,TOP20,7,0.49458180107603805,1.0,-0.0031416892601796587,0.0,-0.002272699834433123,0.0,-3.401044920834547e-05,0.2857142857142857,-0.024641902885720348,0.42857142857142855
EX_I_7,H5,D0a,TOP30,7,0.49625230227790706,1.0,-0.0018924635564616654,0.0,-0.0013681820779003484,0.0,-1.0842642163135678e-05,0.42857142857142855,-0.03143519488850658,0.42857142857142855
EX_I_7,H5,D0a,TOP50,7,0.4968502512815776,1.0,-0.0013894401640974774,0.0,-0.0010141039986701905,0.0,-2.0891258330157447e-05,0.2857142857142857,-0.03466270730444947,0.42857142857142855
EX_I_7,H5,D0b,ALL,7,0.500796306586295,1.0,-0.00059945742809564,0.0,-0.0004440132126088958,0.0,-1.3246011684640793e-05,0.2857142857142857,-0.056930126704596906,0.2857142857142857
EX_I_7,H5,D0b,TOP20,7,0.4982978641068425,1.0,-0.0029110170059811757,0.0,-0.0022271187479399046,0.0,1.2764940452886731e-05,0.5714285714285714,-0.05605041176047364,0.42857142857142855
EX_I_7,H5,D0b,TOP30,7,0.5022565997385493,1.0,-0.002033784161024954,0.0,-0.001560709248712211,0.0,-1.710060322456659e-06,0.42857142857142855,0.007851780365916534,0.5714285714285714
EX_I_7,H5,D0b,TOP50,7,0.4978467763363078,1.0,-0.0016052777297133058,0.0,-0.0011924167233814398,0.0,-1.853072464432423e-05,0.2857142857142857,-0.09788318782952556,0.2857142857142857
EX_I_7,H5,D0c,ALL,7,0.5120604276193236,1.0,-0.0010738763091635573,0.0,-0.0007808740084018773,0.0,-8.48447642320097e-06,0.42857142857142855,0.09698120119351057,1.0
EX_I_7,H5,D0c,TOP20,7,0.5032780465886795,1.0,-0.003543807751433814,0.0,-0.0025834005874381116,0.0,-5.6383100830201256e-05,0.0,0.03214821781542236,0.7142857142857143
EX_I_7,H5,D0c,TOP30,7,0.5040235786243267,1.0,-0.0038262352121309906,0.0,-0.0027996583701221933,0.0,-2.538220679818457e-05,0.14285714285714285,0.04767925712082066,0.8571428571428571
EX_I_7,H5,D0c,TOP50,7,0.5048608926754569,1.0,-0.0017825523469561233,0.0,-0.0013266389595287809,0.0,-1.012310918737206e-05,0.42857142857142855,0.0499167614724731,0.8571428571428571
