wf,model,symbol,n,auc,accuracy,balanced_accuracy
WF1,L_core_ob,AG,686,0.679,0.6327,0.4465
WF1,L_core_ob,AL,1500,0.6149,0.6007,0.3994
WF1,L_core_ob,AU,706,0.6242,0.6105,0.3625
WF1,L_core_ob,CF,1842,0.6392,0.6048,0.4274
WF1,L_core_ob,CU,1015,0.5768,0.5606,0.496
WF1,L_core_ob,I,1893,0.6184,0.5843,0.474
WF1,L_core_ob,M,1482,0.6066,0.6363,0.3216
WF1,L_core_ob,MA,1369,0.575,0.5646,0.3834
WF1,L_core_ob,NI,1026,0.6059,0.6062,0.1456
WF1,L_core_ob,P,1005,0.6018,0.5821,0.211
WF1,L_core_ob,RB,1504,0.6012,0.6164,0.1859
WF1,L_core_ob,RU,1120,0.6023,0.5893,0.2506
WF1,L_core_ob,SC,939,0.5589,0.5634,0.3675
WF1,L_core_ob,SN,915,0.6247,0.6142,0.2056
WF1,L_core_ob,TA,1387,0.606,0.5717,0.2505
WF1,L_full,AG,686,0.6535,0.6531,0.287
WF1,L_full,AL,1500,0.5888,0.5687,0.4817
WF1,L_full,AU,706,0.6229,0.6487,0.3114
WF1,L_full,CF,1842,0.5728,0.5168,0.596
WF1,L_full,CU,1015,0.6019,0.5842,0.4626
WF1,L_full,I,1893,0.5927,0.5806,0.3911
WF1,L_full,M,1482,0.633,0.6161,0.3496
WF1,L_full,MA,1369,0.5876,0.5259,0.7447
WF1,L_full,NI,1026,0.5674,0.5799,0.2609
WF1,L_full,P,1005,0.6065,0.6,0.1085
WF1,L_full,RB,1504,0.595,0.611,0.256
WF1,L_full,RU,1120,0.5714,0.5607,0.4308
WF1,L_full,SC,939,0.5567,0.557,0.4407
WF1,L_full,SN,915,0.6341,0.6306,0.1668
WF1,L_full,TA,1387,0.5872,0.5645,0.3605
WF2,L0,AG,651,0.4947,0.6298,0.0
WF2,L0,AL,893,0.4968,0.5834,0.0
WF2,L0,AU,688,0.5595,0.5959,0.0
WF2,L0,CF,1294,0.5372,0.5927,0.0
WF2,L0,CU,749,0.5391,0.5741,0.0
WF2,L0,I,2100,0.5445,0.5324,0.0
WF2,L0,M,1484,0.5654,0.5856,0.0
WF2,L0,MA,1218,0.4934,0.6264,0.0
WF2,L0,NI,811,0.488,0.5166,0.0
WF2,L0,P,971,0.4839,0.6292,0.0
WF2,L0,RB,1728,0.5563,0.5735,0.0
WF2,L0,RU,1075,0.5155,0.586,0.0
WF2,L0,SC,967,0.5358,0.5988,0.0
WF2,L0,SN,604,0.5605,0.6474,0.0
WF2,L0,TA,1030,0.4877,0.5922,0.0
WF2,L_identity,AG,651,0.5242,0.6298,0.0
WF2,L_identity,AL,893,0.5371,0.5834,0.0
WF2,L_identity,AU,688,0.4904,0.5959,0.0
WF2,L_identity,CF,1294,0.5096,0.5935,0.0202
WF2,L_identity,CU,749,0.5375,0.5741,0.0
WF2,L_identity,I,2100,0.5406,0.53,0.008
WF2,L_identity,M,1484,0.5551,0.5849,0.002
WF2,L_identity,MA,1218,0.5246,0.6223,0.005
WF2,L_identity,NI,811,0.5536,0.5166,0.0
WF2,L_identity,P,971,0.521,0.6292,0.0
WF2,L_identity,RB,1728,0.5152,0.5735,0.0
WF2,L_identity,RU,1075,0.4666,0.5898,0.0045
WF2,L_identity,SC,967,0.51,0.5988,0.0
WF2,L_identity,SN,604,0.5164,0.6474,0.0
WF2,L_identity,TA,1030,0.4957,0.5951,0.0036
WF2,L_map,AG,651,0.5795,0.6421,0.2604
WF2,L_map,AL,893,0.6721,0.6405,0.2091
WF2,L_map,AU,688,0.6811,0.6265,0.1675
WF2,L_map,CF,1294,0.6248,0.5912,0.299
WF2,L_map,CU,749,0.6786,0.6382,0.2827
WF2,L_map,I,2100,0.577,0.5595,0.3236
WF2,L_map,M,1484,0.6226,0.6051,0.2374
WF2,L_map,MA,1218,0.6121,0.5895,0.2768
WF2,L_map,NI,811,0.6573,0.5709,0.1672
WF2,L_map,P,971,0.664,0.6447,0.1312
WF2,L_map,RB,1728,0.6211,0.5978,0.1681
WF2,L_map,RU,1075,0.6233,0.6186,0.1831
WF2,L_map,SC,967,0.6521,0.6225,0.1954
WF2,L_map,SN,604,0.6493,0.6772,0.2236
WF2,L_map,TA,1030,0.6151,0.6272,0.262
WF2,L_core,AG,651,0.5995,0.6559,0.2395
WF2,L_core,AL,893,0.6805,0.6551,0.245
WF2,L_core,AU,688,0.6759,0.6308,0.188
WF2,L_core,CF,1294,0.6506,0.6105,0.3115
WF2,L_core,CU,749,0.6453,0.6115,0.2268
WF2,L_core,I,2100,0.5868,0.5824,0.3404
WF2,L_core,M,1484,0.6562,0.624,0.256
WF2,L_core,MA,1218,0.6109,0.6059,0.3058
WF2,L_core,NI,811,0.662,0.5869,0.169
WF2,L_core,P,971,0.6773,0.6766,0.1632
WF2,L_core,RB,1728,0.6176,0.5914,0.1973
WF2,L_core,RU,1075,0.644,0.6242,0.1899
WF2,L_core,SC,967,0.6444,0.6225,0.2126
WF2,L_core,SN,604,0.662,0.6821,0.227
WF2,L_core,TA,1030,0.6078,0.6136,0.2674
WF2,L_core_field,AG,651,0.5691,0.6421,0.0825
WF2,L_core_field,AL,893,0.655,0.6025,0.0505
WF2,L_core_field,AU,688,0.6724,0.6221,0.0475
WF2,L_core_field,CF,1294,0.6166,0.609,0.2856
WF2,L_core_field,CU,749,0.585,0.6021,0.0384
WF2,L_core_field,I,2100,0.5675,0.5543,0.3209
WF2,L_core_field,M,1484,0.6461,0.6233,0.2524
WF2,L_core_field,MA,1218,0.6134,0.5936,0.3665
WF2,L_core_field,NI,811,0.6582,0.5746,0.176
WF2,L_core_field,P,971,0.6805,0.656,0.12
WF2,L_core_field,RB,1728,0.5889,0.5677,0.2121
WF2,L_core_field,RU,1075,0.6465,0.6456,0.233
WF2,L_core_field,SC,967,0.6142,0.5977,0.3474
WF2,L_core_field,SN,604,0.6744,0.6738,0.1173
WF2,L_core_field,TA,1030,0.5806,0.6019,0.1888
WF2,L_core_trend,AG,651,0.599,0.6636,0.2071
WF2,L_core_trend,AL,893,0.663,0.6596,0.2527
WF2,L_core_trend,AU,688,0.6712,0.641,0.2097
WF2,L_core_trend,CF,1294,0.6616,0.6345,0.3233
WF2,L_core_trend,CU,749,0.6477,0.6168,0.2222
WF2,L_core_trend,I,2100,0.5857,0.5719,0.354
WF2,L_core_trend,M,1484,0.6547,0.6253,0.2521
WF2,L_core_trend,MA,1218,0.601,0.5928,0.2654
WF2,L_core_trend,NI,811,0.6645,0.5882,0.1629
WF2,L_core_trend,P,971,0.6786,0.69,0.1746
WF2,L_core_trend,RB,1728,0.619,0.5949,0.2037
WF2,L_core_trend,RU,1075,0.6537,0.6326,0.154
WF2,L_core_trend,SC,967,0.6486,0.6298,0.1979
WF2,L_core_trend,SN,604,0.6603,0.6788,0.2114
WF2,L_core_trend,TA,1030,0.6093,0.599,0.2194
WF2,L_core_ob,AG,651,0.6001,0.6575,0.2053
WF2,L_core_ob,AL,893,0.6804,0.6596,0.255
WF2,L_core_ob,AU,688,0.6753,0.6337,0.1886
WF2,L_core_ob,CF,1294,0.6324,0.6005,0.2864
WF2,L_core_ob,CU,749,0.6409,0.6061,0.2151
WF2,L_core_ob,I,2100,0.5862,0.5838,0.3304
WF2,L_core_ob,M,1484,0.6526,0.6213,0.2513
WF2,L_core_ob,MA,1218,0.6081,0.6002,0.3052
WF2,L_core_ob,NI,811,0.661,0.5882,0.1925
WF2,L_core_ob,P,971,0.6789,0.6674,0.1573
WF2,L_core_ob,RB,1728,0.6183,0.5868,0.1836
WF2,L_core_ob,RU,1075,0.6405,0.6158,0.1836
WF2,L_core_ob,SC,967,0.6425,0.637,0.2263
WF2,L_core_ob,SN,604,0.6617,0.6788,0.2223
WF2,L_core_ob,TA,1030,0.6064,0.6136,0.2473
WF2,L_full,AG,651,0.5711,0.6375,0.0796
WF2,L_full,AL,893,0.6352,0.6159,0.0758
WF2,L_full,AU,688,0.6733,0.6265,0.0529
WF2,L_full,CF,1294,0.6186,0.5981,0.3412
WF2,L_full,CU,749,0.5855,0.5834,0.0137
WF2,L_full,I,2100,0.563,0.5514,0.3293
WF2,L_full,M,1484,0.6481,0.6334,0.2368
WF2,L_full,MA,1218,0.6059,0.5805,0.3472
WF2,L_full,NI,811,0.6572,0.5845,0.1738
WF2,L_full,P,971,0.6834,0.6509,0.1395
WF2,L_full,RB,1728,0.5914,0.5637,0.2215
WF2,L_full,RU,1075,0.6529,0.6344,0.2099
WF2,L_full,SC,967,0.6168,0.5905,0.3405
WF2,L_full,SN,604,0.6779,0.6639,0.1105
WF2,L_full,TA,1030,0.5777,0.5922,0.1648
WF3,L0,AG,739,0.4711,0.6752,0.0
WF3,L0,AL,1113,0.5578,0.6056,0.0
WF3,L0,AU,773,0.4542,0.6921,0.0
WF3,L0,CF,1083,0.5208,0.6316,0.0
WF3,L0,CU,933,0.5185,0.6538,0.0
WF3,L0,I,1713,0.5113,0.5908,0.0
WF3,L0,M,1192,0.5322,0.5831,0.0
WF3,L0,MA,836,0.5461,0.5993,0.0
WF3,L0,NI,826,0.3753,0.6102,0.0
WF3,L0,P,829,0.5035,0.5983,0.0
WF3,L0,RB,1980,0.4779,0.6364,0.0
WF3,L0,RU,975,0.5077,0.6338,0.0
WF3,L0,SC,850,0.5559,0.5906,0.0
WF3,L0,SN,787,0.4916,0.5832,0.0
WF3,L0,TA,948,0.5015,0.6487,0.0
WF3,L_identity,AG,739,0.477,0.6752,0.0
WF3,L_identity,AL,1113,0.56,0.6047,0.0007
WF3,L_identity,AU,773,0.5079,0.6908,0.0009
WF3,L_identity,CF,1083,0.5231,0.6307,0.0007
WF3,L_identity,CU,933,0.5153,0.6538,0.0
WF3,L_identity,I,1713,0.5185,0.5914,0.0369
WF3,L_identity,M,1192,0.5583,0.5839,0.001
WF3,L_identity,MA,836,0.4946,0.5993,0.0
WF3,L_identity,NI,826,0.4371,0.6102,0.0
WF3,L_identity,P,829,0.5161,0.5983,0.0
WF3,L_identity,RB,1980,0.4531,0.6343,0.0038
WF3,L_identity,RU,975,0.5445,0.6308,0.0024
WF3,L_identity,SC,850,0.5397,0.5906,0.0
WF3,L_identity,SN,787,0.5213,0.5832,0.0
WF3,L_identity,TA,948,0.5092,0.6466,0.0016
WF3,L_map,AG,739,0.6119,0.6604,0.2393
WF3,L_map,AL,1113,0.6457,0.6352,0.2858
WF3,L_map,AU,773,0.6047,0.6662,0.2403
WF3,L_map,CF,1083,0.6202,0.626,0.2167
WF3,L_map,CU,933,0.6363,0.6141,0.2979
WF3,L_map,I,1713,0.6098,0.5902,0.3772
WF3,L_map,M,1192,0.6404,0.6208,0.2092
WF3,L_map,MA,836,0.7435,0.6782,0.2679
WF3,L_map,NI,826,0.642,0.6114,0.2866
WF3,L_map,P,829,0.7014,0.6526,0.2131
WF3,L_map,RB,1980,0.5469,0.6136,0.1892
WF3,L_map,RU,975,0.6697,0.6431,0.2291
WF3,L_map,SC,850,0.6907,0.6494,0.3078
WF3,L_map,SN,787,0.6709,0.5972,0.1684
WF3,L_map,TA,948,0.6068,0.6329,0.2784
WF3,L_core,AG,739,0.6341,0.6942,0.239
WF3,L_core,AL,1113,0.6472,0.6451,0.2946
WF3,L_core,AU,773,0.6122,0.674,0.2316
WF3,L_core,CF,1083,0.6309,0.6408,0.2546
WF3,L_core,CU,933,0.6685,0.6388,0.3051
WF3,L_core,I,1713,0.6226,0.6001,0.3772
WF3,L_core,M,1192,0.6392,0.6216,0.2171
WF3,L_core,MA,836,0.7652,0.6974,0.2743
WF3,L_core,NI,826,0.6497,0.6308,0.2478
WF3,L_core,P,829,0.695,0.6622,0.2327
WF3,L_core,RB,1980,0.5603,0.6096,0.1924
WF3,L_core,RU,975,0.6778,0.6615,0.2521
WF3,L_core,SC,850,0.6796,0.6435,0.3128
WF3,L_core,SN,787,0.6685,0.6112,0.1407
WF3,L_core,TA,948,0.6169,0.6445,0.281
WF3,L_core_field,AG,739,0.646,0.6834,0.2778
WF3,L_core_field,AL,1113,0.6404,0.6442,0.2935
WF3,L_core_field,AU,773,0.6147,0.6843,0.2211
WF3,L_core_field,CF,1083,0.633,0.6334,0.2089
WF3,L_core_field,CU,933,0.6722,0.6474,0.3103
WF3,L_core_field,I,1713,0.6391,0.5943,0.4739
WF3,L_core_field,M,1192,0.6336,0.6174,0.2103
WF3,L_core_field,MA,836,0.7702,0.701,0.2788
WF3,L_core_field,NI,826,0.6551,0.6235,0.2614
WF3,L_core_field,P,829,0.7039,0.6815,0.2617
WF3,L_core_field,RB,1980,0.5171,0.599,0.1789
WF3,L_core_field,RU,975,0.6947,0.6656,0.2445
WF3,L_core_field,SC,850,0.6793,0.6388,0.2462
WF3,L_core_field,SN,787,0.6786,0.5997,0.1453
WF3,L_core_field,TA,948,0.6261,0.654,0.2482
WF3,L_core_trend,AG,739,0.6289,0.6793,0.2562
WF3,L_core_trend,AL,1113,0.6423,0.6451,0.3153
WF3,L_core_trend,AU,773,0.6128,0.674,0.2438
WF3,L_core_trend,CF,1083,0.6291,0.6316,0.256
WF3,L_core_trend,CU,933,0.6773,0.6624,0.3249
WF3,L_core_trend,I,1713,0.6242,0.5919,0.3829
WF3,L_core_trend,M,1192,0.64,0.6258,0.2446
WF3,L_core_trend,MA,836,0.7739,0.7141,0.2902
WF3,L_core_trend,NI,826,0.659,0.6356,0.2718
WF3,L_core_trend,P,829,0.696,0.6695,0.2241
WF3,L_core_trend,RB,1980,0.5597,0.6061,0.2126
WF3,L_core_trend,RU,975,0.6785,0.6728,0.2543
WF3,L_core_trend,SC,850,0.6757,0.6447,0.3215
WF3,L_core_trend,SN,787,0.6855,0.5985,0.1307
WF3,L_core_trend,TA,948,0.6119,0.6139,0.2976
WF3,L_core_ob,AG,739,0.6273,0.6766,0.2613
WF3,L_core_ob,AL,1113,0.6522,0.6478,0.3488
WF3,L_core_ob,AU,773,0.6176,0.6714,0.2578
WF3,L_core_ob,CF,1083,0.6175,0.6251,0.271
WF3,L_core_ob,CU,933,0.662,0.6302,0.3448
WF3,L_core_ob,I,1713,0.6243,0.5966,0.42
WF3,L_core_ob,M,1192,0.6348,0.6133,0.2571
WF3,L_core_ob,MA,836,0.7573,0.7057,0.3146
WF3,L_core_ob,NI,826,0.6624,0.6344,0.3313
WF3,L_core_ob,P,829,0.7014,0.6671,0.2663
WF3,L_core_ob,RB,1980,0.5609,0.6051,0.2287
WF3,L_core_ob,RU,975,0.6806,0.6636,0.2859
WF3,L_core_ob,SC,850,0.6709,0.6212,0.3731
WF3,L_core_ob,SN,787,0.6613,0.6163,0.1494
WF3,L_core_ob,TA,948,0.6082,0.615,0.32
WF3,L_full,AG,739,0.6334,0.6536,0.2937
WF3,L_full,AL,1113,0.6409,0.6325,0.3464
WF3,L_full,AU,773,0.6191,0.6882,0.2365
WF3,L_full,CF,1083,0.617,0.6343,0.2895
WF3,L_full,CU,933,0.6762,0.6506,0.3363
WF3,L_full,I,1713,0.6418,0.5908,0.4841
WF3,L_full,M,1192,0.6316,0.6141,0.2581
WF3,L_full,MA,836,0.7687,0.7105,0.3455
WF3,L_full,NI,826,0.6733,0.6344,0.3492
WF3,L_full,P,829,0.7131,0.6634,0.2793
WF3,L_full,RB,1980,0.5216,0.602,0.195
WF3,L_full,RU,975,0.6957,0.6738,0.3242
WF3,L_full,SC,850,0.6668,0.6376,0.3178
WF3,L_full,SN,787,0.685,0.6099,0.1627
WF3,L_full,TA,948,0.6142,0.6097,0.3287
