candidate,wf,symbol,n_selected,selection_rate,selected_clear_rate,direction_accuracy_given_clear,actionable_precision
T3_HGB_20pct,WF2,AG,112,0.1065,0.6786,0.5526,0.375
T3_HGB_20pct,WF2,AL,172,0.1373,0.9419,0.8025,0.7558
T3_HGB_20pct,WF2,AU,77,0.0606,0.8701,0.8507,0.7403
T3_HGB_20pct,WF2,CF,276,0.1698,0.9058,0.632,0.5725
T3_HGB_20pct,WF2,CU,110,0.0955,0.8909,0.7347,0.6545
T3_HGB_20pct,WF2,I,536,0.2179,0.9086,0.5277,0.4795
T3_HGB_20pct,WF2,M,441,0.2457,0.9683,0.7939,0.7687
T3_HGB_20pct,WF2,MA,388,0.2402,0.9201,0.6555,0.6031
T3_HGB_20pct,WF2,NI,177,0.1312,0.8701,0.6688,0.5819
T3_HGB_20pct,WF2,P,211,0.1558,0.9052,0.7435,0.673
T3_HGB_20pct,WF2,RB,548,0.2665,0.9471,0.6281,0.5949
T3_HGB_20pct,WF2,RU,253,0.1698,0.8972,0.5727,0.5138
T3_HGB_20pct,WF2,SC,141,0.097,0.9574,0.8074,0.773
T3_HGB_20pct,WF2,SN,67,0.0639,0.8507,0.6491,0.5522
T3_HGB_20pct,WF2,TA,206,0.1455,0.9175,0.6984,0.6408
T3_HGB_20pct,WF3,AL,240,0.1593,0.95,0.6404,0.6083
T3_HGB_20pct,WF3,AU,111,0.0844,0.9459,0.7429,0.7027
T3_HGB_20pct,WF3,CF,204,0.1481,0.9069,0.5946,0.5392
T3_HGB_20pct,WF3,CU,168,0.1201,0.9762,0.7866,0.7679
T3_HGB_20pct,WF3,I,453,0.228,0.9581,0.6636,0.6358
T3_HGB_20pct,WF3,M,267,0.175,0.9288,0.6169,0.573
T3_HGB_20pct,WF3,MA,128,0.1005,0.8359,0.6916,0.5781
T3_HGB_20pct,WF3,NI,106,0.0802,0.8585,0.8571,0.7358
T3_HGB_20pct,WF3,P,122,0.0993,0.9016,0.7273,0.6557
T3_HGB_20pct,WF3,RB,669,0.2924,0.9013,0.6534,0.5889
T3_HGB_20pct,WF3,RU,214,0.1518,0.9533,0.7402,0.7056
T3_HGB_20pct,WF3,SC,187,0.1421,0.893,0.7605,0.6791
T3_HGB_20pct,WF3,SN,71,0.0562,0.9437,0.6567,0.6197
T3_HGB_20pct,WF3,TA,234,0.1729,0.9444,0.6923,0.6538
TWO_STAGE_PRODUCT,WF1,AG,56,0.0505,0.8393,0.4894,0.4107
TWO_STAGE_PRODUCT,WF1,AL,305,0.1628,0.8918,0.2463,0.2197
TWO_STAGE_PRODUCT,WF1,AU,104,0.0871,0.8462,0.4773,0.4038
TWO_STAGE_PRODUCT,WF1,CF,385,0.1741,0.9299,0.4274,0.3974
TWO_STAGE_PRODUCT,WF1,CU,156,0.1124,0.9167,0.3916,0.359
TWO_STAGE_PRODUCT,WF1,I,345,0.155,0.9217,0.1887,0.1739
TWO_STAGE_PRODUCT,WF1,M,364,0.1999,0.9148,0.2372,0.217
TWO_STAGE_PRODUCT,WF1,MA,284,0.1629,0.8099,0.287,0.2324
TWO_STAGE_PRODUCT,WF1,NI,177,0.115,0.8644,0.3529,0.3051
TWO_STAGE_PRODUCT,WF1,P,199,0.144,0.8844,0.4318,0.3819
TWO_STAGE_PRODUCT,WF1,RB,387,0.1998,0.8786,0.3912,0.3437
TWO_STAGE_PRODUCT,WF1,RU,194,0.1292,0.9227,0.324,0.299
TWO_STAGE_PRODUCT,WF1,SC,125,0.0816,0.928,0.4914,0.456
TWO_STAGE_PRODUCT,WF1,SN,90,0.0657,0.8778,0.3924,0.3444
TWO_STAGE_PRODUCT,WF1,TA,336,0.1844,0.9107,0.3301,0.3006
TWO_STAGE_PRODUCT,WF2,AL,118,0.0942,0.9322,0.3727,0.3475
TWO_STAGE_PRODUCT,WF2,AU,56,0.0441,0.9286,0.5,0.4643
TWO_STAGE_PRODUCT,WF2,CF,131,0.0806,0.8931,0.2479,0.2214
TWO_STAGE_PRODUCT,WF2,CU,75,0.0651,0.92,0.3623,0.3333
TWO_STAGE_PRODUCT,WF2,I,295,0.1199,0.9254,0.1905,0.1763
TWO_STAGE_PRODUCT,WF2,M,263,0.1465,0.9468,0.2369,0.2243
TWO_STAGE_PRODUCT,WF2,MA,231,0.143,0.8528,0.3756,0.3203
TWO_STAGE_PRODUCT,WF2,NI,74,0.0549,0.9054,0.194,0.1757
TWO_STAGE_PRODUCT,WF2,P,177,0.1307,0.9379,0.3253,0.3051
TWO_STAGE_PRODUCT,WF2,RB,304,0.1479,0.9309,0.1696,0.1579
TWO_STAGE_PRODUCT,WF2,RU,139,0.0933,0.8921,0.3468,0.3094
TWO_STAGE_PRODUCT,WF2,SC,94,0.0647,0.9043,0.6824,0.617
TWO_STAGE_PRODUCT,WF2,TA,101,0.0713,0.9307,0.2979,0.2772
TWO_STAGE_PRODUCT,WF3,AL,207,0.1374,0.9469,0.3214,0.3043
TWO_STAGE_PRODUCT,WF3,CF,136,0.0988,0.9044,0.2033,0.1838
TWO_STAGE_PRODUCT,WF3,CU,134,0.0958,0.9552,0.5391,0.5149
TWO_STAGE_PRODUCT,WF3,I,394,0.1983,0.9543,0.1649,0.1574
TWO_STAGE_PRODUCT,WF3,M,282,0.1848,0.9184,0.305,0.2801
TWO_STAGE_PRODUCT,WF3,MA,94,0.0738,0.7979,0.3067,0.2447
TWO_STAGE_PRODUCT,WF3,P,130,0.1059,0.9385,0.3361,0.3154
TWO_STAGE_PRODUCT,WF3,RB,612,0.2675,0.9052,0.1011,0.0915
TWO_STAGE_PRODUCT,WF3,RU,150,0.1064,0.9267,0.4029,0.3733
TWO_STAGE_PRODUCT,WF3,SC,161,0.1223,0.9193,0.1824,0.1677
TWO_STAGE_PRODUCT,WF3,TA,168,0.1242,0.9167,0.3896,0.3571
