wf,h,structure_scale,action,n_contacts,n_action_available,availability,median_target_atr,median_risk_atr,median_RR,target_first_rate,stop_first_rate,same_bar_ambiguous_rate,censored_rate,E_R_lower,E_R_upper
WF2,2,1.2,INWARD,24692,7417,0.30038069010205737,2.947599076979182,1.25,2.3714285714285714,0.2885263583659161,0.6067143049750573,0.002696508022111366,0.1020628286369152,-0.13549355706136232,-0.12992992500636988
WF3,2,1.2,INWARD,23810,6677,0.28042839143217135,2.930413955632973,1.25,2.3732349457957547,0.2881533622884529,0.5944286356147971,0.0025460536168938146,0.11487194847985623,-0.1413569825610656,-0.1351998197758303
WF1,3,0.2,OUTWARD,25383,22648,0.8922507189851475,2.0,0.5555555555555556,4.0,0.20107735782409042,0.7598904980572236,0.008963263864358884,0.030068880254327093,-0.38579819392577025,-0.34477218559187195
WF2,3,0.2,OUTWARD,24692,21718,0.87955613154058,1.956521739130435,0.5319136502600549,4.0,0.20568192282898978,0.7611198084538171,0.005985818215305277,0.027212450501887836,-0.37030580102273525,-0.34485087688960225
WF3,3,0.2,OUTWARD,23810,21822,0.9165056698866023,2.0370370370370368,0.5172413793103449,4.25,0.20387682155622766,0.7665200256621758,0.0057281642379250295,0.023874988543671524,-0.30515844915991003,-0.2733198070917676
WF1,3,0.4,OUTWARD,25383,21989,0.8662884607808375,1.9665853901273886,0.5882352941176471,3.6451612903225805,0.21237891673109283,0.747464641411615,0.008185911137386875,0.03197053071990541,-0.34273516387717273,-0.3050540016834298
WF2,3,0.4,OUTWARD,24692,20856,0.8446460392029808,1.9230769230769231,0.5599572079954527,3.5098039215686274,0.2168680475642501,0.7494246260069045,0.006137322593018795,0.027570003835826622,-0.335017449066072,-0.30973936744292374
WF3,3,0.4,OUTWARD,23810,20606,0.8654346913061739,2.002215566405449,0.5555555555555556,4.0,0.21794622925361545,0.7507522080947296,0.005532369212850626,0.025769193438804232,-0.2670433113205645,-0.24348620938212762
WF1,3,0.8,OUTWARD,25383,16442,0.6477563723752118,1.9444444444444444,0.8,2.6666666666666665,0.2713173579856465,0.681121518063496,0.005169687385962778,0.04239143656489478,-0.219990749671551,-0.19905843604010565
WF2,3,0.8,OUTWARD,24692,15220,0.6163939737566824,1.875,0.7894736842105263,2.5,0.27766097240473064,0.6834428383705651,0.005256241787122208,0.03363994743758213,-0.20571872997700186,-0.1850227072510319
WF3,3,0.8,OUTWARD,23810,15024,0.6309953800923982,1.923076923076923,0.7692307692307692,2.6666666666666665,0.2803514376996805,0.6803780617678381,0.004326411075612354,0.03494408945686901,-0.1429333196824062,-0.1308565936385115
WF1,3,1.2,OUTWARD,25383,10334,0.407122877516448,2.0,1.1111111111111112,2.0,0.3235920263208825,0.6102186955680279,0.002322430810915425,0.06386684730017418,-0.15914077014051975,-0.15176800923038058
WF2,3,1.2,OUTWARD,24692,9911,0.4013850639883363,1.875,1.118421052631579,1.75,0.3298355362728282,0.6206235495913631,0.0028251437796387854,0.04671577035616991,-0.15390091420267246,-0.14443227107611234
WF3,3,1.2,OUTWARD,23810,9306,0.3908441831163377,1.9607843137254901,1.1111111111111112,1.8805970149253732,0.3406404470234258,0.6078873844831292,0.0037610143993122716,0.04771115409413282,-0.09741383571322686,-0.0888688533026872
WF1,3,0.2,INWARD,25383,23423,0.9227829649765591,2.9411764705882355,0.625,4.833333333333333,0.15847671092515903,0.7803867992998335,0.0035008325150493107,0.05763565725995816,-0.3610152780527969,-0.3374034325659729
WF2,3,0.2,INWARD,24692,22844,0.9251579458934067,3.111111111111111,0.5952380952380952,5.341875,0.1531693223603572,0.7812992470670636,0.002714060584836281,0.06281736998774295,-0.3806632185262841,-0.3713556481792213
WF3,3,0.2,INWARD,23810,22233,0.933767324653507,3.156249403955826,0.5932203389830508,5.374930064594883,0.16034723159267755,0.7654837403859128,0.0033733639184995276,0.07079566410291009,-0.31736818600398614,-0.3029708428694369
WF1,3,0.4,INWARD,25383,23040,0.9076941259898357,2.931034482758621,0.6410256410256411,4.526638627805582,0.1640625,0.7717013888888888,0.003515625,0.06072048611111111,-0.33680932866277746,-0.3128108529738242
WF2,3,0.4,INWARD,24692,22334,0.9045034829094444,3.095238095238095,0.625,5.0,0.16315930867735293,0.7662756335631772,0.0026417121876958897,0.06792334557177397,-0.33934687280606424,-0.33017386371640134
WF3,3,0.4,INWARD,23810,21739,0.9130197396052079,3.129370629370629,0.625,5.0,0.16707300243801462,0.7573485440912645,0.003128018768112609,0.07245043470260822,-0.2920508789847138,-0.28072160566152277
WF1,3,0.8,INWARD,25383,18248,0.7189063546468109,2.857136629092806,0.8333333333333333,3.500493050540158,0.2115300306882946,0.7106532222709337,0.001863217886891714,0.07595352915387987,-0.21855715266844158,-0.21344630048944357
WF2,3,0.8,INWARD,24692,17534,0.7101085371780333,3.0602409638554215,0.8333333333333333,3.8166275619788808,0.20491616288354056,0.7077677654842022,0.002167217976502795,0.08514885365575453,-0.23837746736882154,-0.23174025978204937
WF3,3,0.8,INWARD,23810,17010,0.7144057118857623,3.0555555555555554,0.8333333333333333,3.7113095238095237,0.21240446796002352,0.6960023515579071,0.0034097589653145207,0.08818342151675485,-0.1635435956372193,-0.15039048628693802
WF1,3,1.2,INWARD,25383,11806,0.46511444667690977,2.8103629296349166,1.1428571428571428,2.5,0.2739285109266475,0.6279857699474843,0.0028798915805522615,0.09520582754531594,-0.16737569257176896,-0.16032573924240887
WF2,3,1.2,INWARD,24692,11497,0.4656163939737567,3.0263157894736845,1.1290322580645162,2.75,0.2598069061494303,0.6412107506305993,0.0017395842393667913,0.09724275898060364,-0.16019202673060348,-0.15430080936262489
WF3,3,1.2,INWARD,23810,10552,0.44317513649727003,3.0555555555555554,1.1627906976744187,2.687665343915344,0.2622251705837756,0.6266110689916603,0.003601213040181956,0.1075625473843821,-0.12038060759811357,-0.11117712321568993
WF1,5,0.2,OUTWARD,25383,22708,0.8946145057715794,2.193877551020408,0.5357142857142857,4.44,0.19010921261229521,0.7749251365157653,0.006913862955786507,0.028051787916152898,-0.33125700774072314,1.5498570196042405
WF2,5,0.2,OUTWARD,24692,21911,0.8873724283168638,2.142857142857143,0.5,4.434782608695652,0.17607594358997763,0.7953995709917393,0.005704897083656611,0.022819588334626443,-0.3856601968313483,-0.3564629665459782
WF3,5,0.2,OUTWARD,23810,21899,0.9197396052078959,2.3076923076923075,0.5,5.0,0.18037353303803827,0.7831407826841408,0.005479702269510023,0.03100598200831088,-0.3243111965950985,-0.2970476565363086
WF1,5,0.4,OUTWARD,25383,22763,0.8967813103258087,2.2,0.5555555555555556,4.0,0.19303255282695603,0.772525589772877,0.006413917321969863,0.028027940078197075,-0.3229785773794274,1.5509972059210386
WF2,5,0.4,OUTWARD,24692,21873,0.8858334683298235,2.142857142857143,0.5423749503442796,4.0,0.1765189960224935,0.7939468751428702,0.0055776528139715635,0.023956476020664745,-0.38596539442079425,-0.3629503125903741
WF3,5,0.4,OUTWARD,23810,21773,0.914447711045779,2.313915857605178,0.5405472281180236,4.5,0.1836678454967161,0.7775226197584164,0.005098057226840582,0.03371147751802692,-0.34743121987621167,-0.3232368523169849
WF1,5,0.8,OUTWARD,25383,19692,0.7757948233069377,2.219053600369314,0.7317073170731708,3.2222222222222223,0.2345114767418241,0.7278082470038595,0.004671947999187487,0.033008328255128984,-0.2773898085171312,-0.26210524093488274
WF2,5,0.8,OUTWARD,24692,18379,0.7443301474161672,2.142857142857143,0.7270206695742754,3.0902777777777777,0.2174764677077099,0.7506937265357201,0.004842483268948256,0.026987322487621743,-0.3378576421527331,-0.3177443404043542
WF3,5,0.8,OUTWARD,23810,18451,0.7749265014699706,2.272727272727273,0.7142857142857143,3.466666666666667,0.22638339385399164,0.729011977670587,0.004281610752804726,0.040323017722616664,-0.26773976064052296,-0.2509323844938507
WF1,5,1.2,OUTWARD,25383,14360,0.565732970886026,2.2058823529411766,1.0144927536231885,2.4,0.28711699164345406,0.6578690807799443,0.0023676880222841226,0.05264623955431755,-0.17661935897449949,-0.17204569100620337
WF2,5,1.2,OUTWARD,24692,13699,0.5547950753280415,2.1186440677966103,1.0240963855421685,2.3071128198965978,0.27184466019417475,0.6818015913570333,0.004233885685086503,0.04211986276370538,-0.2673757981719937,-0.24962666385526497
WF3,5,1.2,OUTWARD,23810,12955,0.5440991180176397,2.252163463616556,1.0,2.5,0.2890003859513701,0.6569664222307989,0.0042454650714010035,0.04978772674642995,-0.19754895851129545,-0.1860624490185664
WF1,5,0.2,INWARD,25383,23137,0.9115155812945672,3.015873015873016,0.5454545454545454,5.666666666666667,0.14262868997709297,0.8027834204953106,0.0033280027661321695,0.05125988676146432,-0.41886449110211227,-0.4043532466417948
WF2,5,0.2,INWARD,24692,22675,0.91831362384578,3.189635894872459,0.5384615384615384,6.111067708333334,0.13684674751929438,0.8019845644983462,0.0029988974641675854,0.05816979051819184,-0.42141355300672684,-0.4088369000177248
WF3,5,0.2,INWARD,23810,22325,0.9376312473750525,3.2142857142857144,0.5384615384615384,6.0,0.13760358342665174,0.7977603583426651,0.00452407614781635,0.06011198208286674,-0.39591496495294703,-0.38018449324880016
WF1,5,0.4,INWARD,25383,23245,0.9157703975101446,3.010204081632653,0.5681818181818182,5.333333333333333,0.14949451494945148,0.7924714992471499,0.002710260271026027,0.05532372553237255,-0.39549378449805767,-0.38294602152395013
WF2,5,0.4,INWARD,24692,22826,0.924428964846914,3.1818181818181817,0.5555555555555556,5.8164794007490634,0.14146149128187155,0.7944887409094892,0.0029352492771401034,0.06111451853149917,-0.3994294563282999,-0.3885263636547945
WF3,5,0.4,INWARD,23810,22388,0.9402771944561109,3.2,0.5597511907696466,5.666666666666667,0.14244237984634625,0.7906467750580668,0.004422011792031446,0.06248883330355547,-0.3593200632618509,-0.3441237320801336
WF1,5,0.8,INWARD,25383,21457,0.8453295512744751,3.0,0.7575757575757576,4.0,0.178123689238943,0.7475881996551242,0.002004008016032064,0.07228410308990073,-0.33805907309711464,-0.3296197065243885
WF2,5,0.8,INWARD,24692,20838,0.8439170581564879,3.1818181818181817,0.7575757575757576,4.388888888888889,0.17607255974661676,0.7384105960264901,0.002303484019579614,0.08321336020731356,-0.3123773636960912,-0.3045720724447151
WF3,5,0.8,INWARD,23810,20274,0.8514909701805964,3.16872576568653,0.75,4.333333333333333,0.17401598105948504,0.7471638551839794,0.0038966163559238432,0.07492354740061162,-0.28284487898453214,-0.269313813404053
WF1,5,1.2,INWARD,25383,16341,0.6437773312847181,2.9411764705882355,1.0526315789473684,2.9166666666666665,0.23676641576402913,0.6674622116149562,0.0018970687228443792,0.09387430389817025,-0.24567466537591398,-0.23960881497612319
WF2,5,1.2,INWARD,24692,16053,0.6501295966304876,3.2,1.0652789860178944,3.25,0.22475549741481343,0.6690961191054632,0.0023048651342428205,0.1038435183454806,-0.2537588648534186,-0.2482297276297458
WF3,5,1.2,INWARD,23810,15217,0.6391012179756405,3.125,1.0869565217391306,3.0448841036894803,0.2246829204179536,0.672865873693895,0.002694354997699941,0.09975685089045147,-0.2313253452546154,-0.2248793509723354
WF1,8,0.2,OUTWARD,25383,22588,0.8898869321987157,2.393162393162393,0.5084745762711864,5.0,0.16190012395962458,0.7978129980520631,0.0046927572162210026,0.03559412077209138,-0.40119298592990804,-0.3786647513383527
WF2,8,0.2,OUTWARD,24692,21860,0.8853069820184675,2.423640679994145,0.5,5.166666666666667,0.1686184812442818,0.7994053064958829,0.005580969807868252,0.026395242451967064,-0.37123599145065683,0.37476892223015595
WF3,8,0.2,OUTWARD,23810,21831,0.9168836623267534,2.578125,0.4878003394170364,5.555404855554048,0.15830699464064862,0.8030323851403967,0.004626448628097659,0.03403417159085704,-0.3537028621876053,-0.3247471210865747
WF1,8,0.4,OUTWARD,25383,22722,0.8951660560217468,2.393162393162393,0.5444728922006814,4.666666666666667,0.1660945339318722,0.7939882052636211,0.004357010826511751,0.035560249977994896,-0.4039976627027773,-0.38473700672189015
WF2,8,0.4,OUTWARD,24692,21893,0.8866434472703709,2.441860465116279,0.5405405405405405,4.775,0.17288631069291555,0.7907093591558946,0.005481204037820308,0.03092312611336957,-0.37763771160010634,0.36999777611441
WF3,8,0.4,OUTWARD,23810,22043,0.925787484250315,2.5675675675675675,0.5263052224961653,5.0,0.16408837272603546,0.7957628272013791,0.004627319330399673,0.03552148074218573,-0.3501991776245766,-0.3204320835476939
WF1,8,0.8,OUTWARD,25383,21626,0.8519875507229248,2.442763642379158,0.7142857142857143,3.6666666666666665,0.1985110515120688,0.754323499491353,0.0053639138074539905,0.0418015351891242,-0.324785216632474,-0.3009535938135067
WF2,8,0.8,OUTWARD,24692,20381,0.8254090393649766,2.5,0.7101282618310482,3.7142857142857144,0.19704626858348462,0.7680682989058437,0.0051518571218291545,0.02973357538884255,-0.3607119758074625,-0.336527377149938
WF3,8,0.8,OUTWARD,23810,20451,0.85892482150357,2.5274725274725274,0.6952639348480676,3.8580595055381943,0.19177546330252798,0.7626521930467948,0.004205173341156911,0.041367170309520314,-0.3575076644209808,-0.3343150900011868
WF1,8,1.2,OUTWARD,25383,17987,0.7086238821258323,2.4324324324324325,0.9615384615384616,2.833324856314263,0.24690053927836772,0.6972813698782454,0.002946572524601101,0.05287151831878579,-0.27188427325234166,-0.2628521247119269
WF2,8,1.2,OUTWARD,24692,16821,0.6812327879475134,2.473684210526316,0.9375,3.0,0.2421972534332085,0.7153558052434457,0.004518161821532608,0.03792877950181321,-0.29446926501413656,-0.27972279469348943
WF3,8,1.2,OUTWARD,23810,16636,0.6986980260394792,2.5,0.9615384615384615,2.934244984160507,0.24765568646309208,0.6946982447703774,0.004688627073815821,0.052957441692714595,-0.26442987472079793,-0.24561801246599446
WF1,8,0.2,INWARD,25383,23094,0.9098215340976243,3.1578947368421053,0.5263157894736842,6.0,0.130683294362172,0.8126353165324327,0.004070321295574608,0.052611067809820736,-0.4510906205425688,-0.43457742782726066
WF2,8,0.2,INWARD,24692,22587,0.9147497165073708,3.3333333333333335,0.5113636363636364,6.5,0.1279497055828574,0.8156904414043477,0.002390755744454775,0.0539690972683402,-0.4091577776736608,-0.4008135030175785
WF3,8,0.2,INWARD,23810,22252,0.9345653086938261,3.333333333333333,0.4928190936634641,7.0,0.12142728743483731,0.8153424411288873,0.0029210857451015637,0.06030918569117383,-0.38515945854620764,-0.3753900819244007
WF1,8,0.4,INWARD,25383,23323,0.918843320332506,3.1578947368421053,0.5523255813953488,5.73333740234375,0.13192985464991638,0.8076148008403722,0.004116108562363332,0.05633923594734811,-0.4487689223522457,-0.4332899994738158
WF2,8,0.4,INWARD,24692,22734,0.9207030617203953,3.333333333333333,0.5357142857142857,6.0,0.12962962962962962,0.8104601038092725,0.0024192838919679773,0.057490982669129935,-0.4082688515666893,-0.39952728796766723
WF3,8,0.4,INWARD,23810,22389,0.9403191936161277,3.3125,0.5208333333333334,6.357142857142857,0.12497208450578409,0.8119165661708875,0.0028138818169636875,0.060297467506364735,-0.38865371342160354,-0.3791105951573333
WF1,8,0.8,INWARD,25383,22719,0.8950478666824252,3.148148148148148,0.7142857142857143,4.5,0.15608081341608346,0.7705884942118931,0.0033892336810599057,0.0699414586909635,-0.40481329031510355,-0.394257124569452
WF2,8,0.8,INWARD,24692,22116,0.8956747124574761,3.3333333333333335,0.7142857142857143,4.7,0.1519262072707542,0.7696690179055887,0.003029480918791825,0.07537529390486526,-0.399364492180461,-0.3898260216936016
WF3,8,0.8,INWARD,23810,21615,0.9078118437631247,3.3143286029443804,0.7065217391304348,5.0,0.14855424473745085,0.770529724728198,0.002729585935692806,0.07818644459865834,-0.3741994037010668,-0.36560672924435783
WF1,8,1.2,INWARD,25383,19438,0.7657881259110428,3.088235294117647,1.0,3.3333333333333335,0.2084062146311349,0.6949274616730117,0.0021607161230579276,0.09450560757279555,-0.3046527747805365,-0.29872747042014974
WF2,8,1.2,INWARD,24692,19398,0.7855985744370646,3.3333333333333335,0.9782496923485224,3.5914874557166794,0.19960820703165275,0.7052273430250541,0.003041550675327353,0.09212289926796577,-0.30280647026243684,-0.2938008226115714
WF3,8,1.2,INWARD,23810,18385,0.7721545569088618,3.2978723404255317,0.9836065573770493,3.609842212582056,0.19086211585531684,0.7078596682077781,0.003154745716616807,0.09812347022028828,-0.3204688670725653,-0.3090760392184379
WF1,13,0.2,OUTWARD,25383,22525,0.8874049560729622,2.7868852459016393,0.5172413793103449,5.8190899001109875,0.13984461709211987,0.8155382907880133,0.003462819089900111,0.0411542730299667,-0.42586580712211064,1.0115657547954322
WF2,13,0.2,OUTWARD,24692,21545,0.8725498137048436,2.72,0.4838709677419355,6.0,0.14755163611046646,0.8192155952657229,0.004038059874680901,0.029194708749129727,-0.3379228588549837,0.4106279515873002
WF3,13,0.2,OUTWARD,23810,21833,0.916967660646787,2.875,0.45454545454545453,6.333248563145313,0.14065863600971007,0.8149132047817524,0.005038244858700133,0.0393899143498374,-0.405145293314279,-0.3744924500022739
WF1,13,0.4,OUTWARD,25383,22875,0.9011937123271481,2.8,0.5405405405405406,5.333333333333333,0.14098360655737704,0.8134207650273224,0.0034972677595628415,0.0420983606557377,-0.43301875684947355,0.9842627831208716
WF2,13,0.4,OUTWARD,24692,21706,0.8790701441762514,2.7219126648036074,0.5263157894736842,5.333333333333333,0.1514788537731503,0.8143370496636875,0.003455265825117479,0.03072883073804478,-0.3526388669017517,0.38951610086250543
WF3,13,0.4,OUTWARD,23810,21975,0.9229315413691727,2.878787878787879,0.4959412876681978,5.87510490577554,0.14543799772468716,0.806052332195677,0.005096700796359499,0.043412969283276454,-0.43513403880644314,-0.40885256926876057
WF1,13,0.8,OUTWARD,25383,22681,0.8935508017176851,2.8421052631578947,0.7142857142857143,4.222222222222222,0.15894360918830738,0.7849301177196772,0.004144438075922578,0.05198183501609276,-0.4142132659814813,1.030802955022185
WF2,13,0.8,OUTWARD,24692,21348,0.8645715211404503,2.7586206896551726,0.7142857142857142,4.176470588235294,0.17434888514146524,0.7893011054899757,0.002482668165636125,0.03386734120292299,-0.3616204980265926,0.3901092462997179
WF3,13,0.8,OUTWARD,23810,21555,0.9052918941621168,2.8583072916666667,0.6914893617021277,4.416666666666667,0.16696822083043378,0.7782417072604964,0.003943400603108328,0.050846671305961495,-0.4048641827167039,-0.3893612326714891
WF1,13,1.2,OUTWARD,25383,20445,0.8054603474766576,2.857142857142857,0.9375,3.3333333333333335,0.19667400342382,0.7302029836145757,0.0031303497187576425,0.06999266324284666,-0.3675829971884997,-0.35256644001344056
WF2,13,1.2,OUTWARD,24692,19137,0.7750283492629192,2.7777777777777777,0.9210642552542792,3.3566011823013078,0.20400271724930763,0.7531483513612374,0.002194701363850133,0.04065423002560485,-0.3442852174246558,-0.33793430550644044
WF3,13,1.2,OUTWARD,23810,19303,0.8107097858042839,2.8846153846153846,0.9142857142857143,3.4999348958333334,0.20276640936641974,0.7346008392477853,0.0041962389265917215,0.058436512459203234,-0.3755029780688257,-0.3570395912122238
WF1,13,0.2,INWARD,25383,23013,0.9066304219359413,3.3333333333333335,0.5045871559633027,6.75,0.11928040672663277,0.826272107069917,0.002737583105201408,0.05170990309824881,-0.4825778621300954,-0.4743727529470373
WF2,13,0.2,INWARD,24692,22577,0.914344727037097,3.4782608695652177,0.4804473954296965,7.142857142857143,0.12667759223989014,0.823891571067901,0.0025246932719138948,0.04690614342029499,-0.44826125498045,-0.4389176562340706
WF3,13,0.2,INWARD,23810,21988,0.923477530449391,3.4688306844219423,0.46296296296296297,7.636076124951451,0.11792796070583955,0.8280880480261961,0.003047116609059487,0.050936874658904854,-0.38707076107845917,-0.37539645131078075
WF1,13,0.4,INWARD,25383,23264,0.9165189299925147,3.333333333333333,0.5357142857142857,6.25,0.1203146492434663,0.8228163686382394,0.0027080467675378267,0.054160935350756535,-0.5138763831410715,-0.5049906579359599
WF2,13,0.4,INWARD,24692,22845,0.9251984448404341,3.4782608695652177,0.5172413793103449,6.588235294117647,0.133026920551543,0.8123878310352375,0.0023637557452396585,0.05222149266797987,-0.40400560080536796,0.313743025942131
WF3,13,0.4,INWARD,23810,22275,0.9355312893742125,3.4375,0.49548286347415366,7.0,0.12193041526374859,0.8200673400673401,0.0028282828282828283,0.055173961840628505,-0.3902195784684302,-0.38034779063575797
WF1,13,0.8,INWARD,25383,23489,0.9253831304416341,3.3333333333333335,0.6976744186046512,5.0,0.14002298948443953,0.7883264506790413,0.002256375324620035,0.06939418451189919,-0.4709519665093176,-0.46495102913044517
WF2,13,0.8,INWARD,24692,22788,0.9228900048598736,3.4782608695652177,0.7,5.0,0.1470510795155345,0.7805423907319642,0.0023257855011409516,0.07008074425136036,-0.3892652882028278,-0.38097780691169425
WF3,13,0.8,INWARD,23810,22275,0.9355312893742125,3.4375,0.6666666666666666,5.435483870967742,0.1440179573512907,0.78334455667789,0.0027833894500561168,0.06985409652076319,-0.3765327824726419,-0.3630685343250969
WF1,13,1.2,INWARD,25383,21761,0.8573060709923965,3.3333333333333335,0.9459459459459459,3.8,0.1762327098938468,0.7307109048297413,0.0018841045907816737,0.09117228068563026,-0.3938623815006946,-0.3872852122613307
