variant,wf,action,structure_scale,base_h,later_h,waiting_distance,matched_n,median_delta_RR,mean_delta_target_first,median_delta_E_R_lower,median_delta_E_R_upper,median_delta_target_distance_atr,median_delta_risk_distance_atr,share_delta_RR_positive,share_delta_target_first_positive,share_delta_E_R_lower_positive
first_available,WF3,INWARD,1.2,2,3,1,6568,0.14425179631365204,-0.02710109622411693,0.0,0.0,0.0,-0.10752688172043023,0.5336479902557856,0.013550548112058466,0.11464677222898904
first_available,WF1,OUTWARD,0.2,2,5,3,20101,0.75,-0.04044574896771305,0.0,0.0,0.2272727272727273,0.0,0.5647977712551614,0.09696035023133177,0.14327645390776578
first_available,WF1,OUTWARD,0.2,3,5,2,2257,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.4771821001329198,0.09304386353566682,0.11741249446167479
first_available,WF2,OUTWARD,0.2,2,5,3,19594,0.6607142857142856,-0.05164846381545371,0.0,0.0,0.21739130434782616,0.0,0.5625701745432276,0.08946616311115647,0.12988670001020722
first_available,WF2,OUTWARD,0.2,3,5,2,1973,-0.2923976608187135,0.02889001520527116,0.0,0.0,0.0,0.030985915492957733,0.4379118094272681,0.08160162189559048,0.094272681196148
first_available,WF3,OUTWARD,0.2,3,5,2,1878,-0.2330827067669172,0.004259850905218318,0.0,0.0,0.0,0.0,0.46006389776357826,0.07987220447284345,0.09637912673056442
first_available,WF3,OUTWARD,0.2,2,5,3,19706,0.7619047619047619,-0.0462803207145032,0.0,0.0,0.26112185686653744,0.0,0.5687100375520147,0.08499949254034304,0.13001116411245306
first_available,WF1,OUTWARD,0.4,2,5,3,18146,0.8606060606060606,-0.060288768874683124,0.0,0.0,0.24999755861759176,0.0,0.5818913259120467,0.08839413644880414,0.14080238068995923
first_available,WF1,OUTWARD,0.4,3,5,2,3505,0.0,-0.005991440798858773,0.0,0.0,0.0,0.0,0.47360912981455067,0.08131241084165478,0.11241084165477888
first_available,WF2,OUTWARD,0.4,2,5,3,17460,0.6667108320174084,-0.07193585337915234,0.0,0.0,0.24611260008542196,-0.043943332071492314,0.5757731958762886,0.08258877434135166,0.1297823596792669
first_available,WF2,OUTWARD,0.4,3,5,2,3202,0.0,0.0,0.0,0.0,0.0,0.0,0.4843847595252967,0.07183010618363522,0.09868831980012492
first_available,WF3,OUTWARD,0.4,3,5,2,2993,-0.07142857142857145,-0.01971266288005346,0.0,0.0,0.09433962264150964,0.0,0.4757768125626462,0.07450718342799867,0.09956565319077848
first_available,WF3,OUTWARD,0.4,2,5,3,17391,0.8181818181818181,-0.06526364211373699,0.0,0.0,0.27509271967993465,-2.7493222920504934e-05,0.5780001150020125,0.07871887758035766,0.13081478925881204
first_available,WF1,OUTWARD,0.8,2,5,3,11956,0.9444444444444446,-0.10622281699565073,0.0,0.0,0.3225806451612905,-0.1785714285714286,0.6284710605553697,0.06565741050518568,0.14687186349949816
first_available,WF1,OUTWARD,0.8,3,5,2,4080,0.41666666666666663,-0.058333333333333334,0.0,0.0,0.1095973987660428,-0.06603542694624387,0.5517156862745098,0.05612745098039216,0.12941176470588237
first_available,WF2,OUTWARD,0.8,3,5,2,3787,0.5,-0.08740427779244785,0.0,0.0,0.136986301369863,-0.1181102362204724,0.5709004489041457,0.031423290203327174,0.09770266701874834
first_available,WF2,OUTWARD,0.8,2,5,3,11022,0.8333333333333334,-0.1301034295046271,0.0,0.0,0.298502363969237,-0.21739130434782616,0.624296860823807,0.061513336962438755,0.13572854291417166
first_available,WF3,OUTWARD,0.8,2,5,3,11117,1.0833333333333333,-0.11100116938022848,0.0,0.0,0.35834272489076757,-0.22727272727272724,0.6534136907439058,0.056310155617522714,0.13942610416479265
first_available,WF3,OUTWARD,0.8,3,5,2,3724,0.42222222222222217,-0.09344790547798067,0.0,0.0,0.12915129151291505,-0.06903313568663183,0.549140708915145,0.03383458646616541,0.10311493018259936
first_available,WF1,OUTWARD,1.2,2,5,3,6692,1.0,-0.14360430364614465,0.0,0.0,0.384615384615385,-0.3220058357651864,0.6669157202630006,0.0372086072922893,0.1531679617453676
