reason,wf,h,scale,action,n
OK,WF1,2,0.4,INWARD,20604
GEOMETRY_INVALID,WF1,2,0.4,INWARD,1338
STRUCTURE_UNAVAILABLE,WF1,2,0.4,INWARD,3418
NO_TARGET,WF1,2,0.4,INWARD,23
OK,WF2,2,0.4,INWARD,19881
STRUCTURE_UNAVAILABLE,WF2,2,0.4,INWARD,3626
GEOMETRY_INVALID,WF2,2,0.4,INWARD,1119
NO_TARGET,WF2,2,0.4,INWARD,66
OK,WF3,2,0.4,INWARD,19549
STRUCTURE_UNAVAILABLE,WF3,2,0.4,INWARD,3317
GEOMETRY_INVALID,WF3,2,0.4,INWARD,938
OK,WF1,2,0.8,INWARD,14177
STRUCTURE_UNAVAILABLE,WF1,2,0.8,INWARD,10737
GEOMETRY_INVALID,WF1,2,0.8,INWARD,446
NO_TARGET,WF1,2,0.8,INWARD,23
OK,WF2,2,0.8,INWARD,13420
STRUCTURE_UNAVAILABLE,WF2,2,0.8,INWARD,10832
GEOMETRY_INVALID,WF2,2,0.8,INWARD,374
NO_TARGET,WF2,2,0.8,INWARD,66
OK,WF3,2,0.8,INWARD,12843
STRUCTURE_UNAVAILABLE,WF3,2,0.8,INWARD,10689
STRUCTURE_UNAVAILABLE,WF1,2,1.2,INWARD,17606
OK,WF1,2,1.2,INWARD,7662
NO_TARGET,WF1,2,1.2,INWARD,23
STRUCTURE_UNAVAILABLE,WF2,2,1.2,INWARD,17153
OK,WF2,2,1.2,INWARD,7417
NO_TARGET,WF2,2,1.2,INWARD,66
STRUCTURE_UNAVAILABLE,WF3,2,1.2,INWARD,17082
OK,WF3,2,1.2,INWARD,6677
OK,WF1,3,0.2,OUTWARD,22648
GEOMETRY_INVALID,WF1,3,0.2,OUTWARD,2113
NO_TARGET,WF1,3,0.2,OUTWARD,506
STRUCTURE_UNAVAILABLE,WF1,3,0.2,OUTWARD,116
GEOMETRY_INVALID,WF2,3,0.2,OUTWARD,1677
OK,WF2,3,0.2,OUTWARD,21718
NO_TARGET,WF2,3,0.2,OUTWARD,1096
STRUCTURE_UNAVAILABLE,WF2,3,0.2,OUTWARD,201
OK,WF3,3,0.2,OUTWARD,21822
GEOMETRY_INVALID,WF3,3,0.2,OUTWARD,1569
STRUCTURE_UNAVAILABLE,WF3,3,0.2,OUTWARD,150
OK,WF1,3,0.4,OUTWARD,21989
STRUCTURE_UNAVAILABLE,WF1,3,0.4,OUTWARD,1104
NO_TARGET,WF1,3,0.4,OUTWARD,506
GEOMETRY_INVALID,WF1,3,0.4,OUTWARD,1784
GEOMETRY_INVALID,WF2,3,0.4,OUTWARD,1419
OK,WF2,3,0.4,OUTWARD,20856
NO_TARGET,WF2,3,0.4,OUTWARD,1096
STRUCTURE_UNAVAILABLE,WF2,3,0.4,OUTWARD,1321
OK,WF3,3,0.4,OUTWARD,20606
GEOMETRY_INVALID,WF3,3,0.4,OUTWARD,1386
STRUCTURE_UNAVAILABLE,WF3,3,0.4,OUTWARD,1549
OK,WF1,3,0.8,OUTWARD,16442
STRUCTURE_UNAVAILABLE,WF1,3,0.8,OUTWARD,7550
NO_TARGET,WF1,3,0.8,OUTWARD,506
GEOMETRY_INVALID,WF1,3,0.8,OUTWARD,885
STRUCTURE_UNAVAILABLE,WF2,3,0.8,OUTWARD,7747
OK,WF2,3,0.8,OUTWARD,15220
NO_TARGET,WF2,3,0.8,OUTWARD,1096
GEOMETRY_INVALID,WF2,3,0.8,OUTWARD,629
STRUCTURE_UNAVAILABLE,WF3,3,0.8,OUTWARD,7883
OK,WF3,3,0.8,OUTWARD,15024
GEOMETRY_INVALID,WF3,3,0.8,OUTWARD,634
OK,WF1,3,1.2,OUTWARD,10334
STRUCTURE_UNAVAILABLE,WF1,3,1.2,OUTWARD,14288
NO_TARGET,WF1,3,1.2,OUTWARD,506
GEOMETRY_INVALID,WF1,3,1.2,OUTWARD,255
STRUCTURE_UNAVAILABLE,WF2,3,1.2,OUTWARD,13483
OK,WF2,3,1.2,OUTWARD,9911
NO_TARGET,WF2,3,1.2,OUTWARD,1096
GEOMETRY_INVALID,WF2,3,1.2,OUTWARD,202
STRUCTURE_UNAVAILABLE,WF3,3,1.2,OUTWARD,14072
OK,WF3,3,1.2,OUTWARD,9306
OK,WF1,3,0.2,INWARD,23423
GEOMETRY_INVALID,WF1,3,0.2,INWARD,1813
NO_TARGET,WF1,3,0.2,INWARD,24
STRUCTURE_UNAVAILABLE,WF1,3,0.2,INWARD,123
OK,WF2,3,0.2,INWARD,22844
GEOMETRY_INVALID,WF2,3,0.2,INWARD,1534
STRUCTURE_UNAVAILABLE,WF2,3,0.2,INWARD,248
NO_TARGET,WF2,3,0.2,INWARD,66
OK,WF3,3,0.2,INWARD,22233
GEOMETRY_INVALID,WF3,3,0.2,INWARD,1474
STRUCTURE_UNAVAILABLE,WF3,3,0.2,INWARD,97
OK,WF1,3,0.4,INWARD,23040
GEOMETRY_INVALID,WF1,3,0.4,INWARD,1521
STRUCTURE_UNAVAILABLE,WF1,3,0.4,INWARD,798
NO_TARGET,WF1,3,0.4,INWARD,24
OK,WF2,3,0.4,INWARD,22334
STRUCTURE_UNAVAILABLE,WF2,3,0.4,INWARD,986
GEOMETRY_INVALID,WF2,3,0.4,INWARD,1306
NO_TARGET,WF2,3,0.4,INWARD,66
OK,WF3,3,0.4,INWARD,21739
GEOMETRY_INVALID,WF3,3,0.4,INWARD,1291
STRUCTURE_UNAVAILABLE,WF3,3,0.4,INWARD,774
OK,WF1,3,0.8,INWARD,18248
STRUCTURE_UNAVAILABLE,WF1,3,0.8,INWARD,6299
GEOMETRY_INVALID,WF1,3,0.8,INWARD,812
NO_TARGET,WF1,3,0.8,INWARD,24
OK,WF2,3,0.8,INWARD,17534
STRUCTURE_UNAVAILABLE,WF2,3,0.8,INWARD,6515
NO_TARGET,WF2,3,0.8,INWARD,66
OK,WF3,3,0.8,INWARD,17010
STRUCTURE_UNAVAILABLE,WF3,3,0.8,INWARD,6236
GEOMETRY_INVALID,WF3,3,0.8,INWARD,558
STRUCTURE_UNAVAILABLE,WF1,3,1.2,INWARD,13333
OK,WF1,3,1.2,INWARD,11806
GEOMETRY_INVALID,WF1,3,1.2,INWARD,220
NO_TARGET,WF1,3,1.2,INWARD,24
STRUCTURE_UNAVAILABLE,WF2,3,1.2,INWARD,12957
OK,WF2,3,1.2,INWARD,11497
GEOMETRY_INVALID,WF2,3,1.2,INWARD,172
NO_TARGET,WF2,3,1.2,INWARD,66
STRUCTURE_UNAVAILABLE,WF3,3,1.2,INWARD,13091
OK,WF3,3,1.2,INWARD,10552
OK,WF1,5,0.2,OUTWARD,22708
GEOMETRY_INVALID,WF1,5,0.2,OUTWARD,2128
NO_TARGET,WF1,5,0.2,OUTWARD,518
OK,WF2,5,0.2,OUTWARD,21911
GEOMETRY_INVALID,WF2,5,0.2,OUTWARD,1545
NO_TARGET,WF2,5,0.2,OUTWARD,1142
OK,WF3,5,0.2,OUTWARD,21899
GEOMETRY_INVALID,WF3,5,0.2,OUTWARD,1584
OK,WF1,5,0.4,OUTWARD,22763
GEOMETRY_INVALID,WF1,5,0.4,OUTWARD,1823
NO_TARGET,WF1,5,0.4,OUTWARD,518
STRUCTURE_UNAVAILABLE,WF1,5,0.4,OUTWARD,279
OK,WF2,5,0.4,OUTWARD,21873
GEOMETRY_INVALID,WF2,5,0.4,OUTWARD,1319
NO_TARGET,WF2,5,0.4,OUTWARD,1142
STRUCTURE_UNAVAILABLE,WF2,5,0.4,OUTWARD,358
OK,WF3,5,0.4,OUTWARD,21773
STRUCTURE_UNAVAILABLE,WF3,5,0.4,OUTWARD,380
GEOMETRY_INVALID,WF3,5,0.4,OUTWARD,1355
OK,WF1,5,0.8,OUTWARD,19692
STRUCTURE_UNAVAILABLE,WF1,5,0.8,OUTWARD,4004
NO_TARGET,WF1,5,0.8,OUTWARD,518
GEOMETRY_INVALID,WF1,5,0.8,OUTWARD,1169
STRUCTURE_UNAVAILABLE,WF2,5,0.8,OUTWARD,4190
OK,WF2,5,0.8,OUTWARD,18379
NO_TARGET,WF2,5,0.8,OUTWARD,1142
GEOMETRY_INVALID,WF2,5,0.8,OUTWARD,981
STRUCTURE_UNAVAILABLE,WF3,5,0.8,OUTWARD,4269
OK,WF3,5,0.8,OUTWARD,18451
GEOMETRY_INVALID,WF3,5,0.8,OUTWARD,788
OK,WF1,5,1.2,OUTWARD,14360
STRUCTURE_UNAVAILABLE,WF1,5,1.2,OUTWARD,9964
GEOMETRY_INVALID,WF1,5,1.2,OUTWARD,541
NO_TARGET,WF1,5,1.2,OUTWARD,518
STRUCTURE_UNAVAILABLE,WF2,5,1.2,OUTWARD,9452
OK,WF2,5,1.2,OUTWARD,13699
NO_TARGET,WF2,5,1.2,OUTWARD,1142
GEOMETRY_INVALID,WF2,5,1.2,OUTWARD,399
STRUCTURE_UNAVAILABLE,WF3,5,1.2,OUTWARD,10083
OK,WF3,5,1.2,OUTWARD,12955
GEOMETRY_INVALID,WF3,5,1.2,OUTWARD,470
OK,WF1,5,0.2,INWARD,23137
GEOMETRY_INVALID,WF1,5,0.2,INWARD,2166
NO_TARGET,WF1,5,0.2,INWARD,30
OK,WF2,5,0.2,INWARD,22675
GEOMETRY_INVALID,WF2,5,0.2,INWARD,1811
NO_TARGET,WF2,5,0.2,INWARD,68
OK,WF3,5,0.2,INWARD,22325
GEOMETRY_INVALID,WF3,5,0.2,INWARD,1468
OK,WF1,5,0.4,INWARD,23245
GEOMETRY_INVALID,WF1,5,0.4,INWARD,1935
NO_TARGET,WF1,5,0.4,INWARD,30
STRUCTURE_UNAVAILABLE,WF1,5,0.4,INWARD,173
OK,WF2,5,0.4,INWARD,22826
GEOMETRY_INVALID,WF2,5,0.4,INWARD,1532
NO_TARGET,WF2,5,0.4,INWARD,68
STRUCTURE_UNAVAILABLE,WF2,5,0.4,INWARD,266
OK,WF3,5,0.4,INWARD,22388
GEOMETRY_INVALID,WF3,5,0.4,INWARD,1263
STRUCTURE_UNAVAILABLE,WF3,5,0.4,INWARD,146
OK,WF1,5,0.8,INWARD,21457
STRUCTURE_UNAVAILABLE,WF1,5,0.8,INWARD,2718
GEOMETRY_INVALID,WF1,5,0.8,INWARD,1178
NO_TARGET,WF1,5,0.8,INWARD,30
OK,WF2,5,0.8,INWARD,20838
STRUCTURE_UNAVAILABLE,WF2,5,0.8,INWARD,2799
GEOMETRY_INVALID,WF2,5,0.8,INWARD,987
NO_TARGET,WF2,5,0.8,INWARD,68
OK,WF3,5,0.8,INWARD,20274
STRUCTURE_UNAVAILABLE,WF3,5,0.8,INWARD,2718
GEOMETRY_INVALID,WF3,5,0.8,INWARD,805
OK,WF1,5,1.2,INWARD,16341
STRUCTURE_UNAVAILABLE,WF1,5,1.2,INWARD,8514
GEOMETRY_INVALID,WF1,5,1.2,INWARD,498
NO_TARGET,WF1,5,1.2,INWARD,30
OK,WF2,5,1.2,INWARD,16053
STRUCTURE_UNAVAILABLE,WF2,5,1.2,INWARD,8060
NO_TARGET,WF2,5,1.2,INWARD,68
STRUCTURE_UNAVAILABLE,WF3,5,1.2,INWARD,8252
OK,WF3,5,1.2,INWARD,15217
GEOMETRY_INVALID,WF3,5,1.2,INWARD,328
OK,WF1,8,0.2,OUTWARD,22588
GEOMETRY_INVALID,WF1,8,0.2,OUTWARD,2245
NO_TARGET,WF1,8,0.2,OUTWARD,539
OK,WF2,8,0.2,OUTWARD,21860
NO_TARGET,WF2,8,0.2,OUTWARD,1213
GEOMETRY_INVALID,WF2,8,0.2,OUTWARD,1556
OK,WF3,8,0.2,OUTWARD,21831
GEOMETRY_INVALID,WF3,8,0.2,OUTWARD,1641
NO_TARGET,WF3,8,0.2,OUTWARD,313
OK,WF1,8,0.4,OUTWARD,22722
GEOMETRY_INVALID,WF1,8,0.4,OUTWARD,2035
NO_TARGET,WF1,8,0.4,OUTWARD,539
STRUCTURE_UNAVAILABLE,WF1,8,0.4,OUTWARD,87
OK,WF2,8,0.4,OUTWARD,21893
NO_TARGET,WF2,8,0.4,OUTWARD,1213
STRUCTURE_UNAVAILABLE,WF2,8,0.4,OUTWARD,120
OK,WF3,8,0.4,OUTWARD,22043
GEOMETRY_INVALID,WF3,8,0.4,OUTWARD,1359
STRUCTURE_UNAVAILABLE,WF3,8,0.4,OUTWARD,95
NO_TARGET,WF3,8,0.4,OUTWARD,313
OK,WF1,8,0.8,OUTWARD,21626
STRUCTURE_UNAVAILABLE,WF1,8,0.8,OUTWARD,1885
NO_TARGET,WF1,8,0.8,OUTWARD,539
GEOMETRY_INVALID,WF1,8,0.8,OUTWARD,1333
OK,WF2,8,0.8,OUTWARD,20381
GEOMETRY_INVALID,WF2,8,0.8,OUTWARD,1056
STRUCTURE_UNAVAILABLE,WF2,8,0.8,OUTWARD,2042
NO_TARGET,WF2,8,0.8,OUTWARD,1213
STRUCTURE_UNAVAILABLE,WF3,8,0.8,OUTWARD,2170
OK,WF3,8,0.8,OUTWARD,20451
GEOMETRY_INVALID,WF3,8,0.8,OUTWARD,876
NO_TARGET,WF3,8,0.8,OUTWARD,313
OK,WF1,8,1.2,OUTWARD,17987
STRUCTURE_UNAVAILABLE,WF1,8,1.2,OUTWARD,6144
NO_TARGET,WF1,8,1.2,OUTWARD,539
GEOMETRY_INVALID,WF1,8,1.2,OUTWARD,713
OK,WF2,8,1.2,OUTWARD,16821
STRUCTURE_UNAVAILABLE,WF2,8,1.2,OUTWARD,5992
NO_TARGET,WF2,8,1.2,OUTWARD,1213
GEOMETRY_INVALID,WF2,8,1.2,OUTWARD,666
STRUCTURE_UNAVAILABLE,WF3,8,1.2,OUTWARD,6345
OK,WF3,8,1.2,OUTWARD,16636
GEOMETRY_INVALID,WF3,8,1.2,OUTWARD,516
NO_TARGET,WF3,8,1.2,OUTWARD,313
OK,WF1,8,0.2,INWARD,23094
GEOMETRY_INVALID,WF1,8,0.2,INWARD,2250
NO_TARGET,WF1,8,0.2,INWARD,33
OK,WF2,8,0.2,INWARD,22587
GEOMETRY_INVALID,WF2,8,0.2,INWARD,1914
NO_TARGET,WF2,8,0.2,INWARD,76
OK,WF3,8,0.2,INWARD,22252
GEOMETRY_INVALID,WF3,8,0.2,INWARD,1538
NO_TARGET,WF3,8,0.2,INWARD,18
OK,WF1,8,0.4,INWARD,23323
GEOMETRY_INVALID,WF1,8,0.4,INWARD,1963
NO_TARGET,WF1,8,0.4,INWARD,33
OK,WF2,8,0.4,INWARD,22734
GEOMETRY_INVALID,WF2,8,0.4,INWARD,1681
NO_TARGET,WF2,8,0.4,INWARD,76
STRUCTURE_UNAVAILABLE,WF2,8,0.4,INWARD,201
OK,WF3,8,0.4,INWARD,22389
GEOMETRY_INVALID,WF3,8,0.4,INWARD,1348
NO_TARGET,WF3,8,0.4,INWARD,18
OK,WF1,8,0.8,INWARD,22719
STRUCTURE_UNAVAILABLE,WF1,8,0.8,INWARD,1173
GEOMETRY_INVALID,WF1,8,0.8,INWARD,1458
NO_TARGET,WF1,8,0.8,INWARD,33
OK,WF2,8,0.8,INWARD,22116
GEOMETRY_INVALID,WF2,8,0.8,INWARD,1188
STRUCTURE_UNAVAILABLE,WF2,8,0.8,INWARD,1312
NO_TARGET,WF2,8,0.8,INWARD,76
OK,WF3,8,0.8,INWARD,21615
STRUCTURE_UNAVAILABLE,WF3,8,0.8,INWARD,1245
GEOMETRY_INVALID,WF3,8,0.8,INWARD,932
NO_TARGET,WF3,8,0.8,INWARD,18
OK,WF1,8,1.2,INWARD,19438
STRUCTURE_UNAVAILABLE,WF1,8,1.2,INWARD,5049
GEOMETRY_INVALID,WF1,8,1.2,INWARD,863
NO_TARGET,WF1,8,1.2,INWARD,33
OK,WF2,8,1.2,INWARD,19398
STRUCTURE_UNAVAILABLE,WF2,8,1.2,INWARD,4618
NO_TARGET,WF2,8,1.2,INWARD,76
GEOMETRY_INVALID,WF2,8,1.2,INWARD,600
STRUCTURE_UNAVAILABLE,WF3,8,1.2,INWARD,4887
OK,WF3,8,1.2,INWARD,18385
GEOMETRY_INVALID,WF3,8,1.2,INWARD,520
NO_TARGET,WF3,8,1.2,INWARD,18
OK,WF1,13,0.2,OUTWARD,22525
GEOMETRY_INVALID,WF1,13,0.2,OUTWARD,2280
NO_TARGET,WF1,13,0.2,OUTWARD,567
OK,WF2,13,0.2,OUTWARD,21545
GEOMETRY_INVALID,WF2,13,0.2,OUTWARD,1743
NO_TARGET,WF2,13,0.2,OUTWARD,1341
OK,WF3,13,0.2,OUTWARD,21833
GEOMETRY_INVALID,WF3,13,0.2,OUTWARD,1602
NO_TARGET,WF3,13,0.2,OUTWARD,350
OK,WF1,13,0.4,OUTWARD,22875
GEOMETRY_INVALID,WF1,13,0.4,OUTWARD,1885
NO_TARGET,WF1,13,0.4,OUTWARD,567
OK,WF2,13,0.4,OUTWARD,21706
GEOMETRY_INVALID,WF2,13,0.4,OUTWARD,1539
NO_TARGET,WF2,13,0.4,OUTWARD,1341
STRUCTURE_UNAVAILABLE,WF2,13,0.4,OUTWARD,106
OK,WF3,13,0.4,OUTWARD,21975
GEOMETRY_INVALID,WF3,13,0.4,OUTWARD,1444
NO_TARGET,WF3,13,0.4,OUTWARD,350
OK,WF1,13,0.8,OUTWARD,22681
STRUCTURE_UNAVAILABLE,WF1,13,0.8,OUTWARD,890
NO_TARGET,WF1,13,0.8,OUTWARD,567
GEOMETRY_INVALID,WF1,13,0.8,OUTWARD,1245
OK,WF2,13,0.8,OUTWARD,21348
GEOMETRY_INVALID,WF2,13,0.8,OUTWARD,1023
STRUCTURE_UNAVAILABLE,WF2,13,0.8,OUTWARD,980
NO_TARGET,WF2,13,0.8,OUTWARD,1341
OK,WF3,13,0.8,OUTWARD,21555
STRUCTURE_UNAVAILABLE,WF3,13,0.8,OUTWARD,917
GEOMETRY_INVALID,WF3,13,0.8,OUTWARD,988
NO_TARGET,WF3,13,0.8,OUTWARD,350
OK,WF1,13,1.2,OUTWARD,20445
GEOMETRY_INVALID,WF1,13,1.2,OUTWARD,950
STRUCTURE_UNAVAILABLE,WF1,13,1.2,OUTWARD,3421
NO_TARGET,WF1,13,1.2,OUTWARD,567
OK,WF2,13,1.2,OUTWARD,19137
STRUCTURE_UNAVAILABLE,WF2,13,1.2,OUTWARD,3492
GEOMETRY_INVALID,WF2,13,1.2,OUTWARD,722
NO_TARGET,WF2,13,1.2,OUTWARD,1341
STRUCTURE_UNAVAILABLE,WF3,13,1.2,OUTWARD,3515
OK,WF3,13,1.2,OUTWARD,19303
GEOMETRY_INVALID,WF3,13,1.2,OUTWARD,642
NO_TARGET,WF3,13,1.2,OUTWARD,350
OK,WF1,13,0.2,INWARD,23013
GEOMETRY_INVALID,WF1,13,0.2,INWARD,2323
NO_TARGET,WF1,13,0.2,INWARD,42
OK,WF2,13,0.2,INWARD,22577
GEOMETRY_INVALID,WF2,13,0.2,INWARD,1953
NO_TARGET,WF2,13,0.2,INWARD,101
OK,WF3,13,0.2,INWARD,21988
GEOMETRY_INVALID,WF3,13,0.2,INWARD,1791
NO_TARGET,WF3,13,0.2,INWARD,31
OK,WF1,13,0.4,INWARD,23264
GEOMETRY_INVALID,WF1,13,0.4,INWARD,2036
NO_TARGET,WF1,13,0.4,INWARD,42
OK,WF2,13,0.4,INWARD,22845
GEOMETRY_INVALID,WF2,13,0.4,INWARD,1560
NO_TARGET,WF2,13,0.4,INWARD,101
STRUCTURE_UNAVAILABLE,WF2,13,0.4,INWARD,186
OK,WF3,13,0.4,INWARD,22275
GEOMETRY_INVALID,WF3,13,0.4,INWARD,1477
NO_TARGET,WF3,13,0.4,INWARD,31
OK,WF1,13,0.8,INWARD,23489
GEOMETRY_INVALID,WF1,13,0.8,INWARD,1435
STRUCTURE_UNAVAILABLE,WF1,13,0.8,INWARD,417
NO_TARGET,WF1,13,0.8,INWARD,42
OK,WF2,13,0.8,INWARD,22788
STRUCTURE_UNAVAILABLE,WF2,13,0.8,INWARD,676
GEOMETRY_INVALID,WF2,13,0.8,INWARD,1127
NO_TARGET,WF2,13,0.8,INWARD,101
OK,WF3,13,0.8,INWARD,22275
STRUCTURE_UNAVAILABLE,WF3,13,0.8,INWARD,507
GEOMETRY_INVALID,WF3,13,0.8,INWARD,997
NO_TARGET,WF3,13,0.8,INWARD,31
OK,WF1,13,1.2,INWARD,21761
STRUCTURE_UNAVAILABLE,WF1,13,1.2,INWARD,2544
GEOMETRY_INVALID,WF1,13,1.2,INWARD,1036
NO_TARGET,WF1,13,1.2,INWARD,42
OK,WF2,13,1.2,INWARD,21380
STRUCTURE_UNAVAILABLE,WF2,13,1.2,INWARD,2406
GEOMETRY_INVALID,WF2,13,1.2,INWARD,805
NO_TARGET,WF2,13,1.2,INWARD,101
STRUCTURE_UNAVAILABLE,WF3,13,1.2,INWARD,2492
OK,WF3,13,1.2,INWARD,20674
GEOMETRY_INVALID,WF3,13,1.2,INWARD,613
NO_TARGET,WF3,13,1.2,INWARD,31
GEOMETRY_INVALID,WF2,2,1.2,OUTWARD,80
GEOMETRY_INVALID,WF3,2,0.8,INWARD,272
GEOMETRY_INVALID,WF1,2,1.2,INWARD,92
GEOMETRY_INVALID,WF2,2,1.2,INWARD,56
GEOMETRY_INVALID,WF3,2,1.2,INWARD,45
GEOMETRY_INVALID,WF2,3,0.8,INWARD,577
GEOMETRY_INVALID,WF3,3,1.2,INWARD,161
STRUCTURE_UNAVAILABLE,WF1,5,0.2,OUTWARD,29
GEOMETRY_INVALID,WF2,5,1.2,INWARD,511
GEOMETRY_INVALID,WF2,8,0.4,OUTWARD,1466
GEOMETRY_INVALID,WF3,3,1.2,OUTWARD,163
NO_TARGET,WF3,5,0.2,OUTWARD,302
NO_TARGET,WF3,5,0.4,OUTWARD,302
NO_TARGET,WF3,5,0.8,OUTWARD,302
NO_TARGET,WF3,5,1.2,OUTWARD,302
NO_TARGET,WF3,5,0.2,INWARD,13
