variant,group_dim,group_value,metric,n,share,median
h2_cohort,wf,WF1,matched_n,469475,,469475.0
h2_cohort,wf,WF2,share_positive__delta_RR,454456,0.5912761631489077,0.825
h2_cohort,wf,WF2,share_positive__delta_target_first,454456,0.06470153326174591,0.0
h2_cohort,wf,WF2,share_positive__delta_E_R_lower,454456,0.11451273610646576,0.0
h2_cohort,wf,WF2,matched_n,454456,,454456.0
h2_cohort,wf,WF3,share_positive__delta_RR,447660,0.5893311888486799,0.849143695417279
h2_cohort,wf,WF3,share_positive__delta_target_first,447660,0.06122056918196846,0.0
h2_cohort,wf,WF3,share_positive__delta_E_R_lower,447660,0.11056158691864361,0.0
h2_cohort,wf,WF3,matched_n,447660,,447660.0
h2_cohort,action,INWARD,share_positive__delta_RR,709091,0.5732014649741711,0.7222222222222222
h2_cohort,action,INWARD,share_positive__delta_target_first,709091,0.05396063410761101,0.0
h2_cohort,action,INWARD,share_positive__delta_E_R_lower,709091,0.09599755179518567,0.0
h2_cohort,action,INWARD,matched_n,709091,,709091.0
h2_cohort,action,OUTWARD,share_positive__delta_RR,662500,0.6097358490566037,0.9737905601695034
h2_cohort,action,OUTWARD,share_positive__delta_target_first,662500,0.07381584905660378,0.0
h2_cohort,action,OUTWARD,share_positive__delta_E_R_lower,662500,0.1318279245283019,0.0
h2_cohort,action,OUTWARD,matched_n,662500,,662500.0
h2_cohort,structure_scale,0.2,share_positive__delta_RR,483533,0.5700355508310705,0.8333333333333333
h2_cohort,structure_scale,0.2,share_positive__delta_target_first,483533,0.07196406450025128,0.0
h2_cohort,structure_scale,0.2,share_positive__delta_E_R_lower,483533,0.10848277159987012,0.0
h2_cohort,structure_scale,0.2,matched_n,483533,,483533.0
h2_cohort,structure_scale,0.4,share_positive__delta_RR,435884,0.5772522047150159,0.8333333333333333
h2_cohort,structure_scale,0.4,share_positive__delta_target_first,435884,0.06775885327288912,0.0
h2_cohort,structure_scale,0.4,share_positive__delta_E_R_lower,435884,0.10997880169953474,0.0
h2_cohort,structure_scale,0.4,matched_n,435884,,435884.0
h2_cohort,structure_scale,0.8,share_positive__delta_RR,290488,0.6154505521742722,0.8737931034482758
h2_cohort,structure_scale,0.8,share_positive__delta_target_first,290488,0.054239762055575444,0.0
h2_cohort,structure_scale,0.8,share_positive__delta_E_R_lower,290488,0.11666230618820743,0.0
h2_cohort,structure_scale,0.8,matched_n,290488,,290488.0
h2_cohort,structure_scale,1.2,share_positive__delta_RR,161686,0.6455413579406999,0.8250000000000002
h2_cohort,structure_scale,1.2,share_positive__delta_target_first,161686,0.04377620820602897,0.0
h2_cohort,structure_scale,1.2,share_positive__delta_E_R_lower,161686,0.13065447843350692,0.0
h2_cohort,structure_scale,1.2,matched_n,161686,,161686.0
h2_cohort,waiting_distance,1,share_positive__delta_RR,346012,0.5325653445545241,0.22393434951204771
h2_cohort,waiting_distance,1,share_positive__delta_target_first,346012,0.032998855531022046,0.0
h2_cohort,waiting_distance,1,share_positive__delta_E_R_lower,346012,0.1107447140561599,0.0
h2_cohort,waiting_distance,1,matched_n,346012,,346012.0
h2_cohort,waiting_distance,3,share_positive__delta_RR,343159,0.5799439909779431,0.75
h2_cohort,waiting_distance,3,share_positive__delta_target_first,343159,0.06296206714671625,0.0
h2_cohort,waiting_distance,3,share_positive__delta_E_R_lower,343159,0.1153605180106015,0.0
h2_cohort,waiting_distance,3,matched_n,343159,,343159.0
h2_cohort,waiting_distance,6,share_positive__delta_RR,341700,0.6108457711442786,1.1666666666666665
h2_cohort,waiting_distance,6,share_positive__delta_target_first,341700,0.0769212759730758,0.0
h2_cohort,waiting_distance,6,share_positive__delta_E_R_lower,341700,0.11601990049751244,0.0
h2_cohort,waiting_distance,6,matched_n,341700,,341700.0
h2_cohort,waiting_distance,11,share_positive__delta_RR,340720,0.6409632542850434,1.6228402756021114
h2_cohort,waiting_distance,11,share_positive__delta_target_first,340720,0.08176215073961024,0.0
h2_cohort,waiting_distance,11,share_positive__delta_E_R_lower,340720,0.1111088283634656,0.0
h2_cohort,waiting_distance,11,matched_n,340720,,340720.0
h2_cohort,base_h_later_h,2|3,share_positive__delta_RR,346012,0.5325653445545241,0.22393434951204771
h2_cohort,base_h_later_h,2|3,share_positive__delta_target_first,346012,0.032998855531022046,0.0
h2_cohort,base_h_later_h,2|3,share_positive__delta_E_R_lower,346012,0.1107447140561599,0.0
h2_cohort,base_h_later_h,2|3,matched_n,346012,,346012.0
h2_cohort,base_h_later_h,2|5,share_positive__delta_RR,343159,0.5799439909779431,0.75
h2_cohort,base_h_later_h,2|5,share_positive__delta_target_first,343159,0.06296206714671625,0.0
h2_cohort,base_h_later_h,2|5,share_positive__delta_E_R_lower,343159,0.1153605180106015,0.0
h2_cohort,base_h_later_h,2|5,matched_n,343159,,343159.0
h2_cohort,base_h_later_h,2|8,share_positive__delta_RR,341700,0.6108457711442786,1.1666666666666665
h2_cohort,base_h_later_h,2|8,share_positive__delta_target_first,341700,0.0769212759730758,0.0
h2_cohort,base_h_later_h,2|8,share_positive__delta_E_R_lower,341700,0.11601990049751244,0.0
h2_cohort,base_h_later_h,2|8,matched_n,341700,,341700.0
h2_cohort,base_h_later_h,2|13,share_positive__delta_RR,340720,0.6409632542850434,1.6228402756021114
h2_cohort,base_h_later_h,2|13,share_positive__delta_target_first,340720,0.08176215073961024,0.0
h2_cohort,base_h_later_h,2|13,share_positive__delta_E_R_lower,340720,0.1111088283634656,0.0
h2_cohort,base_h_later_h,2|13,matched_n,340720,,340720.0
