model,scope,scope_value,candidate_n,weighted_selected_R,weighted_oracle_R,weighted_regret_R,trade_rate,follow_share_among_trades,fade_share_among_trades,positive_realized_R_rate
FULL_NO_SMC,ALL,ALL,3485,0.3366504474650054,1.5215480915085349,1.1848976440435297,0.9230489417989418,0.3855716088367541,0.6144283911632459,0.4392998866213152
FULL_NO_SMC,SYMBOL,AG,1235,0.34859252277620056,1.5184252236171056,1.1698327008409053,0.8952658486707566,0.35779141424606664,0.6422085857539334,0.4256120362255332
FULL_NO_SMC,SYMBOL,CU,1024,0.269615158836062,1.5408387059753292,1.271223547139267,0.9074074074074074,0.48387755102040814,0.5161224489795918,0.42685185185185187
FULL_NO_SMC,SYMBOL,M,623,0.44059564931514766,1.674152066733054,1.2335564174179063,0.9613715277777777,0.3440180586907449,0.655981941309255,0.4574652777777777
FULL_NO_SMC,SYMBOL,RB,603,0.3254856528849498,1.3462284115090755,1.0207427586241258,0.9699661590524534,0.3211949411251635,0.6788050588748363,0.4712351945854484
FULL_NO_SMC,SOURCE_TF,15m,993,0.3161202238397856,1.503435096011048,1.1873148721712625,0.9312553640012142,0.3797550761093856,0.6202449238906145,0.44267052112471783
FULL_NO_SMC,SOURCE_TF,1h,454,0.3121017901971599,1.4189157452375734,1.1068139550404135,0.9197409343700321,0.34065494101838845,0.6593450589816117,0.4381648869909728
FULL_NO_SMC,SOURCE_TF,5m,2038,0.3505951726310144,1.550996417175515,1.2004012445445007,0.9202530779958675,0.3975847049088484,0.6024152950911517,0.4381041710274566
FULL_NO_DSA,ALL,ALL,3485,-0.008902705333431299,1.5215480915085349,1.530450796841966,0.8812463256907701,0.5679846087868103,0.43201539121318977,0.3308442512807592
FULL_NO_DSA,SYMBOL,AG,1235,0.012680196138648151,1.5184252236171056,1.5057450274784576,0.888323108384458,0.6177858606321509,0.3822141393678492,0.35216768916155416
FULL_NO_DSA,SYMBOL,CU,1024,-0.034284531981138525,1.5408387059753292,1.5751232379564677,0.8802469135802469,0.6834221598877981,0.316577840112202,0.32153086419753085
FULL_NO_DSA,SYMBOL,M,623,-0.00271553015075063,1.674152066733054,1.6768675968838045,0.8728732638888889,0.40883098801650836,0.5911690119834916,0.3085503472222222
FULL_NO_DSA,SYMBOL,RB,603,-0.016093586000161603,1.3462284115090755,1.3623219975092373,0.8764805414551607,0.4194360176503033,0.5805639823496966,0.3244198694706309
FULL_NO_DSA,SOURCE_TF,15m,993,0.007480455940510231,1.503435096011048,1.495954640070538,0.8975963404579418,0.5750456107729027,0.42495438922709716,0.3379542723558852
FULL_NO_DSA,SOURCE_TF,1h,454,-0.01323888732516205,1.4189157452375734,1.4321546325627357,0.9252829024287587,0.5211436997718291,0.4788563002281707,0.3441027591237625
FULL_NO_DSA,SOURCE_TF,5m,2038,-0.01496451862150936,1.550996417175515,1.5659609357970248,0.8649561819578377,0.5754726255209138,0.4245273744790863,0.3250077077708267
FULL_NO_MOMENTUM,ALL,ALL,3485,0.32068722889365897,1.5215480915085349,1.200860862614876,0.923227933148568,0.3373662485928386,0.6626337514071614,0.44853867472915093
FULL_NO_MOMENTUM,SYMBOL,AG,1235,0.3040017124368527,1.5184252236171056,1.2144235111802533,0.8962167689161555,0.3359954363947518,0.6640045636052481,0.42781186094069523
FULL_NO_MOMENTUM,SYMBOL,CU,1024,0.31525654321941754,1.5408387059753292,1.2255821627559114,0.9350617283950619,0.31238447319778195,0.6876155268022182,0.4591358024691358
FULL_NO_MOMENTUM,SYMBOL,M,623,0.35953921739429945,1.674152066733054,1.3146128493387546,0.9233940972222223,0.3766996810475072,0.6233003189524929,0.44267733134920634
FULL_NO_MOMENTUM,SYMBOL,RB,603,0.32663962777224814,1.3462284115090755,1.0195887837368276,0.958665699782451,0.3448373676248109,0.655162632375189,0.47897026831036976
FULL_NO_MOMENTUM,SOURCE_TF,15m,993,0.3123966505722218,1.503435096011048,1.1910384454388263,0.9282750643924729,0.302987910583611,0.6970120894163889,0.44669200868072423
FULL_NO_MOMENTUM,SOURCE_TF,1h,454,0.37829042556015496,1.4189157452375734,1.0406253196774184,0.9275281100012684,0.2482357905214388,0.7517642094785612,0.4855537889554095
FULL_NO_MOMENTUM,SOURCE_TF,5m,2038,0.312022478645614,1.550996417175515,1.2389739385299015,0.9201671104631998,0.37116547491422724,0.6288345250857729,0.4414878531132686
FULL_NO_QUANTILE,ALL,ALL,3485,0.29385403020545886,1.5215480915085349,1.227694061303076,0.9102476484420928,0.4029165040011395,0.5970834959988607,0.4441494499034182
FULL_NO_QUANTILE,SYMBOL,AG,1235,0.312338128209695,1.5184252236171056,1.206087095407411,0.8860429447852761,0.4075207926341733,0.5924792073658267,0.4390972830850132
FULL_NO_QUANTILE,SYMBOL,CU,1024,0.2093771074242814,1.5408387059753292,1.3314615985510478,0.9014567901234568,0.4767591552767811,0.5232408447232189,0.4184691358024691
FULL_NO_QUANTILE,SYMBOL,M,623,0.3661553246278748,1.674152066733054,1.3079967421051795,0.9314236111111112,0.3452935694315005,0.6547064305684996,0.4587673611111111
FULL_NO_QUANTILE,SYMBOL,RB,603,0.32987861382382117,1.3462284115090755,1.0163497976852545,0.9547377326565143,0.32941958351794415,0.6705804164820558,0.48434856175972923
FULL_NO_QUANTILE,SOURCE_TF,15m,993,0.28901224473667825,1.503435096011048,1.21442285127437,0.9234020626625403,0.37513779093363303,0.624862209066367,0.45136524760682084
FULL_NO_QUANTILE,SOURCE_TF,1h,454,0.2966462025478946,1.4189157452375734,1.1222695426896787,0.9224408675268476,0.3227476065610504,0.6772523934389496,0.4551358954052416
FULL_NO_QUANTILE,SOURCE_TF,5m,2038,0.29532563177511634,1.550996417175515,1.255670785400399,0.9020614884079946,0.43238992857031466,0.5676100714296854,0.4387489275224666
GLOBAL_ACTION_MEAN,ALL,ALL,3485,-0.016255135184777943,1.5215480915085349,1.5378032266933128,1.0,1.0,0.0,0.4050191064079953
GLOBAL_ACTION_MEAN,SYMBOL,AG,1235,-0.10105540391706423,1.518425223617106,1.61948062753417,1.0,1.0,0.0,0.3734151329243354
GLOBAL_ACTION_MEAN,SYMBOL,CU,1024,0.004292927183986907,1.5408387059753292,1.5365457787913424,1.0,1.0,0.0,0.41703703703703704
GLOBAL_ACTION_MEAN,SYMBOL,M,623,0.15951631458667928,1.674152066733054,1.514635752146375,1.0,1.0,0.0,0.4635416666666667
GLOBAL_ACTION_MEAN,SYMBOL,RB,603,-0.04735655598260154,1.346228411509076,1.3935849674916774,1.0,1.0,0.0,0.39276649746192893
GLOBAL_ACTION_MEAN,SOURCE_TF,15m,993,0.03035199501241069,1.5034350960110479,1.4730831009986372,1.0,1.0,0.0,0.4239688215939004
GLOBAL_ACTION_MEAN,SOURCE_TF,1h,454,-0.025472746068942138,1.4189157452375738,1.4443884913065157,1.0,1.0,0.0,0.3974520603461206
GLOBAL_ACTION_MEAN,SOURCE_TF,5m,2038,-0.03416011203988822,1.550996417175515,1.5851565292154035,1.0,1.0,0.0,0.3985479302209352
