instrument,horizon,features,learner,stratum,n,auc,brier_skill,logloss_skill,calibration_slope,return_spread
I,H5,B3,logistic,TOP30,869,0.562662330199738,0.004432080617095324,0.0028731649488994426,0.13866031167660914,0.0001989671892432999
I,H5,B3,logistic,TOP20,500,0.5848545965420351,0.011993184192458095,0.008599975426972106,0.15608486282368078,0.0005353327727021728
I,H15,B0,gbr,ALL,2945,0.5053873859051423,-0.014330462327041715,-0.011414933314058073,0.01707660458276497,0.0001922357563134193
I,H15,B0,gbr,TOP50,1259,0.5146731589832194,-0.010999459173403947,-0.008356065076914554,0.06336802417638858,0.000574869331961349
I,H15,B0,gbr,TOP30,597,0.5508754638218923,0.00418011003549712,0.002681493648955424,0.1390530892681558,0.0009379846944566727
I,H15,B0,gbr,TOP20,349,0.6122647299509003,0.03004334518709073,0.02186223029759249,0.23907917224174696,0.0018688425552314948
I,H15,B0,logistic,ALL,2945,0.5073203676754955,-0.0048790057745427,-0.0037279069671911635,0.06894775798396818,0.00033610693217606363
I,H15,B0,logistic,TOP50,1259,0.5276525563496427,-0.002336529274874488,-0.0018541090884507394,0.1116740165291343,0.0009983737417674123
I,H15,B0,logistic,TOP30,597,0.5422425788497217,0.005228387102936272,0.003540511243703248,0.14458193225394633,0.0010760178467886794
I,H15,B0,logistic,TOP20,349,0.583094653573377,0.01978454742343505,0.014324832247708863,0.19039353002856282,0.0015737679798975255
I,H15,B1,gbr,ALL,2945,0.5156740071277078,-0.010931401345992242,-0.008824376886678253,0.04618760824577705,0.00025426163386880714
I,H15,B1,gbr,TOP50,1259,0.532517866959868,-0.0036854981593652525,-0.0026776076251642245,0.10310843490444085,0.0005170140114253588
I,H15,B1,gbr,TOP30,597,0.5664250927643785,0.009313896326332949,0.006743057213824288,0.16502435609525726,0.0006448416981175376
I,H15,B1,gbr,TOP20,349,0.6290405073649753,0.03138866855178246,0.023347850349341726,0.2562463044808728,0.001561981370106594
I,H15,B1,logistic,ALL,2945,0.5039066230569715,-0.00702048364905794,-0.005407455359621283,0.05238722320876981,0.00027025787209508884
I,H15,B1,logistic,TOP50,1259,0.5298332417078981,-0.0028974004509119133,-0.0024361966568642313,0.10646685678437202,0.0006949867599582662
I,H15,B1,logistic,TOP30,597,0.5453269944341372,0.005452038425255767,0.003653370559480118,0.14327342583370048,0.0010231339777646417
I,H15,B1,logistic,TOP20,349,0.5865725586470267,0.021699577130504633,0.01569175888000407,0.19276780024737894,0.0016025286775367851
I,H15,B2,gbr,ALL,2945,0.5075347757060336,-0.013208666848313788,-0.010383927830388329,0.018493142352791914,0.00017815924163667318
I,H15,B2,gbr,TOP50,1259,0.5258305191235373,-0.008365799658583084,-0.0065787227027340744,0.07373664578012565,0.0005612706071279599
I,H15,B2,gbr,TOP30,597,0.5604359925788498,0.004146640409834479,0.0025072040348099733,0.13937067268220113,0.0011975835046310983
I,H15,B2,gbr,TOP20,349,0.6221017457719585,0.03141513802170681,0.022767246215491976,0.25451673128405466,0.0018348282868577166
I,H15,B2,logistic,ALL,2945,0.5024717203608675,-0.006161784371636836,-0.004782425339906249,0.05650936812321295,0.00024459102368252724
I,H15,B2,logistic,TOP50,1259,0.5296918767507003,-0.002735048365712922,-0.0023079992253876025,0.10762769551358689,0.0006330259119339283
I,H15,B2,logistic,TOP30,597,0.5448051948051948,0.00459427542626778,0.0028731111705017076,0.14192866477221086,0.0009633413100208859
I,H15,B2,logistic,TOP20,349,0.5921644844517184,0.019118763381479886,0.013597508058746044,0.19527365200144578,0.0016943919531911434
I,H15,B3,gbr,ALL,2945,0.5142053002988947,-0.009594575857579501,-0.007567842833393179,0.04936297368848592,0.00030604327148508516
I,H15,B3,gbr,TOP50,1259,0.540590067802822,0.0004892661523125952,0.0002755686990570938,0.12584778232751903,0.0007683164676948361
I,H15,B3,gbr,TOP30,597,0.570628478664193,0.012823178405312441,0.009215636079760392,0.18449138653496158,0.0009590405381004826
I,H15,B3,gbr,TOP20,349,0.648424713584288,0.042701955163653604,0.03157413814457588,0.3143187304135185,0.001787346180994019
I,H15,B3,logistic,ALL,2945,0.49919437423586116,-0.009544556404986304,-0.007816302446752577,0.03404173913414635,0.0002062108553814479
I,H15,B3,logistic,TOP50,1259,0.534943323123642,-0.004188706129083508,-0.004518198770927073,0.08991932428812408,0.0006618943502026417
I,H15,B3,logistic,TOP30,597,0.5468344155844156,-0.00020128607549807498,-0.002865272026875365,0.10405443233941973,0.0009365124099227555
I,H15,B3,logistic,TOP20,349,0.5906301145662848,0.011431357188967262,0.004246484579571219,0.13815333762697596,0.0012413022720016544
SC,H5,B0,gbr,ALL,12306,0.528765589424426,0.0006340219192785268,0.00041129800163053343,0.1473180833154425,-5.180767851032589e-05
SC,H5,B0,gbr,TOP50,8844,0.5296213481884194,0.0006970850846856891,0.00044948821386192606,0.1473114518033275,-0.00012226587711278267
SC,H5,B0,gbr,TOP30,7161,0.5325081941950454,0.0007617827185757431,0.0004896076909730596,0.15786915084268915,-0.00010119025923612081
SC,H5,B0,gbr,TOP20,5585,0.5324239523792289,0.0005669027592483111,0.0003221937333495184,0.14809164424844606,-8.261018641406995e-05
SC,H5,B0,logistic,ALL,12306,0.5276941773491823,-0.001998038410897518,-0.002918923430767162,0.07965234764917309,-7.037697402000757e-05
SC,H5,B0,logistic,TOP50,8844,0.5293266968555769,-0.0032052828729030036,-0.0043649988552285635,0.06833762521802275,-0.00015745030826939892
SC,H5,B0,logistic,TOP30,7161,0.530995783032173,-0.0049598689974903465,-0.0061087544258426885,0.06176183211791965,-0.00015972328359749668
SC,H5,B0,logistic,TOP20,5585,0.5362766741950031,-0.004610646167412913,-0.006551258832184548,0.06202696783504246,-8.77508612170165e-05
SC,H5,B1,gbr,ALL,12306,0.5316371136252979,0.0018896893034986428,0.0013455690222635708,0.16237342552719117,-2.593968648508356e-05
SC,H5,B1,gbr,TOP50,8844,0.533399709724119,0.002378307665118151,0.00170154092845054,0.1662562420651879,-6.864644613865615e-05
SC,H5,B1,gbr,TOP30,7161,0.5353557286920093,0.002375654583233744,0.0016947667406188582,0.17100648528265536,-4.8928231050075167e-05
SC,H5,B1,gbr,TOP20,5585,0.5355771010231916,0.0024565255050336132,0.0017363589952213987,0.16457490205781417,-2.2632321496193826e-05
SC,H5,B1,logistic,ALL,12306,0.5252574524769127,-0.002766897784076683,-0.003943806739479028,0.06965366794502202,-3.2409672327038986e-05
SC,H5,B1,logistic,TOP50,8844,0.5269651312348652,-0.004254207045418568,-0.005771328066326076,0.06003126215297731,-6.173628656290641e-05
SC,H5,B1,logistic,TOP30,7161,0.5281246726108182,-0.006035748250255324,-0.007669021817258814,0.055627250961638966,-8.281832588265042e-05
SC,H5,B1,logistic,TOP20,5585,0.5316113129875739,-0.005929871140297083,-0.008373499902377013,0.05411489391851459,-7.643349760694961e-05
SC,H5,B2,gbr,ALL,12306,0.52727186555688,-0.0007124728252789758,-0.0005865647758487302,0.12477393020463887,-4.0885808838550864e-05
SC,H5,B2,gbr,TOP50,8844,0.5288758306185721,-0.0005868750755924079,-0.0005044425840721178,0.1274458739118486,-9.284367859685895e-05
SC,H5,B2,gbr,TOP30,7161,0.5303134864123829,-0.0006847694879277277,-0.0005707734511091189,0.13715682754201636,-0.0001191974217195099
