group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread,median_calibration_slope,positive_share_calibration_slope
EX_I_7,H15,B1,ALL,logistic,7,0.5099227113480205,1.0,-0.009888483580379859,0.14285714285714285,-0.014304655657730425,0.14285714285714285,-0.0001320406208442772,0.14285714285714285,0.01916376349102084,0.8571428571428571
EX_I_7,H15,B1,TOP20,gbr,7,0.5233448959154279,1.0,-0.0048936417289546785,0.14285714285714285,-0.0038310031336774575,0.14285714285714285,-0.00033141567875834933,0.42857142857142855,0.09358062889933799,0.7142857142857143
EX_I_7,H15,B1,TOP20,logistic,7,0.5140611081655928,1.0,-0.015095163713805704,0.0,-0.01905786104863494,0.0,-0.0001929658692652181,0.14285714285714285,0.02327833932805936,0.8571428571428571
EX_I_7,H15,B1,TOP30,gbr,7,0.5241427682026306,1.0,-0.004909344851588449,0.0,-0.003813050430710785,0.0,-0.00024602682154117617,0.42857142857142855,0.09325319769143225,0.7142857142857143
EX_I_7,H15,B1,TOP30,logistic,7,0.5115310498517777,1.0,-0.013357034891817499,0.0,-0.016357062453814075,0.0,-0.0001653208065571953,0.14285714285714285,0.024122809003552882,0.8571428571428571
EX_I_7,H15,B1,TOP50,gbr,7,0.5179313271243818,1.0,-0.0038215567480173185,0.14285714285714285,-0.0029838273947273564,0.14285714285714285,1.6863667826577985e-05,0.5714285714285714,0.08296202277852074,0.7142857142857143
EX_I_7,H15,B1,TOP50,logistic,7,0.5082601744593722,1.0,-0.011228756988092448,0.14285714285714285,-0.013848946138676377,0.14285714285714285,-0.00016776453718070594,0.14285714285714285,0.024763970419613795,0.7142857142857143
EX_I_7,H15,B2,ALL,gbr,7,0.5189371882420044,1.0,-0.003703909040164044,0.0,-0.0027952870999292667,0.0,-4.945637049586519e-05,0.2857142857142857,0.07723075003250705,0.8571428571428571
EX_I_7,H15,B2,ALL,logistic,7,0.5115352728947073,1.0,-0.008267216314141512,0.0,-0.01056859047541936,0.0,-0.00011670584423450564,0.2857142857142857,0.01608724622174179,0.5714285714285714
EX_I_7,H15,B2,TOP20,gbr,7,0.5131921320804054,1.0,-0.0074729788934393415,0.0,-0.005540645641227915,0.0,-0.00016571056666634678,0.42857142857142855,0.052381608270462114,0.8571428571428571
EX_I_7,H15,B2,TOP20,logistic,7,0.5113136308959363,1.0,-0.015384721927911515,0.0,-0.019302976005314276,0.0,-0.0002783631574942673,0.2857142857142857,0.007977857751487781,0.5714285714285714
EX_I_7,H15,B2,TOP30,gbr,7,0.5174368085528058,1.0,-0.00611400285222885,0.0,-0.004622915448017073,0.0,-0.00027433181426320477,0.2857142857142857,0.06427232575701892,0.8571428571428571
EX_I_7,H15,B2,TOP30,logistic,7,0.5093533780808233,1.0,-0.013229418012669747,0.0,-0.016505820280660943,0.0,-0.00014133223111119201,0.2857142857142857,0.00985873408289329,0.5714285714285714
EX_I_7,H15,B2,TOP50,gbr,7,0.5165725339698289,1.0,-0.004791471223306809,0.0,-0.0036319483079845227,0.0,-0.00013403437934797314,0.42857142857142855,0.06393603951463252,0.7142857142857143
EX_I_7,H15,B2,TOP50,logistic,7,0.5091375423414986,1.0,-0.01087714189466582,0.0,-0.013619023029940225,0.0,-0.00017436699774262752,0.2857142857142857,0.00995214053773623,0.5714285714285714
EX_I_7,H15,B3,ALL,gbr,7,0.5178849864470422,1.0,-0.004542725021635441,0.14285714285714285,-0.0034299531093655578,0.14285714285714285,-3.1100220228512215e-05,0.42857142857142855,0.06248956046243094,0.8571428571428571
EX_I_7,H15,B3,ALL,logistic,7,0.5089906727934274,1.0,-0.01171021286018159,0.0,-0.01626010193768157,0.0,-7.159473419978061e-05,0.2857142857142857,0.009616577560241604,0.5714285714285714
EX_I_7,H15,B3,TOP20,gbr,7,0.5120547689708326,1.0,-0.007326228857226669,0.0,-0.0058103390402690636,0.0,-0.0003035533726633252,0.42857142857142855,0.04992654578270839,0.8571428571428571
EX_I_7,H15,B3,TOP20,logistic,7,0.5119663886648904,1.0,-0.018601245368384367,0.0,-0.022201503290281144,0.0,-0.00024330989326419093,0.2857142857142857,0.0027315966725323564,0.5714285714285714
