candidate_id,symbol,touch_time,break_step,break_from,break_to,gap_minutes,reason,hour
AG:5m:1:1:836:843:4,AG,2025-01-14 02:10:00,5.0,2025-01-14 02:25:00,2025-01-14 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:1:836:843:5,AG,2025-01-14 02:30:00,1.0,2025-01-14 02:25:00,2025-01-14 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:-1:854:857:2,AG,2025-01-14 02:05:00,6.0,2025-01-14 02:25:00,2025-01-14 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:-1:854:857:3,AG,2025-01-14 02:15:00,4.0,2025-01-14 02:25:00,2025-01-14 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:1:870:873:1,AG,2025-01-14 01:55:00,8.0,2025-01-14 02:25:00,2025-01-14 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:1:870:873:2,AG,2025-01-14 02:30:00,1.0,2025-01-14 02:25:00,2025-01-14 09:00:00,395.0,夜盘正常结束,2
AG:5m:0:-1:844:890:5,AG,2025-01-15 09:40:00,8.0,2025-01-15 10:10:00,2025-01-15 10:30:00,20.0,正常午间休市,9
AG:5m:0:-1:844:890:6,AG,2025-01-15 10:10:00,2.0,2025-01-15 10:10:00,2025-01-15 10:30:00,20.0,正常午间休市,10
AG:5m:0:-1:844:890:7,AG,2025-01-15 10:50:00,9.0,2025-01-15 11:25:00,2025-01-15 13:30:00,125.0,正常午间休市,10
AG:5m:1:-1:918:925:1,AG,2025-01-14 14:45:00,4.0,2025-01-14 14:55:00,2025-01-14 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:1031:1033:1,AG,2025-01-15 14:25:00,8.0,2025-01-15 14:55:00,2025-01-15 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:1099:1105:1,AG,2025-01-16 02:30:00,1.0,2025-01-16 02:25:00,2025-01-16 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:1:1099:1105:2,AG,2025-01-16 10:35:00,12.0,2025-01-16 11:25:00,2025-01-16 13:30:00,125.0,正常午间休市,10
AG:5m:1:1:1099:1105:3,AG,2025-01-16 10:45:00,10.0,2025-01-16 11:25:00,2025-01-16 13:30:00,125.0,正常午间休市,10
AG:5m:1:1:1099:1105:4,AG,2025-01-16 11:05:00,6.0,2025-01-16 11:25:00,2025-01-16 13:30:00,125.0,正常午间休市,11
AG:5m:1:1:1193:1205:1,AG,2025-01-17 01:45:00,10.0,2025-01-17 02:25:00,2025-01-17 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:1:1297:1313:2,AG,2025-01-18 01:50:00,9.0,2025-01-18 02:25:00,2025-01-20 09:00:00,3275.0,节假日或周末,1
AG:5m:1:1:1297:1313:3,AG,2025-01-18 02:05:00,6.0,2025-01-18 02:25:00,2025-01-20 09:00:00,3275.0,节假日或周末,2
AG:5m:1:-1:1321:1330:1,AG,2025-01-20 15:00:00,1.0,2025-01-20 14:55:00,2025-01-20 21:00:00,365.0,日盘与夜盘之间,15
AG:5m:1:-1:1321:1330:2,AG,2025-01-21 10:05:00,3.0,2025-01-21 10:10:00,2025-01-21 10:30:00,20.0,正常午间休市,10
AG:5m:1:-1:1376:1377:2,AG,2025-01-21 10:05:00,3.0,2025-01-21 10:10:00,2025-01-21 10:30:00,20.0,正常午间休市,10
AG:5m:1:-1:1380:1384:1,AG,2025-01-21 09:30:00,10.0,2025-01-21 10:10:00,2025-01-21 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:1380:1384:2,AG,2025-01-21 09:45:00,7.0,2025-01-21 10:10:00,2025-01-21 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:1380:1384:3,AG,2025-01-21 10:00:00,4.0,2025-01-21 10:10:00,2025-01-21 10:30:00,20.0,正常午间休市,10
AG:5m:0:1:1418:1450:1,AG,2025-01-23 10:05:00,3.0,2025-01-23 10:10:00,2025-01-23 10:30:00,20.0,正常午间休市,10
AG:5m:0:1:1418:1450:2,AG,2025-01-23 14:55:00,2.0,2025-01-23 14:55:00,2025-01-23 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:1449:1454:4,AG,2025-01-23 09:50:00,6.0,2025-01-23 10:10:00,2025-01-23 10:30:00,20.0,正常午间休市,9
AG:5m:1:1:1570:1581:1,AG,2025-01-22 14:20:00,9.0,2025-01-22 14:55:00,2025-01-22 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:1664:1667:1,AG,2025-01-24 10:15:00,1.0,2025-01-24 10:10:00,2025-01-24 10:30:00,20.0,正常午间休市,10
AG:5m:1:-1:1664:1667:2,AG,2025-01-24 10:40:00,11.0,2025-01-24 11:25:00,2025-01-24 13:30:00,125.0,正常午间休市,10
AG:5m:0:-1:1664:1676:1,AG,2025-01-24 10:15:00,1.0,2025-01-24 10:10:00,2025-01-24 10:30:00,20.0,正常午间休市,10
AG:5m:0:-1:1664:1676:2,AG,2025-01-24 10:40:00,11.0,2025-01-24 11:25:00,2025-01-24 13:30:00,125.0,正常午间休市,10
AG:5m:1:-1:1702:1708:1,AG,2025-01-24 09:35:00,9.0,2025-01-24 10:10:00,2025-01-24 10:30:00,20.0,正常午间休市,9
AG:5m:1:1:1934:1950:2,AG,2025-02-06 11:15:00,4.0,2025-02-06 11:25:00,2025-02-06 13:30:00,125.0,正常午间休市,11
AG:5m:1:1:1934:1950:3,AG,2025-02-06 11:30:00,1.0,2025-02-06 11:25:00,2025-02-06 13:30:00,125.0,正常午间休市,11
AG:5m:1:1:1934:1950:4,AG,2025-02-06 14:45:00,4.0,2025-02-06 14:55:00,2025-02-06 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:1948:1953:4,AG,2025-02-06 10:40:00,11.0,2025-02-06 11:25:00,2025-02-06 13:30:00,125.0,正常午间休市,10
AG:5m:1:1:1948:1953:5,AG,2025-02-06 10:50:00,9.0,2025-02-06 11:25:00,2025-02-06 13:30:00,125.0,正常午间休市,10
AG:5m:1:1:1948:1953:6,AG,2025-02-06 11:10:00,5.0,2025-02-06 11:25:00,2025-02-06 13:30:00,125.0,正常午间休市,11
AG:5m:1:-1:2032:2043:1,AG,2025-02-06 09:25:00,11.0,2025-02-06 10:10:00,2025-02-06 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:2032:2043:2,AG,2025-02-06 09:35:00,9.0,2025-02-06 10:10:00,2025-02-06 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:2032:2043:3,AG,2025-02-06 10:00:00,4.0,2025-02-06 10:10:00,2025-02-06 10:30:00,20.0,正常午间休市,10
AG:5m:1:-1:2081:2085:1,AG,2025-02-07 09:25:00,11.0,2025-02-07 10:10:00,2025-02-07 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:2081:2085:2,AG,2025-02-07 09:35:00,9.0,2025-02-07 10:10:00,2025-02-07 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:2096:2098:4,AG,2025-02-07 01:55:00,8.0,2025-02-07 02:25:00,2025-02-07 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:-1:2096:2098:5,AG,2025-02-07 02:20:00,3.0,2025-02-07 02:25:00,2025-02-07 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:1:2136:2140:1,AG,2025-02-07 14:05:00,12.0,2025-02-07 14:55:00,2025-02-07 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:2136:2140:2,AG,2025-02-07 14:40:00,5.0,2025-02-07 14:55:00,2025-02-07 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:2288:2298:2,AG,2025-02-11 10:35:00,12.0,2025-02-11 11:25:00,2025-02-11 13:30:00,125.0,正常午间休市,10
AG:5m:1:1:2397:2401:1,AG,2025-02-11 14:50:00,3.0,2025-02-11 14:55:00,2025-02-11 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:2461:2469:1,AG,2025-02-12 01:35:00,12.0,2025-02-12 02:25:00,2025-02-12 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:1:2570:2577:1,AG,2025-02-13 09:25:00,11.0,2025-02-13 10:10:00,2025-02-13 10:30:00,20.0,正常午间休市,9
AG:5m:1:1:2570:2577:2,AG,2025-02-13 10:10:00,2.0,2025-02-13 10:10:00,2025-02-13 10:30:00,20.0,正常午间休市,10
AG:5m:1:1:2617:2625:1,AG,2025-02-13 14:10:00,11.0,2025-02-13 14:55:00,2025-02-13 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:2617:2625:2,AG,2025-02-13 14:35:00,6.0,2025-02-13 14:55:00,2025-02-13 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:2617:2625:3,AG,2025-02-13 14:50:00,3.0,2025-02-13 14:55:00,2025-02-13 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:2680:2689:1,AG,2025-02-14 01:50:00,9.0,2025-02-14 02:25:00,2025-02-14 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:-1:2680:2689:2,AG,2025-02-14 02:00:00,7.0,2025-02-14 02:25:00,2025-02-14 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:-1:2812:2820:1,AG,2025-02-18 10:45:00,10.0,2025-02-18 11:25:00,2025-02-18 13:30:00,125.0,正常午间休市,10
AG:5m:1:-1:2847:2850:1,AG,2025-02-17 15:00:00,1.0,2025-02-17 14:55:00,2025-02-17 21:00:00,365.0,日盘与夜盘之间,15
AG:5m:1:-1:2847:2850:6,AG,2025-02-18 01:55:00,8.0,2025-02-18 02:25:00,2025-02-18 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:-1:2847:2850:8,AG,2025-02-18 09:55:00,5.0,2025-02-18 10:10:00,2025-02-18 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:2847:2850:9,AG,2025-02-18 10:40:00,11.0,2025-02-18 11:25:00,2025-02-18 13:30:00,125.0,正常午间休市,10
AG:5m:1:1:2908:2912:1,AG,2025-02-18 02:15:00,4.0,2025-02-18 02:25:00,2025-02-18 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:-1:2917:2926:1,AG,2025-02-18 02:20:00,3.0,2025-02-18 02:25:00,2025-02-18 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:1:2978:2984:2,AG,2025-02-19 10:55:00,8.0,2025-02-19 11:25:00,2025-02-19 13:30:00,125.0,正常午间休市,10
AG:5m:1:1:2978:2984:4,AG,2025-02-20 02:25:00,2.0,2025-02-20 02:25:00,2025-02-20 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:1:2978:2984:6,AG,2025-02-21 14:10:00,11.0,2025-02-21 14:55:00,2025-02-21 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:3006:3013:1,AG,2025-02-19 10:55:00,8.0,2025-02-19 11:25:00,2025-02-19 13:30:00,125.0,正常午间休市,10
AG:5m:1:-1:3043:3046:1,AG,2025-02-19 09:35:00,9.0,2025-02-19 10:10:00,2025-02-19 10:30:00,20.0,正常午间休市,9
AG:5m:1:1:3046:3049:1,AG,2025-02-19 10:35:00,12.0,2025-02-19 11:25:00,2025-02-19 13:30:00,125.0,正常午间休市,10
AG:5m:1:-1:3094:3104:1,AG,2025-02-20 14:05:00,12.0,2025-02-20 14:55:00,2025-02-20 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:3094:3104:2,AG,2025-02-20 14:20:00,9.0,2025-02-20 14:55:00,2025-02-20 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:3094:3104:3,AG,2025-02-20 14:30:00,7.0,2025-02-20 14:55:00,2025-02-20 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:3094:3104:4,AG,2025-02-20 14:55:00,2.0,2025-02-20 14:55:00,2025-02-20 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:3151:3153:1,AG,2025-02-21 11:25:00,2.0,2025-02-21 11:25:00,2025-02-21 13:30:00,125.0,正常午间休市,11
AG:5m:1:1:3158:3172:2,AG,2025-02-21 10:05:00,3.0,2025-02-21 10:10:00,2025-02-21 10:30:00,20.0,正常午间休市,10
AG:5m:1:1:3158:3172:3,AG,2025-02-21 11:10:00,5.0,2025-02-21 11:25:00,2025-02-21 13:30:00,125.0,正常午间休市,11
AG:5m:0:1:3123:3204:1,AG,2025-02-21 11:30:00,1.0,2025-02-21 11:25:00,2025-02-21 13:30:00,125.0,正常午间休市,11
AG:5m:0:1:3123:3204:2,AG,2025-02-21 14:05:00,12.0,2025-02-21 14:55:00,2025-02-21 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:0:1:3123:3204:3,AG,2025-02-21 14:40:00,5.0,2025-02-21 14:55:00,2025-02-21 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:0:1:3123:3204:4,AG,2025-02-21 14:50:00,3.0,2025-02-21 14:55:00,2025-02-21 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:3202:3210:2,AG,2025-02-21 01:45:00,10.0,2025-02-21 02:25:00,2025-02-21 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:-1:3202:3210:6,AG,2025-03-13 10:00:00,4.0,2025-03-13 10:10:00,2025-03-13 10:30:00,20.0,正常午间休市,10
AG:5m:0:-1:3218:3287:3,AG,2025-03-13 10:00:00,4.0,2025-03-13 10:10:00,2025-03-13 10:30:00,20.0,正常午间休市,10
AG:5m:1:-1:3365:3371:1,AG,2025-02-22 02:30:00,1.0,2025-02-22 02:25:00,2025-02-24 09:00:00,3275.0,节假日或周末,2
AG:5m:1:-1:3365:3371:2,AG,2025-02-24 10:55:00,8.0,2025-02-24 11:25:00,2025-02-24 13:30:00,125.0,正常午间休市,10
AG:5m:1:-1:3365:3371:3,AG,2025-02-24 11:05:00,6.0,2025-02-24 11:25:00,2025-02-24 13:30:00,125.0,正常午间休市,11
AG:5m:1:-1:3365:3371:4,AG,2025-02-24 11:20:00,3.0,2025-02-24 11:25:00,2025-02-24 13:30:00,125.0,正常午间休市,11
AG:5m:1:-1:3413:3424:2,AG,2025-03-06 09:50:00,6.0,2025-03-06 10:10:00,2025-03-06 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:3413:3424:6,AG,2025-03-12 09:30:00,10.0,2025-03-12 10:10:00,2025-03-12 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:3413:3424:7,AG,2025-03-12 09:50:00,6.0,2025-03-12 10:10:00,2025-03-12 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:3413:3424:8,AG,2025-03-12 10:35:00,12.0,2025-03-12 11:25:00,2025-03-12 13:30:00,125.0,正常午间休市,10
AG:5m:1:-1:3413:3424:9,AG,2025-03-12 11:05:00,6.0,2025-03-12 11:25:00,2025-03-12 13:30:00,125.0,正常午间休市,11
AG:5m:1:-1:3413:3424:10,AG,2025-03-12 11:20:00,3.0,2025-03-12 11:25:00,2025-03-12 13:30:00,125.0,正常午间休市,11
AG:5m:1:-1:3413:3424:11,AG,2025-03-12 11:30:00,1.0,2025-03-12 11:25:00,2025-03-12 13:30:00,125.0,正常午间休市,11
AG:5m:1:-1:3432:3437:1,AG,2025-03-06 09:50:00,6.0,2025-03-06 10:10:00,2025-03-06 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:3432:3437:2,AG,2025-03-06 10:05:00,3.0,2025-03-06 10:10:00,2025-03-06 10:30:00,20.0,正常午间休市,10
AG:5m:1:-1:3432:3437:5,AG,2025-03-12 02:25:00,2.0,2025-03-12 02:25:00,2025-03-12 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:-1:3432:3437:6,AG,2025-03-12 09:20:00,12.0,2025-03-12 10:10:00,2025-03-12 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:3432:3437:7,AG,2025-03-12 09:30:00,10.0,2025-03-12 10:10:00,2025-03-12 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:3432:3437:8,AG,2025-03-12 09:50:00,6.0,2025-03-12 10:10:00,2025-03-12 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:3432:3437:9,AG,2025-03-12 11:05:00,6.0,2025-03-12 11:25:00,2025-03-12 13:30:00,125.0,正常午间休市,11
AG:5m:1:-1:3432:3437:10,AG,2025-03-12 11:20:00,3.0,2025-03-12 11:25:00,2025-03-12 13:30:00,125.0,正常午间休市,11
AG:5m:0:-1:3413:3444:1,AG,2025-03-06 09:50:00,6.0,2025-03-06 10:10:00,2025-03-06 10:30:00,20.0,正常午间休市,9
AG:5m:0:-1:3413:3444:5,AG,2025-03-12 09:30:00,10.0,2025-03-12 10:10:00,2025-03-12 10:30:00,20.0,正常午间休市,9
AG:5m:0:-1:3413:3444:6,AG,2025-03-12 09:50:00,6.0,2025-03-12 10:10:00,2025-03-12 10:30:00,20.0,正常午间休市,9
AG:5m:0:-1:3413:3444:7,AG,2025-03-12 10:35:00,12.0,2025-03-12 11:25:00,2025-03-12 13:30:00,125.0,正常午间休市,10
AG:5m:0:-1:3413:3444:8,AG,2025-03-12 11:05:00,6.0,2025-03-12 11:25:00,2025-03-12 13:30:00,125.0,正常午间休市,11
AG:5m:0:-1:3413:3444:9,AG,2025-03-12 11:20:00,3.0,2025-03-12 11:25:00,2025-03-12 13:30:00,125.0,正常午间休市,11
AG:5m:0:-1:3413:3444:10,AG,2025-03-12 11:30:00,1.0,2025-03-12 11:25:00,2025-03-12 13:30:00,125.0,正常午间休市,11
AG:5m:1:1:3486:3487:1,AG,2025-02-25 09:40:00,8.0,2025-02-25 10:10:00,2025-02-25 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:3498:3519:1,AG,2025-03-06 09:40:00,8.0,2025-03-06 10:10:00,2025-03-06 10:30:00,20.0,正常午间休市,9
AG:5m:0:-1:3498:3531:1,AG,2025-03-06 09:40:00,8.0,2025-03-06 10:10:00,2025-03-06 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:3550:3558:2,AG,2025-03-05 14:05:00,12.0,2025-03-05 14:55:00,2025-03-05 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:3562:3568:1,AG,2025-02-26 02:00:00,7.0,2025-02-26 02:25:00,2025-02-26 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:1:3675:3678:3,AG,2025-02-27 09:55:00,5.0,2025-02-27 10:10:00,2025-02-27 10:30:00,20.0,正常午间休市,9
AG:5m:1:1:3675:3678:4,AG,2025-02-27 10:45:00,10.0,2025-02-27 11:25:00,2025-02-27 13:30:00,125.0,正常午间休市,10
AG:5m:1:1:3688:3698:1,AG,2025-02-27 02:00:00,7.0,2025-02-27 02:25:00,2025-02-27 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:-1:3723:3729:1,AG,2025-02-27 11:30:00,1.0,2025-02-27 11:25:00,2025-02-27 13:30:00,125.0,正常午间休市,11
AG:5m:1:-1:3818:3819:2,AG,2025-03-03 09:30:00,10.0,2025-03-03 10:10:00,2025-03-03 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:3818:3819:3,AG,2025-03-03 10:00:00,4.0,2025-03-03 10:10:00,2025-03-03 10:30:00,20.0,正常午间休市,10
AG:5m:1:-1:3820:3831:1,AG,2025-02-28 10:35:00,12.0,2025-02-28 11:25:00,2025-02-28 13:30:00,125.0,正常午间休市,10
AG:5m:1:-1:3820:3831:2,AG,2025-02-28 11:10:00,5.0,2025-02-28 11:25:00,2025-02-28 13:30:00,125.0,正常午间休市,11
AG:5m:1:1:3839:3842:1,AG,2025-02-28 11:25:00,2.0,2025-02-28 11:25:00,2025-02-28 13:30:00,125.0,正常午间休市,11
AG:5m:1:-1:3917:3924:1,AG,2025-03-01 02:20:00,3.0,2025-03-01 02:25:00,2025-03-03 09:00:00,3275.0,节假日或周末,2
AG:5m:1:1:3938:3943:1,AG,2025-03-03 11:00:00,7.0,2025-03-03 11:25:00,2025-03-03 13:30:00,125.0,正常午间休市,11
AG:5m:1:1:4013:4021:2,AG,2025-03-04 01:55:00,8.0,2025-03-04 02:25:00,2025-03-04 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:-1:4050:4053:1,AG,2025-03-04 10:40:00,11.0,2025-03-04 11:25:00,2025-03-04 13:30:00,125.0,正常午间休市,10
AG:5m:1:-1:4099:4104:2,AG,2025-03-05 09:35:00,9.0,2025-03-05 10:10:00,2025-03-05 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:4099:4104:3,AG,2025-03-05 10:10:00,2.0,2025-03-05 10:10:00,2025-03-05 10:30:00,20.0,正常午间休市,10
AG:5m:1:1:4233:4236:2,AG,2025-03-06 01:45:00,10.0,2025-03-06 02:25:00,2025-03-06 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:-1:4284:4285:1,AG,2025-03-06 14:10:00,11.0,2025-03-06 14:55:00,2025-03-06 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:4398:4401:3,AG,2025-03-07 14:50:00,3.0,2025-03-07 14:55:00,2025-03-07 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:4454:4469:1,AG,2025-03-08 01:40:00,11.0,2025-03-08 02:25:00,2025-03-10 09:00:00,3275.0,节假日或周末,1
AG:5m:1:-1:4454:4469:2,AG,2025-03-08 01:55:00,8.0,2025-03-08 02:25:00,2025-03-10 09:00:00,3275.0,节假日或周末,1
AG:5m:1:-1:4623:4626:1,AG,2025-03-11 14:35:00,6.0,2025-03-11 14:55:00,2025-03-11 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:4656:4660:2,AG,2025-03-12 02:25:00,2.0,2025-03-12 02:25:00,2025-03-12 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:-1:4656:4660:3,AG,2025-03-12 11:05:00,6.0,2025-03-12 11:25:00,2025-03-12 13:30:00,125.0,正常午间休市,11
AG:5m:1:1:4724:4733:2,AG,2025-03-12 15:00:00,1.0,2025-03-12 14:55:00,2025-03-12 21:00:00,365.0,日盘与夜盘之间,15
AG:5m:1:1:4777:4783:1,AG,2025-03-13 14:10:00,11.0,2025-03-13 14:55:00,2025-03-13 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:4828:4832:1,AG,2025-03-13 11:30:00,1.0,2025-03-13 11:25:00,2025-03-13 13:30:00,125.0,正常午间休市,11
AG:5m:1:-1:4943:4956:1,AG,2025-03-14 14:40:00,5.0,2025-03-14 14:55:00,2025-03-14 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:5003:5021:1,AG,2025-03-17 10:50:00,9.0,2025-03-17 11:25:00,2025-03-17 13:30:00,125.0,正常午间休市,10
AG:5m:1:1:5039:5040:1,AG,2025-03-17 09:20:00,12.0,2025-03-17 10:10:00,2025-03-17 10:30:00,20.0,正常午间休市,9
AG:5m:1:1:5039:5040:2,AG,2025-03-17 09:35:00,9.0,2025-03-17 10:10:00,2025-03-17 10:30:00,20.0,正常午间休市,9
AG:5m:1:1:5039:5040:3,AG,2025-03-17 10:05:00,3.0,2025-03-17 10:10:00,2025-03-17 10:30:00,20.0,正常午间休市,10
AG:5m:1:1:5039:5040:4,AG,2025-03-17 10:35:00,12.0,2025-03-17 11:25:00,2025-03-17 13:30:00,125.0,正常午间休市,10
AG:5m:1:-1:5049:5058:1,AG,2025-03-17 14:30:00,7.0,2025-03-17 14:55:00,2025-03-17 21:00:00,365.0,日盘与夜盘之间,14
