instrument,horizon,features,learner,stratum,fold,n,auc,brier_skill,logloss_skill,return_spread
AG,H5,C0,gbr,TOP20,6,315,0.4984475806451613,-0.005135574467332482,-0.0037381962060438756,-0.00033901147780395705
AG,H5,C0,logistic,ALL,0,1755,0.5063308459980661,-0.005909885351673472,-0.004413460056570173,-0.0001195825779789406
AG,H5,C0,logistic,ALL,1,1755,0.5316692875192652,-0.003539401179516233,-0.0037053631105496976,-0.0003321175561542465
AG,H5,C0,logistic,ALL,2,1755,0.5463830616353835,0.006687880007990921,0.004827629864075478,0.0001482053150286477
AG,H5,C0,logistic,ALL,3,1755,0.5398111555420444,0.0023276422019273824,0.0016735287530738052,1.9346608744169047e-05
AG,H5,C0,logistic,ALL,4,1755,0.5352786800051967,0.003931067073151162,0.002868590421088446,-6.677923491318091e-05
AG,H5,C0,logistic,ALL,5,1755,0.5256180202516876,0.000878272603992758,0.000552269755706436,9.19077245816003e-05
AG,H5,C0,logistic,ALL,6,1755,0.5293959463005641,-0.00012474491794489673,-0.00011415099591682853,-7.815724531352388e-05
AG,H5,C0,logistic,TOP50,0,1506,0.5116940335480218,-0.005887454599442288,-0.0044180376513338615,-3.601814789894518e-05
AG,H5,C0,logistic,TOP50,1,1695,0.5328184950277973,-0.0037785850590996706,-0.003920103301578326,-0.00030929836809010707
AG,H5,C0,logistic,TOP50,2,1643,0.5457220756897727,0.006966737276034696,0.0050290023624594005,8.391834464804141e-05
AG,H5,C0,logistic,TOP50,3,1447,0.5346591995106847,0.001679117127200036,0.0012038239632128356,-1.904778494370506e-05
AG,H5,C0,logistic,TOP50,4,1380,0.5330781400019748,0.003998984122473126,0.002925615354128497,-0.00015454022715819977
AG,H5,C0,logistic,TOP50,5,1233,0.5324409697544026,0.001484187647561197,0.000956289480558592,0.00031592403543162615
AG,H5,C0,logistic,TOP50,6,1044,0.518846249834843,-0.0021885726069585942,-0.0016193545847889013,-0.00017848270307414623
AG,H5,C0,logistic,TOP30,0,1414,0.512198251664127,-0.005719935734152637,-0.004297944246005381,-2.4852275001375836e-05
AG,H5,C0,logistic,TOP30,1,1657,0.5322742646305217,-0.0041484610867734695,-0.004214540038723236,-0.00030826345854549815
AG,H5,C0,logistic,TOP30,2,1604,0.5443071627464424,0.006866151001233001,0.004956404140101234,5.989867916022381e-05
AG,H5,C0,logistic,TOP30,3,1112,0.5262137807186424,0.0005766432959413148,0.00040607699856765045,0.00010283012752468207
AG,H5,C0,logistic,TOP30,4,1110,0.5360792945820996,0.004484999452227467,0.003284797754551594,-0.00030775801128102596
AG,H5,C0,logistic,TOP30,5,848,0.5453559329576618,0.0021111555475900046,0.0013546465219557158,0.0002870640855877039
AG,H5,C0,logistic,TOP30,6,665,0.5106773802414174,-0.003072992087003845,-0.00225710545777269,-0.0001998423548700087
AG,H5,C0,logistic,TOP20,0,1340,0.5123421617720336,-0.006310334836904685,-0.0047345972831025485,-3.378453559243712e-05
AG,H5,C0,logistic,TOP20,1,1616,0.5332594303310239,-0.00430397949981165,-0.0043597008385094504,-0.0002890109846188388
AG,H5,C0,logistic,TOP20,2,1514,0.5462935979296709,0.00727685083576457,0.005252771910197462,0.00010281825002544748
AG,H5,C0,logistic,TOP20,3,858,0.521197793538219,-3.0128914309868193e-05,-3.0382399987427533e-05,0.00013612492837085925
AG,H5,C0,logistic,TOP20,4,789,0.5499492346643704,0.007256689395838012,0.0053078772070663804,1.8763835461916652e-05
AG,H5,C0,logistic,TOP20,5,553,0.5394519902645835,0.0003615506535604718,-1.6864269956062827e-06,0.0003427270509843685
AG,H5,C0,logistic,TOP20,6,315,0.4943145161290322,-0.006660736321111971,-0.004876593844708843,-0.0003158847502934605
AG,H5,C1,gbr,ALL,0,1755,0.5290700250471099,0.007463218001751426,0.005323905001671458,-1.7213862155102708e-05
AG,H5,C1,gbr,ALL,1,1755,0.5134113330360426,-0.0026106007554154154,-0.0021203320794966896,-0.000515473901853314
AG,H5,C1,gbr,ALL,2,1755,0.5404747678119114,0.011609195638744962,0.008864452963331049,-3.153770511227211e-05
AG,H5,C1,gbr,ALL,3,1755,0.5285780542369182,-0.00032441147799988634,-0.00023300628619060682,3.6186931356918714e-05
AG,H5,C1,gbr,ALL,4,1755,0.5222892035858127,0.0016542854106360583,0.0011861733596922885,4.212230983264887e-05
AG,H5,C1,gbr,ALL,5,1755,0.5362484634136179,0.0010629390388029458,0.000754853834886271,2.7249257556215826e-05
AG,H5,C1,gbr,ALL,6,1755,0.5186413793282634,-0.0012611686500236807,-0.0009352088515000023,-8.888344674123363e-05
AG,H5,C1,gbr,TOP50,0,1506,0.5344017623327907,0.008760478775370228,0.006258759710533579,-1.852568740699842e-05
AG,H5,C1,gbr,TOP50,1,1695,0.5098912715191786,-0.003514725018678444,-0.0027830594889102223,-0.0006070008720030577
AG,H5,C1,gbr,TOP50,2,1643,0.5250814983848502,-0.00017666696652796077,-0.0001398142270714331,-5.6521221035935265e-05
AG,H5,C1,gbr,TOP50,3,1447,0.5216569823005466,-0.0023340118611254734,-0.0016838640728658039,0.00010022711331577654
AG,H5,C1,gbr,TOP50,4,1380,0.5204221194632537,0.0011250819748342966,0.000800037957575328,3.0829781357110584e-05
AG,H5,C1,gbr,TOP50,5,1233,0.5345586880412752,0.002136579975321018,0.001543273484049923,0.0001087256643830041
AG,H5,C1,gbr,TOP50,6,1044,0.5043454644215101,-0.0027011363297864133,-0.001985970846112073,-0.000165928990347043
AG,H5,C1,gbr,TOP30,0,1414,0.5333918116929987,0.007224967995751896,0.005145359912613667,4.46403218893995e-05
AG,H5,C1,gbr,TOP30,1,1657,0.5127878885488807,-0.001678463027262156,-0.0014359474364102898,-0.00031366558154399945
AG,H5,C1,gbr,TOP30,2,1604,0.5229935183760026,-0.0008415254250651039,-0.0006206328866484867,-7.875258242594777e-05
AG,H5,C1,gbr,TOP30,3,1112,0.509224895245183,-0.00486732149437219,-0.003528572938913399,0.00012112540097523802
AG,H5,C1,gbr,TOP30,4,1110,0.5252876473949405,0.0011826680306363802,0.0008379254005639325,-4.2755438136852055e-05
AG,H5,C1,gbr,TOP30,5,848,0.5463655732142161,0.005653706753459553,0.004092169920315025,0.00019409497222051017
AG,H5,C1,gbr,TOP30,6,665,0.49384240910653854,-0.005773985959179662,-0.004207203778227031,-0.00023366134900099967
AG,H5,C1,gbr,TOP20,0,1340,0.5284851775631185,0.007557816087005231,0.005385027192979952,3.6374005335817076e-05
AG,H5,C1,gbr,TOP20,1,1616,0.5184395688991532,0.00030467440713943805,2.2039218923297632e-05,-0.0003623718172062374
AG,H5,C1,gbr,TOP20,2,1514,0.5284233983481343,0.0002060352313643099,0.00013446272919659386,-0.00023951731305663714
AG,H5,C1,gbr,TOP20,3,858,0.5081057579957067,-0.002652579445892922,-0.001923627862534305,-3.0177461126920335e-05
AG,H5,C1,gbr,TOP20,4,789,0.5270791296636635,0.0012804210521035753,0.0008988678027554986,8.08916927924324e-05
AG,H5,C1,gbr,TOP20,5,553,0.5403679568710581,0.0036225815954816776,0.002605191828256581,0.00025437141671793043
AG,H5,C1,gbr,TOP20,6,315,0.5029435483870968,-0.0052425293097349,-0.0038618705251101115,-0.00016456599019273128
AG,H5,C1,logistic,ALL,0,1755,0.5146738011400214,-0.007633711566033874,-0.009367737758258388,-0.00019694543727952484
AG,H5,C1,logistic,ALL,1,1755,0.5285646855107272,-0.024989071698605647,-0.049608363795232036,1.1164823233345374e-05
AG,H5,C1,logistic,ALL,2,1755,0.5523387672923297,0.007246601034887057,0.005342313594305037,-0.0001133790119142825
AG,H5,C1,logistic,ALL,3,1755,0.5260414636744641,0.0019153652397299048,0.0013860419982258954,2.020810622470175e-05
AG,H5,C1,logistic,ALL,4,1755,0.5411991685072106,0.003836410116991762,0.0027995245355127985,-0.00012103675856685176
AG,H5,C1,logistic,ALL,5,1755,0.5168360384198684,0.0006974099730783223,0.0004811603056396052,0.00013192358570264886
AG,H5,C1,logistic,ALL,6,1755,0.5284657935008821,0.00019793161593606445,0.00011206333101621002,-8.861296543784769e-05
AG,H5,C1,logistic,TOP50,0,1506,0.5197130016278575,-0.007983026661375403,-0.010255133772341551,-0.0001366774422243297
AG,H5,C1,logistic,TOP50,1,1695,0.5273583006141146,-0.02618548051720282,-0.051590036567594755,-9.453042516051151e-06
AG,H5,C1,logistic,TOP50,2,1643,0.5459324897015677,0.0065725057326117,0.004863338639452985,-0.00012798439420645078
AG,H5,C1,logistic,TOP50,3,1447,0.5316793455407316,0.0026278947313052026,0.001899729445122511,0.00010216648616096522
AG,H5,C1,logistic,TOP50,4,1380,0.5424272919603595,0.004391758273352697,0.0032090055679000473,-0.00018046724124891998
AG,H5,C1,logistic,TOP50,5,1233,0.5253941930558846,0.0020528144646217994,0.0014584019160248651,0.0002401285059922342
AG,H5,C1,logistic,TOP50,6,1044,0.509021242861547,-0.0032687604103633916,-0.0024107714677128467,-0.00026865149173479683
AG,H5,C1,logistic,TOP30,0,1414,0.5222993022696287,-0.008292742057307123,-0.010768734798850987,-2.9140884769300666e-06
AG,H5,C1,logistic,TOP30,1,1657,0.5232419215508279,-0.027413065176239426,-0.05322322462138329,-0.00014474193773783358
AG,H5,C1,logistic,TOP30,2,1604,0.544475072411043,0.006373573581104908,0.004722537151495065,-0.0001901997920412492
AG,H5,C1,logistic,TOP30,3,1112,0.5226157156493181,0.00018845615240670188,0.0001331769352574952,0.0001294679328420995
AG,H5,C1,logistic,TOP30,4,1110,0.542604929614046,0.0044706787472411635,0.003273123703113723,-0.00033217759195027966
AG,H5,C1,logistic,TOP30,5,848,0.547708978844838,0.004074200477534706,0.002902333055553874,0.00027314738066057403
AG,H5,C1,logistic,TOP30,6,665,0.5055468085491431,-0.0041185226816644604,-0.003030948681724155,-0.000298751898292757
AG,H5,C1,logistic,TOP20,0,1340,0.5218677588815076,-0.008707227831382669,-0.011331882347236588,-4.874342305667544e-05
AG,H5,C1,logistic,TOP20,1,1616,0.5223864511162432,-0.028297318803946148,-0.05471041927174336,-0.0001595348055723471
AG,H5,C1,logistic,TOP20,2,1514,0.5461662091723395,0.0067298694280384375,0.004986822533850632,-3.4740963142956024e-05
AG,H5,C1,logistic,TOP20,3,858,0.5255835439254368,0.000898467456851848,0.0006585607437509244,0.00013022149889701685
AG,H5,C1,logistic,TOP20,4,789,0.5506432417843694,0.00626824167099882,0.004591338328780559,-0.0001546049195351286
AG,H5,C1,logistic,TOP20,5,553,0.5351207767396823,0.0007362493534158743,0.0004611241629342011,0.00017548965686470892
AG,H5,C1,logistic,TOP20,6,315,0.4956854838709677,-0.008339615492249042,-0.0061220378414952314,-0.00016932377885056768
AG,H5,C2,gbr,ALL,0,1755,0.5155130487363069,0.003937413040862037,0.002791314944485701,-0.00012133965347325302
AG,H5,C2,gbr,ALL,1,1755,0.5133565689518937,-0.002594193617892371,-0.002078789068396425,-0.0006494394435783064
AG,H5,C2,gbr,ALL,2,1755,0.5439520685847892,0.012080450889022765,0.009171070528520509,-0.00021632688146624852
AG,H5,C2,gbr,ALL,3,1755,0.5273412633455193,-0.0002757401145365712,-0.00019988901292888883,7.436132832084566e-05
AG,H5,C2,gbr,ALL,4,1755,0.5197589970118228,0.0016517553759811676,0.0011925083040242868,-0.00010239720611659406
AG,H5,C2,gbr,ALL,5,1755,0.5353473466538878,0.001036953814994579,0.0007420604274025466,0.00013942377888822856
AG,H5,C2,gbr,ALL,6,1755,0.520962214491157,-0.0006720622403877385,-0.0005137180944545516,-5.305888389498358e-05
AG,H5,C2,gbr,TOP50,0,1506,0.520631325642296,0.005601399884732405,0.003996175275687408,-0.0001189433444518906
AG,H5,C2,gbr,TOP50,1,1695,0.5105428593800687,-0.003219077876538634,-0.0025385816669900585,-0.0006506021568539783
AG,H5,C2,gbr,TOP50,2,1643,0.5280354443884657,0.0012888592779719543,0.001007960827742238,-0.00012856633256589007
AG,H5,C2,gbr,TOP50,3,1447,0.5197790435414198,-0.0022345355769401998,-0.0016141179526889537,3.6502790219974834e-05
AG,H5,C2,gbr,TOP50,4,1380,0.5185669956027472,0.0012048420984999142,0.0008670183813164201,-4.305886728552521e-05
AG,H5,C2,gbr,TOP50,5,1233,0.5369304272289347,0.0027295050833905377,0.001976229513500627,0.0002701735367781112
AG,H5,C2,gbr,TOP50,6,1044,0.506182377380096,-0.0024131291195659266,-0.0017853821167230777,-0.00021693503398244974
AG,H5,C2,gbr,TOP30,0,1414,0.5196767984601812,0.004287447617090434,0.003043403343277462,-2.1585687593840376e-05
AG,H5,C2,gbr,TOP30,1,1657,0.5137183560520652,-0.000970558670041477,-0.0008732399915052369,-0.0004363383245451571
AG,H5,C2,gbr,TOP30,2,1604,0.5258643072249352,0.0006345849364086664,0.0005368972755356305,-0.00020137286087612265
AG,H5,C2,gbr,TOP30,3,1112,0.5088010224717283,-0.004596304876975044,-0.0033340759706410594,3.726857461714927e-05
AG,H5,C2,gbr,TOP30,4,1110,0.5234338475923328,0.0013618116222682275,0.0009767525361615848,-0.00010589287329576536
AG,H5,C2,gbr,TOP30,5,848,0.5509214705702381,0.006474065672535945,0.004689593735616504,0.00036174062812071553
AG,H5,C2,gbr,TOP30,6,665,0.49945708236060593,-0.005554292101327851,-0.004067461213620449,-0.00027948242445187014
AG,H5,C2,gbr,TOP20,0,1340,0.5176959808370816,0.005016036173331795,0.003570880754908412,-3.127410743967642e-05
AG,H5,C2,gbr,TOP20,1,1616,0.519334103156274,0.0014379391682546316,0.0009117164968346358,-0.00045219474062195856
AG,H5,C2,gbr,TOP20,2,1514,0.5323942629687863,0.001959048693834009,0.0014977924887997762,-4.1545775073375845e-05
AG,H5,C2,gbr,TOP20,3,858,0.5092008369337789,-0.002346252989210429,-0.0017067904179521864,-7.30314690733937e-05
AG,H5,C2,gbr,TOP20,4,789,0.5265040033929237,0.0016903662951234244,0.0012042036406223477,4.821155227685838e-05
AG,H5,C2,gbr,TOP20,5,553,0.5452487503598441,0.0041003978105358385,0.002952614763694128,0.0002592894158880711
AG,H5,C2,gbr,TOP20,6,315,0.5133064516129032,-0.0040113571377438095,-0.0029871232097580247,-0.00044670408951236456
AG,H5,C2,logistic,ALL,0,1755,0.5116399992702194,-0.009596599873213263,-0.01067836884911988,-0.0002157058588592797
AG,H5,C2,logistic,ALL,1,1755,0.5250949896078632,-0.025440431867016278,-0.049401669500818146,0.00011313709419359034
AG,H5,C2,logistic,ALL,2,1755,0.546629862960317,0.006093762868968566,0.004512687429679918,-6.345259928904298e-05
AG,H5,C2,logistic,ALL,3,1755,0.5315524583817266,0.0026561706765471094,0.0019244374998277358,3.6363062312573745e-05
AG,H5,C2,logistic,ALL,4,1755,0.5399636221904638,0.0040128452435718165,0.002910296922178146,-2.6182173034254962e-05
AG,H5,C2,logistic,ALL,5,1755,0.5157487082256855,0.00031280823402113356,9.493198398624614e-05,0.00010643099135195671
AG,H5,C2,logistic,ALL,6,1755,0.533538763728198,0.0006666941098902868,0.00044130500398342765,-3.939552055815088e-06
AG,H5,C2,logistic,TOP50,0,1506,0.517821501875575,-0.00964441461580301,-0.011329047344590615,-0.00021688140014318154
AG,H5,C2,logistic,TOP50,1,1695,0.5250497779567547,-0.02636172961087735,-0.051165017378673516,0.00013122181276364376
AG,H5,C2,logistic,TOP50,2,1643,0.5428725957976469,0.005736530433168019,0.004262717448676012,-0.0001650054531911095
AG,H5,C2,logistic,TOP50,3,1447,0.5364387017852364,0.0032869323617182866,0.002380239209132995,0.0001239565123552848
AG,H5,C2,logistic,TOP50,4,1380,0.5409692444414564,0.0042883429631365155,0.003111832183329555,-6.745187483338466e-05
AG,H5,C2,logistic,TOP50,5,1233,0.5234462607596936,0.0012266218351332236,0.0007111989886958714,0.00021679904640364462
AG,H5,C2,logistic,TOP50,6,1044,0.5175910565644406,-0.0024859354699926506,-0.001861533642790958,-0.0001367524947486232
AG,H5,C2,logistic,TOP30,0,1414,0.5193981073061191,-0.009936958612903446,-0.011819733475521899,-0.00012467729443569925
AG,H5,C2,logistic,TOP30,1,1657,0.5221891974992314,-0.027356570613231046,-0.052617387648633995,0.00013358925288012603
AG,H5,C2,logistic,TOP30,2,1604,0.5411106602425673,0.005495702694082727,0.004091741490009793,-0.00013038690878045708
AG,H5,C2,logistic,TOP30,3,1112,0.5276665965604828,0.0008476248819493382,0.0006148147556847006,0.00011307291114893788
AG,H5,C2,logistic,TOP30,4,1110,0.5458612539608332,0.0046402330396619895,0.003366122665431792,-0.00027578081384129844
AG,H5,C2,logistic,TOP30,5,848,0.5486880239421028,0.0028780558522696342,0.0018052417377821817,0.00037464621383927053
AG,H5,C2,logistic,TOP30,6,665,0.5139982264690446,-0.003967206622288888,-0.0029645665417885603,-0.0001898186070330599
AG,H5,C2,logistic,TOP20,0,1340,0.5174837050394274,-0.010801413383611846,-0.012701620518340562,-0.00017287695762916924
AG,H5,C2,logistic,TOP20,1,1616,0.5223248652809853,-0.028022213682065145,-0.0539339476832974,0.00013013310246368093
AG,H5,C2,logistic,TOP20,2,1514,0.5426097942758822,0.00574575152049539,0.004279313333148127,-9.674738326384117e-05
AG,H5,C2,logistic,TOP20,3,858,0.5279910871987173,0.0012530795848515464,0.0009252008921378785,9.454204091598873e-05
AG,H5,C2,logistic,TOP20,4,789,0.5567415080517678,0.006360656373202378,0.004611032640408186,-4.703789074880386e-06
AG,H5,C2,logistic,TOP20,5,553,0.5376854832378111,-0.0012098148707813117,-0.0013052345120942999,0.00030528207935782146
AG,H5,C2,logistic,TOP20,6,315,0.5015322580645161,-0.007898840886837899,-0.00586694386063602,-0.00022477759086654493
AG,H5,C3,gbr,ALL,0,1755,0.5248001574240833,0.0076816869336897575,0.005496541002061872,-0.000151776283703813
AG,H5,C3,gbr,ALL,1,1755,0.5136590753214783,-0.0006583918806677413,-0.0006473690856982905,-0.0010969675495789278
AG,H5,C3,gbr,ALL,2,1755,0.5510657920374099,0.013277067529053443,0.009969191382642073,2.255788010638139e-05
AG,H5,C3,gbr,ALL,3,1755,0.531948049585961,0.00041866719370631245,0.00030809133303821845,0.00010232580344287134
AG,H5,C3,gbr,ALL,4,1755,0.5202436014031441,0.0015574820148047674,0.0011173440263646528,-0.0001316536733034067
AG,H5,C3,gbr,ALL,5,1755,0.53055007188099,0.00011027849050138094,6.707370732617068e-05,8.250182299052008e-05
AG,H5,C3,gbr,ALL,6,1755,0.5229154054608803,-0.0002416091265808884,-0.00019168160904814435,-0.00010728862434850873
AG,H5,C3,gbr,TOP50,0,1506,0.5312690211621488,0.009562420558699714,0.006852929844628375,-3.456636489431495e-05
AG,H5,C3,gbr,TOP50,1,1695,0.5100331946262179,-0.0014063668202204394,-0.001194456026576196,-0.0011587520058665003
AG,H5,C3,gbr,TOP50,2,1643,0.5361052662774501,0.002204704045596917,0.001576288157901451,0.0001585813709503455
AG,H5,C3,gbr,TOP50,3,1447,0.5275612599870025,-0.0011882334834429908,-0.0008528598912069807,9.598770871329691e-05
AG,H5,C3,gbr,TOP50,4,1380,0.5268793371136121,0.0027324277718466794,0.00196620285098581,2.523946159868335e-06
AG,H5,C3,gbr,TOP50,5,1233,0.5241741030298245,-0.00015100408492241257,-0.0001168485412887943,0.00017145802828926878
AG,H5,C3,gbr,TOP50,6,1044,0.5067916232364902,-0.001798068686642118,-0.0013234572069491524,-0.00028429534871787256
AG,H5,C3,gbr,TOP30,0,1414,0.529767824204026,0.007586113501350411,0.005410885517385222,-1.3243279227735794e-05
AG,H5,C3,gbr,TOP30,1,1657,0.5126173150412159,0.00024830414450249805,1.5977866253513717e-05,-0.0009740542694833393
AG,H5,C3,gbr,TOP30,2,1604,0.5340879939925653,0.0015828074577018958,0.00112665760638464,0.00014755189868320728
AG,H5,C3,gbr,TOP30,3,1112,0.5224442251379204,-0.0025629092828474143,-0.0018590251946077885,0.00021317037249832433
AG,H5,C3,gbr,TOP30,4,1110,0.5337271440444653,0.002977811323963686,0.0021374622657250875,1.979594773381998e-05
AG,H5,C3,gbr,TOP30,5,848,0.5446077422441271,0.004704425724079808,0.003400741148006148,0.0003825593525607453
AG,H5,C3,gbr,TOP30,6,665,0.5038818611216679,-0.0032083544200849357,-0.0023439868264112373,-0.00021523064188374482
AG,H5,C3,gbr,TOP20,0,1340,0.5287164464584576,0.00853279996918177,0.006092320545458496,-3.528346630210013e-05
AG,H5,C3,gbr,TOP20,1,1616,0.518337182448037,0.002078802755501319,0.001356755020761602,-0.0009671708950774449
AG,H5,C3,gbr,TOP20,2,1514,0.5397932812028291,0.002587219748384939,0.0018503716172573181,0.00010173962044591891
AG,H5,C3,gbr,TOP20,3,858,0.5208228037281596,-0.00024140216364365585,-0.0001691134807291217,-2.090084972002631e-05
AG,H5,C3,gbr,TOP20,4,789,0.5413448315747535,0.00464699599247953,0.0033436965092871196,0.00029262856890942106
AG,H5,C3,gbr,TOP20,5,553,0.5360432859647745,0.0017910828512298638,0.0012756714356993992,0.00034134998183488695
AG,H5,C3,gbr,TOP20,6,315,0.49828629032258065,-0.004088786120539201,-0.002997887553499501,-0.0003712829788575225
AG,H5,C3,logistic,ALL,0,1755,0.5144613828819554,-0.007494255554784557,-0.009266804696014264,-0.000221170790641706
AG,H5,C3,logistic,ALL,1,1755,0.5310029911621199,-0.02447197200695017,-0.049583400169965985,0.00013295372998882018
AG,H5,C3,logistic,ALL,2,1755,0.5489978567253361,0.00616876872185379,0.0045332603087469,2.2175023427422556e-06
AG,H5,C3,logistic,ALL,3,1755,0.524390243902439,0.001797427513087424,0.0013062146879286862,2.0583261886760083e-05
AG,H5,C3,logistic,ALL,4,1755,0.5380953618292841,0.0033599436022774265,0.0024463317075955615,-0.00014030145930548667
AG,H5,C3,logistic,ALL,5,1755,0.5145142303525294,0.0004930391348139107,0.000333537861670008,8.649705326001515e-05
AG,H5,C3,logistic,ALL,6,1755,0.5261767861921676,-0.0006061487336419535,-0.0004861924300241238,-0.00015597891716897304
AG,H5,C3,logistic,TOP50,0,1506,0.5196103758227758,-0.007823819324589865,-0.010139647799301432,-0.00015269828201622168
AG,H5,C3,logistic,TOP50,1,1695,0.5295549626944976,-0.025721284170456382,-0.05161605869060293,0.00011881928933272862
AG,H5,C3,logistic,TOP50,2,1643,0.5417790356518389,0.005449991431290213,0.004019990693369002,-0.00014263830911326512
AG,H5,C3,logistic,TOP50,3,1447,0.5314213081539814,0.0026599380026506303,0.0019293560688126155,9.037924478047922e-05
AG,H5,C3,logistic,TOP50,4,1380,0.5396267482388929,0.00392739133642328,0.0028621454531121415,-0.0002531597396386414
AG,H5,C3,logistic,TOP50,5,1233,0.5213877701439891,0.001656493818693594,0.0011710366930418603,0.00014147775862901617
AG,H5,C3,logistic,TOP50,6,1044,0.5061988930810224,-0.004406591820783401,-0.0032622517282254737,-0.00022745523990960496
AG,H5,C3,logistic,TOP30,0,1414,0.5222592028230011,-0.008139252885375647,-0.01065731765817346,1.3783056498449853e-05
AG,H5,C3,logistic,TOP30,1,1657,0.5253297998506566,-0.026945444352944214,-0.053254968668513536,-5.523102524184907e-05
AG,H5,C3,logistic,TOP30,2,1604,0.5402493458519316,0.005222295732636328,0.00385763942070827,-0.00015905934827256516
AG,H5,C3,logistic,TOP30,3,1112,0.5226351296694763,0.00032054498769451545,0.0002369173494269905,5.248220687864395e-05
AG,H5,C3,logistic,TOP30,4,1110,0.5411147472858553,0.004051076075906268,0.00295610045576733,-0.00046526792406410746
AG,H5,C3,logistic,TOP30,5,848,0.5413729994937891,0.00354593013015414,0.0025156468488740646,0.00017549844801035373
AG,H5,C3,logistic,TOP30,6,665,0.5035289646560617,-0.005226071094152518,-0.0038597727872595744,-0.00030233601233681283
AG,H5,C3,logistic,TOP20,0,1340,0.5218699933635882,-0.00853445164172606,-0.011206335180810045,-3.849824505039416e-05
AG,H5,C3,logistic,TOP20,1,1616,0.5244526558891455,-0.02781142371062062,-0.05473796270267006,-6.589600915304129e-05
AG,H5,C3,logistic,TOP20,2,1514,0.5414807459746025,0.0054165689385224924,0.004002772248116626,-6.286971294903521e-05
AG,H5,C3,logistic,TOP20,3,858,0.525203119480449,0.0010232979699965616,0.0007609941330123382,0.00011471438416106627
AG,H5,C3,logistic,TOP20,4,789,0.5487797041473351,0.005894043291529871,0.004302818956615551,-0.00015953262858102427
AG,H5,C3,logistic,TOP20,5,553,0.5245348198162832,-0.0005408512348616945,-0.00047072077906462617,0.00012354131683577362
