variant,decile,n,predicted_mean,actual_mean,trade_rate
V9_OLD96_VOL__Yopp_PCT,0,1807,-0.002794731102495522,-0.0017355322896171746,0.32205778717406625
V9_OLD96_VOL__Yopp_PCT,1,1807,-0.0019430272097486984,-0.0014160506775568512,0.303971119133574
V9_OLD96_VOL__Yopp_PCT,2,1807,-0.0015269812922988281,-0.0012606961789549244,0.30137981118373275
V9_OLD96_VOL__Yopp_PCT,3,1806,-0.0012459385539420789,-0.0012880485156169328,0.31647398843930635
V9_OLD96_VOL__Yopp_PCT,4,1807,-0.0009536256101325194,-0.000997828513013142,0.34368383909668315
V9_OLD96_VOL__Yopp_PCT,5,1807,-0.0007142748107684305,-0.0010127568453367859,0.3436185133239832
V9_OLD96_VOL__Yopp_PCT,6,1806,-0.0005083312157955876,-0.001156385193996561,0.3143264433357092
V9_OLD96_VOL__Yopp_PCT,7,1807,-0.00025591466278965843,-0.0011398501819585502,0.29542203147353363
V9_OLD96_VOL__Yopp_PCT,8,1807,1.1003998304279345e-05,-0.0012814207488584593,0.3089311859443631
V9_OLD96_VOL__Yopp_PCT,9,1807,0.0005026188570637389,-0.001085696452066635,0.2905551550108147
V7_FIELD_VOL__Yopp_PCT,0,1807,-0.0025949026799686283,-0.001708112238040307,0.2870503597122302
V7_FIELD_VOL__Yopp_PCT,1,1807,-0.0021782882953528737,-0.001174393919851544,0.3044412607449857
V7_FIELD_VOL__Yopp_PCT,2,1807,-0.0019405694989865615,-0.0012093791346661853,0.3209435310936383
V7_FIELD_VOL__Yopp_PCT,3,1806,-0.0017496709804848735,-0.0009788612941199685,0.34024896265560167
V7_FIELD_VOL__Yopp_PCT,4,1807,-0.0015764410382595076,-0.0011192815134493795,0.3280461427541456
V7_FIELD_VOL__Yopp_PCT,5,1807,-0.0014045545461755292,-0.0010814839645251135,0.3125
V7_FIELD_VOL__Yopp_PCT,6,1806,-0.001224351840222454,-0.0011010322433395046,0.31724627395315824
V7_FIELD_VOL__Yopp_PCT,7,1807,-0.0010304643309525274,-0.0011836302471095767,0.3086158192090395
V7_FIELD_VOL__Yopp_PCT,8,1807,-0.0007565415719426825,-0.0013204228768691013,0.3248045486851457
V7_FIELD_VOL__Yopp_PCT,9,1807,-0.0003320309282959158,-0.0014974664272232924,0.2964071856287425
V0_OLD96__Yopp_ATR200,0,1807,-0.9261874546919351,-0.6126927029003951,0.32549857549857547
V0_OLD96__Yopp_ATR200,1,1807,-0.7478855231340422,-0.5523881871067655,0.3447782546494993
V0_OLD96__Yopp_ATR200,2,1807,-0.6761303082313137,-0.5382426641361856,0.31022158684774837
V0_OLD96__Yopp_ATR200,3,1806,-0.6305286731023041,-0.553755413450378,0.3222543352601156
V0_OLD96__Yopp_ATR200,4,1807,-0.5930615734811127,-0.5868409619313966,0.3189033189033189
V0_OLD96__Yopp_ATR200,5,1807,-0.5559371839688225,-0.5635596177780402,0.3040396881644224
V0_OLD96__Yopp_ATR200,6,1806,-0.5151174923623173,-0.5396348679989558,0.31424481030780244
V0_OLD96__Yopp_ATR200,7,1807,-0.46132276212095874,-0.5021776002898825,0.3147208121827411
V0_OLD96__Yopp_ATR200,8,1807,-0.3859223432304319,-0.5559163500218365,0.2903225806451613
V0_OLD96__Yopp_ATR200,9,1807,-0.24206528579947217,-0.561719870905263,0.29737402413058905
V4_FIELD_CORE__Yopp_ATR200,0,1807,-0.7914130178319242,-0.6231239851858466,0.33640880056777855
V4_FIELD_CORE__Yopp_ATR200,1,1807,-0.7022197613782966,-0.6177843945551343,0.29510591672753833
V4_FIELD_CORE__Yopp_ATR200,2,1807,-0.6587509485937391,-0.49801366959286447,0.3485177151120752
V4_FIELD_CORE__Yopp_ATR200,3,1806,-0.6218384856747134,-0.5295543018269643,0.319375443577005
V4_FIELD_CORE__Yopp_ATR200,4,1807,-0.5883450566854517,-0.5933334702216546,0.30713770728190337
V4_FIELD_CORE__Yopp_ATR200,5,1807,-0.5553745164556175,-0.5697807694299144,0.3109182935647144
V4_FIELD_CORE__Yopp_ATR200,6,1806,-0.5210711437628943,-0.5274372748485548,0.2935323383084577
V4_FIELD_CORE__Yopp_ATR200,7,1807,-0.48277218372059577,-0.5333129297563982,0.29848594087959623
V4_FIELD_CORE__Yopp_ATR200,8,1807,-0.4329430662233145,-0.542196052632327,0.31511710432931156
V4_FIELD_CORE__Yopp_ATR200,9,1807,-0.32934532822901547,-0.5323712453013307,0.3171247357293869
V9_OLD96_VOL__Yopp_ATR200,0,1807,-0.9636479189519375,-0.622743414611053,0.3191186922530206
V9_OLD96_VOL__Yopp_ATR200,1,1807,-0.7875584983337744,-0.6017285262835543,0.34011627906976744
V9_OLD96_VOL__Yopp_ATR200,2,1807,-0.7084905058246246,-0.5219930815165688,0.3277777777777778
V9_OLD96_VOL__Yopp_ATR200,3,1806,-0.6581413612564451,-0.5132101114037652,0.3416726233023588
V9_OLD96_VOL__Yopp_ATR200,4,1807,-0.6163326074194908,-0.6158375304128687,0.2899926953981008
V9_OLD96_VOL__Yopp_ATR200,5,1807,-0.5783878543913763,-0.5325308118020196,0.3181494661921708
V9_OLD96_VOL__Yopp_ATR200,6,1806,-0.5352986954506515,-0.5685765318672933,0.30523255813953487
V9_OLD96_VOL__Yopp_ATR200,7,1807,-0.47971233003329605,-0.49824336523860446,0.31695156695156695
V9_OLD96_VOL__Yopp_ATR200,8,1807,-0.3965864229796364,-0.539298981244357,0.2844702467343977
V9_OLD96_VOL__Yopp_ATR200,9,1807,-0.23832284164375556,-0.5527594606458337,0.2975852272727273
V7_FIELD_VOL__Yopp_ATR200,0,1807,-0.8022445885332788,-0.6608031790314476,0.3291228070175439
V7_FIELD_VOL__Yopp_ATR200,1,1807,-0.7124101097698723,-0.5702550832285422,0.32451751250893496
V7_FIELD_VOL__Yopp_ATR200,2,1807,-0.6671415393439569,-0.5840138951302184,0.3217522658610272
V7_FIELD_VOL__Yopp_ATR200,3,1806,-0.6318807213168753,-0.5348910939517063,0.3145275035260931
V7_FIELD_VOL__Yopp_ATR200,4,1807,-0.5996100167127271,-0.5866911982037659,0.29950669485553205
V7_FIELD_VOL__Yopp_ATR200,5,1807,-0.5651445832538308,-0.5839622583399456,0.3164005805515239
V7_FIELD_VOL__Yopp_ATR200,6,1806,-0.5314003361672461,-0.4915758342974711,0.32075471698113206
V7_FIELD_VOL__Yopp_ATR200,7,1807,-0.49232113465178157,-0.5175264209758693,0.2890625
V7_FIELD_VOL__Yopp_ATR200,8,1807,-0.44141454892235804,-0.5125342056612799,0.310567936736161
V7_FIELD_VOL__Yopp_ATR200,9,1807,-0.33614484887161644,-0.5246380320855706,0.31645569620253167
