bar_index,time,close,oracle_position,oracle_action,oracle_delta,oracle_prev_position,oracle_transition,oracle_entry_side,penalty_bp
2633,2026-07-24 01:00:00,14122.0,-1,HOLD,0,-1,-1->-1,,50
2634,2026-07-24 02:00:00,14110.0,-1,HOLD,0,-1,-1->-1,,50
2635,2026-07-24 09:00:00,14138.0,-1,HOLD,0,-1,-1->-1,,50
2636,2026-07-24 10:00:00,14016.0,1,BUY,2,-1,-1->1,BUY,50
2637,2026-07-24 11:00:00,14021.0,1,HOLD,0,1,1->1,,50
2638,2026-07-24 13:00:00,14058.0,1,HOLD,0,1,1->1,,50
2639,2026-07-24 14:00:00,14154.0,1,HOLD,0,1,1->1,,50
2640,2026-07-24 21:00:00,14300.0,1,HOLD,0,1,1->1,,50
2641,2026-07-24 22:00:00,14338.0,1,HOLD,0,1,1->1,,50
2642,2026-07-24 23:00:00,14433.0,1,HOLD,0,1,1->1,,50
2643,2026-07-25 00:00:00,14379.0,1,HOLD,0,1,1->1,,50
2644,2026-07-25 01:00:00,14365.0,1,HOLD,0,1,1->1,,50
2645,2026-07-25 02:00:00,14323.0,1,HOLD,0,1,1->1,,50
2646,2026-07-27 09:00:00,14671.0,-1,SELL,-2,1,1->-1,SELL,50
2647,2026-07-27 10:00:00,14556.0,-1,HOLD,0,-1,-1->-1,,50
2648,2026-07-27 11:00:00,14545.0,-1,HOLD,0,-1,-1->-1,,50
2649,2026-07-27 13:00:00,14584.0,-1,HOLD,0,-1,-1->-1,,50
2650,2026-07-27 14:00:00,14558.0,-1,HOLD,0,-1,-1->-1,,50
2651,2026-07-27 21:00:00,14351.0,-1,HOLD,0,-1,-1->-1,,50
2652,2026-07-27 22:00:00,14374.0,-1,HOLD,0,-1,-1->-1,,50
2653,2026-07-27 23:00:00,14371.0,-1,HOLD,0,-1,-1->-1,,50
2654,2026-07-28 00:00:00,14390.0,-1,HOLD,0,-1,-1->-1,,50
2655,2026-07-28 01:00:00,14364.0,-1,HOLD,0,-1,-1->-1,,50
2656,2026-07-28 02:00:00,14322.0,-1,HOLD,0,-1,-1->-1,,50
2657,2026-07-28 09:00:00,14035.0,-1,HOLD,0,-1,-1->-1,,50
2658,2026-07-28 10:00:00,14028.0,-1,HOLD,0,-1,-1->-1,,50
2659,2026-07-28 11:00:00,14052.0,-1,HOLD,0,-1,-1->-1,,50
2660,2026-07-28 13:00:00,13977.0,-1,HOLD,0,-1,-1->-1,,50
2661,2026-07-28 14:00:00,14088.0,-1,HOLD,0,-1,-1->-1,,50
2662,2026-07-28 21:00:00,13951.0,1,BUY,2,-1,-1->1,BUY,50
2663,2026-07-28 22:00:00,13989.0,1,HOLD,0,1,1->1,,50
2664,2026-07-28 23:00:00,14068.0,1,HOLD,0,1,1->1,,50
2665,2026-07-29 00:00:00,14046.0,1,HOLD,0,1,1->1,,50
2666,2026-07-29 01:00:00,14010.0,1,HOLD,0,1,1->1,,50
2667,2026-07-29 02:00:00,14016.0,1,HOLD,0,1,1->1,,50
2668,2026-07-29 09:00:00,14101.0,1,HOLD,0,1,1->1,,50
2669,2026-07-29 10:00:00,14141.0,1,HOLD,0,1,1->1,,50
2670,2026-07-29 11:00:00,14102.0,1,HOLD,0,1,1->1,,50
2671,2026-07-29 13:00:00,14168.0,1,HOLD,0,1,1->1,,50
2672,2026-07-29 14:00:00,14268.0,-1,SELL,-2,1,1->-1,SELL,50
2673,2026-07-29 21:00:00,13975.0,1,BUY,2,-1,-1->1,BUY,50
2674,2026-07-29 22:00:00,14005.0,1,HOLD,0,1,1->1,,50
2675,2026-07-29 23:00:00,14011.0,1,HOLD,0,1,1->1,,50
2676,2026-07-30 00:00:00,14188.0,1,HOLD,0,1,1->1,,50
2677,2026-07-30 01:00:00,14256.0,1,HOLD,0,1,1->1,,50
2678,2026-07-30 02:00:00,14324.0,1,HOLD,0,1,1->1,,50
2679,2026-07-30 09:00:00,14348.0,-1,SELL,-2,1,1->-1,SELL,50
2680,2026-07-30 10:00:00,14178.0,-1,HOLD,0,-1,-1->-1,,50
2681,2026-07-30 11:00:00,14088.0,-1,HOLD,0,-1,-1->-1,,50
2682,2026-07-30 13:00:00,14003.0,1,BUY,2,-1,-1->1,BUY,50
2683,2026-07-30 14:00:00,14032.0,1,HOLD,0,1,1->1,,50
2684,2026-07-30 21:00:00,14293.0,1,HOLD,0,1,1->1,,50
2685,2026-07-30 22:00:00,14290.0,1,HOLD,0,1,1->1,,50
2686,2026-07-30 23:00:00,14324.0,1,HOLD,0,1,1->1,,50
2687,2026-07-31 00:00:00,14361.0,1,HOLD,0,1,1->1,,50
2688,2026-07-31 01:00:00,14376.0,1,HOLD,0,1,1->1,,50
2689,2026-07-31 02:00:00,14402.0,-1,SELL,-2,1,1->-1,SELL,50
