aux_region,wf,cost_R,n_rows,unique_contacts,overlap_with_primary_contacts,gross_E_R_lower,net_E_R_lower,coverage_class
A6,WF1,0.01,240,240,60.0,0.0203072995243266,0.0103072995243266,
A6,WF1,0.02,240,240,60.0,0.0203072995243266,0.00030729952432659996,
A6,WF1,0.03,240,240,60.0,0.0203072995243266,-0.009692700475673399,
A6,WF1,0.05,240,240,60.0,0.0203072995243266,-0.029692700475673402,
A6,WF1,0.1,240,240,60.0,0.0203072995243266,-0.07969270047567341,
A6,WF2,0.0,308,308,69.0,0.1512105400155429,0.1512105400155429,
A6,WF2,0.01,308,308,69.0,0.1512105400155429,0.1412105400155429,
A6,WF2,0.02,308,308,69.0,0.1512105400155429,0.13121054001554291,
A6,WF2,0.03,308,308,69.0,0.1512105400155429,0.1212105400155429,
A6,WF2,0.05,308,308,69.0,0.1512105400155429,0.1012105400155429,
A6,WF2,0.1,308,308,69.0,0.1512105400155429,0.0512105400155429,
A6,WF3,0.0,257,257,54.0,0.09705912868917242,0.09705912868917242,
A6,WF3,0.01,257,257,54.0,0.09705912868917242,0.08705912868917243,
A6,WF3,0.02,257,257,54.0,0.09705912868917242,0.07705912868917242,
A6,WF3,0.03,257,257,54.0,0.09705912868917242,0.06705912868917242,
A6,WF3,0.05,257,257,54.0,0.09705912868917242,0.04705912868917242,
A6,WF3,0.1,257,257,54.0,0.09705912868917242,-0.0029408713108275836,
COVERAGE,ALL,,8748,8748,,,,primary_only
COVERAGE,ALL,,1461,1461,,,,auxiliary_only
COVERAGE,ALL,,267,267,,,,both
COVERAGE,ALL,,63409,63409,,,,neither
