symbol,source_tf,direction,policy,stop_atr,target_r,horizon,n,n_weighted,n_result,mean_R,mean_R_event,median_R,positive_R_rate,p10_R,p90_R,target_hit_rate,stop_hit_rate,timeout_rate,both_hit_rate,gap_stop_rate,gap_target_rate
ALL,15m,follow,conservative,0.75,2.5,6,4632,2935.432,4632,0.006364,-0.001774,-1.0,0.359024,-1.0,2.5,0.154793,0.572107,0.270941,0.002159,0.000648,0.0
ALL,1h,follow,conservative,0.75,2.5,6,1953,1333.3206,1953,-0.05441,-0.033883,-1.0,0.351254,-1.0,2.5,0.140809,0.578085,0.278546,0.00256,0.001024,0.0
ALL,5m,follow,conservative,0.75,3.0,6,9898,7043.2474,9898,-0.005294,-0.001986,-1.0,0.35886,-1.0,2.711965,0.099717,0.582037,0.31663,0.001616,0.000707,0.000101
ALL,15m,follow,conservative,0.75,3.0,6,4632,2935.432,4632,-0.005083,-0.01423,-1.0,0.353411,-1.0,2.374306,0.094344,0.575777,0.328584,0.001295,0.000648,0.0
ALL,1h,follow,conservative,0.75,3.0,6,1953,1333.3206,1953,-0.053072,-0.034521,-1.0,0.346646,-1.0,2.156141,0.08807,0.582181,0.328213,0.001536,0.001024,0.000512
ALL,5m,follow,conservative,1.0,1.0,6,9898,7043.2474,9898,-0.005564,0.003468,0.0,0.492827,-1.0,1.0,0.431905,0.427258,0.13629,0.004546,0.00101,0.0
ALL,15m,follow,conservative,1.0,1.0,6,4632,2935.432,4632,0.000858,-0.004763,0.0,0.487478,-1.0,1.0,0.42595,0.427461,0.142487,0.004102,0.000648,0.000432
ALL,1h,follow,conservative,1.0,1.0,6,1953,1333.3206,1953,-0.023895,-0.015084,0.0,0.481823,-1.0,1.0,0.416795,0.434204,0.145929,0.003072,0.001536,0.000512
ALL,5m,follow,conservative,1.0,1.5,6,9898,7043.2474,9898,-0.005887,0.00527,-0.343527,0.436452,-1.0,1.5,0.264498,0.464538,0.268842,0.002122,0.00101,0.000404
ALL,15m,follow,conservative,1.0,1.5,6,4632,2935.432,4632,-0.005228,-0.010116,-0.416808,0.427029,-1.0,1.5,0.25842,0.465889,0.2731,0.002591,0.000648,0.0
ALL,1h,follow,conservative,1.0,1.5,6,1953,1333.3206,1953,-0.038385,-0.019902,-0.363799,0.423963,-1.0,1.5,0.244752,0.467486,0.285202,0.00256,0.001536,0.001024
ALL,5m,follow,conservative,1.0,2.0,6,9898,7043.2474,9898,-0.008209,0.003219,-0.45302,0.418165,-1.0,2.0,0.151344,0.47454,0.372499,0.001616,0.00101,0.0
ALL,15m,follow,conservative,1.0,2.0,6,4632,2935.432,4632,-0.011105,-0.013282,-0.493988,0.408679,-1.0,2.0,0.146157,0.474093,0.377591,0.002159,0.000648,0.0
ALL,1h,follow,conservative,1.0,2.0,6,1953,1333.3206,1953,-0.060256,-0.039749,-0.520584,0.403482,-1.0,2.0,0.13108,0.478239,0.388121,0.00256,0.001536,0.0
ALL,5m,follow,conservative,1.0,2.5,6,9898,7043.2474,9898,-0.013689,-0.00516,-0.490182,0.41271,-1.0,1.799867,0.081835,0.477268,0.439685,0.001212,0.00101,0.000404
ALL,15m,follow,conservative,1.0,2.5,6,4632,2935.432,4632,-0.017008,-0.021893,-0.506267,0.404577,-1.0,1.711535,0.076425,0.476684,0.445596,0.001295,0.000648,0.0
ALL,1h,follow,conservative,1.0,2.5,6,1953,1333.3206,1953,-0.051945,-0.035014,-0.564848,0.399898,-1.0,1.654322,0.074757,0.481311,0.442396,0.001536,0.001536,0.0
ALL,5m,follow,conservative,1.0,3.0,6,9898,7043.2474,9898,-0.010559,-0.00119,-0.495852,0.411295,-1.0,1.696245,0.047888,0.478076,0.472823,0.001212,0.00101,0.000101
ALL,15m,follow,conservative,1.0,3.0,6,4632,2935.432,4632,-0.009759,-0.015329,-0.506981,0.404145,-1.0,1.662885,0.044473,0.477116,0.477116,0.001295,0.000648,0.0
ALL,1h,follow,conservative,1.0,3.0,6,1953,1333.3206,1953,-0.048712,-0.028716,-0.565696,0.398874,-1.0,1.611262,0.043523,0.482335,0.473118,0.001024,0.001536,0.0
ALL,5m,follow,conservative,1.25,1.0,6,9898,7043.2474,9898,-0.011307,-0.005752,0.0,0.488584,-1.0,1.0,0.355223,0.371287,0.271469,0.002021,0.000202,0.000505
ALL,15m,follow,conservative,1.25,1.0,6,4632,2935.432,4632,-0.002272,-0.010377,0.0,0.486183,-1.0,1.0,0.352547,0.369603,0.275043,0.002807,0.000216,0.000648
ALL,1h,follow,conservative,1.25,1.0,6,1953,1333.3206,1953,-0.031558,-0.025823,0.0,0.477727,-1.0,1.0,0.339478,0.374808,0.283666,0.002048,0.0,0.001536
ALL,5m,follow,conservative,1.25,1.5,6,9898,7043.2474,9898,-0.01142,-0.005973,-0.118011,0.453122,-1.0,1.5,0.18236,0.388765,0.42746,0.001414,0.000404,0.000101
ALL,15m,follow,conservative,1.25,1.5,6,4632,2935.432,4632,-0.009371,-0.016546,-0.138427,0.446675,-1.0,1.5,0.178541,0.387737,0.431995,0.001727,0.000216,0.0
ALL,1h,follow,conservative,1.25,1.5,6,1953,1333.3206,1953,-0.059358,-0.045968,-0.150381,0.437788,-1.0,1.5,0.157706,0.389657,0.450589,0.002048,0.0,0.0
ALL,5m,follow,conservative,1.25,2.0,6,9898,7043.2474,9898,-0.018179,-0.013995,-0.14725,0.444231,-1.0,1.476238,0.085573,0.391998,0.521216,0.001212,0.000404,0.000404
ALL,15m,follow,conservative,1.25,2.0,6,4632,2935.432,4632,-0.015674,-0.023293,-0.155551,0.439767,-1.0,1.432706,0.081606,0.390112,0.526986,0.001295,0.000216,0.0
ALL,1h,follow,conservative,1.25,2.0,6,1953,1333.3206,1953,-0.052532,-0.040791,-0.166488,0.432156,-1.0,1.337279,0.076805,0.391705,0.529954,0.001536,0.0,0.0
ALL,5m,follow,conservative,1.25,2.5,6,9898,7043.2474,9898,-0.01413,-0.009181,-0.151969,0.443221,-1.0,1.38139,0.043443,0.392301,0.563043,0.001212,0.000404,0.000202
ALL,15m,follow,conservative,1.25,2.5,6,4632,2935.432,4632,-0.010702,-0.017898,-0.156752,0.439335,-1.0,1.363667,0.039292,0.390112,0.569301,0.001295,0.000216,0.000216
ALL,1h,follow,conservative,1.25,2.5,6,1953,1333.3206,1953,-0.047864,-0.034263,-0.169881,0.431132,-1.0,1.300696,0.037378,0.392217,0.56938,0.001024,0.0,0.0
ALL,5m,follow,conservative,1.25,3.0,6,9898,7043.2474,9898,-0.015911,-0.009535,-0.152022,0.44312,-1.0,1.360708,0.022025,0.392504,0.584462,0.00101,0.000404,0.0
ALL,15m,follow,conservative,1.25,3.0,6,4632,2935.432,4632,-0.010501,-0.01556,-0.156752,0.439335,-1.0,1.356388,0.021589,0.390112,0.587003,0.001295,0.000216,0.0
ALL,1h,follow,conservative,1.25,3.0,6,1953,1333.3206,1953,-0.047654,-0.032156,-0.169881,0.43062,-1.0,1.294538,0.020481,0.392217,0.586278,0.001024,0.0,0.0
ALL,5m,follow,conservative,1.5,1.0,6,9898,7043.2474,9898,-0.011424,-0.005681,0.0,0.491008,-1.0,1.0,0.283189,0.309659,0.406547,0.000606,0.001111,0.000404
ALL,15m,follow,conservative,1.5,1.0,6,4632,2935.432,4632,-0.005836,-0.00841,0.0,0.486183,-1.0,1.0,0.280656,0.305915,0.412349,0.001079,0.001295,0.0
ALL,1h,follow,conservative,1.5,1.0,6,1953,1333.3206,1953,-0.038804,-0.021466,0.0,0.484383,-1.0,1.0,0.261137,0.308756,0.428059,0.002048,0.001536,0.001024
ALL,5m,follow,conservative,1.5,1.5,6,9898,7043.2474,9898,-0.016329,-0.013035,0.0,0.468377,-1.0,1.5,0.116791,0.317741,0.565064,0.000404,0.001111,0.000101
ALL,15m,follow,conservative,1.5,1.5,6,4632,2935.432,4632,-0.012804,-0.015848,0.0,0.463515,-1.0,1.5,0.11399,0.31304,0.572755,0.000216,0.001295,0.0
ALL,1h,follow,conservative,1.5,1.5,6,1953,1333.3206,1953,-0.052487,-0.036519,-0.039131,0.459805,-1.0,1.236379,0.099334,0.316436,0.583717,0.000512,0.001536,0.000512
ALL,5m,follow,conservative,1.5,2.0,6,9898,7043.2474,9898,-0.015149,-0.009518,0.0,0.465953,-1.0,1.173346,0.051425,0.318448,0.629723,0.000404,0.001111,0.000101
ALL,15m,follow,conservative,1.5,2.0,6,4632,2935.432,4632,-0.007918,-0.010696,0.0,0.462651,-1.0,1.153167,0.048791,0.313256,0.637737,0.000216,0.001295,0.0
ALL,1h,follow,conservative,1.5,2.0,6,1953,1333.3206,1953,-0.04521,-0.026524,-0.042104,0.458781,-1.0,1.093738,0.046083,0.316948,0.636969,0.0,0.001536,0.0
ALL,5m,follow,conservative,1.5,2.5,6,9898,7043.2474,9898,-0.015557,-0.008597,0.0,0.465852,-1.0,1.145324,0.023237,0.31865,0.657911,0.000202,0.001111,0.0
ALL,15m,follow,conservative,1.5,2.5,6,4632,2935.432,4632,-0.008191,-0.00792,0.0,0.462435,-1.0,1.139807,0.023316,0.313256,0.663212,0.000216,0.001295,0.0
ALL,1h,follow,conservative,1.5,2.5,6,1953,1333.3206,1953,-0.043561,-0.023424,-0.042104,0.458269,-1.0,1.085548,0.021505,0.316948,0.661546,0.0,0.001536,0.0
ALL,5m,follow,conservative,1.5,3.0,6,9898,7043.2474,9898,-0.015139,-0.008983,0.0,0.465751,-1.0,1.14108,0.011315,0.31865,0.669832,0.000202,0.001111,0.0
ALL,15m,follow,conservative,1.5,3.0,6,4632,2935.432,4632,-0.0082,-0.007939,0.0,0.462219,-1.0,1.138254,0.011874,0.313256,0.674655,0.000216,0.001295,0.0
ALL,1h,follow,conservative,1.5,3.0,6,1953,1333.3206,1953,-0.044583,-0.025915,-0.042104,0.458269,-1.0,1.079916,0.009217,0.316948,0.673835,0.0,0.001536,0.0
ALL,5m,follow,conservative,2.0,1.0,6,9898,7043.2474,9898,-0.012653,-0.009311,0.0,0.494847,-1.0,1.0,0.165286,0.208729,0.625581,0.000404,0.000101,0.0
ALL,15m,follow,conservative,2.0,1.0,6,4632,2935.432,4632,-0.001037,-0.005575,0.0,0.490933,-1.0,1.0,0.16386,0.200345,0.634931,0.000864,0.0,0.0
ALL,1h,follow,conservative,2.0,1.0,6,1953,1333.3206,1953,-0.053743,-0.04212,0.0,0.476703,-1.0,1.0,0.141321,0.21147,0.646185,0.001024,0.0,0.0
ALL,5m,follow,conservative,2.0,1.5,6,9898,7043.2474,9898,-0.013477,-0.010657,0.0,0.48828,-1.0,0.889579,0.052132,0.210042,0.737523,0.000303,0.000101,0.000101
ALL,15m,follow,conservative,2.0,1.5,6,4632,2935.432,4632,-0.000555,-0.006197,0.0,0.486183,-1.0,0.877183,0.04987,0.201857,0.748057,0.000216,0.0,0.0
ALL,1h,follow,conservative,2.0,1.5,6,1953,1333.3206,1953,-0.04841,-0.037069,0.0,0.47107,-1.0,0.830238,0.046083,0.212494,0.741423,0.0,0.0,0.0
ALL,5m,follow,conservative,2.0,2.0,6,9898,7043.2474,9898,-0.014077,-0.011289,0.0,0.488078,-1.0,0.867183,0.017074,0.210143,0.77258,0.000202,0.000101,0.0
ALL,15m,follow,conservative,2.0,2.0,6,4632,2935.432,4632,-0.001082,-0.005662,0.0,0.485751,-1.0,0.861636,0.017487,0.201857,0.78044,0.000216,0.0,0.0
ALL,1h,follow,conservative,2.0,2.0,6,1953,1333.3206,1953,-0.048794,-0.038022,0.0,0.470558,-1.0,0.815941,0.014337,0.212494,0.773169,0.0,0.0,0.0
ALL,5m,follow,conservative,2.0,2.5,6,9898,7043.2474,9898,-0.01288,-0.009206,0.0,0.488078,-1.0,0.864884,0.009093,0.210143,0.780562,0.000202,0.000101,0.0
ALL,15m,follow,conservative,2.0,2.5,6,4632,2935.432,4632,0.00092,-0.002121,0.0,0.485751,-1.0,0.861636,0.010579,0.201857,0.787349,0.000216,0.0,0.0
ALL,1h,follow,conservative,2.0,2.5,6,1953,1333.3206,1953,-0.047671,-0.035663,0.0,0.470558,-1.0,0.815941,0.006144,0.212494,0.781362,0.0,0.0,0.0
ALL,5m,follow,conservative,2.0,3.0,6,9898,7043.2474,9898,-0.014259,-0.010058,0.0,0.488078,-1.0,0.863365,0.003839,0.210143,0.785815,0.000202,0.000101,0.0
ALL,15m,follow,conservative,2.0,3.0,6,4632,2935.432,4632,-0.000185,-0.002683,0.0,0.485751,-1.0,0.861636,0.004534,0.201857,0.793394,0.000216,0.0,0.0
ALL,1h,follow,conservative,2.0,3.0,6,1953,1333.3206,1953,-0.048303,-0.036043,0.0,0.470558,-1.0,0.815941,0.00256,0.212494,0.784946,0.0,0.0,0.0
ALL,5m,follow,conservative,0.5,1.0,12,6736,4565.4497,6736,-0.066185,-0.071788,-1.0,0.464074,-1.0,1.0,0.463925,0.422357,0.000891,0.112827,0.000742,0.000445
ALL,15m,follow,conservative,0.5,1.0,12,3169,1881.513,3169,-0.016166,-0.054084,-1.0,0.47302,-1.0,1.0,0.472389,0.411171,0.002524,0.113916,0.000947,0.000631
ALL,1h,follow,conservative,0.5,1.0,12,1309,834.0373,1309,-0.082249,-0.090558,-1.0,0.454545,-1.0,1.0,0.454545,0.449962,0.002292,0.093201,0.0,0.0
ALL,5m,follow,conservative,0.5,1.5,12,6736,4565.4497,6736,-0.010545,-0.007025,-1.0,0.397268,-1.0,1.5,0.396378,0.550772,0.002078,0.050772,0.000891,0.000148
ALL,15m,follow,conservative,0.5,1.5,12,3169,1881.513,3169,0.036049,0.011133,-1.0,0.40486,-1.0,1.5,0.403282,0.538971,0.004102,0.053645,0.000947,0.000631
ALL,1h,follow,conservative,0.5,1.5,12,1309,834.0373,1309,-0.049911,-0.045687,-1.0,0.381971,-1.0,1.5,0.380443,0.572956,0.005348,0.041253,0.0,0.000764
ALL,5m,follow,conservative,0.5,2.0,12,6736,4565.4497,6736,-0.00992,-0.003271,-1.0,0.334026,-1.0,2.0,0.328385,0.641033,0.007868,0.022714,0.001336,0.000148
ALL,15m,follow,conservative,0.5,2.0,12,3169,1881.513,3169,0.048076,0.030065,-1.0,0.344588,-1.0,2.0,0.340486,0.628905,0.008204,0.022405,0.001262,0.0
ALL,1h,follow,conservative,0.5,2.0,12,1309,834.0373,1309,-0.026182,-0.02021,-1.0,0.326967,-1.0,2.0,0.322383,0.644003,0.012223,0.02139,0.000764,0.0
ALL,5m,follow,conservative,0.5,2.5,12,6736,4565.4497,6736,-0.005518,0.010068,-1.0,0.292607,-1.0,2.5,0.281473,0.692696,0.014549,0.011283,0.001336,0.000445
ALL,15m,follow,conservative,0.5,2.5,12,3169,1881.513,3169,0.069033,0.052064,-1.0,0.305144,-1.0,2.5,0.292206,0.676239,0.018618,0.012938,0.001262,0.000631
ALL,1h,follow,conservative,0.5,2.5,12,1309,834.0373,1309,-0.054633,-0.025385,-1.0,0.281895,-1.0,2.5,0.270435,0.697479,0.02139,0.010695,0.000764,0.000764
ALL,5m,follow,conservative,0.5,3.0,12,6736,4565.4497,6736,0.001497,0.0166,-1.0,0.263361,-1.0,3.0,0.240202,0.722981,0.028949,0.007868,0.001336,0.000297
ALL,15m,follow,conservative,0.5,3.0,12,3169,1881.513,3169,0.061013,0.046232,-1.0,0.272326,-1.0,3.0,0.246766,0.713474,0.03124,0.00852,0.001262,0.0
ALL,1h,follow,conservative,0.5,3.0,12,1309,834.0373,1309,-0.045376,-0.003977,-1.0,0.258976,-1.0,3.0,0.233002,0.721925,0.038961,0.006112,0.000764,0.0
ALL,5m,follow,conservative,0.75,1.0,12,6736,4565.4497,6736,0.002867,0.016312,1.0,0.50772,-1.0,1.0,0.504305,0.467488,0.007274,0.020932,0.000594,0.000445
ALL,15m,follow,conservative,0.75,1.0,12,3169,1881.513,3169,0.048495,0.032651,1.0,0.515936,-1.0,1.0,0.511518,0.45314,0.010098,0.025245,0.000316,0.000631
ALL,1h,follow,conservative,0.75,1.0,12,1309,834.0373,1309,-0.007631,0.000331,-0.156343,0.499618,-1.0,1.0,0.496562,0.473644,0.009931,0.019862,0.0,0.000764
ALL,5m,follow,conservative,0.75,1.5,12,6736,4565.4497,6736,-0.001758,0.008539,-1.0,0.407363,-1.0,1.5,0.3894,0.576603,0.027167,0.006829,0.000594,0.000297
ALL,15m,follow,conservative,0.75,1.5,12,3169,1881.513,3169,0.046541,0.02686,-1.0,0.415589,-1.0,1.5,0.393815,0.562638,0.035342,0.008204,0.000316,0.000316
ALL,1h,follow,conservative,0.75,1.5,12,1309,834.0373,1309,0.008011,0.010964,-1.0,0.407181,-1.0,1.5,0.391138,0.567609,0.030558,0.010695,0.001528,0.000764
ALL,5m,follow,conservative,0.75,2.0,12,6736,4565.4497,6736,0.007126,0.0199,-1.0,0.354513,-1.0,2.0,0.307898,0.625148,0.062945,0.004008,0.000594,0.000297
ALL,15m,follow,conservative,0.75,2.0,12,3169,1881.513,3169,0.053299,0.033677,-1.0,0.362575,-1.0,2.0,0.308615,0.614705,0.071316,0.005364,0.000316,0.0
ALL,1h,follow,conservative,0.75,2.0,12,1309,834.0373,1309,-0.001165,0.018795,-1.0,0.355233,-1.0,2.0,0.300229,0.612681,0.081742,0.005348,0.001528,0.0
ALL,5m,follow,conservative,0.75,2.5,12,6736,4565.4497,6736,0.012324,0.022909,-1.0,0.324376,-1.0,2.5,0.238569,0.65291,0.105998,0.002524,0.000594,0.000594
ALL,15m,follow,conservative,0.75,2.5,12,3169,1881.513,3169,0.038556,0.023807,-1.0,0.329441,-1.0,2.5,0.23509,0.645314,0.116756,0.00284,0.000316,0.000316
ALL,1h,follow,conservative,0.75,2.5,12,1309,834.0373,1309,-0.05482,-0.019449,-1.0,0.320092,-1.0,2.5,0.214668,0.644003,0.138273,0.003056,0.001528,0.0
ALL,5m,follow,conservative,0.75,3.0,12,6736,4565.4497,6736,-0.000981,0.008515,-1.0,0.30478,-1.0,3.0,0.178296,0.669091,0.150683,0.00193,0.000594,0.000445
ALL,15m,follow,conservative,0.75,3.0,12,3169,1881.513,3169,0.033382,0.01956,-1.0,0.31461,-1.0,3.0,0.174187,0.658567,0.165667,0.001578,0.000316,0.0
ALL,1h,follow,conservative,0.75,3.0,12,1309,834.0373,1309,-0.052673,-0.016823,-1.0,0.306341,-1.0,3.0,0.161956,0.657754,0.178762,0.001528,0.001528,0.0
ALL,5m,follow,conservative,1.0,1.0,12,6736,4565.4497,6736,0.000288,0.011952,0.203702,0.505938,-1.0,1.0,0.483373,0.468676,0.042607,0.005344,0.001039,0.000148
ALL,15m,follow,conservative,1.0,1.0,12,3169,1881.513,3169,0.028608,0.018904,0.187068,0.507416,-1.0,1.0,0.485327,0.460713,0.049227,0.004733,0.000631,0.000316
ALL,1h,follow,conservative,1.0,1.0,12,1309,834.0373,1309,0.02415,0.021782,0.393605,0.508021,-1.0,1.0,0.489687,0.462185,0.044309,0.00382,0.001528,0.000764
ALL,5m,follow,conservative,1.0,1.5,12,6736,4565.4497,6736,0.002753,0.015868,-1.0,0.421467,-1.0,1.5,0.351989,0.539489,0.105849,0.002672,0.001039,0.000297
ALL,15m,follow,conservative,1.0,1.5,12,3169,1881.513,3169,0.032528,0.018852,-1.0,0.423477,-1.0,1.5,0.349953,0.532345,0.114547,0.003156,0.000631,0.0
ALL,1h,follow,conservative,1.0,1.5,12,1309,834.0373,1309,0.000856,0.017062,-1.0,0.419404,-1.0,1.5,0.34683,0.528648,0.121467,0.003056,0.001528,0.0
ALL,5m,follow,conservative,1.0,2.0,12,6736,4565.4497,6736,0.000646,0.016874,-1.0,0.383017,-1.0,2.0,0.248219,0.570962,0.17889,0.00193,0.001039,0.000148
ALL,15m,follow,conservative,1.0,2.0,12,3169,1881.513,3169,0.036992,0.026485,-1.0,0.387504,-1.0,2.0,0.24929,0.560114,0.188072,0.002524,0.000631,0.0
ALL,1h,follow,conservative,1.0,2.0,12,1309,834.0373,1309,-0.042241,-0.008262,-1.0,0.378151,-1.0,2.0,0.229183,0.557678,0.210084,0.003056,0.001528,0.0
ALL,5m,follow,conservative,1.0,2.5,12,6736,4565.4497,6736,-0.00295,0.011042,-1.0,0.365796,-1.0,2.5,0.168646,0.583729,0.24614,0.001485,0.001039,0.000891
ALL,15m,follow,conservative,1.0,2.5,12,3169,1881.513,3169,0.039793,0.028367,-1.0,0.374251,-1.0,2.5,0.167561,0.56958,0.261281,0.001578,0.000947,0.000316
ALL,1h,follow,conservative,1.0,2.5,12,1309,834.0373,1309,-0.033115,0.000196,-1.0,0.365164,-1.0,2.5,0.159664,0.568373,0.270435,0.001528,0.001528,0.0
ALL,5m,follow,conservative,1.0,3.0,12,6736,4565.4497,6736,-0.006111,0.007033,-1.0,0.358967,-1.0,3.0,0.113272,0.588628,0.296615,0.001485,0.001039,0.000445
ALL,15m,follow,conservative,1.0,3.0,12,3169,1881.513,3169,0.045137,0.029038,-1.0,0.370148,-1.0,3.0,0.106343,0.572736,0.319344,0.001578,0.000947,0.000631
ALL,1h,follow,conservative,1.0,3.0,12,1309,834.0373,1309,-0.021246,0.010801,-1.0,0.362872,-1.0,2.612631,0.103132,0.569901,0.325439,0.001528,0.001528,0.0
ALL,5m,follow,conservative,1.25,1.0,12,6736,4565.4497,6736,-0.00374,0.005231,0.06892,0.501633,-1.0,1.0,0.448337,0.444329,0.104662,0.002672,0.000148,0.000594
ALL,15m,follow,conservative,1.25,1.0,12,3169,1881.513,3169,0.02868,0.014054,0.080457,0.505522,-1.0,1.0,0.446829,0.432629,0.116756,0.003787,0.000316,0.000947
ALL,1h,follow,conservative,1.25,1.0,12,1309,834.0373,1309,-0.008925,0.000788,0.0,0.491215,-1.0,1.0,0.441558,0.433919,0.121467,0.003056,0.0,0.001528
ALL,5m,follow,conservative,1.25,1.5,12,6736,4565.4497,6736,0.002041,0.008162,-0.617426,0.43557,-1.0,1.5,0.292904,0.489905,0.21541,0.001781,0.000148,0.000742
ALL,15m,follow,conservative,1.25,1.5,12,3169,1881.513,3169,0.020275,0.002813,-0.545205,0.435784,-1.0,1.5,0.286841,0.485011,0.225939,0.002209,0.000316,0.000316
ALL,1h,follow,conservative,1.25,1.5,12,1309,834.0373,1309,-0.056485,-0.034582,-0.549694,0.41864,-1.0,1.5,0.256684,0.475936,0.265088,0.002292,0.0,0.0
ALL,5m,follow,conservative,1.25,2.0,12,6736,4565.4497,6736,-0.003434,0.003735,-1.0,0.410629,-1.0,2.0,0.180819,0.504751,0.312945,0.001485,0.000148,0.000891
ALL,15m,follow,conservative,1.25,2.0,12,3169,1881.513,3169,0.031705,0.014963,-0.740203,0.41906,-1.0,2.0,0.177659,0.494793,0.32597,0.001578,0.000316,0.000316
ALL,1h,follow,conservative,1.25,2.0,12,1309,834.0373,1309,-0.043698,-0.017204,-0.658009,0.402597,-1.0,2.0,0.167303,0.485867,0.345302,0.001528,0.0,0.0
