symbol,direction,stop_atr,target_r,horizon,n,both_hit_rate,gap_stop_rate,gap_target_rate
ALL,fade,0.5,1.0,12,11214,0.110844,0.000446,0.000713
ALL,fade,0.5,1.5,12,11214,0.051454,0.000446,0.000357
ALL,fade,0.5,2.0,12,11214,0.028803,0.000803,0.000535
ALL,fade,0.5,2.5,12,11214,0.01623,0.000803,8.9e-05
ALL,fade,0.5,3.0,12,11214,0.00972,0.000803,0.000803
ALL,fade,0.75,1.0,12,11214,0.022026,0.000535,0.000446
ALL,fade,0.75,1.5,12,11214,0.008739,0.000803,0.001159
ALL,fade,0.75,2.0,12,11214,0.003121,0.000803,0.000981
ALL,fade,0.75,2.5,12,11214,0.000981,0.000803,0.000178
ALL,fade,0.75,3.0,12,11214,0.000981,0.000803,0.000178
ALL,fade,1.0,1.0,12,11214,0.004994,0.000268,0.000981
ALL,fade,1.0,1.5,12,11214,0.001427,0.000713,0.001427
ALL,fade,1.0,2.0,12,11214,0.000981,0.000713,0.000178
ALL,fade,1.0,2.5,12,11214,0.000535,0.000713,0.000357
ALL,fade,1.0,3.0,12,11214,0.000178,0.000713,0.0
ALL,fade,1.25,1.0,12,11214,0.003032,0.000803,0.000178
ALL,fade,1.25,1.5,12,11214,0.000713,0.000803,0.000178
ALL,fade,1.25,2.0,12,11214,0.000535,0.000803,0.000357
ALL,fade,1.25,2.5,12,11214,0.000178,0.000803,8.9e-05
ALL,fade,1.25,3.0,12,11214,8.9e-05,0.000803,8.9e-05
ALL,fade,1.5,1.0,12,11214,0.000981,0.000178,0.001427
ALL,fade,1.5,1.5,12,11214,0.000803,0.000178,0.000178
ALL,fade,1.5,2.0,12,11214,0.000178,0.000178,0.0
ALL,fade,1.5,2.5,12,11214,8.9e-05,0.000178,8.9e-05
ALL,fade,1.5,3.0,12,11214,8.9e-05,0.000178,8.9e-05
ALL,fade,2.0,1.0,12,11214,0.000446,8.9e-05,0.000178
ALL,fade,2.0,1.5,12,11214,0.000178,8.9e-05,0.0
ALL,fade,2.0,2.0,12,11214,8.9e-05,0.000268,8.9e-05
ALL,fade,2.0,2.5,12,11214,0.0,0.000268,0.0
ALL,fade,2.0,3.0,12,11214,0.0,0.000268,0.0
ALL,fade,0.5,1.0,24,4101,0.089003,0.000732,0.000975
ALL,fade,0.5,1.5,24,4101,0.045355,0.000732,0.0
ALL,fade,0.5,2.0,24,4101,0.026823,0.000732,0.000975
ALL,fade,0.5,2.5,24,4101,0.014143,0.000732,0.0
ALL,fade,0.5,3.0,24,4101,0.008535,0.000732,0.000975
ALL,fade,0.75,1.0,24,4101,0.018288,0.0,0.0
ALL,fade,0.75,1.5,24,4101,0.008778,0.0,0.001951
ALL,fade,0.75,2.0,24,4101,0.004633,0.0,0.001219
ALL,fade,0.75,2.5,24,4101,0.002438,0.0,0.0
ALL,fade,0.75,3.0,24,4101,0.002682,0.0,0.0
ALL,fade,1.0,1.0,24,4101,0.004633,0.000732,0.002438
ALL,fade,1.0,1.5,24,4101,0.002438,0.001707,0.001707
ALL,fade,1.0,2.0,24,4101,0.001951,0.001951,0.0
ALL,fade,1.0,2.5,24,4101,0.001463,0.001951,0.000488
ALL,fade,1.0,3.0,24,4101,0.000488,0.001951,0.0
ALL,fade,1.25,1.0,24,4101,0.002926,0.002195,0.0
ALL,fade,1.25,1.5,24,4101,0.001951,0.002438,0.0
ALL,fade,1.25,2.0,24,4101,0.001463,0.002438,0.000488
ALL,fade,1.25,2.5,24,4101,0.000488,0.002438,0.0
ALL,fade,1.25,3.0,24,4101,0.000244,0.002438,0.000244
ALL,fade,1.5,1.0,24,4101,0.002438,0.0,0.001707
ALL,fade,1.5,1.5,24,4101,0.002195,0.0,0.0
ALL,fade,1.5,2.0,24,4101,0.000488,0.0,0.0
ALL,fade,1.5,2.5,24,4101,0.000244,0.0,0.000244
ALL,fade,1.5,3.0,24,4101,0.000244,0.0,0.000244
ALL,fade,2.0,1.0,24,4101,0.001219,0.000732,0.0
ALL,fade,2.0,1.5,24,4101,0.000488,0.000732,0.000488
ALL,fade,2.0,2.0,24,4101,0.000244,0.000732,0.000244
ALL,fade,2.0,2.5,24,4101,0.0,0.000732,0.0
ALL,fade,2.0,3.0,24,4101,0.0,0.000732,0.000244
