symbol,touch_behavior,direction,policy,stop_atr,target_r,horizon,n,n_weighted,n_result,mean_R,mean_R_event,median_R,positive_R_rate,p10_R,p90_R,target_hit_rate,stop_hit_rate,timeout_rate,both_hit_rate,gap_stop_rate,gap_target_rate
ALL,CLOSE_BEYOND,follow,conservative,0.5,2.5,6,1331,612.272,1331,-0.098762,-0.071902,-1.0,0.273479,-1.0,2.5,0.250188,0.673178,0.036814,0.03982,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.5,3.0,6,13880,10051.9912,13880,-0.014747,-0.003814,-1.0,0.285591,-1.0,3.0,0.189769,0.687752,0.119236,0.003242,0.000432,0.00036
ALL,BREACH_RECLAIM,follow,conservative,0.5,3.0,6,1272,647.7368,1272,0.054173,0.054705,-1.0,0.294025,-1.0,3.0,0.224057,0.688679,0.078616,0.008648,0.003145,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.5,3.0,6,1331,612.272,1331,-0.052778,-0.022881,-1.0,0.259955,-1.0,3.0,0.220135,0.694966,0.053343,0.031555,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.75,1.0,6,13880,10051.9912,13880,0.004185,0.006435,0.0,0.498631,-1.0,1.0,0.482493,0.462968,0.041931,0.012608,0.00072,0.000937
ALL,BREACH_RECLAIM,follow,conservative,0.75,1.0,6,1272,647.7368,1272,0.052249,0.076378,1.0,0.53695,-1.0,1.0,0.523585,0.415094,0.029088,0.032233,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.75,1.0,6,1331,612.272,1331,-0.107134,-0.094386,-1.0,0.448535,-1.0,1.0,0.446281,0.473328,0.018032,0.062359,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.75,1.5,6,13880,10051.9912,13880,0.004788,0.006105,-1.0,0.413833,-1.0,1.5,0.342363,0.535014,0.118948,0.003674,0.000865,0.000144
ALL,BREACH_RECLAIM,follow,conservative,0.75,1.5,6,1272,647.7368,1272,0.066455,0.074602,-1.0,0.44261,-1.0,1.5,0.383648,0.522799,0.087264,0.006289,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.75,1.5,6,1331,612.272,1331,-0.096891,-0.076075,-1.0,0.376409,-1.0,1.5,0.341848,0.569497,0.057851,0.030804,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.75,2.0,6,13880,10051.9912,13880,0.001718,0.00525,-1.0,0.378458,-1.0,2.0,0.231196,0.560807,0.206412,0.001585,0.000865,0.00036
ALL,BREACH_RECLAIM,follow,conservative,0.75,2.0,6,1272,647.7368,1272,0.060518,0.059552,-1.0,0.397013,-1.0,2.0,0.27044,0.564465,0.162736,0.002358,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.75,2.0,6,1331,612.272,1331,-0.063485,-0.021539,-1.0,0.350864,-1.0,2.0,0.275733,0.597295,0.10293,0.024042,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.75,2.5,6,13880,10051.9912,13880,-0.001275,0.000448,-1.0,0.363545,-1.0,2.5,0.150865,0.571398,0.277089,0.000648,0.000865,7.2e-05
ALL,BREACH_RECLAIM,follow,conservative,0.75,2.5,6,1272,647.7368,1272,0.04327,0.045658,-1.0,0.375786,-1.0,2.5,0.183962,0.583333,0.231132,0.001572,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.75,2.5,6,1331,612.272,1331,-0.061037,-0.013983,-1.0,0.335086,-1.0,2.5,0.192337,0.615327,0.174305,0.018032,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.75,3.0,6,13880,10051.9912,13880,-0.008998,-0.009356,-1.0,0.358069,-1.0,2.409994,0.092795,0.574856,0.331988,0.00036,0.000865,7.2e-05
ALL,BREACH_RECLAIM,follow,conservative,0.75,3.0,6,1272,647.7368,1272,0.025349,0.019517,-1.0,0.36478,-1.0,3.0,0.116352,0.591195,0.290881,0.001572,0.0,0.000786
ALL,CLOSE_BEYOND,follow,conservative,0.75,3.0,6,1331,612.272,1331,-0.079933,-0.036032,-1.0,0.324568,-1.0,3.0,0.12021,0.626597,0.239669,0.013524,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.0,1.0,6,13880,10051.9912,13880,-0.007512,-0.00351,0.0,0.487464,-1.0,1.0,0.422839,0.427161,0.147911,0.002089,0.001009,0.000216
ALL,BREACH_RECLAIM,follow,conservative,1.0,1.0,6,1272,647.7368,1272,0.067895,0.084945,0.508824,0.537736,-1.0,1.0,0.482704,0.396226,0.116352,0.004717,0.001572,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.0,1.0,6,1331,612.272,1331,-0.060427,-0.057496,-0.568801,0.471074,-1.0,1.0,0.435011,0.46882,0.069872,0.026296,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.0,1.5,6,13880,10051.9912,13880,-0.009898,-0.005691,-0.322661,0.431052,-1.0,1.5,0.251729,0.460951,0.286455,0.000865,0.001009,0.000432
ALL,BREACH_RECLAIM,follow,conservative,1.0,1.5,6,1272,647.7368,1272,0.041599,0.05817,-0.296136,0.458333,-1.0,1.5,0.304245,0.461478,0.233491,0.000786,0.001572,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.0,1.5,6,1331,612.272,1331,-0.057891,-0.021465,-1.0,0.420736,-1.0,1.5,0.309542,0.513899,0.157776,0.018783,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.0,2.0,6,13880,10051.9912,13880,-0.014648,-0.011251,-0.415564,0.413689,-1.0,2.0,0.139265,0.46938,0.390778,0.000576,0.001009,0.0
ALL,BREACH_RECLAIM,follow,conservative,1.0,2.0,6,1272,647.7368,1272,0.018843,0.048859,-0.498016,0.431604,-1.0,2.0,0.18239,0.476415,0.340409,0.000786,0.001572,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.0,2.0,6,1331,612.272,1331,-0.058342,-0.00997,-1.0,0.397446,-1.0,2.0,0.19985,0.530428,0.253193,0.016529,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.0,2.5,6,13880,10051.9912,13880,-0.018832,-0.017499,-0.43463,0.409078,-1.0,1.717996,0.074712,0.47147,0.45353,0.000288,0.001009,0.000288
ALL,BREACH_RECLAIM,follow,conservative,1.0,2.5,6,1272,647.7368,1272,0.021698,0.042295,-0.542495,0.424528,-1.0,2.339434,0.105346,0.481918,0.41195,0.000786,0.001572,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.0,2.5,6,1331,612.272,1331,-0.065906,-0.023877,-1.0,0.392186,-1.0,2.019042,0.104433,0.53719,0.346356,0.012021,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.0,3.0,6,13880,10051.9912,13880,-0.014354,-0.012152,-0.438448,0.408141,-1.0,1.645761,0.043876,0.472118,0.48379,0.000216,0.001009,7.2e-05
ALL,BREACH_RECLAIM,follow,conservative,1.0,3.0,6,1272,647.7368,1272,0.018627,0.034296,-0.554522,0.420597,-1.0,1.893198,0.054245,0.484277,0.460692,0.000786,0.001572,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.0,3.0,6,1331,612.272,1331,-0.058387,-0.010381,-1.0,0.392186,-1.0,1.853586,0.065364,0.53719,0.385424,0.012021,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.25,1.0,6,13880,10051.9912,13880,-0.009188,-0.008726,0.0,0.485375,-1.0,1.0,0.345533,0.365202,0.288545,0.00072,0.000216,0.000793
ALL,BREACH_RECLAIM,follow,conservative,1.25,1.0,6,1272,647.7368,1272,0.019509,0.041147,0.125831,0.518868,-1.0,1.0,0.39544,0.367925,0.235849,0.000786,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.25,1.0,6,1331,612.272,1331,-0.079477,-0.065098,-0.274822,0.46882,-1.0,1.0,0.385424,0.437265,0.157776,0.019534,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.25,1.5,6,13880,10051.9912,13880,-0.015541,-0.014913,-0.110621,0.449135,-1.0,1.5,0.170245,0.38098,0.448415,0.00036,0.000216,7.2e-05
ALL,BREACH_RECLAIM,follow,conservative,1.25,1.5,6,1272,647.7368,1272,0.015079,0.030132,-0.110146,0.471698,-1.0,1.5,0.213836,0.397013,0.388365,0.000786,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.25,1.5,6,1331,612.272,1331,-0.066376,-0.04272,-0.442735,0.432006,-1.0,1.5,0.229151,0.459805,0.296018,0.015026,0.001503,0.0
ALL,NO_BREACH,follow,conservative,1.25,2.0,6,13880,10051.9912,13880,-0.019893,-0.020534,-0.132623,0.442075,-1.0,1.423907,0.078314,0.382781,0.538617,0.000288,0.000216,0.000288
ALL,BREACH_RECLAIM,follow,conservative,1.25,2.0,6,1272,647.7368,1272,0.000319,0.017099,-0.167319,0.457547,-1.0,2.0,0.107704,0.406447,0.485063,0.000786,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.25,2.0,6,1331,612.272,1331,-0.072415,-0.047193,-0.520241,0.420736,-1.0,1.801678,0.113449,0.467318,0.407213,0.012021,0.001503,0.0
ALL,NO_BREACH,follow,conservative,1.25,2.5,6,13880,10051.9912,13880,-0.015339,-0.015273,-0.138175,0.44121,-1.0,1.355723,0.039049,0.383069,0.577666,0.000216,0.000216,7.2e-05
ALL,BREACH_RECLAIM,follow,conservative,1.25,2.5,6,1272,647.7368,1272,0.000674,0.015205,-0.169666,0.455975,-1.0,1.5213,0.047956,0.406447,0.544811,0.000786,0.0,0.001572
ALL,CLOSE_BEYOND,follow,conservative,1.25,2.5,6,1331,612.272,1331,-0.06697,-0.036096,-0.520241,0.420736,-1.0,1.550783,0.061608,0.467318,0.459053,0.012021,0.001503,0.0
ALL,NO_BREACH,follow,conservative,1.25,3.0,6,13880,10051.9912,13880,-0.015666,-0.01498,-0.138853,0.441138,-1.0,1.33629,0.019524,0.383141,0.59719,0.000144,0.000216,0.0
ALL,BREACH_RECLAIM,follow,conservative,1.25,3.0,6,1272,647.7368,1272,-0.010183,0.011971,-0.169666,0.455189,-1.0,1.459476,0.02673,0.406447,0.566038,0.000786,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.25,3.0,6,1331,612.272,1331,-0.069187,-0.027467,-0.520241,0.420736,-1.0,1.530242,0.03982,0.468069,0.480841,0.01127,0.001503,0.0
ALL,NO_BREACH,follow,conservative,1.5,1.0,6,13880,10051.9912,13880,-0.012017,-0.009614,0.0,0.486167,-1.0,1.0,0.269452,0.300576,0.429539,0.000432,0.001297,0.000432
ALL,BREACH_RECLAIM,follow,conservative,1.5,1.0,6,1272,647.7368,1272,0.018119,0.035496,0.08877,0.52044,-1.0,1.0,0.323113,0.308962,0.367138,0.000786,0.001572,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.5,1.0,6,1331,612.272,1331,-0.065781,-0.036682,-0.038362,0.486852,-1.0,1.0,0.347107,0.390684,0.256198,0.006011,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.5,1.5,6,13880,10051.9912,13880,-0.017462,-0.017022,0.0,0.464986,-1.0,1.5,0.107637,0.306484,0.585591,0.000288,0.001297,7.2e-05
ALL,BREACH_RECLAIM,follow,conservative,1.5,1.5,6,1272,647.7368,1272,-0.006622,0.01185,0.0,0.487421,-1.0,1.5,0.136006,0.326258,0.53695,0.000786,0.001572,0.000786
ALL,CLOSE_BEYOND,follow,conservative,1.5,1.5,6,1331,612.272,1331,-0.069837,-0.039483,-0.15969,0.456048,-1.0,1.5,0.158527,0.408715,0.432006,0.000751,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.5,2.0,6,13880,10051.9912,13880,-0.014601,-0.013427,0.0,0.463184,-1.0,1.144488,0.046758,0.307061,0.645965,0.000216,0.001297,7.2e-05
ALL,BREACH_RECLAIM,follow,conservative,1.5,2.0,6,1272,647.7368,1272,-0.003545,0.016072,0.0,0.484277,-1.0,1.293577,0.056604,0.327044,0.615566,0.000786,0.001572,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.5,2.0,6,1331,612.272,1331,-0.067206,-0.022263,-0.15969,0.455297,-1.0,1.309245,0.078137,0.408715,0.512397,0.000751,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.5,2.5,6,13880,10051.9912,13880,-0.014239,-0.012673,0.0,0.46304,-1.0,1.130629,0.020029,0.307133,0.672695,0.000144,0.001297,0.0
ALL,BREACH_RECLAIM,follow,conservative,1.5,2.5,6,1272,647.7368,1272,-0.011392,0.014129,0.0,0.483491,-1.0,1.226692,0.02673,0.327044,0.64544,0.000786,0.001572,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.5,2.5,6,1331,612.272,1331,-0.067269,-0.00721,-0.15969,0.455297,-1.0,1.285312,0.051089,0.409467,0.539444,0.0,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.5,3.0,6,13880,10051.9912,13880,-0.014204,-0.012816,0.0,0.462896,-1.0,1.129564,0.008934,0.307133,0.68379,0.000144,0.001297,0.0
ALL,BREACH_RECLAIM,follow,conservative,1.5,3.0,6,1272,647.7368,1272,-0.006464,0.019831,0.0,0.483491,-1.0,1.226692,0.017296,0.327044,0.654874,0.000786,0.001572,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.5,3.0,6,1331,612.272,1331,-0.070512,-0.017761,-0.15969,0.455297,-1.0,1.238765,0.029301,0.409467,0.561232,0.0,0.0,0.0
ALL,NO_BREACH,follow,conservative,2.0,1.0,6,13880,10051.9912,13880,-0.013371,-0.013151,0.0,0.488617,-1.0,1.0,0.152089,0.197334,0.650216,0.00036,7.2e-05,0.0
ALL,BREACH_RECLAIM,follow,conservative,2.0,1.0,6,1272,647.7368,1272,0.011135,0.025552,0.059671,0.522013,-1.0,1.0,0.201258,0.21305,0.584906,0.000786,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,2.0,1.0,6,1331,612.272,1331,-0.059821,-0.037724,0.0,0.493614,-1.0,1.0,0.2284,0.298272,0.470323,0.003005,0.0,0.0
ALL,NO_BREACH,follow,conservative,2.0,1.5,6,13880,10051.9912,13880,-0.012882,-0.013359,0.0,0.482925,-1.0,0.865477,0.047046,0.197983,0.754755,0.000216,7.2e-05,7.2e-05
ALL,BREACH_RECLAIM,follow,conservative,2.0,1.5,6,1272,647.7368,1272,0.007807,0.018458,0.047354,0.512579,-1.0,1.04975,0.062107,0.217767,0.71934,0.000786,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,2.0,1.5,6,1331,612.272,1331,-0.059875,-0.033543,0.0,0.488355,-1.0,0.995845,0.078888,0.303531,0.617581,0.0,0.0,0.0
ALL,NO_BREACH,follow,conservative,2.0,2.0,6,13880,10051.9912,13880,-0.012903,-0.013399,0.0,0.482637,-1.0,0.852195,0.014409,0.198055,0.787392,0.000144,7.2e-05,0.0
ALL,BREACH_RECLAIM,follow,conservative,2.0,2.0,6,1272,647.7368,1272,0.002755,0.01716,0.046209,0.511792,-1.0,0.943032,0.022799,0.217767,0.758648,0.000786,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,2.0,2.0,6,1331,612.272,1331,-0.064464,-0.036113,0.0,0.488355,-1.0,0.956375,0.036814,0.303531,0.659654,0.0,0.0,0.0
ALL,NO_BREACH,follow,conservative,2.0,2.5,6,13880,10051.9912,13880,-0.011984,-0.012254,0.0,0.482637,-1.0,0.851294,0.006556,0.198055,0.795245,0.000144,7.2e-05,0.0
ALL,BREACH_RECLAIM,follow,conservative,2.0,2.5,6,1272,647.7368,1272,0.009407,0.025241,0.046209,0.511792,-1.0,0.943032,0.018082,0.217767,0.763365,0.000786,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,2.0,2.5,6,1331,612.272,1331,-0.06077,-0.024503,0.0,0.488355,-1.0,0.938777,0.027799,0.303531,0.66867,0.0,0.0,0.0
ALL,NO_BREACH,follow,conservative,2.0,3.0,6,13880,10051.9912,13880,-0.012976,-0.013229,0.0,0.482637,-1.0,0.851168,0.00245,0.198055,0.799352,0.000144,7.2e-05,0.0
ALL,BREACH_RECLAIM,follow,conservative,2.0,3.0,6,1272,647.7368,1272,0.00636,0.025459,0.046209,0.511792,-1.0,0.943032,0.007862,0.217767,0.773585,0.000786,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,2.0,3.0,6,1331,612.272,1331,-0.063796,-0.023398,0.0,0.488355,-1.0,0.938777,0.015026,0.303531,0.681443,0.0,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.5,1.0,12,8971,6242.9531,8971,-0.041776,-0.05041,-1.0,0.474863,-1.0,1.0,0.474529,0.430498,0.000557,0.094415,0.000446,0.000223
ALL,BREACH_RECLAIM,follow,conservative,0.5,1.0,12,1094,534.1439,1094,-0.048888,-0.052696,-1.0,0.473492,-1.0,1.0,0.473492,0.38117,0.002742,0.142596,0.003656,0.002742
ALL,CLOSE_BEYOND,follow,conservative,0.5,1.0,12,1149,503.903,1149,-0.226758,-0.229436,-1.0,0.384682,-1.0,1.0,0.384682,0.398607,0.007833,0.208877,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.5,1.5,12,8971,6242.9531,8971,0.005879,0.008878,-1.0,0.403857,-1.0,1.5,0.402408,0.558243,0.002452,0.036897,0.000557,0.000446
ALL,BREACH_RECLAIM,follow,conservative,0.5,1.5,12,1094,534.1439,1094,0.045427,0.0216,-1.0,0.408592,-1.0,1.5,0.408592,0.500914,0.002742,0.087751,0.003656,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.5,1.5,12,1149,503.903,1149,-0.164538,-0.152412,-1.0,0.338555,-1.0,1.5,0.338555,0.532637,0.007833,0.120975,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.5,2.0,12,8971,6242.9531,8971,0.005893,0.013323,-1.0,0.339427,-1.0,2.0,0.333742,0.6414,0.008583,0.016275,0.000892,0.000111
ALL,BREACH_RECLAIM,follow,conservative,0.5,2.0,12,1094,534.1439,1094,0.109132,0.077437,-1.0,0.360146,-1.0,2.0,0.35649,0.606947,0.006399,0.030165,0.005484,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.5,2.0,12,1149,503.903,1149,-0.142391,-0.137028,-1.0,0.288077,-1.0,2.0,0.286336,0.640557,0.009574,0.063534,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.5,2.5,12,8971,6242.9531,8971,0.012702,0.023243,-1.0,0.297068,-1.0,2.5,0.283915,0.690781,0.017612,0.007691,0.000892,0.000669
ALL,BREACH_RECLAIM,follow,conservative,0.5,2.5,12,1094,534.1439,1094,0.091284,0.077581,-1.0,0.309872,-1.0,2.5,0.303473,0.673675,0.010055,0.012797,0.005484,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.5,2.5,12,1149,503.903,1149,-0.136792,-0.081639,-1.0,0.263708,-1.0,2.5,0.258486,0.685814,0.013925,0.041775,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.5,3.0,12,8971,6242.9531,8971,0.018016,0.028807,-1.0,0.26764,-1.0,3.0,0.241445,0.721659,0.032661,0.004236,0.000892,0.000223
ALL,BREACH_RECLAIM,follow,conservative,0.5,3.0,12,1094,534.1439,1094,0.038367,0.032606,-1.0,0.265082,-1.0,3.0,0.247715,0.720293,0.022852,0.009141,0.005484,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.5,3.0,12,1149,503.903,1149,-0.097599,-0.035661,-1.0,0.248042,-1.0,3.0,0.233246,0.708442,0.023499,0.034813,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.75,1.0,12,8971,6242.9531,8971,0.017666,0.023417,1.0,0.511426,-1.0,1.0,0.50719,0.468956,0.008583,0.015271,0.000557,0.000669
ALL,BREACH_RECLAIM,follow,conservative,0.75,1.0,12,1094,534.1439,1094,0.070074,0.088859,1.0,0.543876,-1.0,1.0,0.542962,0.418647,0.005484,0.032907,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.75,1.0,12,1149,503.903,1149,-0.098728,-0.081384,-1.0,0.457789,-1.0,1.0,0.456049,0.469974,0.009574,0.064404,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.75,1.5,12,8971,6242.9531,8971,0.015293,0.018642,-1.0,0.412106,-1.0,1.5,0.391484,0.571731,0.031881,0.004905,0.00078,0.000446
ALL,BREACH_RECLAIM,follow,conservative,0.75,1.5,12,1094,534.1439,1094,0.082493,0.069496,-1.0,0.43053,-1.0,1.5,0.414991,0.554845,0.02468,0.005484,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.75,1.5,12,1149,503.903,1149,-0.105804,-0.075091,-1.0,0.370757,-1.0,1.5,0.362924,0.586597,0.019147,0.031332,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.75,2.0,12,8971,6242.9531,8971,0.021913,0.026596,-1.0,0.35938,-1.0,2.0,0.30554,0.620109,0.072233,0.002118,0.00078,0.000223
ALL,BREACH_RECLAIM,follow,conservative,0.75,2.0,12,1094,534.1439,1094,0.060163,0.045349,-1.0,0.359232,-1.0,2.0,0.320841,0.621572,0.055759,0.001828,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.75,2.0,12,1149,503.903,1149,-0.073613,-0.019873,-1.0,0.335074,-1.0,2.0,0.307224,0.624891,0.041775,0.02611,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.75,2.5,12,8971,6242.9531,8971,0.017164,0.021701,-1.0,0.328949,-1.0,2.5,0.231858,0.647085,0.120276,0.00078,0.00078,0.000557
ALL,BREACH_RECLAIM,follow,conservative,0.75,2.5,12,1094,534.1439,1094,0.040705,0.035218,-1.0,0.319013,-1.0,2.5,0.252285,0.657221,0.08958,0.000914,0.0,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.75,2.5,12,1149,503.903,1149,-0.090909,-0.025162,-1.0,0.302872,-1.0,2.5,0.241079,0.663185,0.076588,0.019147,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.75,3.0,12,8971,6242.9531,8971,0.012091,0.017847,-1.0,0.314123,-1.0,3.0,0.17211,0.659458,0.168097,0.000334,0.00078,0.000223
ALL,BREACH_RECLAIM,follow,conservative,0.75,3.0,12,1094,534.1439,1094,0.006373,0.013621,-1.0,0.292505,-1.0,3.0,0.193784,0.680073,0.125229,0.000914,0.0,0.000914
ALL,CLOSE_BEYOND,follow,conservative,0.75,3.0,12,1149,503.903,1149,-0.127977,-0.067611,-1.0,0.272411,-1.0,3.0,0.181897,0.691906,0.112272,0.013925,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.0,1.0,12,8971,6242.9531,8971,0.008138,0.012254,0.179233,0.505295,-1.0,1.0,0.48144,0.468064,0.048044,0.002452,0.001003,0.000334
ALL,BREACH_RECLAIM,follow,conservative,1.0,1.0,12,1094,534.1439,1094,0.094772,0.103134,1.0,0.54936,-1.0,1.0,0.531079,0.425046,0.039305,0.00457,0.001828,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.0,1.0,12,1149,503.903,1149,-0.051884,-0.046854,-1.0,0.476066,-1.0,1.0,0.465622,0.48564,0.023499,0.025239,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.0,1.5,12,8971,6242.9531,8971,0.011073,0.013491,-1.0,0.421804,-1.0,1.5,0.344889,0.534723,0.119385,0.001003,0.001003,0.000223
ALL,BREACH_RECLAIM,follow,conservative,1.0,1.5,12,1094,534.1439,1094,0.059334,0.066226,-1.0,0.437843,-1.0,1.5,0.380256,0.530165,0.08958,0.0,0.001828,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.0,1.5,12,1149,503.903,1149,-0.052268,-0.003933,-1.0,0.40644,-1.0,1.5,0.369017,0.553525,0.057441,0.020017,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.0,2.0,12,8971,6242.9531,8971,0.007477,0.011077,-1.0,0.385241,-1.0,2.0,0.237655,0.562925,0.198863,0.000557,0.001003,0.000111
ALL,BREACH_RECLAIM,follow,conservative,1.0,2.0,12,1094,534.1439,1094,0.040917,0.072708,-1.0,0.391225,-1.0,2.0,0.283364,0.566728,0.149909,0.0,0.001828,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.0,2.0,12,1149,503.903,1149,-0.061943,0.006847,-1.0,0.364665,-1.0,2.0,0.278503,0.592689,0.111401,0.017406,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.0,2.5,12,8971,6242.9531,8971,0.00788,0.012245,-1.0,0.371642,-1.0,2.5,0.161855,0.572957,0.265076,0.000111,0.001115,0.00078
ALL,BREACH_RECLAIM,follow,conservative,1.0,2.5,12,1094,534.1439,1094,0.034746,0.062497,-1.0,0.372029,-1.0,2.5,0.184644,0.582267,0.23309,0.0,0.001828,0.0
ALL,CLOSE_BEYOND,follow,conservative,1.0,2.5,12,1149,503.903,1149,-0.067408,-0.011914,-1.0,0.336815,-1.0,2.5,0.193211,0.612707,0.180157,0.013925,0.0,0.0
ALL,NO_BREACH,follow,conservative,1.0,3.0,12,8971,6242.9531,8971,0.007637,0.009392,-1.0,0.365846,-1.0,3.0,0.104782,0.576859,0.318248,0.000111,0.001115,0.000557
ALL,BREACH_RECLAIM,follow,conservative,1.0,3.0,12,1094,534.1439,1094,0.057097,0.072424,-1.0,0.365631,-1.0,3.0,0.135283,0.588665,0.276051,0.0,0.001828,0.0
