symbol,quant_bin,direction,policy,stop_atr,target_r,horizon,n,n_weighted,n_result,mean_R,mean_R_event,median_R,positive_R_rate,p10_R,p90_R,target_hit_rate,stop_hit_rate,timeout_rate,both_hit_rate,gap_stop_rate,gap_target_rate
ALL,LOW,follow,conservative,1.25,2.0,6,911,742.0,911,-0.053642,-0.066274,-0.102242,0.422613,-1.0,1.219858,0.048299,0.355653,0.596048,0.0,0.0,0.0
ALL,MID,follow,conservative,1.25,2.0,6,1859,1459.0,1859,0.021232,0.015917,0.0,0.461001,-1.0,1.541574,0.086068,0.36525,0.548682,0.0,0.0,0.000538
ALL,HIGH,follow,conservative,1.25,2.0,6,2409,1735.0,2409,-0.016421,-0.000538,-0.057917,0.466169,-1.0,1.402159,0.076795,0.389373,0.533831,0.0,0.0,0.0
ALL,LOW,follow,conservative,1.25,2.5,6,911,742.0,911,-0.05181,-0.062196,-0.108757,0.421515,-1.0,1.196597,0.026345,0.355653,0.618002,0.0,0.0,0.0
ALL,MID,follow,conservative,1.25,2.5,6,1859,1459.0,1859,0.026505,0.023244,0.0,0.459925,-1.0,1.42677,0.043572,0.36525,0.591178,0.0,0.0,0.0
ALL,HIGH,follow,conservative,1.25,2.5,6,2409,1735.0,2409,-0.01765,-0.001328,-0.067058,0.465753,-1.0,1.349325,0.031963,0.389373,0.578663,0.0,0.0,0.00083
ALL,LOW,follow,conservative,1.25,3.0,6,911,742.0,911,-0.05234,-0.064171,-0.108757,0.421515,-1.0,1.196597,0.008782,0.355653,0.635565,0.0,0.0,0.0
ALL,MID,follow,conservative,1.25,3.0,6,1859,1459.0,1859,0.029844,0.028766,0.0,0.459925,-1.0,1.424797,0.025282,0.36525,0.609467,0.0,0.0,0.0
ALL,HIGH,follow,conservative,1.25,3.0,6,2409,1735.0,2409,-0.020457,-0.003414,-0.067058,0.465338,-1.0,1.33421,0.016604,0.389373,0.594022,0.0,0.0,0.0
ALL,LOW,follow,conservative,1.5,1.0,6,911,742.0,911,-0.05348,-0.064639,0.0,0.450055,-1.0,1.0,0.192097,0.278814,0.529089,0.0,0.0,0.0
ALL,MID,follow,conservative,1.5,1.0,6,1859,1459.0,1859,0.022566,0.019411,0.056023,0.504572,-1.0,1.0,0.279182,0.284024,0.436794,0.0,0.000538,0.000538
ALL,HIGH,follow,conservative,1.5,1.0,6,2409,1735.0,2409,-0.013699,-0.001724,0.027859,0.503944,-1.0,1.0,0.268576,0.30137,0.427563,0.002491,0.0,0.000415
ALL,LOW,follow,conservative,1.5,1.5,6,911,742.0,911,-0.051927,-0.064016,0.0,0.436883,-1.0,1.071011,0.072448,0.28101,0.646542,0.0,0.0,0.0
ALL,MID,follow,conservative,1.5,1.5,6,1859,1459.0,1859,0.021693,0.017969,0.0,0.485745,-1.0,1.5,0.110274,0.288327,0.601399,0.0,0.000538,0.0
ALL,HIGH,follow,conservative,1.5,1.5,6,2409,1735.0,2409,-0.018407,-0.009914,0.0,0.483603,-1.0,1.377456,0.106683,0.314653,0.578663,0.0,0.0,0.000415
ALL,LOW,follow,conservative,1.5,2.0,6,911,742.0,911,-0.051923,-0.063769,-0.036538,0.435785,-1.0,1.005393,0.02854,0.28101,0.69045,0.0,0.0,0.0
ALL,MID,follow,conservative,1.5,2.0,6,1859,1459.0,1859,0.024776,0.02692,0.0,0.483593,-1.0,1.199748,0.052717,0.288865,0.658419,0.0,0.000538,0.0
ALL,HIGH,follow,conservative,1.5,2.0,6,2409,1735.0,2409,-0.01885,-0.008537,0.0,0.483188,-1.0,1.138624,0.036115,0.314653,0.649232,0.0,0.0,0.0
ALL,LOW,follow,conservative,1.5,2.5,6,911,742.0,911,-0.052058,-0.064616,-0.036538,0.435785,-1.0,1.005393,0.008782,0.28101,0.710209,0.0,0.0,0.0
ALL,MID,follow,conservative,1.5,2.5,6,1859,1459.0,1859,0.028023,0.030194,0.0,0.483593,-1.0,1.18733,0.025282,0.288865,0.685853,0.0,0.000538,0.0
ALL,HIGH,follow,conservative,1.5,2.5,6,2409,1735.0,2409,-0.020745,-0.009046,0.0,0.482358,-1.0,1.125829,0.016604,0.314653,0.668742,0.0,0.0,0.0
ALL,LOW,follow,conservative,1.5,3.0,6,911,742.0,911,-0.05198,-0.064557,-0.036538,0.435785,-1.0,1.005393,0.003293,0.28101,0.715697,0.0,0.0,0.0
ALL,MID,follow,conservative,1.5,3.0,6,1859,1459.0,1859,0.026712,0.028105,0.0,0.483593,-1.0,1.186591,0.011296,0.288865,0.699839,0.0,0.000538,0.0
ALL,HIGH,follow,conservative,1.5,3.0,6,2409,1735.0,2409,-0.022606,-0.010772,0.0,0.482358,-1.0,1.12074,0.005396,0.314653,0.67995,0.0,0.0,0.0
ALL,LOW,follow,conservative,2.0,1.0,6,911,742.0,911,-0.048811,-0.056781,0.0,0.454446,-1.0,0.964958,0.097695,0.182217,0.720088,0.0,0.0,0.0
ALL,MID,follow,conservative,2.0,1.0,6,1859,1459.0,1859,0.010011,0.010906,0.042017,0.505648,-1.0,1.0,0.157612,0.18128,0.66057,0.000538,0.0,0.0
ALL,HIGH,follow,conservative,2.0,1.0,6,2409,1735.0,2409,-0.013896,-0.001812,0.036585,0.512661,-1.0,1.0,0.148609,0.194271,0.655459,0.00166,0.0,0.0
ALL,LOW,follow,conservative,2.0,1.5,6,911,742.0,911,-0.045269,-0.052176,0.0,0.453348,-1.0,0.757795,0.02854,0.182217,0.789243,0.0,0.0,0.0
ALL,MID,follow,conservative,2.0,1.5,6,1859,1459.0,1859,0.011757,0.015662,0.0,0.499731,-1.0,0.904211,0.052717,0.182894,0.764389,0.0,0.0,0.0
ALL,HIGH,follow,conservative,2.0,1.5,6,2409,1735.0,2409,-0.013925,-0.000479,0.03053,0.510585,-1.0,0.860763,0.036115,0.196347,0.767538,0.0,0.0,0.0
ALL,LOW,follow,conservative,2.0,2.0,6,911,742.0,911,-0.044191,-0.051714,0.0,0.453348,-1.0,0.757795,0.008782,0.182217,0.809001,0.0,0.0,0.0
ALL,MID,follow,conservative,2.0,2.0,6,1859,1459.0,1859,0.012542,0.0167,0.0,0.499731,-1.0,0.890498,0.017751,0.182894,0.799354,0.0,0.0,0.0
ALL,HIGH,follow,conservative,2.0,2.0,6,2409,1735.0,2409,-0.015517,-0.000704,0.029939,0.509755,-1.0,0.846991,0.013699,0.196347,0.789954,0.0,0.0,0.0
ALL,LOW,follow,conservative,2.0,2.5,6,911,742.0,911,-0.044492,-0.052099,0.0,0.453348,-1.0,0.757795,0.002195,0.182217,0.815587,0.0,0.0,0.0
ALL,MID,follow,conservative,2.0,2.5,6,1859,1459.0,1859,0.014388,0.017733,0.0,0.499731,-1.0,0.890344,0.006993,0.182894,0.810113,0.0,0.0,0.0
ALL,HIGH,follow,conservative,2.0,2.5,6,2409,1735.0,2409,-0.016155,-0.001264,0.029939,0.509755,-1.0,0.845678,0.004151,0.196347,0.799502,0.0,0.0,0.0
ALL,LOW,follow,conservative,2.0,3.0,6,911,742.0,911,-0.044875,-0.052411,0.0,0.453348,-1.0,0.757795,0.001098,0.182217,0.816685,0.0,0.0,0.0
ALL,MID,follow,conservative,2.0,3.0,6,1859,1459.0,1859,0.012065,0.01516,0.0,0.499731,-1.0,0.890344,0.001614,0.182894,0.815492,0.0,0.0,0.0
ALL,HIGH,follow,conservative,2.0,3.0,6,2409,1735.0,2409,-0.015622,-0.000833,0.029939,0.509755,-1.0,0.845678,0.001245,0.196347,0.802408,0.0,0.0,0.0
ALL,LOW,follow,conservative,0.5,1.0,12,700,566.0,700,-0.090106,-0.094286,-1.0,0.452857,-1.0,1.0,0.452857,0.485714,0.0,0.061429,0.0,0.0
ALL,MID,follow,conservative,0.5,1.0,12,1453,1143.0,1453,-0.062394,-0.071779,-1.0,0.464556,-1.0,1.0,0.463868,0.467309,0.000688,0.068135,0.000688,0.001376
ALL,HIGH,follow,conservative,0.5,1.0,12,2085,1507.0,2085,-0.04205,-0.057142,-1.0,0.470983,-1.0,1.0,0.470983,0.414868,0.000959,0.113189,0.001918,0.0
ALL,LOW,follow,conservative,0.5,1.5,12,700,566.0,700,-0.090962,-0.097813,-1.0,0.36,-1.0,1.5,0.36,0.622857,0.002857,0.014286,0.0,0.0
ALL,MID,follow,conservative,0.5,1.5,12,1453,1143.0,1453,-0.002847,-0.009982,-1.0,0.396421,-1.0,1.5,0.395733,0.58362,0.001376,0.01927,0.001376,0.000688
ALL,HIGH,follow,conservative,0.5,1.5,12,2085,1507.0,2085,-0.009038,-0.016735,-1.0,0.393765,-1.0,1.5,0.391847,0.557314,0.002878,0.047962,0.001918,0.000959
ALL,LOW,follow,conservative,0.5,2.0,12,700,566.0,700,-0.079605,-0.082651,-1.0,0.308571,-1.0,2.0,0.297143,0.675714,0.017143,0.01,0.0,0.0
ALL,MID,follow,conservative,0.5,2.0,12,1453,1143.0,1453,-0.038077,-0.041474,-1.0,0.320716,-1.0,2.0,0.317275,0.669649,0.006194,0.006882,0.001376,0.0
ALL,HIGH,follow,conservative,0.5,2.0,12,2085,1507.0,2085,0.016237,0.013636,-1.0,0.339568,-1.0,2.0,0.334293,0.63741,0.007674,0.020624,0.001918,0.00048
ALL,LOW,follow,conservative,0.5,2.5,12,700,566.0,700,-0.093812,-0.088642,-1.0,0.27,-1.0,2.5,0.245714,0.722857,0.031429,0.0,0.0,0.0
ALL,MID,follow,conservative,0.5,2.5,12,1453,1143.0,1453,-0.034772,-0.0344,-1.0,0.278734,-1.0,2.5,0.269787,0.713696,0.012388,0.004129,0.001376,0.000688
ALL,HIGH,follow,conservative,0.5,2.5,12,2085,1507.0,2085,0.029485,0.029146,-1.0,0.297842,-1.0,2.5,0.286331,0.68729,0.016787,0.009592,0.001918,0.00048
ALL,LOW,follow,conservative,0.5,3.0,12,700,566.0,700,-0.099948,-0.099621,-1.0,0.242857,-1.0,3.0,0.197143,0.744286,0.058571,0.0,0.0,0.0
ALL,MID,follow,conservative,0.5,3.0,12,1453,1143.0,1453,-0.025833,-0.013374,-1.0,0.256022,-1.0,3.0,0.23331,0.737096,0.028217,0.001376,0.001376,0.0
ALL,HIGH,follow,conservative,0.5,3.0,12,2085,1507.0,2085,0.053569,0.053083,-1.0,0.271942,-1.0,3.0,0.247962,0.713189,0.031175,0.007674,0.001918,0.00048
ALL,LOW,follow,conservative,0.75,1.0,12,700,566.0,700,-0.052614,-0.044194,-1.0,0.477143,-1.0,1.0,0.47,0.508571,0.018571,0.002857,0.002857,0.001429
ALL,MID,follow,conservative,0.75,1.0,12,1453,1143.0,1453,-0.008039,-0.023691,-1.0,0.488644,-1.0,1.0,0.483138,0.497591,0.008947,0.010323,0.000688,0.001376
ALL,HIGH,follow,conservative,0.75,1.0,12,2085,1507.0,2085,0.015006,0.029191,1.0,0.514628,-1.0,1.0,0.510312,0.463309,0.008633,0.017746,0.0,0.000959
ALL,LOW,follow,conservative,0.75,1.5,12,700,566.0,700,-0.0312,-0.033062,-1.0,0.394286,-1.0,1.5,0.362857,0.584286,0.052857,0.0,0.002857,0.002857
ALL,MID,follow,conservative,0.75,1.5,12,1453,1143.0,1453,-0.014829,-0.026631,-1.0,0.395733,-1.0,1.5,0.366827,0.587061,0.043359,0.002753,0.000688,0.0
ALL,HIGH,follow,conservative,0.75,1.5,12,2085,1507.0,2085,0.040947,0.056835,-1.0,0.426859,-1.0,1.5,0.411031,0.560192,0.02494,0.003837,0.000959,0.00048
ALL,LOW,follow,conservative,0.75,2.0,12,700,566.0,700,-0.058014,-0.060539,-1.0,0.335714,-1.0,2.0,0.26,0.63,0.11,0.0,0.002857,0.0
ALL,MID,follow,conservative,0.75,2.0,12,1453,1143.0,1453,-0.016152,-0.020984,-1.0,0.348245,-1.0,2.0,0.282175,0.62629,0.090158,0.001376,0.000688,0.0
ALL,HIGH,follow,conservative,0.75,2.0,12,2085,1507.0,2085,0.04778,0.060744,-1.0,0.369784,-1.0,2.0,0.316547,0.611031,0.069544,0.002878,0.000959,0.00048
ALL,LOW,follow,conservative,0.75,2.5,12,700,566.0,700,-0.065072,-0.086993,-1.0,0.304286,-1.0,2.5,0.192857,0.655714,0.151429,0.0,0.002857,0.0
ALL,MID,follow,conservative,0.75,2.5,12,1453,1143.0,1453,-0.015494,-0.009633,-1.0,0.327598,-1.0,2.5,0.216105,0.642808,0.139711,0.001376,0.000688,0.000688
ALL,HIGH,follow,conservative,0.75,2.5,12,2085,1507.0,2085,0.051406,0.054715,-1.0,0.33717,-1.0,2.5,0.235492,0.640288,0.121823,0.002398,0.000959,0.0
ALL,LOW,follow,conservative,0.75,3.0,12,700,566.0,700,-0.072495,-0.096252,-1.0,0.298571,-1.0,3.0,0.132857,0.66,0.207143,0.0,0.002857,0.0
ALL,MID,follow,conservative,0.75,3.0,12,1453,1143.0,1453,-0.012137,-0.015201,-1.0,0.315898,-1.0,3.0,0.154852,0.651067,0.192705,0.001376,0.000688,0.0
ALL,HIGH,follow,conservative,0.75,3.0,12,2085,1507.0,2085,0.049245,0.062044,-1.0,0.323741,-1.0,3.0,0.176978,0.652758,0.170264,0.0,0.000959,0.00048
ALL,LOW,follow,conservative,1.0,1.0,12,700,566.0,700,-0.046839,-0.051494,-0.480681,0.468571,-1.0,1.0,0.435714,0.482857,0.081429,0.0,0.0,0.0
ALL,MID,follow,conservative,1.0,1.0,12,1453,1143.0,1453,-0.007645,-0.020576,-0.293631,0.487956,-1.0,1.0,0.461803,0.481074,0.056435,0.000688,0.002753,0.0
ALL,HIGH,follow,conservative,1.0,1.0,12,2085,1507.0,2085,0.02122,0.032799,0.721354,0.515108,-1.0,1.0,0.498321,0.459472,0.03693,0.005276,0.00048,0.00048
ALL,LOW,follow,conservative,1.0,1.5,12,700,566.0,700,-0.049598,-0.057513,-1.0,0.392857,-1.0,1.5,0.295714,0.538571,0.165714,0.0,0.0,0.0
ALL,MID,follow,conservative,1.0,1.5,12,1453,1143.0,1453,-0.016852,-0.020484,-1.0,0.412251,-1.0,1.5,0.319339,0.534756,0.145905,0.0,0.002753,0.0
ALL,HIGH,follow,conservative,1.0,1.5,12,2085,1507.0,2085,0.031635,0.041327,-1.0,0.430695,-1.0,1.5,0.356835,0.523741,0.116547,0.002878,0.00048,0.00048
ALL,LOW,follow,conservative,1.0,2.0,12,700,566.0,700,-0.063451,-0.090018,-1.0,0.361429,-1.0,2.0,0.182857,0.558571,0.258571,0.0,0.0,0.0
ALL,MID,follow,conservative,1.0,2.0,12,1453,1143.0,1453,-0.004845,-0.00276,-1.0,0.384721,-1.0,2.0,0.223675,0.553338,0.222987,0.0,0.002753,0.0
ALL,HIGH,follow,conservative,1.0,2.0,12,2085,1507.0,2085,0.028337,0.036667,-1.0,0.393765,-1.0,2.0,0.238849,0.553957,0.205276,0.001918,0.00048,0.0
ALL,LOW,follow,conservative,1.0,2.5,12,700,566.0,700,-0.048399,-0.075537,-1.0,0.355714,-1.0,2.5,0.122857,0.561429,0.315714,0.0,0.0,0.002857
ALL,MID,follow,conservative,1.0,2.5,12,1453,1143.0,1453,-0.0061,-0.005972,-1.0,0.375086,-1.0,2.5,0.151411,0.559532,0.289057,0.0,0.002753,0.000688
ALL,HIGH,follow,conservative,1.0,2.5,12,2085,1507.0,2085,0.035518,0.046389,-1.0,0.381775,-1.0,2.5,0.158273,0.564029,0.277698,0.0,0.00048,0.00048
ALL,LOW,follow,conservative,1.0,3.0,12,700,566.0,700,-0.036208,-0.066722,-1.0,0.352857,-1.0,2.328264,0.081429,0.562857,0.355714,0.0,0.0,0.0
ALL,MID,follow,conservative,1.0,3.0,12,1453,1143.0,1453,-0.022739,-0.01868,-1.0,0.362698,-1.0,2.550837,0.099794,0.565038,0.335169,0.0,0.002753,0.000688
ALL,HIGH,follow,conservative,1.0,3.0,12,2085,1507.0,2085,0.035693,0.038556,-1.0,0.380815,-1.0,2.444179,0.090168,0.564029,0.345803,0.0,0.00048,0.0
ALL,LOW,follow,conservative,1.25,1.0,12,700,566.0,700,-0.039414,-0.038179,-0.168052,0.474286,-1.0,1.0,0.402857,0.431429,0.165714,0.0,0.0,0.0
ALL,MID,follow,conservative,1.25,1.0,12,1453,1143.0,1453,-0.010428,-0.014677,0.0,0.492774,-1.0,1.0,0.415692,0.439092,0.145217,0.0,0.0,0.000688
ALL,HIGH,follow,conservative,1.25,1.0,12,2085,1507.0,2085,0.023789,0.031548,0.173487,0.51271,-1.0,1.0,0.457074,0.42542,0.114628,0.002878,0.0,0.001918
ALL,LOW,follow,conservative,1.25,1.5,12,700,566.0,700,-0.044305,-0.061215,-0.451222,0.41,-1.0,1.5,0.23,0.455714,0.314286,0.0,0.0,0.001429
ALL,MID,follow,conservative,1.25,1.5,12,1453,1143.0,1453,-0.015454,-0.014377,-0.483362,0.434962,-1.0,1.5,0.264969,0.477632,0.257398,0.0,0.0,0.000688
ALL,HIGH,follow,conservative,1.25,1.5,12,2085,1507.0,2085,0.020332,0.019579,-0.380813,0.444604,-1.0,1.5,0.276259,0.470983,0.25036,0.002398,0.0,0.0
ALL,LOW,follow,conservative,1.25,2.0,12,700,566.0,700,-0.0304,-0.049299,-0.454276,0.401429,-1.0,2.0,0.137143,0.46,0.402857,0.0,0.0,0.002857
ALL,MID,follow,conservative,1.25,2.0,12,1453,1143.0,1453,0.00053,-0.001464,-0.507791,0.42395,-1.0,2.0,0.161734,0.48245,0.355816,0.0,0.0,0.000688
ALL,HIGH,follow,conservative,1.25,2.0,12,2085,1507.0,2085,0.024718,0.033701,-0.452027,0.429736,-1.0,2.0,0.167386,0.480576,0.352038,0.0,0.0,0.00048
ALL,LOW,follow,conservative,1.25,2.5,12,700,566.0,700,-0.013867,-0.033478,-0.456048,0.398571,-1.0,1.95629,0.084286,0.461429,0.454286,0.0,0.0,0.0
ALL,MID,follow,conservative,1.25,2.5,12,1453,1143.0,1453,-0.008342,-0.012117,-0.549694,0.412251,-1.0,2.048859,0.091535,0.485891,0.422574,0.0,0.0,0.002065
