group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread
EX_I_7,H15,S2,ALL,logistic,7,0.5160181665152376,1.0,-0.007670985998438962,0.14285714285714285,-0.009709764176571989,0.14285714285714285,-0.0001189931981886573,0.42857142857142855
EX_I_7,H15,S2,TOP20,gbr,7,0.5197365124401405,1.0,-0.011933433406668748,0.0,-0.009459676660563243,0.0,-5.20649380151002e-05,0.42857142857142855
EX_I_7,H15,S2,TOP20,logistic,7,0.5238612568141414,1.0,-0.02297169726194448,0.0,-0.02863362807858638,0.0,-8.395884701690984e-05,0.42857142857142855
EX_I_7,H15,S2,TOP30,gbr,7,0.5188680759558817,1.0,-0.005748844213466331,0.0,-0.004889521319434209,0.0,-7.56957316650772e-05,0.42857142857142855
EX_I_7,H15,S2,TOP30,logistic,7,0.5189339373386906,1.0,-0.016709859588179166,0.14285714285714285,-0.021724977067899554,0.14285714285714285,-8.648901830973062e-05,0.42857142857142855
EX_I_7,H15,S2,TOP50,gbr,7,0.5183681123499932,1.0,-0.0037817218678652953,0.0,-0.0029015669552103773,0.0,-9.653260270248716e-05,0.2857142857142857
EX_I_7,H15,S2,TOP50,logistic,7,0.5130114884975938,1.0,-0.01120962780055934,0.14285714285714285,-0.01727277848476816,0.14285714285714285,-0.00016726809427762473,0.42857142857142855
EX_I_7,H15,S3,ALL,gbr,7,0.5179346728874512,1.0,-0.003445515234508756,0.14285714285714285,-0.002633302422898387,0.14285714285714285,-8.079811674742978e-05,0.2857142857142857
EX_I_7,H15,S3,ALL,logistic,7,0.5151178996395146,1.0,-0.008263856904842326,0.14285714285714285,-0.011660615475382663,0.14285714285714285,-7.907504350850017e-05,0.42857142857142855
EX_I_7,H15,S3,TOP20,gbr,7,0.5183548236410274,1.0,-0.010887010198386227,0.0,-0.00869463048021113,0.0,-0.00018695051142436628,0.42857142857142855
EX_I_7,H15,S3,TOP20,logistic,7,0.5230519993677888,1.0,-0.024338428717538108,0.0,-0.03767425386840917,0.0,1.6720179362011154e-05,0.5714285714285714
EX_I_7,H15,S3,TOP30,gbr,7,0.517462438629166,1.0,-0.005345237042921891,0.0,-0.004068219170799692,0.0,-0.00014323191329174416,0.42857142857142855
EX_I_7,H15,S3,TOP30,logistic,7,0.5200795331301967,1.0,-0.017425454805261475,0.14285714285714285,-0.027168596951024915,0.14285714285714285,-0.0001744191858773558,0.42857142857142855
EX_I_7,H15,S3,TOP50,gbr,7,0.5177624222274784,1.0,-0.004222025716234645,0.0,-0.0032254245170399987,0.0,-8.087659696372212e-05,0.2857142857142857
