rows,mae,rmse,r2,spearman,w_mae,w_rmse,w_r2,w_spearman,model,direction,block,rel_wrmse_improvement
89621,2.238505415065822,3.331022498915147,-0.0399213528423134,0.1017203698091076,1.89627941594951,2.837293495151903,0.1140519185209887,,M1,short,model_test,0.0601851178301609
89091,2.202210087075263,3.4952341021106172,-0.167491977229375,,1.964854677804622,3.0003040176523315,-0.0029296847023352,,M1,short,baseline_test_dtp_ready,
89091,2.2268811096661474,3.296971873447159,-0.0387997852610269,0.1020813178956226,1.890410558486332,2.819546054746046,0.1142761396289715,,M1,short,model_test_dtp_ready,0.0602465489639695
86479,2.120324836913484,3.519489098776701,-0.1356786403295284,,2.029782918026468,3.2034396549586375,-0.0027018971959942,,M2,short,baseline_validation,
89621,2.214487678792403,3.529327877813172,-0.167426041385909,,1.9724752502394205,3.018991876997283,-0.0030524342907694,,M2,short,baseline_test,
86479,2.2062784976262124,3.3865474357497205,-0.0515030467097172,0.0630510712340913,1.9937610701748616,3.071561113456972,0.0781567853109496,,M2,short,model_validation,0.0411677932804288
89621,2.2504193866484483,3.330011180552637,-0.0392899960081203,0.0928450587382023,1.911326939300241,2.844343423301036,0.109643752780266,,M2,short,model_test,0.0578499250120388
89091,2.202210087075263,3.4952341021106172,-0.167491977229375,,1.964854677804622,3.0003040176523315,-0.0029296847023352,,M2,short,baseline_test_dtp_ready,
89091,2.238896946619797,3.2961380733204217,-0.0382744293274384,0.0931279462940486,1.905554373813794,2.8268895205258633,0.1096564222088275,,M2,short,model_test_dtp_ready,0.0577989750725864
86479,2.194212798443929,3.404521646144236,-0.0718015122001121,0.06548146566504877,1.90497321369443,2.950020639131114,0.09252803862939463,,M1,long,model_validation_dtp_ready_retrain,0.07910840943585544
89621,2.2162202448939725,3.3238623743365925,-0.08478296360874338,0.06131203904502005,1.854666100076199,2.7964884272235797,0.09451818074393281,,M1,long,model_test_dtp_ready_retrain,0.07370124161943994
