symbol,model,direction,rows,episodes,baseline_wRMSE,model_wRMSE,rel_wrmse_improvement,spearman,top_decile_weighted_Y,bottom_decile_weighted_Y,top_bottom_spread,top_decile_positive_Y_rate
CF,M2,long,4939,160,2.456764581958303,2.4595442363464604,-0.0011314288754283586,0.08383862683242706,-0.17379852442495122,-2.19679071913386,2.022992194708909,0.19838056680161945
CU,M0,long,6857,162,2.7682175409464067,2.6972004229798356,0.025654457034576666,-0.007119992861226841,-0.7435919887066729,-1.6554349095771064,0.9118429208704335,0.20408163265306123
CU,M1,long,6857,162,2.6972004229798356,2.580385050856348,0.0433098597821037,0.06907536197104783,-0.29194354501796727,-2.561050946290891,2.2691074012729233,0.1880466472303207
CU,M2,long,6857,162,2.580385050856348,2.581763351635515,-0.000534145389932937,0.06291648690754403,-0.4279093463535893,-2.710513743412701,2.2826043970591114,0.2
I,M0,long,5024,126,2.4703166593979633,2.364671217422735,0.042765951309649136,0.008513162496078253,-0.6940777497334578,-2.487552523249346,1.7934747735158882,0.10578842315369262
I,M1,long,5024,126,2.364671217422735,2.346064117521868,0.007868789438367212,0.030675424455495908,-0.6941577566518957,-2.8223494209353093,2.1281916642834133,0.13320079522862824
I,M2,long,5024,126,2.346064117521868,2.3827997018886413,-0.015658388912907006,0.017441643734780122,-0.7920670071924611,-1.6499247901746723,0.8578577829822112,0.12326043737574553
M,M0,long,4916,160,2.1328753393443134,2.1064389067937235,0.012394738718633683,0.055655121055426054,-0.4554675852644043,-2.2855373362903495,1.8300697510259452,0.1440501043841336
M,M1,long,4916,160,2.1064389067937235,2.071942800331358,0.01637650460742441,0.0393278779445465,-0.1883347186652122,-1.5113626879375064,1.3230279692722942,0.17959183673469387
M,M2,long,4916,160,2.071942800331358,2.1064917664267466,-0.01667467175728177,0.023560963289978514,-0.002523940575375442,-1.5012294542725066,1.4987055136971312,0.18329938900203666
MA,M0,long,4800,161,3.021275749270201,3.0010738861333888,0.006686534038375083,0.0455774332639662,-0.6395234813577296,-1.1964251489534803,0.5569016675957507,0.1638655462184874
MA,M1,long,4800,161,3.0010738861333888,2.901890318149965,0.033049358911723725,0.0756169442378777,-0.13042158956103214,-2.2509635367854095,2.1205419472243774,0.2125
MA,M2,long,4800,161,2.901890318149965,2.8922955655757416,0.003306380159929747,0.08672948236573494,-0.15724017605082266,-2.5143613253834705,2.357121149332648,0.20833333333333334
NI,M0,long,6939,144,3.358763443409975,3.2279184665595313,0.03895629420022621,-0.02436079214661636,-1.2565391598209068,-2.682586892711558,1.4260477328906513,0.11176470588235295
NI,M1,long,6939,144,3.2279184665595313,3.0985792897487325,0.04006891070847109,0.00958310911518401,-0.742674207961866,-2.476652107072208,1.733977899110342,0.15129682997118155
NI,M2,long,6939,144,3.0985792897487325,3.1060164795855356,-0.002400193489128423,0.001457792155841607,-0.6754582783889229,-2.5666381940395397,1.8911799156506168,0.15706051873198848
P,M0,long,5035,130,2.681712406330596,2.535223415782658,0.054625167934536235,0.12950993752873843,-0.39459016295116706,-2.664104614460681,2.269514451509514,0.2435129740518962
P,M1,long,5035,130,2.535223415782658,2.4380268421965337,0.038338464760557724,0.14515573213832392,-0.15586990164190323,-2.6913407869175887,2.5354708852756853,0.22817460317460317
P,M2,long,5035,130,2.4380268421965337,2.4352842242218635,0.0011249334614376809,0.14216158473604765,-0.20506884231574915,-2.9087747109805324,2.7037058686647835,0.22817460317460317
RB,M0,long,5128,138,2.264191176745592,2.2091498909817835,0.02430946923966077,0.08309492927490181,-0.9478042672927935,-2.518298066764634,1.5704937994718404,0.13137254901960785
RB,M1,long,5128,138,2.2091498909817835,2.146120407380658,0.028531103234970726,-0.004842635786147635,-0.22863780848230927,-1.8884795844606788,1.6598417759783695,0.158203125
RB,M2,long,5128,138,2.146120407380658,2.1775653643895634,-0.014652000372748929,-0.02679812720316971,-0.45620417330201846,-1.5318222947722386,1.07561812147022,0.15009746588693956
RU,M0,long,4834,174,2.396395954664784,2.3291668860013126,0.028054240591002744,0.14521021929447903,-0.03250451609238727,-2.273746616810073,2.2412421007176855,0.19294605809128632
RU,M1,long,4834,174,2.3291668860013126,2.273264655454537,0.02400095539858369,0.036646127316382206,0.045307920068639325,-1.6988049641788177,1.744112884247457,0.22933884297520662
RU,M2,long,4834,174,2.273264655454537,2.277151251090472,-0.001709697824496256,0.026857860359793848,-0.05089664788673704,-1.8869464586282083,1.8360498107414713,0.21074380165289255
SC,M0,long,7258,258,3.653485645059907,3.590577282222138,0.017218724513898515,0.09689464269283805,-0.08131315558202995,-3.29072048856608,3.20940733298405,0.1889655172413793
SC,M1,long,7258,258,3.590577282222138,3.407995236143715,0.05085033177880144,0.14978658847740325,0.4131329712369907,-4.325305186486386,4.738438157723376,0.23855755894590847
SC,M2,long,7258,258,3.407995236143715,3.412210984964134,-0.001237017228107865,0.16817633360951187,0.49897587924357145,-4.189211180177641,4.688187059421212,0.2465564738292011
SN,M0,long,6987,150,3.0639378108665904,2.9951421187361005,0.022453357860756352,-0.04341425575357352,-1.1998031225530161,-2.5609285188052717,1.3611253962522556,0.10586552217453506
SN,M1,long,6987,150,2.9951421187361005,2.8522605362527056,0.04770444166558898,0.010197231991824506,-0.5245793824906666,-2.9540603155270473,2.4294809330363805,0.17310443490701002
SN,M2,long,6987,150,2.8522605362527056,2.845106836992264,0.0025080805801282985,0.02126416381213755,-0.5076836166747232,-2.9320708894401912,2.4243872727654683,0.18651362984218078
TA,M0,long,5028,150,2.892147390028094,2.860937382199071,0.010791292289124925,-0.010463896612671398,-1.2201257885350563,-3.4589620622851545,2.238836273750098,0.10707070707070707
TA,M1,long,5028,150,2.860937382199071,2.783211784683814,0.027167877912627637,0.005852953919378536,-0.6389452211451594,-2.496025421864084,1.8570802007189247,0.16302186878727634
TA,M2,long,5028,150,2.783211784683814,2.78861327265548,-0.0019407391134914332,-0.0054138329541660295,-0.6013235602879603,-2.529420115199394,1.9280965549114337,0.14910536779324055
AG,M0,short,7639,239,3.2252645007141343,3.167305090434597,0.01797043630582981,0.07078594833991855,-0.6297990116663663,-1.9979289373390703,1.368129925672704,0.14921465968586387
AG,M1,short,7639,239,3.167305090434597,3.0178207325864443,0.04719607160661664,0.11756601077497403,0.31696090858078635,-3.209913153634015,3.5268740622148016,0.21465968586387435
AG,M2,short,7639,239,3.0178207325864443,3.017620363031018,6.639544664222333e-05,0.09571467160013208,0.2628140291563092,-3.1976406128271098,3.460454641983419,0.20680628272251309
AL,M0,short,6946,153,2.978280770517927,2.8840343102012613,0.031644585443257635,0.10816739689508136,-0.9041310931323226,-2.4371734076970784,1.5330423145647556,0.17266187050359713
AL,M1,short,6946,153,2.8840343102012613,2.756586615283648,0.04419076932157559,0.12511482157530995,-0.3003374542855732,-3.7006994006249787,3.4003619463394057,0.1841726618705036
AL,M2,short,6946,153,2.756586615283648,2.7512953334823607,0.0019195050037427853,0.11925117564783863,-0.2837305296484155,-3.737924238653381,3.4541937090049655,0.17985611510791366
AU,M0,short,7291,314,2.92145277704099,2.8718429335062954,0.01698122383649904,0.019705746602373078,-0.32854174253062135,-2.0769522441209185,1.748410501590297,0.24175824175824176
AU,M1,short,7291,314,2.8718429335062954,2.750608662890152,0.042214798449344865,0.1449306314936119,0.06830537168030933,-2.724038636655996,2.7923440083363054,0.23868312757201646
AU,M2,short,7291,314,2.750608662890152,2.7434121101168123,0.002616349199517855,0.14040259189845447,0.1367669764611212,-2.977538772465772,3.114305748926893,0.25377229080932784
CF,M0,short,4939,160,2.68109381917065,2.657780223066211,0.008695554007748492,0.01593557748890735,-0.5593991561725002,-2.3545979382465974,1.795198782074097,0.1214574898785425
CF,M1,short,4939,160,2.657780223066211,2.534220401004973,0.046489856831988245,0.12813985648293563,-0.020803060714173618,-2.5670220537938846,2.546218993079711,0.18421052631578946
CF,M2,short,4939,160,2.534220401004973,2.544758482835956,-0.0041583130760070525,0.12974656115921593,0.0433396090740383,-2.5463874156684096,2.589727024742448,0.19635627530364372
CU,M0,short,6857,162,3.263340708182382,3.1516129064704543,0.034237246951194955,0.026412630058219956,-0.4503384408313811,-1.6849237713016718,1.2345853304702907,0.17302052785923755
CU,M1,short,6857,162,3.1516129064704543,3.067204926261756,0.026782470663006736,0.09808513817426638,0.16429733868824395,-1.9172182505761408,2.081515589264385,0.17638483965014579
CU,M2,short,6857,162,3.067204926261756,3.0830894957680983,-0.005178841938579595,0.0741552587215067,0.09755823006980828,-1.7672619713644468,1.8648202014342552,0.16763848396501457
I,M0,short,5024,126,2.173818174280316,2.1469213812971484,0.012373064730711677,0.06862325045438437,-0.7534829995499094,-1.8626052764640415,1.1091222769141322,0.15904572564612326
I,M1,short,5024,126,2.1469213812971484,2.17783125344628,-0.01439730044071572,0.020286457203748696,-0.8962577191084766,-1.8709656869698603,0.9747079678613837,0.14910536779324055
I,M2,short,5024,126,2.17783125344628,2.1994389694853043,-0.009921666798027445,0.022339864878166887,-0.809531275904278,-1.714748265459014,0.9052169895547361,0.148
M,M0,short,4916,160,2.589271602893733,2.5489496328532213,0.015572707782160924,0.08966565093865532,-0.7849203038285751,-2.2944580041046496,1.5095377002760744,0.16089613034623218
M,M1,short,4916,160,2.5489496328532213,2.3902111969886017,0.06227601903884319,0.15251007500275973,-0.2356644134337841,-3.597741509701105,3.362077096267321,0.19308943089430894
M,M2,short,4916,160,2.3902111969886017,2.3852747938441645,0.002065258145663669,0.14437474363365158,-0.1534906370681257,-3.508602002631526,3.3551113655634,0.18902439024390244
MA,M0,short,4800,161,3.612554740669432,3.5298349175263737,0.02289787396487439,0.06341365277052763,-0.6586782817013652,-2.9967041509993826,2.3380258692980176,0.14791666666666667
MA,M1,short,4800,161,3.5298349175263737,3.4320874373975205,0.027691799308663508,0.1278725342137046,0.1348757547150779,-2.748183934673917,2.883059689388995,0.16041666666666668
MA,M2,short,4800,161,3.4320874373975205,3.4187846337462706,0.0038760095405195017,0.1325769194880406,0.14430544213457255,-3.2088596956284503,3.353165137763023,0.175
NI,M0,short,6939,144,3.3165501623591847,3.293612500412114,0.00691612091606487,-0.07486000064379364,-0.5851003220375628,-1.261553011560285,0.6764526895227223,0.16011644832605532
NI,M1,short,6939,144,3.293612500412114,3.1355018269511823,0.04800524452744457,0.009482341094805575,-0.023824246534961662,-2.3143143059351003,2.2904900594001387,0.1844380403458213
NI,M2,short,6939,144,3.1355018269511823,3.1444374663319694,-0.0028498275153217576,5.884767738072205e-05,0.0449284846658693,-2.1620184014152217,2.206946886081091,0.19020172910662825
P,M0,short,5035,130,2.910891429058895,2.873773453540541,0.012751411869165577,-0.06826039692543406,-1.8173054826194286,-1.9137511910534262,0.09644570843399758,0.08548707753479125
P,M1,short,5035,130,2.873773453540541,2.766196961951352,0.03743388034176913,-0.013683032767089457,-0.5594024488382581,-2.719446715553627,2.160044266715369,0.1488095238095238
P,M2,short,5035,130,2.766196961951352,2.78074280755613,-0.005258427293809617,-0.015867304431936912,-0.5892937938403368,-2.616334015561814,2.0270402217214776,0.15476190476190477
RB,M0,short,5128,138,2.7103785701278547,2.693548888868027,0.006209347079892884,-0.019352548285461114,-0.43727793649507146,-1.135088264632043,0.6978103281369716,0.11306042884990253
RB,M1,short,5128,138,2.693548888868027,2.6118978919328217,0.03031353812535379,0.029179632865102226,-0.6082174925461558,-2.069125200834721,1.4609077082885653,0.134765625
RB,M2,short,5128,138,2.6118978919328217,2.591666504803927,0.007745856831303327,0.03779559159274464,-0.2976008506502095,-3.198538044039628,2.9009371933894186,0.13840155945419103
RU,M0,short,4834,174,2.5154478753637366,2.556312277704262,-0.016245378304496298,-0.015693379253708062,-0.5679800936642462,-1.6412677514144636,1.0732876577502175,0.14669421487603307
RU,M1,short,4834,174,2.556312277704262,2.325086212820892,0.09045298060807598,0.12122554908535695,0.14857105646579932,-3.0126171780999393,3.1611882345657385,0.22933884297520662
RU,M2,short,4834,174,2.325086212820892,2.3449725905827745,-0.008552963607209967,0.08678540993082025,0.02010741273668862,-2.777014159616075,2.7971215723527636,0.2236024844720497
SC,M0,short,7258,258,3.6094325208369735,3.5406599894204143,0.019053557870812317,0.06772690153599961,-0.3185072976217456,-3.034393056706098,2.7158857590843524,0.16942148760330578
SC,M1,short,7258,258,3.5406599894204143,3.3267565122244815,0.06041344772869521,0.19104466329733896,0.4998632069107468,-6.386103637152086,6.885966844062833,0.22482758620689655
SC,M2,short,7258,258,3.3267565122244815,3.3824418090723936,-0.01673861511754501,0.16074517745157305,0.16725160765740238,-4.727559657462902,4.894811265120304,0.20798898071625344
SN,M0,short,6987,150,2.9793855106998555,2.8843141083778696,0.03190973507139519,0.07922571314394011,-1.721499506729651,-2.368170190959506,0.6466706842298551,0.10043041606886657
SN,M1,short,6987,150,2.8843141083778696,2.8208587042751905,0.022000171173577998,0.026804477624625577,-0.3192523318224451,-2.6760738858136794,2.3568215539912343,0.19368723098995697
SN,M2,short,6987,150,2.8208587042751905,2.7984542863017103,0.007942410564387653,0.05427374721273437,-0.41107000782987374,-3.1746283193008717,2.763558311470998,0.18624641833810887
TA,M0,short,5028,150,2.8397528922993622,2.79197215459303,0.016825667414901053,0.14019524706751946,-0.6129425556613104,-1.9117127888975953,1.298770233236285,0.18163672654690619
TA,M1,short,5028,150,2.79197215459303,2.6675413337994884,0.04456735737455053,0.1256700175028553,-0.0511582149230919,-3.057791118449167,3.006632903526075,0.18886679920477137
TA,M2,short,5028,150,2.6675413337994884,2.6756490094454892,-0.0030393814496035175,0.10463803713270062,-0.0779924496627016,-2.5839237511057047,2.505931301443003,0.192
