direction,feature,gain,gain_pct
short,h4_RESISTANCE_phase,0.0,0.0
short,h4_RESISTANCE_distance_atr,0.0,0.0
short,h4_SUPPORT_path_efficiency,0.0,0.0
short,h4_SUPPORT_approach_velocity,0.0,0.0
short,h4_SUPPORT_episode_age_5m,0.0,0.0
short,h4_SUPPORT_phase,0.0,0.0
short,h1_BUYSIDE_LIQUIDITY_phase,0.0,0.0
short,h1_trend_state,0.0,0.0
short,h1_RESISTANCE_max_penetration_atr,0.0,0.0
short,m5_BUYSIDE_LIQUIDITY_approach_velocity,0.0,0.0
short,m15_SUPPORT_episode_age_5m,0.0,0.0
short,m5_SELLSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
short,m5_SELLSIDE_LIQUIDITY_path_efficiency,0.0,0.0
short,m5_SELLSIDE_LIQUIDITY_approach_velocity,0.0,0.0
short,m5_SELLSIDE_LIQUIDITY_episode_age_5m,0.0,0.0
short,m5_BUYSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
short,m5_BUYSIDE_LIQUIDITY_path_efficiency,0.0,0.0
short,m5_BUYSIDE_LIQUIDITY_episode_age_5m,0.0,0.0
short,h1_RESISTANCE_phase,0.0,0.0
short,m5_RESISTANCE_path_efficiency,0.0,0.0
short,m5_RESISTANCE_approach_velocity,0.0,0.0
short,m5_RESISTANCE_episode_age_5m,0.0,0.0
short,m5_RESISTANCE_phase,0.0,0.0
short,m5_SUPPORT_max_penetration_atr,0.0,0.0
short,m5_SUPPORT_path_efficiency,0.0,0.0
short,m5_SUPPORT_approach_velocity,0.0,0.0
short,m15_SUPPORT_approach_velocity,0.0,0.0
short,m15_SUPPORT_path_efficiency,0.0,0.0
short,m15_SUPPORT_max_penetration_atr,0.0,0.0
short,m15_RESISTANCE_episode_age_5m,0.0,0.0
short,h1_SUPPORT_max_penetration_atr,0.0,0.0
short,h1_SUPPORT_path_efficiency,0.0,0.0
short,h1_SUPPORT_approach_velocity,0.0,0.0
short,h1_SUPPORT_episode_age_5m,0.0,0.0
short,h1_SUPPORT_phase,0.0,0.0
short,m15_SELLSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
short,m15_SELLSIDE_LIQUIDITY_path_efficiency,0.0,0.0
short,m15_SELLSIDE_LIQUIDITY_approach_velocity,0.0,0.0
short,m15_BUYSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
short,m15_BUYSIDE_LIQUIDITY_path_efficiency,0.0,0.0
short,m15_BUYSIDE_LIQUIDITY_approach_velocity,0.0,0.0
short,m15_BUYSIDE_LIQUIDITY_episode_age_5m,0.0,0.0
short,m15_BUYSIDE_LIQUIDITY_phase,0.0,0.0
short,m15_RESISTANCE_path_efficiency,0.0,0.0
short,m15_RESISTANCE_approach_velocity,0.0,0.0
short,h4_SELLSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
