model,direction,decile,rows,distinct_episodes,raw_episode_weight,mean_prediction,actual_mean_y,weighted_actual_mean_y,positive_y_rate,spread,rho_D,monotonicity_violations
M1,short,9,8961,1672,750.6091801391068,-0.4880828265995723,-1.7942667200364326,-0.04054432648616379,0.19183126883160362,2.9198872111018104,0.9878787878787878,1
M2,short,0,8963,618,145.74063782681463,-3.178255355694558,-2.9459912930344827,-2.8987847805777402,0.11101193796719848,2.842133170130701,0.9999999999999999,0
M2,short,1,8962,847,144.97494980041984,-2.4841728904685096,-2.831873229336504,-2.7036448453024176,0.10723052889979916,2.842133170130701,0.9999999999999999,0
M2,short,2,8962,935,145.39373990939436,-2.311368033261741,-2.8462831180930355,-2.4898931313035577,0.10689578219147512,2.842133170130701,0.9999999999999999,0
M2,short,3,8962,1054,151.06448485928394,-2.1772853922399986,-2.811412667916121,-2.4662221757817173,0.10723052889979916,2.842133170130701,0.9999999999999999,0
M2,short,4,8963,1129,166.3992798476274,-2.0512803546070795,-2.5776194082442947,-2.2790093723240195,0.10956153073747629,2.842133170130701,0.9999999999999999,0
M2,short,5,8961,1191,175.1684031254594,-1.9154160338801676,-2.479267183784369,-2.069759811013541,0.11583528624037495,2.842133170130701,0.9999999999999999,0
M2,short,6,8962,1312,220.73221751745987,-1.7498756250424707,-2.618148629351919,-1.9791121771977376,0.1125864762329837,2.842133170130701,0.9999999999999999,0
M2,short,7,8962,1490,300.09587910004575,-1.5053706752525486,-2.3223254835168503,-1.4545139575294335,0.1287659004686454,2.842133170130701,0.9999999999999999,0
M2,short,8,8962,1660,422.5478716493757,-1.1018390470358583,-2.181660085346129,-0.8806762643336614,0.15297924570408392,2.842133170130701,0.9999999999999999,0
M2,short,9,8962,1686,746.882536364119,-0.4839234085431978,-1.7494516358718075,-0.05665161044703918,0.19348359741129212,2.842133170130701,0.9999999999999999,0
