ns,contract
1761754500000000000,SHFE.ag2512
1761755400000000000,SHFE.ag2512
1761756300000000000,SHFE.ag2512
1761757200000000000,SHFE.ag2512
1761758100000000000,SHFE.ag2512
1761759000000000000,SHFE.ag2512
1761759900000000000,SHFE.ag2512
1761760800000000000,SHFE.ag2512
1761761700000000000,SHFE.ag2512
1761786000000000000,SHFE.ag2512
1761786900000000000,SHFE.ag2512
1761787800000000000,SHFE.ag2512
1761788700000000000,SHFE.ag2512
1761789600000000000,SHFE.ag2512
1761791400000000000,SHFE.ag2512
1761792300000000000,SHFE.ag2512
1761793200000000000,SHFE.ag2512
1761794100000000000,SHFE.ag2512
1761802200000000000,SHFE.ag2512
1761803100000000000,SHFE.ag2512
1761804000000000000,SHFE.ag2512
1761804900000000000,SHFE.ag2512
1761805800000000000,SHFE.ag2512
1761806700000000000,SHFE.ag2512
1761829200000000000,SHFE.ag2512
1761830100000000000,SHFE.ag2512
1761831000000000000,SHFE.ag2512
1761831900000000000,SHFE.ag2512
1761832800000000000,SHFE.ag2512
1761833700000000000,SHFE.ag2512
1761834600000000000,SHFE.ag2512
1761835500000000000,SHFE.ag2512
1761836400000000000,SHFE.ag2512
1761837300000000000,SHFE.ag2512
1761838200000000000,SHFE.ag2512
1761839100000000000,SHFE.ag2512
1761840000000000000,SHFE.ag2512
1761840900000000000,SHFE.ag2512
1761841800000000000,SHFE.ag2512
1761842700000000000,SHFE.ag2512
1761843600000000000,SHFE.ag2512
1761844500000000000,SHFE.ag2512
1761845400000000000,SHFE.ag2512
1761846300000000000,SHFE.ag2512
1761847200000000000,SHFE.ag2512
1761848100000000000,SHFE.ag2512
1761872400000000000,SHFE.ag2512
1761873300000000000,SHFE.ag2512
1761874200000000000,SHFE.ag2512
1761875100000000000,SHFE.ag2512
1761876000000000000,SHFE.ag2512
1761877800000000000,SHFE.ag2512
1761878700000000000,SHFE.ag2512
1761879600000000000,SHFE.ag2512
1761880500000000000,SHFE.ag2512
1761888600000000000,SHFE.ag2512
1761889500000000000,SHFE.ag2512
1761890400000000000,SHFE.ag2512
1761891300000000000,SHFE.ag2512
1761892200000000000,SHFE.ag2512
1761893100000000000,SHFE.ag2512
1761915600000000000,SHFE.ag2512
1761916500000000000,SHFE.ag2512
1761917400000000000,SHFE.ag2512
1761918300000000000,SHFE.ag2512
1761919200000000000,SHFE.ag2512
1761920100000000000,SHFE.ag2512
1761921000000000000,SHFE.ag2512
1761921900000000000,SHFE.ag2512
1761922800000000000,SHFE.ag2512
1761923700000000000,SHFE.ag2512
1761924600000000000,SHFE.ag2512
1761925500000000000,SHFE.ag2512
1761926400000000000,SHFE.ag2512
1761927300000000000,SHFE.ag2512
1761928200000000000,SHFE.ag2512
1761929100000000000,SHFE.ag2512
1761930000000000000,SHFE.ag2512
1761930900000000000,SHFE.ag2512
1761931800000000000,SHFE.ag2512
1761932700000000000,SHFE.ag2512
1761933600000000000,SHFE.ag2512
1761934500000000000,SHFE.ag2512
1762131600000000000,SHFE.ag2512
1762132500000000000,SHFE.ag2512
1762133400000000000,SHFE.ag2512
1762134300000000000,SHFE.ag2512
1762135200000000000,SHFE.ag2512
1762137000000000000,SHFE.ag2512
1762137900000000000,SHFE.ag2512
1762138800000000000,SHFE.ag2512
1762139700000000000,SHFE.ag2512
1762147800000000000,SHFE.ag2512
1762148700000000000,SHFE.ag2512
1762149600000000000,SHFE.ag2512
1762150500000000000,SHFE.ag2512
1762151400000000000,SHFE.ag2512
1762152300000000000,SHFE.ag2512
1762174800000000000,SHFE.ag2512
1762175700000000000,SHFE.ag2512
1762176600000000000,SHFE.ag2512
1762177500000000000,SHFE.ag2512
1762178400000000000,SHFE.ag2512
1762179300000000000,SHFE.ag2512
1762180200000000000,SHFE.ag2512
1762181100000000000,SHFE.ag2512
1762182000000000000,SHFE.ag2512
1762182900000000000,SHFE.ag2512
1762183800000000000,SHFE.ag2512
1762184700000000000,SHFE.ag2512
1762185600000000000,SHFE.ag2512
1762186500000000000,SHFE.ag2512
1762187400000000000,SHFE.ag2512
1762188300000000000,SHFE.ag2512
1762189200000000000,SHFE.ag2512
1762190100000000000,SHFE.ag2512
1762191000000000000,SHFE.ag2512
1762191900000000000,SHFE.ag2512
1762192800000000000,SHFE.ag2512
1762193700000000000,SHFE.ag2512
1762218000000000000,SHFE.ag2512
1762218900000000000,SHFE.ag2512
1762219800000000000,SHFE.ag2512
1762220700000000000,SHFE.ag2512
1762221600000000000,SHFE.ag2512
1762223400000000000,SHFE.ag2512
1762224300000000000,SHFE.ag2512
1762225200000000000,SHFE.ag2512
1762226100000000000,SHFE.ag2512
1762234200000000000,SHFE.ag2512
1762235100000000000,SHFE.ag2512
1762236000000000000,SHFE.ag2512
1762236900000000000,SHFE.ag2512
1762237800000000000,SHFE.ag2512
1762238700000000000,SHFE.ag2512
1762261200000000000,SHFE.ag2512
1762262100000000000,SHFE.ag2512
1762263000000000000,SHFE.ag2512
1762263900000000000,SHFE.ag2512
1762264800000000000,SHFE.ag2512
1762265700000000000,SHFE.ag2512
1762266600000000000,SHFE.ag2512
1762267500000000000,SHFE.ag2512
1762268400000000000,SHFE.ag2512
1762269300000000000,SHFE.ag2512
1762270200000000000,SHFE.ag2512
1762271100000000000,SHFE.ag2512
1762272000000000000,SHFE.ag2512
1762272900000000000,SHFE.ag2512
1762273800000000000,SHFE.ag2512
1762274700000000000,SHFE.ag2512
1762275600000000000,SHFE.ag2512
1762276500000000000,SHFE.ag2512
1762277400000000000,SHFE.ag2512
1762278300000000000,SHFE.ag2512
1762279200000000000,SHFE.ag2512
1762280100000000000,SHFE.ag2512
1762304400000000000,SHFE.ag2512
1762305300000000000,SHFE.ag2512
1762306200000000000,SHFE.ag2512
1762307100000000000,SHFE.ag2512
1762308000000000000,SHFE.ag2512
1762309800000000000,SHFE.ag2512
1762310700000000000,SHFE.ag2512
1762311600000000000,SHFE.ag2512
1762312500000000000,SHFE.ag2512
1762320600000000000,SHFE.ag2512
