risk_ATR,wf,model,n_train,n_test,base_delivery_rate,roc_auc,pr_auc,brier,logloss,top20_delivery_rate,bottom20_delivery_rate,bottom20_avoidance_gain
0.5,WF1,M_trend,20763,25444,0.5279562982005142,0.5761914983846451,0.600367613469152,0.24583376276049493,0.684834886850176,0.6179996069954804,0.43525250540381216,0.09270379279670199
0.5,WF1,M_ob,20763,25444,0.5279562982005142,0.5683201356950869,0.594982312863964,0.24739478892945083,0.6880074808162286,0.6136765572804087,0.4556887404205148,0.07226755777999933
0.5,WF1,M_full,20763,25444,0.5279562982005142,0.6862037960386842,0.7149771242066405,0.23028524564808536,0.6660875078067173,0.780310473570446,0.33012379642365886,0.1978325017768553
0.5,WF1,M_full_minus_contact,20763,25444,0.5279562982005142,0.690094423621042,0.7175239356022896,0.22722586749112345,0.656042250869343,0.78109648260955,0.31813715857732366,0.2098191396231905
0.5,WF1,M_full_minus_liquidity,20763,25444,0.5279562982005142,0.5874953947934983,0.6217591197036215,0.24886145252072564,0.6926863905363873,0.6523875024562783,0.4556887404205148,0.07226755777999933
0.5,WF1,M_full_minus_trend,20763,25444,0.5279562982005142,0.6847765459632948,0.7116130424650369,0.23088831367681037,0.6678157750736187,0.765769306347023,0.32599724896836313,0.20195904923215102
0.5,WF1,M_full_minus_ob,20763,25444,0.5279562982005142,0.6873061901886989,0.715513235690102,0.2299097231377042,0.665742535139946,0.7753979170760463,0.3313028099823148,0.19665348821819933
0.5,WF2,M0,46207,23468,0.5279562982005142,0.5635847718966404,0.5706632388239147,0.24729753841368485,0.6885210942607716,0.5762675756284619,0.4190455901150405,0.10891070808547365
0.5,WF2,M_contact,46207,23468,0.5279562982005142,0.59563831408333,0.613265233955776,0.24524007851511898,0.6852184437244263,0.6457179377929272,0.4175543246697912,0.11040197353072295
0.5,WF2,M_liquidity,46207,23468,0.5279562982005142,0.7067060489997491,0.7262249683038449,0.2227265313918196,0.6424628972588999,0.797827013208351,0.28909245845760545,0.2388638397429087
