risk_ATR,wf,model,dROC_vs_M0,dBottom20gain_vs_M0
0.75,WF3,M_trend,0.0007884435845250115,0.009921891492505885
0.75,WF3,M_ob,0.003094071740364801,0.018577158539159866
0.75,WF3,M_full,0.1360724231807242,0.16276124129195696
0.75,WF3,M_full_minus_contact,0.14088238829707878,0.17183871648722826
0.75,WF3,M_full_minus_liquidity,0.021940775685882707,0.03736542115262831
0.75,WF3,M_full_minus_trend,0.13619667339271746,0.1646611779607347
0.75,WF3,M_full_minus_ob,0.1356647000476311,0.16339455351488286
1.0,WF1,M_contact,0.01879376346739081,-0.0147376694831991
1.0,WF1,M_liquidity,0.14842882626204879,0.13263902534879146
1.0,WF1,M_trend,0.000422732016501115,-0.00589506779327964
1.0,WF1,M_ob,-0.008897248197339058,-0.01179013558655928
1.0,WF1,M_full,0.14501684751237098,0.13165651404991152
1.0,WF1,M_full_minus_contact,0.14590335784265196,0.12772646885439176
1.0,WF1,M_full_minus_liquidity,0.01643112641159583,-0.022990764393790553
1.0,WF1,M_full_minus_trend,0.14647408837197573,0.13774808410296713
1.0,WF1,M_full_minus_ob,0.1455120768851047,0.13342503438789544
1.0,WF2,M_contact,0.02942618881371284,-0.009586706433745151
1.0,WF2,M_liquidity,0.17237516052799795,0.16829995739241588
1.0,WF2,M_trend,-0.0028519032825683466,-0.0021303792074989225
1.0,WF2,M_ob,-0.010031108894836938,-0.009373668512995259
1.0,WF2,M_full,0.1684309506783659,0.1648913506604176
1.0,WF2,M_full_minus_contact,0.1697832237338791,0.16382616105666814
1.0,WF2,M_full_minus_liquidity,0.020963758539623067,-0.01320835108649332
1.0,WF2,M_full_minus_trend,0.16949107907601924,0.16212185769066895
1.0,WF2,M_full_minus_ob,0.1696819781360711,0.16553046442266728
1.0,WF3,M_contact,0.025522059849714562,0.03462106818661603
1.0,WF3,M_liquidity,0.145525640696043,0.17099430018999368
1.0,WF3,M_trend,-0.0014574136373318725,0.010132995566814462
1.0,WF3,M_ob,0.0029975815514796667,0.014566181127295796
1.0,WF3,M_full,0.13910716646711863,0.1669833227781296
1.0,WF3,M_full_minus_contact,0.14208985537053498,0.16677221870382097
1.0,WF3,M_full_minus_liquidity,0.028143973894712015,0.04200971078741822
1.0,WF3,M_full_minus_trend,0.13965243754636736,0.16466117796073465
1.0,WF3,M_full_minus_ob,0.1417458370366017,0.16740553092674687
1.5,WF1,M_contact,0.007099601198353622,-0.014541167223423135
1.5,WF1,M_liquidity,0.14470831409134077,0.11200628807231283
1.5,WF1,M_trend,-0.0015752853611948892,-0.006484574572607649
1.5,WF1,M_ob,-0.007094231949055341,-0.005502063273727709
1.5,WF1,M_full,0.14474259871246975,0.10552171349970518
1.5,WF1,M_full_minus_contact,0.14629516298212186,0.11043426999410488
1.5,WF1,M_full_minus_liquidity,0.0061424473886905195,-0.011200628807231272
1.5,WF1,M_full_minus_trend,0.14550361777398568,0.1072902338376891
1.5,WF1,M_full_minus_ob,0.14286533891330166,0.10532521123992922
1.5,WF2,M_contact,0.017794991952948203,-0.011717085641244185
1.5,WF2,M_liquidity,0.15391283692831004,0.1090754154239455
1.5,WF2,M_trend,-0.0045904607060269775,-0.013421389007243323
1.5,WF2,M_ob,-0.014505949870047052,-0.023221133361738366
1.5,WF2,M_full,0.14740852859860387,0.1063059224541969
1.5,WF2,M_full_minus_contact,0.15135882439604564,0.10779718789944615
1.5,WF2,M_full_minus_liquidity,0.006929540941894574,-0.020025564550489983
1.5,WF2,M_full_minus_trend,0.1486085194409963,0.10353642948444819
1.5,WF2,M_full_minus_ob,0.1483558595926051,0.10502769492969743
1.5,WF3,M_contact,0.02402543585734085,0.02385476039687562
1.5,WF3,M_liquidity,0.15525048799286623,0.15832805573147557
1.5,WF3,M_trend,-0.001351319068328527,0.008233058898036716
1.5,WF3,M_ob,-0.004878789837221231,0.011188515938357568
1.5,WF3,M_full,0.14419424695253746,0.14650622757019205
1.5,WF3,M_full_minus_contact,0.14678384379383103,0.15136162127929065
1.5,WF3,M_full_minus_liquidity,0.02361860366474322,0.027443529660122423
1.5,WF3,M_full_minus_trend,0.145373668193011,0.14502849905003168
1.5,WF3,M_full_minus_ob,0.14944927600900326,0.1507283090563648
2.0,WF1,M_contact,0.007659120137827324,-0.007467085871487478
2.0,WF1,M_liquidity,0.16274317487058887,0.08960503045785029
2.0,WF1,M_trend,-0.0013844926483368436,-0.0035370406759678286
2.0,WF1,M_ob,-0.008356635512907884,-0.0033405384161917517
2.0,WF1,M_full,0.15550621267652442,0.08292395362546667
2.0,WF1,M_full_minus_contact,0.16076793445776072,0.08292395362546667
2.0,WF1,M_full_minus_liquidity,0.004022662861461135,-0.012576144625663144
2.0,WF1,M_full_minus_trend,0.1574071317396436,0.08410296718412258
2.0,WF1,M_full_minus_ob,0.1567770443694695,0.08351346040479468
2.0,WF2,M_contact,0.03415866473721296,0.000852151682999569
2.0,WF2,M_liquidity,0.17535358249551092,0.09458883681295271
2.0,WF2,M_trend,-0.005930150744885343,-0.00745632722624634
2.0,WF2,M_ob,-0.010424505072392454,-0.011077971878994508
2.0,WF2,M_full,0.1704286872390881,0.0975713677034512
2.0,WF2,M_full_minus_contact,0.17251391151282802,0.09437579889220282
2.0,WF2,M_full_minus_liquidity,0.025270348286599575,-0.0072432893054964476
2.0,WF2,M_full_minus_trend,0.17267301568059967,0.09373668512995315
2.0,WF2,M_full_minus_ob,0.17200235373149775,0.09565402641670218
2.0,WF3,M_contact,0.0295090397987694,0.012032932235592098
2.0,WF3,M_liquidity,0.16101681855093786,0.11505172049820556
2.0,WF3,M_trend,-0.0022604566327755204,0.006544226303567657
2.0,WF3,M_ob,-0.0025839768035853528,0.0029554570403208524
2.0,WF3,M_full,0.1543443025904251,0.12054042643023011
2.0,WF3,M_full_minus_contact,0.15638078372033226,0.11842938568714367
2.0,WF3,M_full_minus_liquidity,0.030428924701537463,0.01731053409330796
2.0,WF3,M_full_minus_trend,0.15569831285060465,0.1218070508760819
2.0,WF3,M_full_minus_ob,0.15701473578153735,0.1192738019843782
3.0,WF1,M_contact,-0.0069033317788000925,-0.0035370406759677175
3.0,WF1,M_liquidity,0.1278987841193604,0.04283749263116532
3.0,WF1,M_trend,-0.007504218642578775,-0.0013755158184318717
3.0,WF1,M_ob,-0.0040732408689372335,-0.0005895067793278974
3.0,WF1,M_full,0.12317496158292729,0.04362350167026918
3.0,WF1,M_full_minus_contact,0.1298286495439256,0.04244448811161328
3.0,WF1,M_full_minus_liquidity,-0.0036833077970497285,0.0017685203379839143
3.0,WF1,M_full_minus_trend,0.12183333186025291,0.04244448811161328
3.0,WF1,M_full_minus_ob,0.12389512464080665,0.041068972293181405
3.0,WF2,M_contact,0.028157691460351186,0.007030251384746555
3.0,WF2,M_liquidity,0.14887375072517783,0.05070302513847469
3.0,WF2,M_trend,-0.004411337108567226,-0.001704303365999138
3.0,WF2,M_ob,-0.011490129181441766,-0.002556455048998707
3.0,WF2,M_full,0.1460363875934947,0.05240732850447383
3.0,WF2,M_full_minus_contact,0.14831636614804966,0.0504899872177248
3.0,WF2,M_full_minus_liquidity,0.021066865218539177,0.0046868342564977405
3.0,WF2,M_full_minus_trend,0.14478987804859167,0.05112910097997447
3.0,WF2,M_full_minus_ob,0.14568521227420095,0.05389859394972307
3.0,WF3,M_contact,0.03047744299794608,0.011399620012666256
3.0,WF3,M_liquidity,0.1658249870044145,0.06966434452184933
3.0,WF3,M_trend,-0.002405430858881452,0.0014777285201604817
3.0,WF3,M_ob,0.00610434702820617,0.004644289634790022
3.0,WF3,M_full,0.1626483699756367,0.06734219970445432
3.0,WF3,M_full_minus_contact,0.16579713517644867,0.06628667933291121
3.0,WF3,M_full_minus_liquidity,0.03140189158784279,0.014143972978678532
3.0,WF3,M_full_minus_trend,0.1619537376495518,0.06755330377876301
3.0,WF3,M_full_minus_ob,0.1611425144769547,0.06924213637323207
