risk_ATR,opportunity_label,n_4class,share_of_risk_4class,outcome_path,n_6path,share_of_risk_6path
1.0,NO_DELIVERY,23013,0.2374922600619195,SHORT_ONLY_DELIVERY,30180,0.31145510835913315
1.0,NO_DELIVERY,23013,0.2374922600619195,UNRESOLVED,854,0.008813209494324046
1.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,BOTH_DIRECTION_DELIVERY,7773,0.08021671826625387
1.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,LONG_ONLY_DELIVERY,31540,0.3254901960784314
1.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_DELIVERY,23013,0.2374922600619195
1.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
1.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,SHORT_ONLY_DELIVERY,30180,0.31145510835913315
1.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,UNRESOLVED,854,0.008813209494324046
1.0,UNRESOLVED,854,0.008813209494324046,BOTH_DIRECTION_DELIVERY,7773,0.08021671826625387
1.0,UNRESOLVED,854,0.008813209494324046,LONG_ONLY_DELIVERY,31540,0.3254901960784314
1.0,UNRESOLVED,854,0.008813209494324046,NO_DELIVERY,23013,0.2374922600619195
1.0,UNRESOLVED,854,0.008813209494324046,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
1.0,UNRESOLVED,854,0.008813209494324046,SHORT_ONLY_DELIVERY,30180,0.31145510835913315
1.0,UNRESOLVED,854,0.008813209494324046,UNRESOLVED,854,0.008813209494324046
1.5,DELIVERY,79017,0.8154489164086687,BOTH_DIRECTION_DELIVERY,14176,0.14629514963880288
1.5,DELIVERY,79017,0.8154489164086687,LONG_ONLY_DELIVERY,33228,0.34291021671826627
1.5,DELIVERY,79017,0.8154489164086687,NO_DELIVERY,14004,0.14452012383900928
1.5,DELIVERY,79017,0.8154489164086687,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
1.5,DELIVERY,79017,0.8154489164086687,SHORT_ONLY_DELIVERY,31613,0.3262435500515996
1.5,DELIVERY,79017,0.8154489164086687,UNRESOLVED,339,0.0034984520123839007
1.5,NO_DELIVERY,14004,0.14452012383900928,BOTH_DIRECTION_DELIVERY,14176,0.14629514963880288
1.5,NO_DELIVERY,14004,0.14452012383900928,LONG_ONLY_DELIVERY,33228,0.34291021671826627
1.5,NO_DELIVERY,14004,0.14452012383900928,NO_DELIVERY,14004,0.14452012383900928
1.5,NO_DELIVERY,14004,0.14452012383900928,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
1.5,NO_DELIVERY,14004,0.14452012383900928,SHORT_ONLY_DELIVERY,31613,0.3262435500515996
1.5,NO_DELIVERY,14004,0.14452012383900928,UNRESOLVED,339,0.0034984520123839007
1.5,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,BOTH_DIRECTION_DELIVERY,14176,0.14629514963880288
1.5,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,LONG_ONLY_DELIVERY,33228,0.34291021671826627
1.5,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_DELIVERY,14004,0.14452012383900928
1.5,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
1.5,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,SHORT_ONLY_DELIVERY,31613,0.3262435500515996
1.5,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,UNRESOLVED,339,0.0034984520123839007
1.5,UNRESOLVED,339,0.0034984520123839007,BOTH_DIRECTION_DELIVERY,14176,0.14629514963880288
1.5,UNRESOLVED,339,0.0034984520123839007,LONG_ONLY_DELIVERY,33228,0.34291021671826627
1.5,UNRESOLVED,339,0.0034984520123839007,NO_DELIVERY,14004,0.14452012383900928
1.5,UNRESOLVED,339,0.0034984520123839007,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
1.5,UNRESOLVED,339,0.0034984520123839007,SHORT_ONLY_DELIVERY,31613,0.3262435500515996
1.5,UNRESOLVED,339,0.0034984520123839007,UNRESOLVED,339,0.0034984520123839007
2.0,DELIVERY,84122,0.8681320949432405,BOTH_DIRECTION_DELIVERY,19817,0.20450980392156862
2.0,DELIVERY,84122,0.8681320949432405,LONG_ONLY_DELIVERY,33358,0.3442518059855521
2.0,DELIVERY,84122,0.8681320949432405,NO_DELIVERY,9019,0.09307533539731683
2.0,DELIVERY,84122,0.8681320949432405,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
2.0,DELIVERY,84122,0.8681320949432405,SHORT_ONLY_DELIVERY,30947,0.3193704850361197
2.0,DELIVERY,84122,0.8681320949432405,UNRESOLVED,219,0.002260061919504644
2.0,NO_DELIVERY,9019,0.09307533539731683,BOTH_DIRECTION_DELIVERY,19817,0.20450980392156862
2.0,NO_DELIVERY,9019,0.09307533539731683,LONG_ONLY_DELIVERY,33358,0.3442518059855521
2.0,NO_DELIVERY,9019,0.09307533539731683,NO_DELIVERY,9019,0.09307533539731683
2.0,NO_DELIVERY,9019,0.09307533539731683,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
2.0,NO_DELIVERY,9019,0.09307533539731683,SHORT_ONLY_DELIVERY,30947,0.3193704850361197
2.0,NO_DELIVERY,9019,0.09307533539731683,UNRESOLVED,219,0.002260061919504644
2.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,BOTH_DIRECTION_DELIVERY,19817,0.20450980392156862
2.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,LONG_ONLY_DELIVERY,33358,0.3442518059855521
2.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_DELIVERY,9019,0.09307533539731683
2.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
2.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,SHORT_ONLY_DELIVERY,30947,0.3193704850361197
2.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,UNRESOLVED,219,0.002260061919504644
2.0,UNRESOLVED,219,0.002260061919504644,BOTH_DIRECTION_DELIVERY,19817,0.20450980392156862
2.0,UNRESOLVED,219,0.002260061919504644,LONG_ONLY_DELIVERY,33358,0.3442518059855521
2.0,UNRESOLVED,219,0.002260061919504644,NO_DELIVERY,9019,0.09307533539731683
2.0,UNRESOLVED,219,0.002260061919504644,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
2.0,UNRESOLVED,219,0.002260061919504644,SHORT_ONLY_DELIVERY,30947,0.3193704850361197
2.0,UNRESOLVED,219,0.002260061919504644,UNRESOLVED,219,0.002260061919504644
3.0,DELIVERY,89150,0.9200206398348814,BOTH_DIRECTION_DELIVERY,29033,0.2996181630546956
3.0,DELIVERY,89150,0.9200206398348814,LONG_ONLY_DELIVERY,31449,0.3245510835913313
3.0,DELIVERY,89150,0.9200206398348814,NO_DELIVERY,4103,0.042342621259029926
3.0,DELIVERY,89150,0.9200206398348814,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
3.0,DELIVERY,89150,0.9200206398348814,SHORT_ONLY_DELIVERY,28668,0.2958513931888545
3.0,DELIVERY,89150,0.9200206398348814,UNRESOLVED,107,0.0011042311661506707
3.0,NO_DELIVERY,4103,0.042342621259029926,BOTH_DIRECTION_DELIVERY,29033,0.2996181630546956
3.0,NO_DELIVERY,4103,0.042342621259029926,LONG_ONLY_DELIVERY,31449,0.3245510835913313
3.0,NO_DELIVERY,4103,0.042342621259029926,NO_DELIVERY,4103,0.042342621259029926
3.0,NO_DELIVERY,4103,0.042342621259029926,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
3.0,NO_DELIVERY,4103,0.042342621259029926,SHORT_ONLY_DELIVERY,28668,0.2958513931888545
3.0,NO_DELIVERY,4103,0.042342621259029926,UNRESOLVED,107,0.0011042311661506707
3.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,BOTH_DIRECTION_DELIVERY,29033,0.2996181630546956
3.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,LONG_ONLY_DELIVERY,31449,0.3245510835913313
3.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_DELIVERY,4103,0.042342621259029926
3.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
3.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,SHORT_ONLY_DELIVERY,28668,0.2958513931888545
3.0,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808,UNRESOLVED,107,0.0011042311661506707
3.0,UNRESOLVED,107,0.0011042311661506707,BOTH_DIRECTION_DELIVERY,29033,0.2996181630546956
3.0,UNRESOLVED,107,0.0011042311661506707,LONG_ONLY_DELIVERY,31449,0.3245510835913313
3.0,UNRESOLVED,107,0.0011042311661506707,NO_DELIVERY,4103,0.042342621259029926
3.0,UNRESOLVED,107,0.0011042311661506707,NO_TARGET_ENVIRONMENT,3540,0.03653250773993808
3.0,UNRESOLVED,107,0.0011042311661506707,SHORT_ONLY_DELIVERY,28668,0.2958513931888545
3.0,UNRESOLVED,107,0.0011042311661506707,UNRESOLVED,107,0.0011042311661506707
