instrument,horizon,feature_set,model,oos_rows,folds,q10_pinball_skill,q10_calibration,q50_pinball_skill,q50_calibration,q90_pinball_skill,q90_calibration,crossing_rate,interval_80_coverage,interval_skill,width_path_spearman,width_abs_return_spearman,width_path_n
AL,8,F1,gbr_quantile,8707,7,0.02956947980561897,0.12759848397840817,-0.002108232491324191,0.49442976915125764,0.024250775137541813,0.868037211439072,0.0,0.7404387274606639,0.02697314218035729,0.38254567623737196,0.21829804939834851,8707
AL,8,F1_VOL,linear_qr,8707,7,0.007542970958401063,0.12690938325485243,-0.00012266946667871537,0.4946594693924429,0.008301764497998354,0.8688411622832204,0.0,0.7419317790283679,0.007913377728396176,0.19394527753200913,0.11955831924969727,8707
AL,8,F1_VOL,gbr_quantile,8707,7,0.05384467550540162,0.12713908349603767,-0.0034915943018820617,0.4922476168599977,0.057581843478618944,0.876650970483519,0.0,0.7495118869874814,0.05566898244220586,0.47008559210967116,0.27027558378108657,8707
SN,4,F1,linear_qr,8714,7,-0.004928315070271694,0.15159513426669727,-0.00030756387291552834,0.4929997704842782,-0.011858872483953231,0.8415193940784944,0.0,0.6899242598117971,-0.008368267786122097,0.15518156189009855,0.08820710629689933,8714
SN,4,F1,gbr_quantile,8714,7,0.07930101362978847,0.1351847601560707,-0.0022640869014345366,0.49690153775533624,0.06864949609116877,0.8509295386733992,0.0,0.7157447785173284,0.07401417817084421,0.6093131899459043,0.3909275372635221,8714
SN,4,F1_VOL,linear_qr,8714,7,0.05113493610454933,0.13461097085150334,-0.00047137214107251246,0.4957539591462015,0.05843093318657344,0.8579297681891209,0.0,0.7233187973376176,0.05475627324658083,0.5155775626280434,0.32615582536169396,8714
SN,4,F1_VOL,gbr_quantile,8714,7,0.10731082366298994,0.12715170989212762,-0.0015866020356298804,0.49770484278173055,0.10060605018417634,0.8588478310764287,0.0,0.7316961211843012,0.10398293784357882,0.6717369837593833,0.42697985339237304,8714
SN,8,F1,linear_qr,8707,7,-0.008264989077591878,0.14919030664982197,-0.0007930508319990981,0.49041001493051567,-0.012135954812171335,0.843114735270472,0.0,0.6939244286206501,-0.010203011135139217,0.10809140126400778,0.0591033879388086,8707
SN,8,F1,gbr_quantile,8707,7,0.07247736851527842,0.13850924543470772,-0.005210933399770079,0.49902377397496267,0.06253195698591807,0.8543700470885495,0.0,0.7158608016538417,0.06749813898009915,0.5259424166589521,0.32932637657979125,8707
SN,8,F1_VOL,linear_qr,8707,7,0.05552433536408774,0.13345584012863212,-0.0020799346696058763,0.4892615137245894,0.041964519933983535,0.855748248535661,0.0,0.7222924084070288,0.048735532982020935,0.49226366556196505,0.3007903897829588,8707
SN,8,F1_VOL,gbr_quantile,8707,7,0.10222913063811945,0.12840243482255656,-0.0060366061754986156,0.49500401975422076,0.08483814512290244,0.8610313540829218,0.0,0.7326289192603652,0.09352223012750616,0.6076790590045087,0.3764280221191864,8707
I,4,F1,linear_qr,6489,7,-0.004213965819997334,0.08891971027893358,-0.0014274745288840318,0.5091693635382956,0.00227632667399702,0.9189397441824626,0.0,0.8300200339035291,-0.000987270278124841,0.1356204499029425,0.07290033802231666,6489
I,4,F1,gbr_quantile,6489,7,-0.002233966652999131,0.09200184928340269,-0.004407458278256948,0.5071659731853907,0.006741896886982013,0.912313145322854,0.0,0.8203112960394514,0.0022284483915788744,0.1816826008790831,0.07295446689139416,6489
I,4,F1_VOL,linear_qr,6489,7,-0.0036122410914243286,0.08891971027893358,-0.0035401042806786354,0.5096316843889659,-0.002491654893973072,0.9163199260286639,0.0,0.8274002157497303,-0.0030551336126867223,0.16231708877358014,0.07333500004899972,6489
I,4,F1_VOL,gbr_quantile,6489,7,-0.0038794801056614148,0.0940052396363076,-0.003479043958220185,0.5051625828324857,-0.0011727114567186003,0.9120049314224071,0.0,0.8179996917860995,-0.0025337906254869758,0.1780914344756385,0.05873175313125284,6489
I,8,F1,linear_qr,6484,7,-0.017068867973806467,0.08605798889574337,0.0007437085335878502,0.5007711289327575,-0.001568568211372412,0.9236582356570019,0.0,0.8376002467612584,-0.009375077352224759,0.05236281787478301,0.019160262157767255,6484
I,8,F1,gbr_quantile,6484,7,-0.020340509405330165,0.0892967304133251,-0.0040792503273239245,0.5001542257865516,-0.0019408842188475273,0.9221159777914867,0.0,0.8328192473781616,-0.011207598050708256,0.031265140445532434,-0.015336087352631032,6484
I,8,F1_VOL,linear_qr,6484,7,-0.018619257844477488,0.08682911782850093,0.0013976731038523038,0.5029302899444787,-0.0061199791918205015,0.9219617520049352,0.0,0.8351326341764344,-0.01241506603217335,0.07531726638042746,0.01930927937229267,6484
I,8,F1_VOL,gbr_quantile,6484,7,-0.015141193297173672,0.0905305367057372,-0.002399452343309516,0.49922887106724245,-0.007393298017755345,0.9199568167797656,0.0,0.8294262800740284,-0.011295417089525195,0.027325486097166674,-0.023620360496112828,6484
SC,4,F1,linear_qr,10380,7,-0.005427041268358801,0.1407514450867052,0.00038984832480593035,0.5070327552986512,-0.0012545227486213673,0.85,9.633911368015414e-05,0.7093168898737836,-0.003453784652640346,0.27227880215959005,0.15938748165214467,10379
SC,4,F1,gbr_quantile,10380,7,0.04291362331622084,0.1338150289017341,-0.0001073810743235093,0.5083815028901734,0.06353357528700343,0.8614643545279383,0.0,0.7276493256262042,0.053286389887160945,0.5501945404386532,0.3458477584791125,10380
SC,4,F1_VOL,linear_qr,10380,7,0.0021119021983141417,0.13815028901734103,0.0006318286586546318,0.5089595375722543,0.033721736230223565,0.8559730250481695,0.0,0.7178227360308285,0.018013075499966336,0.41039796508990556,0.23890339205520777,10380
SC,4,F1_VOL,gbr_quantile,10380,7,0.057666530161220586,0.12928709055876686,-0.00021180438342871533,0.506840077071291,0.07976456321150649,0.8682080924855491,0.0,0.7389210019267822,0.06878283823178866,0.6052237040355305,0.36832739290546546,10380
SC,8,F1,linear_qr,10373,7,-0.003571218297627743,0.14075002410103152,-2.0012158215010345e-06,0.500819435071821,-0.0012116236656556367,0.8459462064976381,0.0003856165043863877,0.7054682225865561,-0.002314693701863657,0.30848480646372256,0.16389618232899264,10369
SC,8,F1,gbr_quantile,10373,7,0.02161408229567252,0.13679745493107104,-0.00288656358481143,0.5015906680805938,0.03994356136517374,0.8514412416851441,0.0,0.714643786754073,0.030925761195352286,0.5003066439064884,0.2894193694803516,10373
SC,8,F1_VOL,linear_qr,10373,7,0.00534807141383653,0.1383399209486166,-0.00018579804006657596,0.5011086474501109,0.01797115200656252,0.8496095632893088,0.0,0.7112696423406922,0.011760805390538698,0.39040381368333693,0.2066619853777167,10373
SC,8,F1_VOL,gbr_quantile,10373,7,0.036628723216918346,0.13332690639159356,-0.0022914172617229944,0.50226549696327,0.06052415738023664,0.8590571676467753,0.0,0.7257302612551817,0.04876799947531951,0.5602406163917171,0.3208062566730324,10373
M,4,F1,linear_qr,6489,7,0.0024390457699923207,0.07520419170904608,-0.0016870805324089577,0.5117891816920943,0.009858681831103722,0.9061488673139159,0.0,0.8309446756048697,0.0061859437106034365,0.20446960106103423,0.09950529817882182,6489
M,4,F1,gbr_quantile,6489,7,0.025565836465138658,0.08491292957312374,-0.004991434214926205,0.5005393743257821,0.012796247004087546,0.9033749422098937,0.0,0.8184620126367699,0.01911722523138326,0.3041858548102489,0.1451737360389756,6489
M,4,F1_VOL,linear_qr,6489,7,0.002469181381537622,0.07597472646016336,-0.0037804988540370843,0.49761134227153647,0.00949770211070533,0.9046077978116813,0.0,0.828633071351518,0.006018567042606948,0.21576372318249387,0.1028640906140906,6489
M,4,F1_VOL,gbr_quantile,6489,7,0.03260123589552666,0.08629989212513485,-0.006600042397791883,0.502542764678687,0.01772932228205437,0.9018338727076591,0.0,0.8155339805825242,0.025090956141600618,0.34241310241385603,0.16309305817619074,6489
M,8,F1,linear_qr,6484,7,-0.004780573536740107,0.07510795805058605,-0.003010102104772372,0.499691548426897,-0.002098470306445499,0.9088525601480567,0.0,0.8337446020974707,-0.0034331450126445784,0.019064568443466177,0.02674929395023788,6484
M,8,F1,gbr_quantile,6484,7,0.010559059309487084,0.07973473164713141,-0.007677209759248349,0.500616903146206,-0.0012839382487692674,0.9068476249228871,0.0,0.8271128932757557,0.0046094028829398725,0.12697569071871717,0.07971375897835298,6484
M,8,F1_VOL,linear_qr,6484,7,-0.004622751770358091,0.0769586674892042,-0.002900900463573164,0.49814929056138185,-0.004892953583529591,0.9091610117211598,0.0,0.8322023442319556,-0.004758495102761273,0.056205997777446504,0.03998661965767212,6484
M,8,F1_VOL,gbr_quantile,6484,7,0.021160881140188437,0.08096853793954349,-0.00910906440413184,0.5027760641579272,0.00481558544877847,0.904996915484269,0.0,0.8240283775447255,0.012949371083224914,0.17507354509445003,0.09732746745144887,6484
CF,4,F1,linear_qr,6489,7,0.006987106263427467,0.13006626598859608,-0.00020532953704566204,0.5079365079365079,0.005058477178174425,0.8663892741562644,0.0,0.7363230081676684,0.005988478493583083,0.2065309344020071,0.11209925891476716,6489
CF,4,F1,gbr_quantile,6489,7,0.016378728647135743,0.13114501464016026,-0.0014705670455572584,0.5040838341809215,0.01672159034986953,0.8694714131607335,0.0,0.7383263985205732,0.016556259526548378,0.38360032414794426,0.18944297373536237,6489
CF,4,F1_VOL,linear_qr,6489,7,0.016111132336674383,0.12683002003390353,-0.0004631304638382794,0.5107104330405301,0.014240076566105708,0.8707042687625212,0.0,0.7438742487286176,0.01514231554048251,0.33862114545336836,0.1755079384838139,6489
CF,4,F1_VOL,gbr_quantile,6489,7,0.013647109626485077,0.13237787024194791,-0.001523336000208264,0.5067036523347203,0.01518517574952516,0.8703960548620743,0.0,0.7380181846201264,0.014443507209653816,0.391413633440926,0.19565816660514393,6489
CF,8,F1,linear_qr,6484,7,-0.001573801239103556,0.13170882171499074,-0.003601879283590348,0.500308451573103,-0.006143947364891433,0.8659777914867366,0.0,0.7342689697717458,-0.003958785203885817,0.07878819003708998,0.037333562340069924,6484
CF,8,F1,gbr_quantile,6484,7,-0.0005549154010271451,0.12893275755706354,-0.005741326030441751,0.4972239358420728,-0.002025317320017539,0.8685996298581122,0.0,0.7396668723010488,-0.0013222617619650379,0.2765364953387606,0.1343267942136578,6484
CF,8,F1_VOL,linear_qr,6484,7,0.019803919549726046,0.12322640345465762,-0.004861100016383402,0.49799506477483035,-0.004904004013212004,0.8698334361505243,0.0,0.7466070326958667,0.0069098019703863756,0.2659862267897122,0.12747312920455184,6484
CF,8,F1_VOL,gbr_quantile,6484,7,0.0027731771518532122,0.1243059839605182,-0.004966207837765468,0.49660703269586676,-0.0041967300683911635,0.8701418877236274,0.0,0.7458359037631092,-0.0008641500798745039,0.31907092381457747,0.1571364486537,6484
