wf,action,first_h,scale,target_bin,risk_bin,plane,n_available,n_resolved,target_first_rate,stop_first_rate,ambiguous_rate,censored_rate,E_R_lower,E_R_upper,ambiguity_gap_R,median_target_atr,median_risk_atr,median_RR,rr_bin
WF2,OUTWARD,2,0.2,3-5,0.5-1,target_x_risk,931,891,0.09237379162191192,0.8646616541353384,0.0,0.04296455424274973,-0.4149454179108462,-0.4149454179108462,0.0,3.6666531032985183,0.7142857142857143,5.333333333333333,
WF2,OUTWARD,2,0.2,1-2,<0.25,target_x_risk,1534,1531,0.039765319426336376,0.9452411994784876,0.01303780964797914,0.001955671447196871,-0.4105642109276448,-0.01750982444461326,0.39305438648303154,1.5217391304347827,0.16129032258064516,9.5,
WF2,OUTWARD,2,0.2,2-3,0.25-0.5,target_x_risk,1186,1186,0.0699831365935919,0.9283305227655987,0.0016863406408094434,0.0,-0.4114502772046466,-0.40048906303938525,0.010961214165261383,2.4172185430463577,0.35714285714285715,7.0,
WF2,OUTWARD,2,0.2,2-3,<0.25,target_x_risk,894,886,0.012304250559284116,0.9787472035794184,0.0,0.008948545861297539,-0.8040815648713335,-0.8040815648713335,0.0,2.3597027972027975,0.15897166164803272,15.0,
WF2,OUTWARD,2,0.2,3-5,1-2,target_x_risk,561,533,0.19964349376114082,0.750445632798574,0.0,0.049910873440285206,-0.21790600602430318,-0.21790600602430318,0.0,3.695652173913044,1.2798533501369884,2.8,
WF2,OUTWARD,2,0.2,>=5,<0.25,target_x_risk,349,346,0.0057306590257879654,0.9856733524355301,0.0,0.008595988538681949,-0.7817906947309073,-0.7817906947309073,0.0,6.842105263157895,0.14705882352941177,52.99664327128414,
WF2,OUTWARD,2,0.2,>=5,1-2,target_x_risk,402,360,0.09950248756218906,0.7960199004975125,0.0,0.1044776119402985,-0.3165535903608076,-0.3165535903608076,0.0,6.491233648255815,1.3142874309060324,5.142857142857143,
WF2,OUTWARD,2,0.2,1-2,0.5-1,target_x_risk,2156,2139,0.2884972170686456,0.6938775510204082,0.00974025974025974,0.007884972170686457,-0.14793301318101104,-0.11485680934744394,0.03307620383356709,1.3956613791620491,0.6818181818181818,2.0,
WF2,OUTWARD,2,0.2,<0.5,0.25-0.5,target_x_risk,159,152,0.610062893081761,0.3333333333333333,0.012578616352201259,0.0440251572327044,0.1930230292152256,0.21714583623276948,0.024122807017543862,0.30487804878048785,0.37735849056603776,0.8571428571428571,
WF2,OUTWARD,2,0.2,<0.5,0.5-1,target_x_risk,430,430,0.6837209302325581,0.2651162790697674,0.05116279069767442,0.0,-0.007499844903292408,0.06808170816554449,0.07558155306883689,0.3333333333333333,0.7447831397168287,0.5,
WF2,OUTWARD,2,0.2,0.5-1,1-2,target_x_risk,861,850,0.627177700348432,0.34610917537746805,0.013937282229965157,0.012775842044134728,-0.028450772563174114,-0.008582027725993117,0.019868744837180995,0.7142857142857143,1.3513513513513513,0.5,
