action,first_h,scale,target_bin,risk_bin,plane,all_wf_present,WF1_n,WF1_E_R_lower,WF1_E_R_upper,WF1_ambiguity_gap_R,WF2_n,WF2_E_R_lower,WF2_E_R_upper,WF2_ambiguity_gap_R,WF3_n,WF3_E_R_lower,WF3_E_R_upper,WF3_ambiguity_gap_R,min_n_across_wf,min_E_R_lower_across_wf,max_ambiguity_gap_R_across_wf,sample_gate,positive_3_of_3,ambiguity_gate,robust_positive_geometry,rr_bin
OUTWARD,2,0.4,>=5,1-2,target_x_risk,True,441,-0.49924818791281345,-0.49924818791281345,0.0,368,-0.24527390346592248,-0.24527390346592248,0.0,450,-0.36795504301675297,-0.36795504301675297,0.0,368,-0.49924818791281345,0.0,True,False,True,False,
OUTWARD,2,0.4,3-5,0.5-1,target_x_risk,True,951,-0.4749027313022113,-0.4749027313022113,0.0,846,-0.35324611334809425,-0.35324611334809425,0.0,811,-0.3117950439563327,-0.2914198822487001,0.0203751617076326,811,-0.4749027313022113,0.0203751617076326,True,False,True,False,
OUTWARD,2,0.4,1-2,0.5-1,target_x_risk,True,2209,-0.2812235506313928,-0.26106995714783376,0.020153593483559034,2082,-0.11739889355650489,-0.09948121801171071,0.01791767554479419,1954,-0.0601595769436124,-0.036437319738123884,0.02372225720548851,1954,-0.2812235506313928,0.02372225720548851,True,False,True,False,
OUTWARD,2,0.4,0.5-1,<0.25,target_x_risk,True,303,-0.07301073021080297,0.4522665641814568,0.5252772943922597,253,-0.39723320158102765,0.09815546772068509,0.4953886693017128,239,-0.16637354759062112,0.01354277040101071,0.1799163179916318,239,-0.39723320158102765,0.5252772943922597,True,False,False,False,
OUTWARD,2,0.4,1-2,1-2,target_x_risk,True,1241,-0.13465779261457775,-0.12971137876461897,0.00494641384995878,1373,-0.06770163747215542,-0.049343493286196645,0.018358144185958755,1181,-0.05302487194536789,-0.04398094429678908,0.00904392764857881,1181,-0.13465779261457775,0.018358144185958755,True,False,True,False,
OUTWARD,2,0.4,3-5,<0.25,target_x_risk,True,372,-0.38630600169061713,-0.38630600169061713,0.0,538,-0.4770949720670392,-0.4770949720670392,0.0,566,-0.5204991087344029,-0.5204991087344029,0.0,372,-0.5204991087344029,0.0,True,False,True,False,
OUTWARD,2,0.4,1-2,<0.25,target_x_risk,True,1116,-0.6340184829953727,-0.4925381814819422,0.14148030151343038,1058,-0.6386229676103329,-0.18006071578451852,0.45856225182581456,1056,-0.5612913814824629,-0.34774971481579625,0.21354166666666666,1056,-0.6386229676103329,0.45856225182581456,True,False,False,False,
OUTWARD,2,0.4,2-3,1-2,target_x_risk,True,667,-0.16855821406650306,-0.16420694824371826,0.00435126582278481,616,0.020032843630746717,0.03698199617311959,0.01694915254237288,716,-0.23867004538392622,-0.22537217304350068,0.013297872340425532,616,-0.23867004538392622,0.01694915254237288,True,False,True,False,
OUTWARD,2,0.4,3-5,0.25-0.5,target_x_risk,True,677,-0.6110711220116409,-0.6110711220116409,0.0,613,-0.7530786373655078,-0.7344029158035383,0.01867572156196944,745,-0.32187659616209463,-0.32187659616209463,0.0,613,-0.7530786373655078,0.01867572156196944,True,False,True,False,
OUTWARD,2,0.4,<0.5,0.5-1,target_x_risk,True,445,-0.11538335257280888,-0.027983673600096185,0.08739967897271267,430,-0.007499844903292408,0.06808170816554449,0.07558155306883689,431,-0.029433890357437098,0.01618248703464123,0.04561637739207833,430,-0.11538335257280888,0.08739967897271267,True,False,True,False,
OUTWARD,2,0.4,2-3,0.25-0.5,target_x_risk,True,1053,-0.2209073306441405,-0.16073541087336687,0.06017191977077364,1009,-0.3980806363707078,-0.3851965927631756,0.01288404360753221,1020,-0.33168765215268303,-0.33168765215268303,0.0,1009,-0.3980806363707078,0.06017191977077364,True,False,True,False,
OUTWARD,2,0.4,0.5-1,0.5-1,target_x_risk,True,1291,-0.07071944335667142,-0.047209951416766996,0.023509491939904426,1205,-0.13794750827175345,-0.12828283462909004,0.009664673642663425,1027,-0.10946238411177198,-0.07618325132044405,0.03327913279132791,1027,-0.13794750827175345,0.03327913279132791,True,False,True,False,
OUTWARD,2,0.4,1-2,0.25-0.5,target_x_risk,True,1567,-0.4385898652258189,-0.3871194721037966,0.05147039312202224,1500,-0.4743595337349752,-0.3957763361897717,0.07858319754520347,1495,-0.2618913143587564,-0.205738190725371,0.056153123633385385,1495,-0.4743595337349752,0.07858319754520347,True,False,True,False,
OUTWARD,2,0.4,2-3,0.5-1,target_x_risk,True,1169,-0.4013283031461582,-0.39724190501422596,0.004086398131932282,1183,-0.3653963602670541,-0.3585409528689204,0.006855407398133659,1077,-0.22731568520079454,-0.22731568520079454,0.0,1077,-0.4013283031461582,0.006855407398133659,True,False,True,False,
OUTWARD,2,0.4,2-3,<0.25,target_x_risk,True,647,-0.4814674709914938,47.0023037809405,47.48377125193199,608,-0.8327891874373756,-0.8327891874373756,0.0,620,-0.5903605849825246,-0.41722881195745604,0.17313177302506866,608,-0.8327891874373756,47.48377125193199,True,False,False,False,
OUTWARD,2,0.4,0.5-1,>=3,target_x_risk,True,60,-0.08888990513125392,-0.03399743201297433,0.05489247311827958,72,-0.042485032983473114,-0.042485032983473114,0.0,53,-0.07382916995649742,-0.03137309267270137,0.042456077283796044,53,-0.08888990513125392,0.05489247311827958,False,False,True,False,
OUTWARD,2,0.4,>=5,0.5-1,target_x_risk,True,670,-0.7057380962528935,-0.7057380962528935,0.0,369,-0.31210682331106715,-0.31210682331106715,0.0,552,-0.47793681767182433,-0.47793681767182433,0.0,369,-0.7057380962528935,0.0,True,False,True,False,
OUTWARD,2,0.4,3-5,>=3,target_x_risk,True,58,0.011173941227166586,0.011173941227166586,0.0,86,-0.014912231134124465,-0.014912231134124465,0.0,75,0.3386527087256641,0.3386527087256641,0.0,58,-0.014912231134124465,0.0,False,False,True,False,
OUTWARD,2,0.4,3-5,1-2,target_x_risk,True,594,-0.09302425127467134,-0.09302425127467134,0.0,524,-0.15956431695756768,-0.15956431695756768,0.0,522,-0.09711249829715277,-0.09711249829715277,0.0,522,-0.15956431695756768,0.0,True,False,True,False,
OUTWARD,2,0.4,0.5-1,1-2,target_x_risk,True,918,0.03794836007381705,0.03794836007381705,0.0,860,-0.027306427183389863,-0.009298849902348819,0.018007577281041038,746,-0.05334261997700855,-0.04489575349199492,0.008446866485013624,746,-0.05334261997700855,0.018007577281041038,True,False,True,False,
OUTWARD,2,0.4,2-3,>=3,target_x_risk,True,73,0.4188399474059571,0.4188399474059571,0.0,71,0.10346231577967645,0.10346231577967645,0.0,78,0.22973650941465842,0.22973650941465842,0.0,71,0.10346231577967645,0.0,False,True,True,False,
OUTWARD,2,0.4,>=5,>=3,target_x_risk,True,85,0.02158242946375346,0.02158242946375346,0.0,77,-0.7420832116644648,-0.7420832116644648,0.0,58,-0.2415279811612614,-0.2415279811612614,0.0,58,-0.7420832116644648,0.0,False,False,True,False,
OUTWARD,2,0.4,<0.5,0.25-0.5,target_x_risk,True,189,-0.3503554233556402,-0.1411693240450282,0.20918609931061205,114,-0.01745973707456086,0.016808175698024806,0.034267912772585674,139,0.07477075445894114,0.1022392529442898,0.027468498485348658,114,-0.3503554233556402,0.20918609931061205,False,False,True,False,
OUTWARD,2,0.4,<0.5,1-2,target_x_risk,True,500,-0.04647024328806646,0.014682142311688203,0.06115238559975466,504,-0.2075392840092547,-0.168563880618316,0.038975403390938725,425,-0.18519126639471448,-0.16460303110059682,0.020588235294117647,425,-0.2075392840092547,0.06115238559975466,True,False,True,False,
OUTWARD,2,0.4,0.5-1,0.25-0.5,target_x_risk,True,600,-0.10171367091103937,-0.01032771113755763,0.09138595977348174,713,-0.3044461623605654,-0.2225988371752318,0.08184732518533361,735,-0.19822480736371156,-0.14510751139900416,0.05311729596470741,600,-0.3044461623605654,0.09138595977348174,True,False,True,False,
OUTWARD,2,0.4,>=5,<0.25,target_x_risk,True,221,-0.1704801854570208,-0.1704801854570208,0.0,240,-0.6814328285944892,-0.6814328285944892,0.0,353,-0.6960227272727273,-0.6960227272727273,0.0,221,-0.6960227272727273,0.0,True,False,True,False,
OUTWARD,2,0.4,>=5,0.25-0.5,target_x_risk,True,399,-0.180313270033019,-0.180313270033019,0.0,378,-0.49781991352174837,-0.49781991352174837,0.0,439,-0.7930852038739364,-0.7930852038739364,0.0,378,-0.7930852038739364,0.0,True,False,True,False,
OUTWARD,2,0.4,2-3,2-3,target_x_risk,True,158,-0.19210882194302817,-0.19210882194302817,0.0,108,-0.2952024754926879,-0.2952024754926879,0.0,112,0.1696377278354897,0.1696377278354897,0.0,108,-0.2952024754926879,0.0,False,False,True,False,
OUTWARD,2,0.4,3-5,2-3,target_x_risk,True,108,-0.2671774916895391,-0.2671774916895391,0.0,137,-0.19912237396133087,-0.19912237396133087,0.0,114,-0.34291605197152875,-0.34291605197152875,0.0,108,-0.34291605197152875,0.0,False,False,True,False,
OUTWARD,2,0.4,1-2,2-3,target_x_risk,True,289,0.09295451518603058,0.09295451518603058,0.0,239,-0.16522431736971102,-0.16522431736971102,0.0,282,-0.08041915975514236,-0.04172550586535228,0.038693653889790076,239,-0.16522431736971102,0.038693653889790076,True,False,True,False,
OUTWARD,2,0.4,<0.5,2-3,target_x_risk,True,102,-0.11898004289382959,-0.09610422590036555,0.022875816993464054,47,-0.1588268920854005,-0.13425222289825495,0.024574669187145556,80,0.016500634408188473,0.08882206297961703,0.07232142857142856,47,-0.1588268920854005,0.07232142857142856,False,False,True,False,
OUTWARD,2,0.4,0.5-1,2-3,target_x_risk,True,191,-0.0491618176979753,-0.0491618176979753,0.0,119,-0.009772364837446788,-0.009772364837446788,0.0,121,0.030789556969533848,0.030789556969533848,0.0,119,-0.0491618176979753,0.0,False,False,True,False,
OUTWARD,2,0.4,>=5,2-3,target_x_risk,True,105,-0.6158673827567828,-0.6158673827567828,0.0,78,-0.39255124417551596,-0.39255124417551596,0.0,91,-0.20531753779374243,-0.20531753779374243,0.0,78,-0.6158673827567828,0.0,False,False,True,False,
OUTWARD,2,0.4,1-2,>=3,target_x_risk,True,107,0.059834822918616616,0.07515794084000235,0.015323117921385743,104,-0.11473675002909338,-0.017848017082712414,0.09688873294638096,88,-0.028486260368663967,-0.028486260368663967,0.0,88,-0.11473675002909338,0.09688873294638096,False,False,True,False,
OUTWARD,2,0.8,>=5,1-2,target_x_risk,True,412,-0.4561567856857261,-0.4561567856857261,0.0,343,-0.18529567062877728,-0.18529567062877728,0.0,424,-0.32230735167907404,-0.32230735167907404,0.0,343,-0.4561567856857261,0.0,True,False,True,False,
OUTWARD,2,0.8,3-5,0.5-1,target_x_risk,True,685,-0.3655062889071854,-0.3655062889071854,0.0,602,-0.17794044596036823,-0.17794044596036823,0.0,541,-0.08704206712577234,-0.07015017523388044,0.016891891891891893,541,-0.3655062889071854,0.016891891891891893,True,False,True,False,
OUTWARD,2,0.8,1-2,0.5-1,target_x_risk,True,1606,-0.2224599566595247,-0.2051384526460055,0.017321504013519225,1574,-0.059754261502354585,-0.03990791067008826,0.019846350832266324,1462,-0.01989489950281689,0.009573707955451727,0.029468607458268632,1462,-0.2224599566595247,0.029468607458268632,True,False,True,False,
OUTWARD,2,0.8,0.5-1,<0.25,target_x_risk,True,20,-1.0,0.8,1.8,17,0.14705882352941177,0.14705882352941177,0.0,32,-1.0,-1.0,0.0,17,-1.0,1.8,False,False,False,False,
OUTWARD,2,0.8,1-2,1-2,target_x_risk,True,1238,-0.1325123160673412,-0.12755363838139078,0.0049586776859504135,1365,-0.06715781608822023,-0.048690963424476374,0.018466852663743854,1180,-0.05220851407635527,-0.043156789938424235,0.009051724137931035,1180,-0.1325123160673412,0.018466852663743854,True,False,True,False,
OUTWARD,2,0.8,2-3,1-2,target_x_risk,True,631,-0.1238803527127621,-0.11926625875303055,0.004614093959731544,563,0.10897789967989846,0.12759987360913497,0.0186219739292365,694,-0.21233473248840165,-0.19857687085318154,0.013757861635220126,563,-0.21233473248840165,0.0186219739292365,True,False,True,False,
OUTWARD,2,0.8,<0.5,0.5-1,target_x_risk,True,274,-0.1538097201847284,-0.0589192092358233,0.0948905109489051,225,0.10395613085675412,0.11654872344934669,0.012592592592592591,251,0.013213778136568247,0.036831289657305574,0.02361751152073733,225,-0.1538097201847284,0.0948905109489051,True,False,True,False,
OUTWARD,2,0.8,0.5-1,0.5-1,target_x_risk,True,930,-0.06435349638004613,-0.03621706777244176,0.028136428607604354,875,-0.08580070374577775,-0.07730549355232537,0.00849521019345238,778,-0.12069152459390027,-0.09741246146907881,0.02327906312482148,778,-0.12069152459390027,0.028136428607604354,True,False,True,False,
OUTWARD,2,0.8,1-2,0.25-0.5,target_x_risk,True,641,-0.45519213746123827,-0.392010086224354,0.06318205123688422,504,-0.37962991442742844,-0.33101880331631733,0.04861111111111111,580,-0.01200558725181983,0.026056696485204384,0.03806228373702422,504,-0.45519213746123827,0.06318205123688422,True,False,True,False,
OUTWARD,2,0.8,2-3,0.25-0.5,target_x_risk,True,480,0.2714452063091238,0.2714452063091238,0.0,387,-0.40104186617495957,-0.40104186617495957,0.0,406,-0.29225876026751046,-0.29225876026751046,0.0,387,-0.40104186617495957,0.0,True,False,True,False,
OUTWARD,2,0.8,2-3,<0.25,target_x_risk,True,202,-0.33419162038155037,151.75491729050952,152.0891089108911,203,-0.8010931036362914,-0.8010931036362914,0.0,151,-0.7473982970671713,-0.6480605487228004,0.09933774834437085,151,-0.8010931036362914,152.0891089108911,False,False,False,False,
OUTWARD,2,0.8,3-5,<0.25,target_x_risk,True,90,-0.29545454545454547,-0.29545454545454547,0.0,122,1.3016393442622949,1.3016393442622949,0.0,192,-0.8645833333333334,-0.8645833333333334,0.0,90,-0.8645833333333334,0.0,False,False,True,False,
OUTWARD,2,0.8,2-3,0.5-1,target_x_risk,True,836,-0.34195243035683837,-0.3362123729562644,0.005740057400574005,825,-0.22235760149755798,-0.21741290380457656,0.004944697692981434,750,-0.09354453429494088,-0.09354453429494088,0.0,750,-0.34195243035683837,0.005740057400574005,True,False,True,False,
OUTWARD,2,0.8,>=5,0.5-1,target_x_risk,True,482,-0.6936891869827925,-0.6936891869827925,0.0,281,-0.1554819349107937,-0.1554819349107937,0.0,396,-0.284940056119653,-0.284940056119653,0.0,281,-0.6936891869827925,0.0,True,False,True,False,
OUTWARD,2,0.8,3-5,>=3,target_x_risk,True,58,0.011173941227166586,0.011173941227166586,0.0,84,-0.015299561812932893,-0.015299561812932893,0.0,74,0.3605978350982161,0.3605978350982161,0.0,58,-0.015299561812932893,0.0,False,False,True,False,
OUTWARD,2,0.8,3-5,1-2,target_x_risk,True,533,0.018940745525072945,0.018940745525072945,0.0,477,-0.0715899804252864,-0.0715899804252864,0.0,473,0.003436337119755221,0.003436337119755221,0.0,473,-0.0715899804252864,0.0,True,False,True,False,
OUTWARD,2,0.8,0.5-1,1-2,target_x_risk,True,916,0.03716744237573728,0.03716744237573728,0.0,855,-0.02876090400319142,-0.012262329657258382,0.01649857434593303,746,-0.05334261997700855,-0.04489575349199492,0.008446866485013624,746,-0.05334261997700855,0.01649857434593303,True,False,True,False,
OUTWARD,2,0.8,2-3,>=3,target_x_risk,True,73,0.4188399474059571,0.4188399474059571,0.0,71,0.10346231577967645,0.10346231577967645,0.0,73,0.32733464508248844,0.32733464508248844,0.0,71,0.10346231577967645,0.0,False,True,True,False,
OUTWARD,2,0.8,>=5,>=3,target_x_risk,True,83,0.07022921181917029,0.07022921181917029,0.0,70,-0.6957904547837277,-0.6957904547837277,0.0,56,-0.25077755999731344,-0.25077755999731344,0.0,56,-0.6957904547837277,0.0,False,False,True,False,
OUTWARD,2,0.8,<0.5,1-2,target_x_risk,True,491,-0.04189094700074657,0.010300891695541279,0.052191838696287844,490,-0.1946934676340089,-0.16480859060627479,0.02988487702773417,424,-0.1862176896825023,-0.16558089722967212,0.020636792452830188,424,-0.1946934676340089,0.052191838696287844,True,False,True,False,
OUTWARD,2,0.8,0.5-1,>=3,target_x_risk,True,58,-0.07777878229274807,-0.04157188574102393,0.03620689655172414,70,-0.04537954070961988,-0.04537954070961988,0.0,50,-0.03944939634436344,-0.03944939634436344,0.0,50,-0.07777878229274807,0.03620689655172414,False,False,True,False,
OUTWARD,2,0.8,1-2,<0.25,target_x_risk,True,280,-0.27960907335907337,-0.20103345870219283,0.07857561465688054,233,-0.5109729758149588,-0.13758241787504466,0.37339055793991416,288,-0.3744090493656025,-0.3744090493656025,0.0,233,-0.5109729758149588,0.37339055793991416,True,False,False,False,
OUTWARD,2,0.8,2-3,2-3,target_x_risk,True,158,-0.19210882194302817,-0.19210882194302817,0.0,107,-0.2884901181164278,-0.2884901181164278,0.0,109,0.18567271817909323,0.18567271817909323,0.0,107,-0.2884901181164278,0.0,False,False,True,False,
OUTWARD,2,0.8,>=5,<0.25,target_x_risk,True,64,-0.6249093788152111,-0.6249093788152111,0.0,78,-0.6474305176524863,-0.6474305176524863,0.0,85,-1.0,-1.0,0.0,64,-1.0,0.0,False,False,True,False,
OUTWARD,2,0.8,3-5,0.25-0.5,target_x_risk,True,265,-0.7394028236233561,-0.7394028236233561,0.0,240,-0.6774009603841538,-0.6311824729891957,0.046218487394957986,253,-0.26244090050651087,-0.26244090050651087,0.0,240,-0.7394028236233561,0.046218487394957986,True,False,True,False,
