signal_gid,selected_edge_index,selected_edge_train_count,selected_edge_unseen,selected_edge_gt_train_p95,selected_edge_gt_train_p99,selected_edge_gt_train_max,selected_graph_ev,selected_p_reach,selected_rr_ref
206,0,21135,False,False,False,False,0.040402248666120855,0.46929996845605837,1.14583333333329
207,0,21135,False,False,False,False,-0.5326089466854744,0.0707704161236095,4.553571428571132
208,0,21135,False,False,False,False,-0.7528411728230443,0.02193846999041026,6.250000000000516
209,0,21135,False,False,False,False,-0.007407474237222211,0.3511149375668996,1.7058823529411764
210,0,21135,False,False,False,False,0.012463143802359578,0.3159124784460684,2.0689655172413146
211,0,21135,False,False,False,False,-0.08197284823709772,0.3133626175883508,1.7058823529411764
212,0,21135,False,False,False,False,0.10504788176125335,0.5324739821612582,1.0447761194030134
213,0,21135,False,False,False,False,0.012463143802359578,0.3159124784460684,2.0689655172413146
214,0,21135,False,False,False,False,0.07257363921220894,0.49475962393804723,1.1320754716980743
215,0,21135,False,False,False,False,-0.08197284823709772,0.3133626175883508,1.7058823529411764
216,0,21135,False,False,False,False,0.03800016395546224,0.47348890063245364,1.12244897959192
217,0,21135,False,False,False,False,-0.06528710865271825,0.37121719167330486,1.3492063492063104
218,0,21135,False,False,False,False,-0.027614743506964523,0.547419299135754,0.7291666666666391
219,0,21135,False,False,False,False,0.048865512633090136,0.4507002555973166,1.2500000000000202
220,0,21135,False,False,False,False,-0.020691024034148686,0.40930545269801843,1.2500000000000202
222,0,21135,False,False,False,False,-0.009917951289359128,0.3392266834978193,1.7985485151436145
224,0,21135,False,False,False,False,-0.6908090860948783,0.03514403047109584,5.454545454545454
225,0,21135,False,False,False,False,-0.1698712310040691,0.19633001060441124,2.954545454545292
226,0,21135,False,False,False,False,-0.12755240288864544,0.23409949737643432,2.5
227,0,21135,False,False,False,False,0.04447080957278449,0.36694002034159806,1.7333333333333334
228,0,21135,False,False,False,False,-0.02295466243891442,0.4767716401900405,0.9810126582278368
229,0,21135,False,False,False,False,0.05210030770762453,0.44012961970514763,1.3095238095238662
230,0,21135,False,False,False,False,-0.066601603843641,0.3902873993961907,1.2371134020618788
232,0,21135,False,False,False,False,-0.10584435398363484,0.5541378204268028,0.568181818181826
234,0,21135,False,False,False,False,-0.04421110294932107,0.2998170210196578,2.031300862630131
236,0,21135,False,False,False,False,-0.22507828959771636,0.18160490534182655,2.9651162790696417
238,0,21135,False,False,False,False,0.0007445042342221209,0.43071694317994913,1.2396694214875659
240,0,21135,False,False,False,False,-0.0008863931930176427,0.35611831104041647,1.694915254237262
241,0,21135,False,False,False,False,-0.5380335045268851,0.06937372000263031,4.583333333333333
242,0,21135,False,False,False,False,-0.09353397934647928,0.5463039401153783,0.6122448979591723
243,1,9229,False,False,False,False,-0.49847117385208023,0.0690523819393766,5.192307692307572
244,0,21135,False,False,False,False,-0.1863417614333461,0.5920707530173135,0.3333333333333333
245,0,21135,False,False,False,False,-0.8382012427798862,2.094090662054814e-05,15.918367346939958
246,0,21135,False,False,False,False,-0.22326024847876275,0.5512924156863227,0.3333333333333333
247,0,21135,False,False,False,False,-0.8382012427798862,2.094090662054814e-05,15.918367346939958
248,0,21135,False,False,False,False,-0.22326024847876275,0.5512924156863227,0.3333333333333333
249,0,21135,False,False,False,False,-0.8506330052969587,5.354637833147825e-05,14.625
250,0,21135,False,False,False,False,-0.3629441936495881,0.12427766794453571,3.3229813664595524
251,0,21135,False,False,False,False,-0.7191773631952961,0.028407053166618648,5.882352941176313
252,0,21135,False,False,False,False,-0.09359895414236474,0.5406394626665264,0.6249999999999594
253,1,9229,False,False,False,False,-0.18643030819173156,0.41559717218639,0.882352941176565
254,0,21135,False,False,False,False,-0.12451513445562878,0.2189574670253411,2.7631578947367097
255,0,21135,False,False,False,False,-0.3897437356424487,0.1117047180321172,3.857142857142857
256,0,21135,False,False,False,False,-0.1871993933279683,0.20018297411665895,2.7777777777777777
257,0,21135,False,False,False,False,-0.6288072856052892,0.04840296648987153,5.135135135135387
258,1,9229,False,False,False,False,-0.8574990250174509,0.0038388758504307565,10.729166666666261
259,0,21135,False,False,False,False,-0.4092205614833959,0.10223480254640972,3.749999999999899
260,0,21135,False,False,False,False,-0.2827279676350579,0.1676507716877573,3.0
261,0,21135,False,False,False,False,-0.012293334324855243,0.29259801956804626,2.2222222222222787
262,0,21135,False,False,False,False,-0.003937247358642537,0.5654782577449654,0.7352941176471376
263,0,21135,False,False,False,False,-0.15092784836269413,0.5059255750647356,0.5859374999999917
264,0,21135,False,False,False,False,-0.03994907396167979,0.2724961641517359,2.3404255319149843
265,1,9229,False,False,False,False,-0.4399648889009291,0.07153509114482919,5.724637681159722
266,0,21135,False,False,False,False,0.029397653175184946,0.33556834331868174,1.9444444444445754
267,0,21135,False,False,False,False,-0.01866585156649181,0.33138479795031167,1.827956989247276
268,0,21135,False,False,False,False,-0.15178708018788956,0.2209146654220913,2.647058823529223
269,0,21135,False,False,False,False,0.010130728573395476,0.40278200420946264,1.4189189189189886
270,0,21135,False,False,False,False,-0.06152309576437731,0.5638272683166405,0.6176470588235294
271,0,21135,False,False,False,False,-0.1371076213124186,0.22751988761184747,2.571392698204679
272,0,21135,False,False,False,False,0.05486663633579236,0.42416817855101896,1.4
273,0,21135,False,False,False,False,-0.03922982555602683,0.49580627402618255,0.875
274,0,21135,False,False,False,False,0.05324852101470323,0.3937988067344299,1.574803149606322
275,0,21135,False,False,False,False,-0.0939348068371878,0.29471908071132874,1.827956989247276
276,0,21135,False,False,False,False,0.05364886715663586,0.39591262849586484,1.5625000000000888
277,0,21135,False,False,False,False,-0.1760511658177092,0.19354256891902422,2.9591836734696075
278,0,21135,False,False,False,False,0.03734801824572498,0.48548746523378533,1.0747663551402051
279,0,21135,False,False,False,False,-0.464739707439554,0.09258492732424932,4.024509336889887
280,0,21135,False,False,False,False,-0.20140476330605583,0.6343203549476653,0.22727272727271478
281,0,21135,False,False,False,False,-0.5468368393115259,0.06335225871722418,4.347826086956608
282,1,9229,False,False,False,False,-0.22608002804772626,0.2877098890724947,1.4444444444444444
283,0,21135,False,False,False,False,-0.3141555635384634,0.5937522401706131,0.09259259259259883
284,0,21135,False,False,False,False,-0.03994907396167835,0.27249616415176686,2.3404255319149843
285,0,21135,False,False,False,False,-0.2036676289667713,0.6311734533192225,0.22727272727271478
286,0,21135,False,False,False,False,-0.2036676289667713,0.6311734533192225,0.22727272727271478
288,0,21135,False,False,False,False,-0.07283411552732783,0.41346717340808026,1.103448275862069
291,0,21135,False,False,False,False,-0.23272005333513845,0.18439114307062007,2.6785714285715443
292,0,21135,False,False,False,False,0.05893376090417057,0.39642288809929044,1.5789473684210713
293,0,21135,False,False,False,False,-0.12663393179905247,0.21783801292982505,2.7722772277226726
294,0,21135,False,False,False,False,-0.04976967693850176,0.2941612647253415,2.0689655172414225
295,0,21135,False,False,False,False,-0.8560298513090342,0.00395157900097745,8.6507936507934
296,0,21135,False,False,False,False,0.008221709273131372,0.42414930247767696,1.2962962962963214
297,0,21135,False,False,False,False,0.0160801463958109,0.3236298320843659,2.0
298,0,21135,False,False,False,False,0.041127567228975925,0.4798484778535938,1.106194690265469
299,0,21135,False,False,False,False,-0.10977746504306402,0.5511441322501508,0.5660377358490372
300,0,21135,False,False,False,False,-0.1583924294980749,0.6128363567733527,0.3358208955223972
302,0,21135,False,False,False,False,-0.23252765126827646,0.17811435899896783,2.9779411764705084
304,0,21135,False,False,False,False,-0.004512895415727081,0.35756642986998793,1.666666666666592
305,0,21135,False,False,False,False,-0.01783351568157976,0.5402786790563573,0.7692307692307385
306,0,21135,False,False,False,False,-0.10436850529757069,0.24832061843952646,2.411764705882353
307,0,21135,False,False,False,False,0.05531529152877068,0.413399030661205,1.4615384615384615
308,0,21135,False,False,False,False,-0.18365123994724677,0.6233274479253982,0.2739726027397192
313,0,21135,False,False,False,False,0.0011593166996983761,0.3742221348193063,1.566820276497709
314,0,21135,False,False,False,False,-0.8006630501752586,0.014274542909780197,6.8789808917198245
316,0,21135,False,False,False,False,-0.011290214737536997,0.33702626255368506,1.8122270742358368
318,0,21135,False,False,False,False,-0.13631315888142803,0.49440612443461124,0.6498194945848418
320,0,21135,False,False,False,False,-0.2693179740865196,0.1618973543811159,3.1377551020407584
322,1,9229,False,False,False,False,-0.8195440860886877,0.009174618091064799,8.173076923076733
323,0,21135,False,False,False,False,-0.6973501727341698,0.03370616976451106,5.658914728682331
324,0,21135,False,False,False,False,-0.11837671123112725,0.556393759071151,0.5364784381771511
325,0,21135,False,False,False,False,0.025898203571116607,0.4910519722226576,1.0245901639344417
326,0,21135,False,False,False,False,-0.2995124443906149,0.6376071000042312,0.06550190407553136
327,0,21135,False,False,False,False,-0.006444984474468174,0.30030197347759946,2.1511627906975836
328,0,21135,False,False,False,False,-0.06551523788296387,0.3807173224262556,1.293096190866372
330,0,21135,False,False,False,False,-0.06551523788296387,0.3807173224262556,1.293096190866372
331,0,21135,False,False,False,False,-7.789004273173195e-05,0.30638952098692523,2.111111111111111
332,1,9229,False,False,False,False,-0.19253493999646576,0.14973009166271337,3.913043478260818
333,0,21135,False,False,False,False,-0.8718256417989781,0.00216794224257689,9.508196721310908
334,0,21135,False,False,False,False,0.059059617211724036,0.43661654611820433,1.348684210526332
