signal_gid,signal_id,symbol,direction,edge_index,target_price,cum_distance_R,delta_R,rr_ref,p_reach,p_loss_before,p_censor_before,reward_term,loss_term,graph_ev,realized_R,outcome
224,AG|CONFIRMED_SWING_LOW|5m|2025-07-15 21:30:00|9150.0009765625|1,AG,-1,0,9089.0009765625,5.454545454545454,5.454545454545454,5.454545454545454,0.03514403047109584,0.8825037977554011,0.0823521717735165,0.19169471166052277,-0.8825037977554011,-0.6908090860948783,-1.1818181818181819,STOP
225,AG|CONFIRMED_SWING_HIGH|5m|2025-07-16 00:50:00|9226.0009765625|1,AG,1,0,9260.0009765625,2.9545454545454546,2.9545454545454546,2.954545454545292,0.19633001060441124,0.7499371714261613,0.05373281796938301,0.5800659404220923,-0.7499371714261613,-0.1698712310040691,-1.0,STOP
226,AG|CONFIRMED_SWING_LOW|5m|2025-07-16 10:35:00|9124.0009765625|1,AG,-1,0,9089.0009765625,2.5,2.5,2.5,0.23409949737643432,0.7128011463297312,0.053099356293850875,0.5852487434410858,-0.7128011463297312,-0.12755240288864544,-1.3636363636363635,STOP
227,AG|CONFIRMED_SWING_HIGH|5m|2025-07-16 21:40:00|9176.0009765625|1,AG,1,0,9206.0009765625,1.7333333333333334,1.7333333333333334,1.7333333333333334,0.36694002034159806,0.5915585590193189,0.04150142063904205,0.6360293685921034,-0.5915585590193189,0.04447080957278449,-1.0,STOP
228,AG|CONFIRMED_SWING_LOW|5m|2025-07-17 09:15:00|9084.0009765625|1,AG,-1,0,9039.0009765625,0.9810126582278481,0.9810126582278481,0.9810126582278368,0.4767716401900405,0.49067367654939176,0.03255468326055855,0.46771901411047734,-0.49067367654939176,-0.02295466243891442,-1.0443037974683425,STOP
229,AG|CONFIRMED_SWING_HIGH|5m|2025-07-17 10:10:00|9190.0009765625|1,AG,1,0,9206.0009765625,1.3095238095238095,1.3095238095238095,1.3095238095238662,0.44012961970514763,0.5242599085729509,0.03561047172190612,0.5763602162805754,-0.5242599085729509,0.05210030770762453,-1.0,STOP
230,AG|CONFIRMED_SWING_LOW|5m|2025-07-17 11:00:00|9135.0009765625|1,AG,-1,0,9084.0009765625,1.2371134020618557,1.2371134020618557,1.2371134020618788,0.3902873993961907,0.5494313762925458,0.060281224311243164,0.4828297724489048,-0.5494313762925458,-0.066601603843641,-1.0784313725490389,STOP
232,AG|CONFIRMED_SWING_LOW|5m|2025-07-21 10:15:00|9213.0009765625|1,AG,-1,0,9204.0009765625,0.5681818181818182,0.5681818181818182,0.568181818181826,0.5541378204268028,0.4206953883170499,0.025166791256134857,0.31485103433341505,-0.4206953883170499,-0.10584435398363484,0.568181818181826,TARGET
234,AG|CONFIRMED_SWING_LOW|5m|2025-07-22 22:15:00|9350.0009765625|1,AG,-1,0,9301.0,2.0313008626302085,2.0313008626302085,2.031300862630131,0.2998170210196578,0.6532296763777481,0.046953302602597446,0.609018573428427,-0.6532296763777481,-0.04421110294932107,2.031300862630131,TARGET
236,AG|CONFIRMED_SWING_LOW|5m|2025-07-23 02:25:00|9391.0009765625|1,AG,-1,0,9351.0009765625,2.9651162790697674,2.9651162790697674,2.9651162790696417,0.18160490534182655,0.7635579507856676,0.0548371438724633,0.5384796611879512,-0.7635579507856676,-0.22507828959771636,-1.2637362637362133,STOP
238,AG|CONFIRMED_SWING_LOW|5m|2025-07-23 22:15:00|9442.0009765625|1,AG,-1,0,9391.0009765625,1.2396694214876034,1.2396694214876034,1.2396694214875659,0.43071694317994913,0.5332021195425583,0.03608093727745043,0.5339466237767804,-0.5332021195425583,0.0007445042342221209,-1.0317460317460019,STOP
240,AG|CONFIRMED_SWING_LOW|5m|2025-07-24 23:40:00|9287.0009765625|1,AG,-1,0,9250.0009765625,1.694915254237288,1.694915254237288,1.694915254237262,0.35611831104041647,0.6044767508886295,0.03940493807099266,0.6035903576956119,-0.6044767508886295,-0.0008863931930176427,1.694915254237262,TARGET
241,AG|CONFIRMED_SWING_HIGH|5m|2025-07-25 01:10:00|9388.0009765625|1,AG,1,0,9446.0009765625,4.583333333333333,4.583333333333333,4.583333333333333,0.06937372000263031,0.8559963878722741,0.07462989212504034,0.3179628833453889,-0.8559963878722741,-0.5380335045268851,4.230769230769231,TARGET
242,AG|CONFIRMED_SWING_LOW|5m|2025-07-25 01:15:00|9290.0009765625|1,AG,-1,0,9287.0009765625,0.6122448979591836,0.6122448979591836,0.6122448979591723,0.5463039401153783,0.4280057794171128,0.025690280467548732,0.33447180007063354,-0.4280057794171128,-0.09353397934647928,-1.3775510204081376,STOP
243,AG|CONFIRMED_SWING_HIGH|5m|2025-07-25 22:35:00|9447.0009765625|1,AG,1,1,9518.0009765625,5.1923076923076925,0.7692307692307692,5.192307692307572,0.0690523819393766,0.8570123877680658,0.07393523029253579,0.35854121391598553,-0.8570123877680658,-0.49847117385208023,-1.0,STOP
244,AG|CONFIRMED_SWING_LOW|5m|2025-07-28 10:40:00|9123.0009765625|1,AG,-1,0,9084.0009765625,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5920707530173135,0.3836986791057839,0.02423056787692346,0.19735691767243782,-0.3836986791057839,-0.1863417614333461,0.3333333333333333,TARGET
245,AG|CONFIRMED_SWING_HIGH|5m|2025-07-29 01:10:00|9219.0009765625|1,AG,1,0,9369.0009765625,15.918367346938775,15.918367346938775,15.918367346939958,2.094090662054814e-05,0.83853458782405,0.16144447126928796,0.0003333450441638523,-0.83853458782405,-0.8382012427798862,-1.0,STOP
246,AG|CONFIRMED_SWING_LOW|5m|2025-07-29 02:10:00|9153.0009765625|1,AG,-1,0,9084.0009765625,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5512924156863227,0.4070243870408703,0.04168319727277492,0.18376413856210755,-0.4070243870408703,-0.22326024847876275,0.3333333333333333,TARGET
247,AG|CONFIRMED_SWING_HIGH|5m|2025-07-29 10:50:00|9216.0009765625|1,AG,1,0,9369.0009765625,15.918367346938775,15.918367346938775,15.918367346939958,2.094090662054814e-05,0.83853458782405,0.16144447126928796,0.0003333450441638523,-0.83853458782405,-0.8382012427798862,-1.0,STOP
248,AG|CONFIRMED_SWING_LOW|5m|2025-07-30 02:20:00|9178.0009765625|1,AG,-1,0,9084.0009765625,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5512924156863227,0.4070243870408703,0.04168319727277492,0.18376413856210755,-0.4070243870408703,-0.22326024847876275,0.3333333333333333,TARGET
249,AG|CONFIRMED_SWING_HIGH|5m|2025-07-30 09:50:00|9256.0009765625|1,AG,1,0,9369.0009765625,14.625,14.625,14.625,5.354637833147825e-05,0.8514161210800566,0.1485303325415881,0.0007831157830978695,-0.8514161210800566,-0.8506330052969587,0.0,CENSOR
