decision_time,fold,q10,q50,q90,width,width_percentile_train,actual_return,panel_index,quantile_crossed,top30_train,valid_until
2026-07-01 21:30:00,5,-0.003203738850357389,-4.381897185571209e-05,0.0030543977131129345,0.006258136563470323,0.3630259623992838,0.0013449901153324006,8193,False,False,2026-07-01 21:45:00
2026-07-01 21:45:00,5,-0.0035221876568464817,-0.0003608720590684348,0.0028580313511851647,0.006380219008031646,0.44449418084153985,0.0,8194,False,False,2026-07-01 22:00:00
2026-07-01 22:00:00,5,-0.0035244091872146605,-0.0004043218216079073,0.0029809980469086075,0.006505407234123268,0.5353625783348255,-0.0016798256931815914,8195,False,False,2026-07-01 22:15:00
2026-07-02 09:15:00,5,-0.002991746769598422,6.802544139798962e-05,0.0033091610511791435,0.006300907820777565,0.39122649955237243,0.0006706908366762576,8200,False,False,2026-07-02 09:30:00
2026-07-02 13:45:00,5,-0.003457591538163077,-7.38307351552436e-06,0.00316239462395438,0.006619986162117457,0.6047448522829006,-0.0010078952642249561,8209,False,False,2026-07-02 14:00:00
2026-07-02 14:00:00,5,-0.003140643675131335,-9.7075193102532e-05,0.0031792544147747604,0.006319898089906096,0.40241718889883615,0.0006720430360465102,8210,False,False,2026-07-02 14:15:00
2026-07-02 21:15:00,5,-0.0036511989474876335,-0.00016925831564415308,0.003106650160823606,0.00675784910831124,0.6803939122649956,0.0006711409647897071,8215,False,False,2026-07-02 21:30:00
2026-07-02 21:30:00,5,-0.003119670571355636,6.43743759873878e-05,0.0030516548410475723,0.006171325412403209,0.2999104744852283,-0.00033585222817844596,8216,False,False,2026-07-02 21:45:00
2026-07-02 21:45:00,5,-0.0030888597310706374,-0.00017687607921924381,0.0031350011060697976,0.0062238608371404346,0.3370635631154879,-0.001677008610369235,8217,False,False,2026-07-02 22:00:00
2026-07-02 22:00:00,5,-0.0026909487201627748,2.0184446409987134e-06,0.003167943592841883,0.005858892313004658,0.11280214861235452,-0.0006709158252338199,8218,False,False,2026-07-02 22:15:00
2026-07-03 09:15:00,5,-0.003237073394495024,-9.459560435726876e-06,0.0029500010607101464,0.00618707445520517,0.3128916741271262,-0.0010089121420797653,8223,False,False,2026-07-03 09:30:00
2026-07-03 13:45:00,5,-0.0028004806508007984,-0.00015016328055166545,0.0028332594396862803,0.005633740090487079,0.04028648164726947,-0.002024975379771199,8232,False,False,2026-07-03 14:00:00
2026-07-03 14:00:00,5,-0.002992939018829757,-4.628479547415509e-05,0.0028434233752864186,0.005836362394116176,0.10519247985675918,-0.0003375527458207017,8233,False,False,2026-07-03 14:15:00
2026-07-03 21:15:00,5,-0.0033352793385901,-9.854025021397026e-05,0.003103866371774381,0.006439145710364481,0.4838854073410922,0.00033687047648900403,8238,False,False,2026-07-03 21:30:00
2026-07-03 21:30:00,5,-0.002866088033616104,-9.893039121668878e-05,0.0029256184097691575,0.005791706443385261,0.08773500447627573,-0.0016849203649202948,8239,False,False,2026-07-03 21:45:00
2026-07-03 21:45:00,5,-0.003174759697044644,-5.49223147758279e-05,0.0027670517422842414,0.005941811439328886,0.15622202327663384,0.0006731740409042786,8240,False,False,2026-07-03 22:00:00
2026-07-03 22:00:00,5,-0.0033908800230396064,-0.00013118417537925085,0.003014276271871465,0.006405156294911072,0.4601611459265891,-0.0003365303750424431,8241,False,False,2026-07-03 22:15:00
2026-07-06 09:15:00,5,-0.005157943461077625,-0.0005233915078719873,0.004186796146701596,0.00934473960777922,0.9435989256938228,0.0049792633996084135,8246,False,True,2026-07-06 09:30:00
2026-07-06 13:45:00,5,-0.0027989415734701313,-0.0003564586624497691,0.003550177181587973,0.006349118755058104,0.42300805729632945,0.000993213125845216,8255,False,False,2026-07-06 14:00:00
2026-07-06 14:00:00,5,-0.0033227515051003705,-9.14174093134731e-05,0.0031149138053829196,0.0064376653104832905,0.4829901521933751,0.0009918995688433796,8256,False,False,2026-07-06 14:15:00
2026-07-06 21:15:00,5,-0.0058079528973288864,-0.00039037422038495185,0.0032514192914234433,0.00905937218875233,0.9350940017905103,0.0016460909066680074,8261,False,True,2026-07-06 21:30:00
2026-07-06 21:30:00,5,-0.003483418381359143,-0.00022795771284641624,0.0034005164178495407,0.006883934799208683,0.7363473589973142,0.0009873293545172857,8262,False,True,2026-07-06 21:45:00
2026-07-06 21:45:00,5,-0.003448146495245738,-0.00018964962953774055,0.0032674745798940644,0.006715621075139802,0.657117278424351,0.0013162226316154602,8263,False,False,2026-07-06 22:00:00
2026-07-06 22:00:00,5,-0.0028916467614240014,-0.00017869165382400026,0.003010481833292124,0.005902128594716125,0.13384064458370637,0.0013149245813099952,8264,False,False,2026-07-06 22:15:00
2026-07-07 09:15:00,5,-0.003194069925432825,0.00010206166769837555,0.003288872957675356,0.0064829428831081806,0.5192479856759177,0.001973684851220625,8269,False,False,2026-07-07 09:30:00
2026-07-07 13:45:00,5,-0.0031544855134984957,-0.00019676631052532553,0.0033694577433118953,0.0065239432568103915,0.5478961504028648,0.0029600416284765174,8278,False,False,2026-07-07 14:00:00
2026-07-07 14:00:00,5,-0.0030380013859417905,-7.562559456429704e-05,0.0033451321694008534,0.006383133555342644,0.4458370635631155,0.0023014969882790837,8279,False,False,2026-07-07 14:15:00
2026-07-07 21:15:00,5,-0.0033461769518791026,-0.0002636241232181715,0.0035054252386400005,0.006851602190519103,0.7251566696508505,-0.004271404555707292,8284,False,True,2026-07-07 21:30:00
2026-07-07 21:30:00,5,-0.0032158114660331733,-0.00015445177542967257,0.0033693383920650197,0.006585149858098193,0.5823634735899731,-0.005917177028088361,8285,False,False,2026-07-07 21:45:00
2026-07-07 21:45:00,5,-0.0029748748970258527,0.00010154674571052284,0.003254523247183163,0.006229398144209015,0.341987466427932,-0.004279841923773731,8286,False,False,2026-07-07 22:00:00
2026-07-07 22:00:00,5,-0.002803943570451369,9.324068116386569e-05,0.003106845608252547,0.005910789178703916,0.13921217547000894,-0.0019769363934560857,8287,False,False,2026-07-07 22:15:00
2026-07-08 09:15:00,5,-0.003777543050176612,-0.00013717929065944776,0.003103223295034768,0.00688076634521138,0.7363473589973142,0.00196979709128442,8292,False,True,2026-07-08 09:30:00
2026-07-08 13:45:00,5,-0.0031852159226498306,-9.236859076627574e-05,0.0034938908604965242,0.006679106783146355,0.6360787824529991,-0.0006555228028908289,8301,False,False,2026-07-08 14:00:00
2026-07-08 14:00:00,5,-0.003058950622265457,-9.99347574459502e-05,0.0032626540897464666,0.006321604712011923,0.40376007162041183,-0.0009828010619070682,8302,False,False,2026-07-08 14:15:00
2026-07-08 21:15:00,5,-0.0030194842365577675,-0.00022073577121448326,0.003262510618644318,0.006281994855202085,0.3773500447627574,-0.0006544502851397738,8307,False,False,2026-07-08 21:30:00
2026-07-08 21:30:00,5,-0.0026283802122964344,0.00014425880618531824,0.0029313453761186763,0.005559725588415111,0.02999104744852283,0.0029445465410642413,8308,False,False,2026-07-08 21:45:00
2026-07-08 21:45:00,5,-0.002557248692875139,0.00012778764071863678,0.0029189928180784613,0.0054762415109536,0.018352730528200537,0.0029484050842985,8309,False,False,2026-07-08 22:00:00
2026-07-08 22:00:00,5,-0.0029540640162631073,-0.00015236037708779993,0.002824953241247822,0.005779017257510929,0.0792300805729633,-0.00032706459817255507,8310,False,False,2026-07-08 22:15:00
2026-07-09 09:15:00,5,-0.0031173774890371365,0.00010455259065409264,0.0033280572396486665,0.0064454347286858026,0.4901521933751119,0.0009824792013475303,8315,False,False,2026-07-09 09:30:00
2026-07-09 13:45:00,5,-0.003442508692649873,-0.00015076090637203507,0.0028620812970727356,0.006304589989722609,0.39391226499552373,0.002953242507377496,8324,False,False,2026-07-09 14:00:00
2026-07-09 14:00:00,5,-0.0040665271319902975,-0.00021006793490316439,0.0031052791421455703,0.007171806274135868,0.8043867502238138,0.0006555228028908289,8325,False,True,2026-07-09 14:15:00
