factor,bucket,horizon,split,symbol,bucket_analyzable_n,rest_analyzable_n,raw_bucket_rate,raw_rest_rate,raw_delta_pp,adjusted_bucket_rate,adjusted_rest_rate,adjusted_delta_pp,included_strata,geometry_coverage,adjustment_usable,expected_sign
source_tf,1h,6,VALIDATION,POOLED,626,4132,0.060303550649791704,0.23104307853213366,-17.073952788234195,0.22776588529729863,0.20316981396270117,2.4596071334597456,3,0.7691891422611823,True,-1
source_tf,1h,12,DISCOVERY,POOLED,801,6095,0.1524359701883558,0.3478321291679182,-19.539615897956242,0.38519962312272205,0.3178597194622015,6.733990366052057,3,0.7526163830822886,True,-1
source_tf,1h,12,VALIDATION,POOLED,427,2742,0.1041958046496595,0.35194332809734796,-24.774752344768846,0.34229255479939924,0.3072420813126192,3.505047348678003,3,0.7812383848487009,True,-1
source_tf,1h,24,DISCOVERY,POOLED,304,2244,0.23265063850088208,0.4729170210393298,-24.026638253844773,0.1479804599070654,0.22666170588782436,-7.868124598075895,1,0.21404951257170649,False,-1
source_tf,1h,24,VALIDATION,POOLED,158,1002,0.15595263023196296,0.47820486848971405,-32.2252238257751,0.0500099226036912,0.2387691295046898,-18.87592069009986,1,0.23571310646500523,False,-1
touch_bin,1,6,DISCOVERY,POOLED,4614,5780,0.24767269792499969,0.19247806110417973,5.519463682081996,0.21761823152189866,0.21725047385662027,0.03677576652783843,4,1.0,True,1
touch_bin,1,6,VALIDATION,POOLED,2058,2700,0.2533418790864636,0.1755544665536256,7.778741253283799,0.22044191152834205,0.20412485028865146,1.6317061239690593,4,0.9999999999999999,True,1
touch_bin,1,12,DISCOVERY,POOLED,3191,3705,0.36106372114777674,0.2960365533093303,6.502716783844642,0.329897409218815,0.3253753375601069,0.45220716587081045,4,1.0,True,1
touch_bin,1,12,VALIDATION,POOLED,1438,1731,0.3811284247567891,0.2693652235725041,11.176320118428501,0.34101243275918086,0.3048259554589578,3.6186477300223063,4,1.0,True,1
touch_bin,1,24,DISCOVERY,POOLED,1206,1342,0.4824227136626647,0.4093661476696081,7.30565659930566,0.4524532421419987,0.43577870804188024,1.6674534100118488,4,1.0000000000000002,True,1
touch_bin,1,24,VALIDATION,POOLED,556,604,0.5025656840171343,0.378994157988316,12.357152602881833,0.4520502572883809,0.4224286852178852,2.9621572070495708,4,1.0000000000000002,True,1
touch_bin,4+,6,DISCOVERY,POOLED,2048,8346,0.17070269625596887,0.22762783831535938,-5.692514205939051,0.25660741287532146,0.21214565698777604,4.446175588754542,4,1.0,True,-1
touch_bin,4+,6,VALIDATION,POOLED,1006,3752,0.12269592023214138,0.23116500214733546,-10.846908191519407,0.2002398683094042,0.21206736078347402,-1.1827492474069805,4,0.9999999999999999,True,-1
touch_bin,4+,12,DISCOVERY,POOLED,1309,5587,0.26999593984038867,0.3384211546021223,-6.8425214761733635,0.3717188638758417,0.32040028328540193,5.131858059043975,4,1.0,True,-1
touch_bin,4+,12,VALIDATION,POOLED,654,2515,0.20563091529999492,0.347458010383837,-14.182709508384209,0.30733601676325306,0.3256138205212528,-1.8277803757999755,4,1.0,True,-1
touch_bin,4+,24,DISCOVERY,POOLED,426,2122,0.3775902350910867,0.4561416365939634,-7.855140150287671,0.4814656306633883,0.4382577246345134,4.320790602887492,4,1.0000000000000002,True,-1
touch_bin,4+,24,VALIDATION,POOLED,194,966,0.28437768833240185,0.4653486730923917,-18.097098475998983,0.28804169708434385,0.3295350592302422,-4.149336214589833,3,0.6762423391170402,False,-1
ob_width_bucket,MEDIUM_0.5_1.0,6,DISCOVERY,POOLED,2562,7832,0.3504449338774899,0.17295608933732481,17.748884454016505,0.22475414934611776,0.22164703704169228,0.310711230442548,4,1.0,True,1
ob_width_bucket,MEDIUM_0.5_1.0,6,VALIDATION,POOLED,1138,3620,0.34865187087184735,0.16486193613750771,18.37899347343396,0.21481731661218917,0.2209803452471218,-0.6163028634932621,4,0.9999999999999999,True,1
ob_width_bucket,MEDIUM_0.5_1.0,12,DISCOVERY,POOLED,1803,5093,0.47000075173705386,0.27479868200270197,19.52020697343519,0.3526733414407501,0.32641627433316683,2.6257067107583243,4,1.0,True,1
ob_width_bucket,MEDIUM_0.5_1.0,12,VALIDATION,POOLED,774,2395,0.4749161329206066,0.26813089561421105,20.678523730639554,0.31727091406860747,0.3260160595112727,-0.8745145442665248,4,1.0,True,1
ob_width_bucket,MEDIUM_0.5_1.0,24,DISCOVERY,POOLED,757,1791,0.576286127538663,0.3894211659924019,18.686496154626113,0.5103221328607295,0.5135735354014788,-0.3251402540749293,3,0.7859504874282935,True,1
ob_width_bucket,MEDIUM_0.5_1.0,24,VALIDATION,POOLED,337,823,0.6121231092352122,0.3608719955282281,25.12511137069841,0.6257239873977858,0.5883722214135758,3.7351765984209973,2,0.5686650890931848,False,1
ob_width_bucket,WIDE_GT_1.0,6,DISCOVERY,POOLED,7572,2822,0.1668961376964795,0.35414567820616083,-18.724954050968133,0.22284645886273993,0.22299012643873198,-0.014366757599204583,4,1.0,True,-1
ob_width_bucket,WIDE_GT_1.0,6,VALIDATION,POOLED,3511,1247,0.1557804124007864,0.36143205719609334,-20.565164479530694,0.2179369773468227,0.22011762885364772,-0.21806515068250043,4,0.9999999999999999,True,-1
ob_width_bucket,WIDE_GT_1.0,12,DISCOVERY,POOLED,4886,2010,0.26851304938041703,0.4699648371682564,-20.145178778783933,0.32864526638929586,0.34579930261864367,-1.7154036229347802,4,1.0,True,-1
ob_width_bucket,WIDE_GT_1.0,12,VALIDATION,POOLED,2314,855,0.260750239045276,0.4792598080906967,-21.85095690454207,0.32672586718075897,0.3191667146054781,0.7559152575280892,4,1.0,True,-1
ob_width_bucket,WIDE_GT_1.0,24,DISCOVERY,POOLED,1678,870,0.37861053740347966,0.576553717151438,-19.794317974795835,0.516388168560429,0.5126560228571038,0.37321457033252514,3,0.7859504874282935,True,-1
ob_width_bucket,WIDE_GT_1.0,24,VALIDATION,POOLED,773,387,0.3490097827051603,0.6098905080835592,-26.088072537839885,0.5941517909087445,0.6157125543308031,-2.1560763422058593,2,0.5686650890931848,False,-1
