factor,bucket,horizon,split,symbol,geometry_stratum,usable,bucket_n,rest_n,bucket_rate,rest_rate,delta_pp,common_weight
source_tf,15m,12,VALIDATION,POOLED,G4_FARTHEST,True,355,537,0.10566610417114963,0.07070146521663505,3.4964638954514586,611.1270202020202
source_tf,15m,24,DISCOVERY,POOLED,G1_NEAREST,True,161,677,0.5781021431877057,0.6829091681551998,-10.480702496749405,545.35
source_tf,15m,24,DISCOVERY,POOLED,G2,True,175,490,0.4816271761818474,0.48784728286405477,-0.6220106682207349,455.98373015873017
source_tf,15m,24,DISCOVERY,POOLED,G3,True,216,322,0.2930540242557883,0.33517731181756694,-4.212328756177863,381.14444444444445
source_tf,15m,24,DISCOVERY,POOLED,G4_FARTHEST,True,198,309,0.2234448482257375,0.17243941959771444,5.100542862802307,376.51071428571424
source_tf,15m,24,VALIDATION,POOLED,G1_NEAREST,True,75,320,0.614608563786095,0.6754176261481746,-6.080906236207961,254.46825396825398
source_tf,15m,24,VALIDATION,POOLED,G2,True,75,194,0.5738950811206266,0.48985898541060113,8.403609571002546,192.49325396825395
source_tf,15m,24,VALIDATION,POOLED,G3,True,86,133,0.2898117717358828,0.3121633115962574,-2.2351539860374583,153.75555555555553
source_tf,15m,24,VALIDATION,POOLED,G4_FARTHEST,True,121,156,0.21453717125698898,0.10609193574041674,10.844523551657224,185.26666666666668
source_tf,1h,6,DISCOVERY,POOLED,G1_NEAREST,True,88,2663,0.7562953813692455,0.45820686862983495,29.808851273941052,1810.3862914862916
source_tf,1h,6,DISCOVERY,POOLED,G2,True,59,2533,0.2508408071748879,0.23408445048663387,1.675635668825401,1853.0232683982683
source_tf,1h,6,DISCOVERY,POOLED,G3,True,135,2350,0.17062972774568316,0.12991109007744336,4.07186376682398,1816.7148268398269
source_tf,1h,6,DISCOVERY,POOLED,G4_FARTHEST,True,940,1626,0.025624003092087084,0.04924194183402121,-2.361793874193413,1865.0256493506492
source_tf,1h,6,VALIDATION,POOLED,G1_NEAREST,True,40,1185,0.5548418804867302,0.4834812423547711,7.136063813195914,807.1801587301587
source_tf,1h,6,VALIDATION,POOLED,G2,False,19,1076,0.553668411178039,0.2341533594971086,31.951505168093043,774.2730158730158
source_tf,1h,6,VALIDATION,POOLED,G3,True,47,1071,0.15514693810540142,0.12074229387081438,3.440464423458704,824.4977633477633
source_tf,1h,6,VALIDATION,POOLED,G4_FARTHEST,True,520,800,0.012575837122233325,0.03629651820140896,-2.3720681079175634,948.6270202020203
source_tf,1h,12,DISCOVERY,POOLED,G1_NEAREST,True,66,1907,0.789081831542302,0.5689622519804254,22.011957956187665,1249.905339105339
source_tf,1h,12,DISCOVERY,POOLED,G2,False,48,1632,0.37995965030262274,0.36307278144053495,1.688686886208779,1150.2066017316017
source_tf,1h,12,DISCOVERY,POOLED,G3,True,87,1490,0.24575261417096364,0.22577545124203763,1.9977162928926013,1106.7814935064935
source_tf,1h,12,DISCOVERY,POOLED,G4_FARTHEST,True,600,1066,0.07846102972635578,0.13237165939281903,-5.391062966646325,1142.592316017316
source_tf,1h,12,VALIDATION,POOLED,G1_NEAREST,True,31,847,0.6720306713264826,0.5921254208504297,7.99052504760529,549.8468253968254
source_tf,1h,12,VALIDATION,POOLED,G2,False,14,671,0.6052236565595918,0.39215270303833094,21.307095352126083,465.4396825396825
source_tf,1h,12,VALIDATION,POOLED,G3,True,35,679,0.3484010579466218,0.23100495157978976,11.739610636683203,501.1977633477634
source_tf,1h,12,VALIDATION,POOLED,G4_FARTHEST,True,347,545,0.040608913584206735,0.11344878297667997,-7.283986939247324,611.1270202020202
source_tf,1h,24,DISCOVERY,POOLED,G1_NEAREST,False,28,810,0.9094002046108823,0.6609745460877867,24.842565852309562,545.35
source_tf,1h,24,DISCOVERY,POOLED,G2,False,20,645,0.35598536330371144,0.4890904457150772,-13.310508241136576,455.98373015873017
source_tf,1h,24,DISCOVERY,POOLED,G3,False,41,497,0.28757319453480806,0.32069692944761313,-3.312373491280507,381.14444444444445
source_tf,1h,24,DISCOVERY,POOLED,G4_FARTHEST,True,215,292,0.1479804599070654,0.22666170588782436,-7.868124598075895,376.51071428571424
source_tf,1h,24,VALIDATION,POOLED,G1_NEAREST,False,15,380,0.7472924187725632,0.6641873075185151,8.310511125404819,254.46825396825398
source_tf,1h,24,VALIDATION,POOLED,G2,False,6,263,0.815006468305304,0.5060482481692382,30.895822013606576,192.49325396825395
source_tf,1h,24,VALIDATION,POOLED,G3,False,16,203,0.5137614678899084,0.29088744671863603,22.287402117127236,153.75555555555553
source_tf,1h,24,VALIDATION,POOLED,G4_FARTHEST,True,121,156,0.0500099226036912,0.2387691295046898,-18.87592069009986,185.26666666666668
touch_bin,1,6,DISCOVERY,POOLED,G1_NEAREST,True,1474,1277,0.4694137901147223,0.46283771552024255,0.657607459447973,1810.3862914862916
touch_bin,1,6,DISCOVERY,POOLED,G2,True,1267,1325,0.23213055309959013,0.23647906909019656,-0.43485159906064275,1853.0232683982683
touch_bin,1,6,DISCOVERY,POOLED,G3,True,1078,1407,0.12240959965425433,0.13893874480718227,-1.6529145152927942,1816.7148268398269
touch_bin,1,6,DISCOVERY,POOLED,G4_FARTHEST,True,795,1771,0.0515229480354267,0.03603648846383175,1.5486459571594953,1865.0256493506492
touch_bin,1,6,VALIDATION,POOLED,G1_NEAREST,True,647,578,0.4735793031038782,0.49957198634625777,-2.5992683242379577,807.1801587301587
touch_bin,1,6,VALIDATION,POOLED,G2,True,552,543,0.24908133697260731,0.2252943511046435,2.378698586796382,774.2730158730158
touch_bin,1,6,VALIDATION,POOLED,G3,True,480,638,0.1350251479194838,0.11178738660377083,2.323776131571298,824.4977633477633
touch_bin,1,6,VALIDATION,POOLED,G4_FARTHEST,True,379,941,0.05591330296843097,0.015707270636302628,4.020603233212834,948.6270202020203
touch_bin,1,12,DISCOVERY,POOLED,G1_NEAREST,True,1085,888,0.5726671444323576,0.5781582137674998,-0.5491069335142207,1249.905339105339
touch_bin,1,12,DISCOVERY,POOLED,G2,True,843,837,0.3568903741532505,0.37003372464932405,-1.314335049607357,1150.2066017316017
touch_bin,1,12,DISCOVERY,POOLED,G3,True,707,870,0.23267620348040846,0.2216575256942959,1.1018677786112567,1106.7814935064935
touch_bin,1,12,DISCOVERY,POOLED,G4_FARTHEST,True,556,1110,0.13132785801819274,0.10436205049470322,2.6965807523489524,1142.592316017316
touch_bin,1,12,VALIDATION,POOLED,G1_NEAREST,True,484,394,0.596306752262356,0.5918304436654129,0.4476308596943035,549.8468253968254
touch_bin,1,12,VALIDATION,POOLED,G2,True,352,333,0.40684469099782156,0.3812088569718731,2.563583402594843,465.4396825396825
touch_bin,1,12,VALIDATION,POOLED,G3,True,321,393,0.2739852051477604,0.20389127934431112,7.009392580344931,501.1977633477634
touch_bin,1,12,VALIDATION,POOLED,G4_FARTHEST,True,281,611,0.11614949037372595,0.07120528166432961,4.494420870939633,611.1270202020202
touch_bin,1,24,DISCOVERY,POOLED,G1_NEAREST,True,438,400,0.6671113284815887,0.6703296527162249,-0.3218324234636194,545.35
touch_bin,1,24,DISCOVERY,POOLED,G2,True,326,339,0.49190135049679906,0.48091046435990514,1.0990886136893918,455.98373015873017
touch_bin,1,24,DISCOVERY,POOLED,G3,True,261,277,0.3540447664159005,0.2868199972455584,6.722476917034209,381.14444444444445
touch_bin,1,24,DISCOVERY,POOLED,G4_FARTHEST,True,181,326,0.19338056380819232,0.19218160516783642,0.11989586403559072,376.51071428571424
touch_bin,1,24,VALIDATION,POOLED,G1_NEAREST,True,230,165,0.6796483965928113,0.6490569166056926,3.059147998711864,254.46825396825398
touch_bin,1,24,VALIDATION,POOLED,G2,True,143,126,0.5095665933798412,0.5104843174054521,-0.09177240256108554,192.49325396825395
touch_bin,1,24,VALIDATION,POOLED,G3,True,100,119,0.3526970954356846,0.26519337016574585,8.750372526993877,153.75555555555553
touch_bin,1,24,VALIDATION,POOLED,G4_FARTHEST,True,83,194,0.16213352172377254,0.15015087507543756,1.1982646648334982,185.26666666666668
touch_bin,4+,6,DISCOVERY,POOLED,G1_NEAREST,True,291,2460,0.5518175244912636,0.4576837307595567,9.413379373170693,1810.3862914862916
touch_bin,4+,6,DISCOVERY,POOLED,G2,True,379,2213,0.28718069135445556,0.22650207209441944,6.067861926003612,1853.0232683982683
touch_bin,4+,6,DISCOVERY,POOLED,G3,True,488,1997,0.1591078925124967,0.12576485198822043,3.334304052427628,1816.7148268398269
touch_bin,4+,6,DISCOVERY,POOLED,G4_FARTHEST,True,890,1676,0.03464343533865201,0.04368028228897953,-0.903684695032752,1865.0256493506492
touch_bin,4+,6,VALIDATION,POOLED,G1_NEAREST,True,134,1091,0.47423973138643777,0.4867370266628212,-1.2497295276383436,807.1801587301587
touch_bin,4+,6,VALIDATION,POOLED,G2,True,174,921,0.22712313638873555,0.2391436114409015,-1.2020475052165942,774.2730158730158
touch_bin,4+,6,VALIDATION,POOLED,G3,True,204,914,0.12150069946108225,0.12180513119097047,-0.03044317298882271,824.4977633477633
touch_bin,4+,6,VALIDATION,POOLED,G4_FARTHEST,True,494,826,0.013589088130427404,0.0347043880228216,-2.1115299892394197,948.6270202020203
touch_bin,4+,12,DISCOVERY,POOLED,G1_NEAREST,True,188,1785,0.6638556382200695,0.5672204508828914,9.663518733717813,1249.905339105339
touch_bin,4+,12,DISCOVERY,POOLED,G2,True,257,1423,0.41607010254326315,0.3552275664198625,6.084253612340068,1150.2066017316017
touch_bin,4+,12,DISCOVERY,POOLED,G3,True,309,1268,0.2658444951265906,0.21831386383370424,4.753063129288634,1106.7814935064935
touch_bin,4+,12,DISCOVERY,POOLED,G4_FARTHEST,True,555,1111,0.11005369656062612,0.11422608346734679,-0.4172386906720671,1142.592316017316
touch_bin,4+,12,VALIDATION,POOLED,G1_NEAREST,True,98,780,0.6390701435854338,0.5898568226587492,4.921332092668463,549.8468253968254
touch_bin,4+,12,VALIDATION,POOLED,G2,True,112,573,0.34463093304457676,0.402819968252013,-5.818903520743623,465.4396825396825
touch_bin,4+,12,VALIDATION,POOLED,G3,True,129,585,0.2150223492004977,0.23921668683029138,-2.4194337629793674,501.1977633477634
touch_bin,4+,12,VALIDATION,POOLED,G4_FARTHEST,True,315,577,0.056170413344728505,0.09992271863316414,-4.375230528843564,611.1270202020202
touch_bin,4+,24,DISCOVERY,POOLED,G1_NEAREST,True,77,761,0.7435481596389789,0.6627346651942576,8.08134944447213,545.35
touch_bin,4+,24,DISCOVERY,POOLED,G2,True,105,560,0.5115403013633103,0.4826465631111907,2.8893738252119605,455.98373015873017
touch_bin,4+,24,DISCOVERY,POOLED,G3,True,96,442,0.33919062832800856,0.3143988280023719,2.479180032563666,381.14444444444445
touch_bin,4+,24,DISCOVERY,POOLED,G4_FARTHEST,True,148,359,0.2094602478239563,0.18474314002305664,2.4717107800899667,376.51071428571424
touch_bin,4+,24,VALIDATION,POOLED,G1_NEAREST,False,29,366,0.573638127195512,0.6722808623245358,-9.864273512902377,254.46825396825398
touch_bin,4+,24,VALIDATION,POOLED,G2,True,43,226,0.500848896434635,0.5113661438153515,-1.0517247380716466,192.49325396825395
touch_bin,4+,24,VALIDATION,POOLED,G3,True,30,189,0.15994798439531863,0.32730477109647094,-16.73567867011523,153.75555555555553
touch_bin,4+,24,VALIDATION,POOLED,G4_FARTHEST,True,92,185,0.17324052590873937,0.1424623462760812,3.0778179632658165,185.26666666666668
ob_width_bucket,MEDIUM_0.5_1.0,6,DISCOVERY,POOLED,G1_NEAREST,True,1506,1245,0.443137410817599,0.49882624258440267,-5.568883176680367,1810.3862914862916
ob_width_bucket,MEDIUM_0.5_1.0,6,DISCOVERY,POOLED,G2,True,739,1853,0.26239801462115964,0.22247735575367056,3.992065886748908,1853.0232683982683
ob_width_bucket,MEDIUM_0.5_1.0,6,DISCOVERY,POOLED,G3,True,249,2236,0.13874026593208666,0.1309029525374634,0.7837313394623263,1816.7148268398269
ob_width_bucket,MEDIUM_0.5_1.0,6,DISCOVERY,POOLED,G4_FARTHEST,True,68,2498,0.05915303607438941,0.04015681987278725,1.8996216201602163,1865.0256493506492
ob_width_bucket,MEDIUM_0.5_1.0,6,VALIDATION,POOLED,G1_NEAREST,True,676,549,0.4498049476569978,0.5370258634649917,-8.72209158079939,807.1801587301587
ob_width_bucket,MEDIUM_0.5_1.0,6,VALIDATION,POOLED,G2,True,323,772,0.24045694622279132,0.23614432867629648,0.431261754649484,774.2730158730158
ob_width_bucket,MEDIUM_0.5_1.0,6,VALIDATION,POOLED,G3,True,105,1013,0.12162639987015696,0.12176328511015168,-0.01368852399947218,824.4977633477633
ob_width_bucket,MEDIUM_0.5_1.0,6,VALIDATION,POOLED,G4_FARTHEST,True,34,1286,0.07493755203996669,0.025916862304023854,4.902068973594283,948.6270202020203
ob_width_bucket,MEDIUM_0.5_1.0,12,DISCOVERY,POOLED,G1_NEAREST,True,1051,922,0.5617065233040981,0.5923919439117309,-3.0685420607632796,1249.905339105339
ob_width_bucket,MEDIUM_0.5_1.0,12,DISCOVERY,POOLED,G2,True,507,1173,0.3862094012050356,0.35306138355044725,3.314801765458836,1150.2066017316017
ob_width_bucket,MEDIUM_0.5_1.0,12,DISCOVERY,POOLED,G3,True,184,1393,0.2737362003368054,0.22042198503421606,5.331421530258934,1106.7814935064935
ob_width_bucket,MEDIUM_0.5_1.0,12,DISCOVERY,POOLED,G4_FARTHEST,True,61,1605,0.1667111942292279,0.11130956589039492,5.540162833883297,1142.592316017316
ob_width_bucket,MEDIUM_0.5_1.0,12,VALIDATION,POOLED,G1_NEAREST,True,466,412,0.5732661410659847,0.6226264846358679,-4.936034356988317,549.8468253968254
ob_width_bucket,MEDIUM_0.5_1.0,12,VALIDATION,POOLED,G2,True,195,490,0.41582406471183014,0.38531072339717065,3.051334131465949,465.4396825396825
ob_width_bucket,MEDIUM_0.5_1.0,12,VALIDATION,POOLED,G3,True,79,635,0.17947470220448417,0.24141198398187017,-6.1937281777386,501.1977633477634
ob_width_bucket,MEDIUM_0.5_1.0,12,VALIDATION,POOLED,G4_FARTHEST,True,34,858,0.12489592006661114,0.08337416700380255,4.152175306280858,611.1270202020202
ob_width_bucket,MEDIUM_0.5_1.0,24,DISCOVERY,POOLED,G1_NEAREST,True,461,377,0.6632101220613452,0.6757893982172182,-1.2579276155872954,545.35
ob_width_bucket,MEDIUM_0.5_1.0,24,DISCOVERY,POOLED,G2,True,200,465,0.4989657774169395,0.4809733319342217,1.7992445482717778,455.98373015873017
ob_width_bucket,MEDIUM_0.5_1.0,24,DISCOVERY,POOLED,G3,True,74,464,0.3051527994646442,0.3204728370221328,-1.532003755748862,381.14444444444445
ob_width_bucket,MEDIUM_0.5_1.0,24,DISCOVERY,POOLED,G4_FARTHEST,False,22,485,0.243992606284658,0.191295615413272,5.269699087138599,376.51071428571424
ob_width_bucket,MEDIUM_0.5_1.0,24,VALIDATION,POOLED,G1_NEAREST,True,219,176,0.6647890350405967,0.668948877934985,-0.41598428943883103,254.46825396825398
ob_width_bucket,MEDIUM_0.5_1.0,24,VALIDATION,POOLED,G2,True,80,189,0.5740815830021896,0.4818531581585887,9.222842484360088,192.49325396825395
ob_width_bucket,MEDIUM_0.5_1.0,24,VALIDATION,POOLED,G3,False,29,190,0.373134328358209,0.2956084505900004,7.7525877768208575,153.75555555555553
ob_width_bucket,MEDIUM_0.5_1.0,24,VALIDATION,POOLED,G4_FARTHEST,False,9,268,0.24038461538461536,0.1506849315068493,8.969968387776605,185.26666666666668
ob_width_bucket,WIDE_GT_1.0,6,DISCOVERY,POOLED,G1_NEAREST,True,1059,1692,0.5031486488837693,0.44604476305984053,5.710388582392878,1810.3862914862916
ob_width_bucket,WIDE_GT_1.0,6,DISCOVERY,POOLED,G2,True,1814,778,0.22300236009631497,0.2598152759995007,-3.6812915903185752,1853.0232683982683
ob_width_bucket,WIDE_GT_1.0,6,DISCOVERY,POOLED,G3,True,2217,268,0.1307775142547826,0.13957760650881984,-0.8800092254037245,1816.7148268398269
ob_width_bucket,WIDE_GT_1.0,6,DISCOVERY,POOLED,G4_FARTHEST,True,2482,84,0.04028536955074082,0.05113396252993378,-1.084859297919296,1865.0256493506492
ob_width_bucket,WIDE_GT_1.0,6,VALIDATION,POOLED,G1_NEAREST,True,471,754,0.5288393856481178,0.4619638401859257,6.687554546219215,807.1801587301587
ob_width_bucket,WIDE_GT_1.0,6,VALIDATION,POOLED,G2,True,749,346,0.23229505445407575,0.24836330883733662,-1.6068254383260872,774.2730158730158
ob_width_bucket,WIDE_GT_1.0,6,VALIDATION,POOLED,G3,True,1007,111,0.12096738883863448,0.12924768056110444,-0.8280291722469968,824.4977633477633
ob_width_bucket,WIDE_GT_1.0,6,VALIDATION,POOLED,G4_FARTHEST,True,1284,36,0.02595412820801211,0.0702576112412178,-4.430348303320568,948.6270202020203
ob_width_bucket,WIDE_GT_1.0,12,DISCOVERY,POOLED,G1_NEAREST,True,780,1193,0.5984187897263231,0.5613025303684476,3.7116259357875547,1249.905339105339
ob_width_bucket,WIDE_GT_1.0,12,DISCOVERY,POOLED,G2,True,1139,541,0.3552819677355533,0.38013890779913,-2.4856940063576696,1150.2066017316017
ob_width_bucket,WIDE_GT_1.0,12,DISCOVERY,POOLED,G3,True,1378,199,0.22025237978550974,0.2731596905764407,-5.290731079093095,1106.7814935064935
ob_width_bucket,WIDE_GT_1.0,12,DISCOVERY,POOLED,G4_FARTHEST,True,1589,77,0.11171589227257656,0.1458503846783434,-3.413449240576685,1142.592316017316
ob_width_bucket,WIDE_GT_1.0,12,VALIDATION,POOLED,G1_NEAREST,True,357,521,0.6269577311483341,0.5751798177937997,5.177791335453441,549.8468253968254
ob_width_bucket,WIDE_GT_1.0,12,VALIDATION,POOLED,G2,True,472,213,0.3848739369421531,0.4152127880866407,-3.0338851144487586,465.4396825396825
ob_width_bucket,WIDE_GT_1.0,12,VALIDATION,POOLED,G3,True,629,85,0.23984928876752135,0.1955013906680977,4.434789809942363,501.1977633477634
ob_width_bucket,WIDE_GT_1.0,12,VALIDATION,POOLED,G4_FARTHEST,True,856,36,0.08356265443582728,0.11709601873536299,-3.353336429953571,611.1270202020202
ob_width_bucket,WIDE_GT_1.0,24,DISCOVERY,POOLED,G1_NEAREST,True,298,540,0.6860621319339419,0.6597286436124756,2.6333488321466314,545.35
ob_width_bucket,WIDE_GT_1.0,24,DISCOVERY,POOLED,G2,True,447,218,0.4782563017035417,0.5031010560782021,-2.4844754374660383,455.98373015873017
ob_width_bucket,WIDE_GT_1.0,24,DISCOVERY,POOLED,G3,True,456,82,0.3192340813535282,0.31365234999467123,0.5581731358856978,381.14444444444445
ob_width_bucket,WIDE_GT_1.0,24,DISCOVERY,POOLED,G4_FARTHEST,False,477,30,0.1934894084110159,0.16687737041719342,2.6612037993822475,376.51071428571424
ob_width_bucket,WIDE_GT_1.0,24,VALIDATION,POOLED,G1_NEAREST,True,138,257,0.6736340224844605,0.6632952429434539,1.0338779541006593,254.46825396825398
ob_width_bucket,WIDE_GT_1.0,24,VALIDATION,POOLED,G2,True,177,92,0.48907951292694823,0.5528101749447013,-6.373066201775307,192.49325396825395
ob_width_bucket,WIDE_GT_1.0,24,VALIDATION,POOLED,G3,False,190,29,0.2956084505900004,0.373134328358209,-7.7525877768208575,153.75555555555553
ob_width_bucket,WIDE_GT_1.0,24,VALIDATION,POOLED,G4_FARTHEST,False,268,9,0.1506849315068493,0.24038461538461536,-8.969968387776605,185.26666666666668
