rows,mae,rmse,r2,spearman,w_mae,w_rmse,w_r2,w_spearman,kappa,model,direction,block,rel_wrmse_improvement
86479,2.1192234093103517,3.5173815393223995,-0.1347824845720489,,2.0263606429139003,3.199730280162951,-0.00270578101672192,,0.01,M1,short,baseline_validation,
89621,2.2132988417912434,3.527003906489298,-0.1663608846250657,,1.9694127549286091,3.015387997143046,-0.0030343941458408352,,0.01,M1,short,baseline_test,
86479,2.1907360011916417,3.3962838150691947,-0.05799012715225538,0.054001023213838366,1.9785471357946782,3.077915380610615,0.07218769473353592,,0.01,M1,short,model_validation,0.03807036496405323
89621,2.2298323552607924,3.3287673342424955,-0.03893397146281363,0.10175649154617061,1.8936430998758216,2.8363318522631773,0.11255079224136622,,0.01,M1,short,model_test,0.05938079777777084
86479,2.167365418204978,3.5675163157897956,-0.1779930990361318,,1.943544222239529,3.090138499122864,-0.0006135201493642217,,0.02,M0,long,baseline_validation,
89621,2.227925186428334,3.5310735058720844,-0.2252338258307245,,1.8968115822649911,2.9502643896431446,-0.012717751696879942,,0.02,M0,long,baseline_test,
86479,2.161433549113758,3.5003463329999884,-0.13405167285526498,0.054440988546537304,1.9235758847062532,3.0491865123283253,0.02573195761961522,,0.02,M0,long,model_validation,0.013252476161234499
89621,2.1920966235817874,3.4050321576391944,-0.13932570840408998,0.06429062385529649,1.8895709478109042,2.8871918931538856,0.03012034931127594,,0.02,M0,long,model_test,0.021378591258015396
86479,2.167365418204978,3.5675163157897956,-0.1779930990361318,,1.943544222239529,3.090138499122864,-0.0006135201493642217,,0.02,M1,long,baseline_validation,
89621,2.227925186428334,3.5310735058720844,-0.2252338258307245,,1.8968115822649911,2.9502643896431446,-0.012717751696879942,,0.02,M1,long,baseline_test,
86479,2.1913731204492684,3.3968288205970367,-0.06796773831669412,0.07379217669715496,1.888596592952648,2.9382040806817558,0.09536290495252375,,0.02,M1,long,model_validation,0.049167510933323805
89621,2.214385971120963,3.320659483702809,-0.08356295286334059,0.06256155944037889,1.8341291652904514,2.7838594504330456,0.09830189199169648,,0.02,M1,long,model_test,0.05640339889342151
86479,2.118132779183288,3.515282193230334,-0.13388997995733853,,2.0229546675291337,3.196040919079232,-0.0027101689172512877,,0.02,M0,short,baseline_validation,
89621,2.212119627886539,3.5246874085229507,-0.16529891526513008,,1.966363550387633,3.011805836121124,-0.003016303955453381,,0.02,M0,short,baseline_test,
86479,2.1481465789634364,3.4241327260179837,-0.07584996456277415,0.03314031456387138,2.039350292981702,3.151810235296237,0.024851222926247973,,0.02,M0,short,model_validation,0.013839210730674121
89621,2.2328717111910885,3.4134230493109126,-0.09288977201919768,0.040148073577235904,1.9859645824111174,2.9597077777626386,0.0313838206836754,,0.02,M0,short,model_test,0.017297947209499457
86479,2.118132779183288,3.515282193230334,-0.13388997995733853,,2.0229546675291337,3.196040919079232,-0.0027101689172512877,,0.02,M1,short,baseline_validation,
89621,2.212119627886539,3.5246874085229507,-0.16529891526513008,,1.966363550387633,3.011805836121124,-0.003016303955453381,,0.02,M1,short,baseline_test,
86479,2.1851923715221897,3.3918011726511246,-0.05562897198561845,0.05552538771967905,1.9739834011047954,3.072559609724177,0.07327390563008718,,0.02,M1,short,model_validation,0.038635709767642586
89621,2.228134526141237,3.333841508691602,-0.042523917176241266,0.09630515418674666,1.8899991720419083,2.837965714762984,0.10942942754513452,,0.02,M1,short,model_test,0.05771956454604232
86479,2.1632035839518973,3.560484748389139,-0.1749846580195864,,1.9335725664041583,3.0789318192590556,-0.000612154404856291,,0.05,M0,long,baseline_validation,
89621,2.223011014286691,3.5236287815682013,-0.2215416993245809,,1.8868429069103831,2.939563865277338,-0.012675550765290255,,0.05,M0,long,baseline_test,
86479,2.155396195892413,3.495354986902799,-0.13239127536803919,0.05904867137956269,1.9115655613095233,3.0377961468940025,0.025946336658468017,,0.05,M0,long,model_validation,0.013360371317008379
89621,2.1884562558684086,3.4060810306426035,-0.14140021680891102,0.06243015155545095,1.8793119901623625,2.880616395615798,0.027531861951074377,,0.05,M0,long,model_test,0.020053134533948372
86479,2.1632035839518973,3.560484748389139,-0.1749846580195864,,1.9335725664041583,3.0789318192590556,-0.000612154404856291,,0.05,M1,long,baseline_validation,
89621,2.223011014286691,3.5236287815682013,-0.2215416993245809,,1.8868429069103831,2.939563865277338,-0.012675550765290255,,0.05,M1,long,baseline_test,
86479,2.194690046364907,3.4006251807108656,-0.07184372334416422,0.06956020145675494,1.8794471234102985,2.9297897870914524,0.09397839969010335,,0.05,M1,long,model_validation,0.04843953712605891
89621,2.216933273923989,3.319426263673793,-0.08406182522843952,0.06013788248236011,1.8277677213571715,2.775968770636545,0.09690450340292511,,0.05,M1,long,model_test,0.05565284584329256
86479,2.1149178702839353,3.509023527113139,-0.1312323044385315,,2.0128204930168754,3.1850848618271326,-0.0027241021584913927,,0.05,M0,short,baseline_validation,
89621,2.208621889817684,3.5177757894447312,-0.16213801581961307,,1.9572802583913886,3.0011650143881132,-0.002963728424462797,,0.05,M0,short,baseline_test,
86479,2.146539116149711,3.415277454548736,-0.0715963384819105,0.03526008070158263,2.0317446316486976,3.1398716708523717,0.025541753856977545,,0.05,M0,short,model_validation,0.014195286134016591
89621,2.2327908029765795,3.4030640359937703,-0.08758106928489262,0.04216321675832531,1.979141156691277,2.944752541847708,0.03438703607382865,,0.05,M0,short,model_test,0.018796857976803694
86479,2.1149178702839353,3.509023527113139,-0.1312323044385315,,2.0128204930168754,3.1850848618271326,-0.0027241021584913927,,0.05,M1,short,baseline_validation,
89621,2.208621889817684,3.5177757894447312,-0.16213801581961307,,1.9572802583913886,3.0011650143881132,-0.002963728424462797,,0.05,M1,short,baseline_test,
86479,2.185336230718351,3.38837522226575,-0.054780842104634075,0.05644749680536788,1.967659994826734,3.0643275767153733,0.07186784878167507,,0.05,M1,short,model_validation,0.037913365059443524
89621,2.22534001573522,3.327433199285955,-0.03977671547345718,0.10256896898002103,1.878727131676693,2.8267443827430885,0.11022837319838774,,0.05,M1,short,model_test,0.05811764125225422
