kappa,model,direction,decile,rows,distinct_episodes,raw_episode_weight,mean_prediction,actual_mean_y,weighted_actual_mean_y,positive_y_rate,spread,rho_D,monotonicity_violations
0.0,M1,long,2,8962,986,134.86973074519432,-2.1929520347073246,-2.7230967632594223,-2.5701104530138346,0.1019861638027226,2.506152755870127,0.9878787878787878,1
0.0,M1,long,3,8962,1078,144.61477964898233,-2.071909687373664,-2.615332763423611,-2.3487154540301067,0.1124748939968757,2.506152755870127,0.9878787878787878,1
0.0,M1,long,4,8963,1180,165.43400012945364,-1.9423992459881396,-2.62449287980833,-2.1210995296825472,0.10777641414704899,2.506152755870127,0.9878787878787878,1
0.0,M1,long,5,8961,1244,179.09717016857618,-1.7875039947100735,-2.694436871472054,-2.0907978177666497,0.11226425622140386,2.506152755870127,0.9878787878787878,1
0.0,M1,long,6,8962,1344,213.05639103145108,-1.5884936732166706,-2.712766207298866,-1.9814586658974795,0.12251729524659674,2.506152755870127,0.9878787878787878,1
0.0,M1,long,7,8962,1509,305.4891267147786,-1.3161807383508413,-2.3342986984284524,-1.388597974826929,0.13389868332961394,2.506152755870127,0.9878787878787878,1
0.0,M1,long,8,8962,1704,468.7994769657411,-0.9448691811756703,-2.206482474633801,-0.9495696391131899,0.15599196607900023,2.506152755870127,0.9878787878787878,1
0.0,M1,long,9,8962,1672,741.3521354889623,-0.32605876577972,-2.0619368587346756,-0.13829002256830986,0.19649631778620844,2.506152755870127,0.9878787878787878,1
0.0,M0,short,0,8964,480,167.38322717590347,-2.5755698361394344,-2.6003832283992376,-2.0640601302081425,0.11668897813476127,1.4883954582836898,0.9636363636363635,1
0.0,M0,short,1,8961,613,167.97522637439113,-2.1452532870226255,-2.6978893548129643,-2.0542939402454827,0.11137149871666109,1.4883954582836898,0.9636363636363635,1
0.0,M0,short,2,8962,686,160.03044644039772,-1.9883528828030597,-2.732872810950339,-2.194404421010692,0.11180540058022763,1.4883954582836898,0.9636363636363635,1
0.0,M0,short,3,8964,751,170.07281886526314,-1.8612445627275354,-2.6668003928703974,-1.9749071669704137,0.11746987951807229,1.4883954582836898,0.9636363636363635,1
0.0,M0,short,4,8961,802,183.10883824617127,-1.7161603139021129,-2.6263396502398004,-1.8728378684124858,0.10780046869768999,1.4883954582836898,0.9636363636363635,1
0.0,M0,short,5,8982,859,222.88826223900818,-1.5607324438114074,-2.680219963953015,-1.8118537287374004,0.11790247160988644,1.4883954582836898,0.9636363636363635,1
0.0,M0,short,6,8942,881,277.29962902579246,-1.3939105497608235,-2.5168022807889643,-1.3465298133686083,0.13923059718183853,1.4883954582836898,0.9636363636363635,1
0.0,M0,short,7,8961,911,342.96096095977805,-1.2019033251204845,-2.5282712388876605,-1.0685930342289294,0.1314585425733735,1.4883954582836898,0.9636363636363635,1
0.0,M0,short,8,8978,822,378.9268517586919,-1.003666935841203,-2.2513593078239595,-1.052038120964345,0.13956337714413009,1.4883954582836898,0.9636363636363635,1
0.0,M0,short,9,8946,827,548.3537389146026,-0.6697572897140845,-2.0624329683248126,-0.5756646719244527,0.15235859602056784,1.4883954582836898,0.9636363636363635,1
0.0,M1,short,0,8963,571,140.43281004367873,-3.1078842061554033,-2.9951993868524585,-2.960431537587974,0.10152850608055339,2.9198872111018104,0.9878787878787878,1
0.0,M1,short,1,8962,797,139.03307923833412,-2.4171970696888523,-2.8240683911291624,-2.639579242873994,0.10622628877482705,2.9198872111018104,0.9878787878787878,1
0.0,M1,short,2,8962,937,140.8024189708305,-2.2728520923879745,-2.810821140814766,-2.698612244621993,0.11135907163579559,2.9198872111018104,0.9878787878787878,1
0.0,M1,short,3,8962,1057,151.03095356671838,-2.150714496548356,-2.871972042267491,-2.589830436558197,0.1067841999553671,2.9198872111018104,0.9878787878787878,1
0.0,M1,short,4,8964,1152,166.59056791676068,-2.0280429584246544,-2.6182093172397125,-2.3269506612747044,0.10876840696117805,2.9198872111018104,0.9878787878787878,1
0.0,M1,short,5,8967,1204,182.1053604210873,-1.890989258538183,-2.5139374460147774,-2.086769240117422,0.11564625850340136,2.9198872111018104,0.9878787878787878,1
0.0,M1,short,6,8955,1313,221.64111610450513,-1.7290632396907557,-2.4938315158135915,-1.8017405447365364,0.11725293132328309,2.9198872111018104,0.9878787878787878,1
0.0,M1,short,7,8962,1469,285.52336119519947,-1.487105583561839,-2.35462353404453,-1.563189979967093,0.12910064717696942,2.9198872111018104,0.9878787878787878,1
0.0,M1,short,8,8963,1676,441.2311524037788,-1.0912033628208164,-2.0870370818932735,-0.8634212056487791,0.15709025995760348,2.9198872111018104,0.9878787878787878,1
0.0,M1,short,9,8961,1672,750.6091801391068,-0.4880828265995723,-1.7942667200364326,-0.04054432648616379,0.19183126883160362,2.9198872111018104,0.9878787878787878,1
0.005,M0,long,0,9223,340,154.40618894302932,-1.8173100539762774,-2.9686835105782996,-2.301318142084027,0.1128699989157541,1.6898766234433757,0.9636363636363635,1
0.005,M0,long,1,8709,482,145.00175246465307,-1.6891723233932876,-2.612399718630386,-2.278263202649797,0.1117235044207142,1.6898766234433757,0.9636363636363635,1
0.005,M0,long,2,8955,563,152.7474422272286,-1.6172387292815968,-2.381169487274034,-1.9576138840444135,0.12562814070351758,1.6898766234433757,0.9636363636363635,1
0.005,M0,long,3,8962,621,160.42802309343662,-1.5546106590211488,-2.4626224983060583,-1.804347224141312,0.12140147288551663,1.6898766234433757,0.9636363636363635,1
0.005,M0,long,4,8974,672,180.8278678118917,-1.449053623115922,-2.7553498213339704,-1.7466567853358783,0.11934477379095164,1.6898766234433757,0.9636363636363635,1
0.005,M0,long,5,8964,719,224.09773596155034,-1.3087953516604807,-2.8131592936376557,-1.8287642376858069,0.11981258366800536,1.6898766234433757,0.9636363636363635,1
0.005,M0,long,6,8950,783,266.57492171081174,-1.1603259040915634,-2.5466232187190667,-1.3998678290575999,0.128268156424581,1.6898766234433757,0.9636363636363635,1
0.005,M0,long,7,8969,827,357.0463605636365,-1.0175382886615094,-2.3501632447749943,-1.1410847550782395,0.14104136470063552,1.6898766234433757,0.9636363636363635,1
0.005,M0,long,8,8953,826,418.0393171814569,-0.8936080587713394,-2.234226184249078,-0.9074711772866876,0.1592762202613649,1.6898766234433757,0.9636363636363635,1
0.005,M0,long,9,8962,812,559.8303900423051,-0.6029064596932983,-2.127910092622342,-0.6114415186406512,0.17261771925909394,1.6898766234433757,0.9636363636363635,1
0.005,M1,long,0,8963,739,139.88679516464111,-2.664930577229909,-2.6081957066604486,-2.55508029870565,0.12161106772286065,2.4008926229540375,0.9878787878787878,1
0.005,M1,long,1,8962,907,132.73287085353508,-2.341339591132086,-2.7168491917351765,-2.5570597687854217,0.11359071635795581,2.4008926229540375,0.9878787878787878,1
0.005,M1,long,2,8962,993,134.9946090917017,-2.207095366706486,-2.64394368141246,-2.462271594420835,0.11191698281633564,2.4008926229540375,0.9878787878787878,1
0.005,M1,long,3,8962,1096,144.53024518656304,-2.086084557913698,-2.6769829954132645,-2.4217462908368477,0.11091274269136353,2.4008926229540375,0.9878787878787878,1
0.005,M1,long,4,8962,1176,157.66923329073504,-1.9585002456458098,-2.6522832308431123,-2.2838504162485314,0.10756527560812319,2.4008926229540375,0.9878787878787878,1
0.005,M1,long,5,8962,1291,189.97078854140253,-1.803264464084895,-2.7087896207980915,-1.9824547961084558,0.12062039723276055,2.4008926229540375,0.9878787878787878,1
0.005,M1,long,6,8962,1343,212.4324266894995,-1.604219863386134,-2.6239762459004607,-1.9227253215495614,0.12742691363534925,2.4008926229540375,0.9878787878787878,1
0.005,M1,long,7,8962,1522,307.7980804949305,-1.3321948641189778,-2.3597417927698117,-1.3690198489734562,0.1364650747600982,2.4008926229540375,0.9878787878787878,1
0.005,M1,long,8,8962,1705,464.48230955464794,-0.949004220954525,-2.2125340251295866,-0.9539135926106712,0.16201740682883284,2.4008926229540375,0.9878787878787878,1
0.005,M1,long,9,8962,1682,734.5026411323433,-0.33478375348833034,-2.060066931862904,-0.15418767575161238,0.1998437848694488,2.4008926229540375,0.9878787878787878,1
0.005,M0,short,0,8964,486,171.9265092897325,-2.62842174668036,-2.6698622493847814,-2.0909764336913064,0.11981258366800536,1.4967984459716268,0.9515151515151514,2
0.005,M0,short,1,8961,601,162.82427741197526,-2.1535580139076904,-2.6611525704832757,-2.0773682120197137,0.1192947215712532,1.4967984459716268,0.9515151515151514,2
0.005,M0,short,2,8967,698,162.04887807584714,-1.9940397947273278,-2.848616305773352,-2.2352668690801596,0.11196609791457567,1.4967984459716268,0.9515151515151514,2
0.005,M0,short,3,8957,747,167.546121128928,-1.8707034176238877,-2.5973464772813135,-2.010218455249152,0.1166685274087306,1.4967984459716268,0.9515151515151514,2
0.005,M0,short,4,8965,823,192.17599107365788,-1.7296670535473138,-2.5670510415578196,-1.683966557183847,0.1230340211935304,1.4967984459716268,0.9515151515151514,2
0.005,M0,short,5,8960,837,215.6588011373772,-1.5748184766456428,-2.77246482383989,-1.8401952019271555,0.12176339285714285,1.4967984459716268,0.9515151515151514,2
0.005,M0,short,6,8961,841,261.6759770048457,-1.4045541490886486,-2.460871126871114,-1.4163782178899618,0.13804262917085147,1.4967984459716268,0.9515151515151514,2
0.005,M0,short,7,8962,883,347.6583287621455,-1.205473485623688,-2.423093741412954,-1.1165263439026887,0.134456594510154,1.4967984459716268,0.9515151515151514,2
0.005,M0,short,8,8962,819,387.5384983423147,-1.0002740214926098,-2.3513310555723836,-0.9849121610887198,0.1411515286766347,1.4967984459716268,0.9515151515151514,2
0.005,M0,short,9,8962,809,549.9466177731761,-0.6641049574168634,-2.015604765534467,-0.5941779877196797,0.16134791341218477,1.4967984459716268,0.9515151515151514,2
0.005,M1,short,0,8964,569,143.72471151978738,-3.008653871259873,-3.0558557175533134,-2.9889993860685715,0.10218652387327086,2.932840410432197,0.9878787878787878,1
0.005,M1,short,1,8961,800,136.67894023826614,-2.3657309706190506,-2.875739969472506,-2.6793115022002616,0.11583528624037495,2.932840410432197,0.9878787878787878,1
0.005,M1,short,2,8962,915,139.01861435169357,-2.229732269193011,-2.8022392116447494,-2.7099020622534913,0.1105779959830395,2.932840410432197,0.9878787878787878,1
0.005,M1,short,3,8962,1024,144.79129795443563,-2.11851286887549,-2.775274976253291,-2.613780585822633,0.1077884400803392,2.932840410432197,0.9878787878787878,1
0.005,M1,short,4,8962,1152,165.80909200295298,-2.0054074820092502,-2.619806797000706,-2.2209738059413446,0.1173845123856282,2.932840410432197,0.9878787878787878,1
0.005,M1,short,5,8962,1193,181.5197871022251,-1.876780385529542,-2.552981691693772,-2.1210232762200123,0.11749609462173621,2.932840410432197,0.9878787878787878,1
0.005,M1,short,6,8964,1314,224.39567752510445,-1.7205449077009194,-2.505411985309104,-1.869138392567758,0.12338241856314146,2.932840410432197,0.9878787878787878,1
0.005,M1,short,7,8960,1454,286.8998295036903,-1.4835170149424675,-2.2884679938038803,-1.5190789905931186,0.13616071428571427,2.932840410432197,0.9878787878787878,1
0.005,M1,short,8,8962,1672,441.9788490463993,-1.0955486529386256,-2.133566291418963,-0.8657677900053584,0.15945101539834858,2.932840410432197,0.9878787878787878,1
0.005,M1,short,9,8962,1690,754.1832007554451,-0.5278362340004218,-1.7580451064635676,-0.056158975636374626,0.19727739343896453,2.932840410432197,0.9878787878787878,1
0.01,M0,long,0,8963,341,154.00173203251234,-1.9069178042531534,-3.004620011920674,-2.301424346166474,0.10721856521254045,1.6860958025510122,0.9515151515151514,2
0.01,M0,long,1,8963,498,137.41292736048288,-1.7529686855408597,-2.5760124325557903,-2.371821057864028,0.11547472944326677,1.6860958025510122,0.9515151515151514,2
0.01,M0,long,2,8964,592,162.9850408018691,-1.663847970695429,-2.46324493280799,-1.8522725867034888,0.12237840249888443,1.6860958025510122,0.9515151515151514,2
0.01,M0,long,3,8960,631,163.15277321547524,-1.593610704336904,-2.4460989777191435,-1.8330644537655592,0.12589285714285714,1.6860958025510122,0.9515151515151514,2
0.01,M0,long,4,8981,685,171.37024764657554,-1.4885768988499186,-2.7412890244850803,-1.939597545621859,0.12203540808373232,1.6860958025510122,0.9515151515151514,2
0.01,M0,long,5,8946,758,233.21315798931707,-1.335095531038985,-2.7545360549307345,-1.6397972949363244,0.12329532752067963,1.6860958025510122,0.9515151515151514,2
0.01,M0,long,6,8971,781,259.9544691450118,-1.1745090596059728,-2.6103165805661317,-1.545191427274894,0.12228291160405752,1.6860958025510122,0.9515151515151514,2
0.01,M0,long,7,8979,836,351.40335650687996,-1.0152362341690422,-2.335503236646444,-1.1191774760608693,0.1428889631362067,1.6860958025510122,0.9515151515151514,2
0.01,M0,long,8,8933,835,420.9062028449702,-0.8816384019211226,-2.197452626198075,-0.8779879140499403,0.15918504421806784,1.6860958025510122,0.9515151515151514,2
0.01,M0,long,9,8961,826,564.6000924569059,-0.5675206591858207,-2.1367326619763234,-0.6153285436154619,0.17096306215824128,1.6860958025510122,0.9515151515151514,2
0.01,M1,long,0,8963,709,139.71705329942955,-2.777917545000132,-2.6257074035003747,-2.6579944418110646,0.11357804306593774,2.483236572331358,0.9999999999999999,0
0.01,M1,long,1,8963,880,131.52669180630605,-2.3952890639204925,-2.7434259675054995,-2.54839785895239,0.11458217114805311,2.483236572331358,0.9999999999999999,0
0.01,M1,long,2,8961,976,133.51123005638345,-2.2473688688506708,-2.6794338201595522,-2.5228735545668863,0.1111483093404754,2.483236572331358,0.9999999999999999,0
0.01,M1,long,3,8962,1064,144.6496758510678,-2.1161974900858094,-2.6199560183693427,-2.326723398485584,0.11392546306627985,2.483236572331358,0.9999999999999999,0
0.01,M1,long,4,8962,1167,160.91881476352086,-1.9791644837520448,-2.648108723801977,-2.2042514058457465,0.11426020977460388,2.483236572331358,0.9999999999999999,0
0.01,M1,long,5,8963,1294,185.47662118355277,-1.8181194107678194,-2.6842886423204004,-2.0258363529549936,0.12250362601807431,2.483236572331358,0.9999999999999999,0
0.01,M1,long,6,8961,1361,216.87696005959705,-1.6157371460765586,-2.650281137635502,-1.910221483311406,0.12353531971878139,2.483236572331358,0.9999999999999999,0
0.01,M1,long,7,8962,1511,299.7903240638759,-1.3499263218946074,-2.363427297975612,-1.3944670286438965,0.14148627538495873,2.483236572331358,0.9999999999999999,0
0.01,M1,long,8,8962,1690,459.60227474656176,-0.9672199446281932,-2.238819434438003,-0.9460105676765136,0.1557688016067842,2.483236572331358,0.9999999999999999,0
0.01,M1,long,9,8962,1665,746.9303541697047,-0.3500125395179696,-2.013277160972676,-0.1747578694797067,0.20073644275831287,2.483236572331358,0.9999999999999999,0
0.01,M0,short,0,8964,477,168.8327334730356,-2.573930357373009,-2.6876099399431057,-2.0590932098520924,0.12103971441320839,1.5216848013839195,0.9878787878787878,1
0.01,M0,short,1,8963,613,168.7475367388484,-2.144157581406469,-2.709837385315961,-2.118937562097461,0.10933839116367287,1.5216848013839195,0.9878787878787878,1
0.01,M0,short,2,8960,704,165.05646396991662,-1.987799693996318,-2.6048324114149897,-1.9823620830241946,0.11941964285714286,1.5216848013839195,0.9878787878787878,1
0.01,M0,short,3,8962,778,173.9948866270409,-1.8620669286775393,-2.66619002171449,-1.8932873963133394,0.1221825485382727,1.5216848013839195,0.9878787878787878,1
0.01,M0,short,4,8979,799,185.75412381161664,-1.7205940472259367,-2.526234512488671,-1.8651084018826878,0.120726138768237,1.5216848013839195,0.9878787878787878,1
0.01,M0,short,5,8945,851,223.38284420084798,-1.5669929713764863,-2.738408513874305,-1.7855918334759666,0.12453884851872554,1.5216848013839195,0.9878787878787878,1
0.01,M0,short,6,8964,850,255.98450800010585,-1.397685725723986,-2.535341505447692,-1.5077192361970062,0.13643462739848283,1.5216848013839195,0.9878787878787878,1
0.01,M0,short,7,8960,910,337.8325411800604,-1.2058158498085492,-2.492300739039838,-1.134620418545334,0.13348214285714285,1.5216848013839195,0.9878787878787878,1
0.01,M0,short,8,8963,842,387.74918752968574,-1.011874285724161,-2.381840614866881,-1.0768146540324453,0.14102421064375767,1.5216848013839195,0.9878787878787878,1
0.01,M0,short,9,8961,824,551.6651744688418,-0.6736217688451247,-2.028663886032971,-0.537408408468173,0.15868764646802813,1.5216848013839195,0.9878787878787878,1
0.01,M1,short,0,8963,587,138.080850733522,-2.9498831228582074,-3.0196293130887297,-3.0367190256983254,0.10420618096619436,2.96579510986378,0.9999999999999999,0
0.01,M1,short,1,8962,793,134.96572559773588,-2.3647659999182578,-2.8762009739038983,-2.6724779304991895,0.11392546306627985,2.96579510986378,0.9999999999999999,0
0.01,M1,short,2,8963,933,141.225203908156,-2.232439722750717,-2.746589234555896,-2.6348273586637236,0.11313176391833092,2.96579510986378,0.9999999999999999,0
0.01,M1,short,3,8961,1040,151.69953936676043,-2.119971020469151,-2.9370171677463706,-2.624676442222833,0.1090280102667113,2.96579510986378,0.9999999999999999,0
0.01,M1,short,4,8962,1135,166.9979366717112,-2.006593565486238,-2.590517106741609,-2.3047151148353406,0.11035483151082348,2.96579510986378,0.9999999999999999,0
0.01,M1,short,5,8962,1225,184.45947761538912,-1.878819649060707,-2.4848709408372023,-2.119073376181862,0.12229413077438071,2.96579510986378,0.9999999999999999,0
0.01,M1,short,6,8962,1323,228.48847934764586,-1.721410649362768,-2.5108984370591343,-1.8232797602322677,0.12039723276054452,2.96579510986378,0.9999999999999999,0
0.01,M1,short,7,8962,1458,282.1872396365696,-1.4850854379177991,-2.300919872805838,-1.5074356655303074,0.13590716357955812,2.96579510986378,0.9999999999999999,0
0.01,M1,short,8,8962,1710,456.61002775064867,-1.0986706164461735,-2.1156411983734094,-0.8110384491050434,0.16291006471769695,2.96579510986378,0.9999999999999999,0
0.01,M1,short,9,8962,1658,734.2855193718613,-0.5297713810242728,-1.7886269801061045,-0.07092391583454546,0.19471100200848024,2.96579510986378,0.9999999999999999,0
0.02,M0,long,0,8980,348,149.56026903096682,-1.9055725458260309,-3.0119331370664635,-2.383631978996232,0.10723830734966593,1.7478475597473158,0.9878787878787878,1
0.02,M0,long,1,8946,512,141.77097079018466,-1.7437325761238602,-2.5785891696951886,-2.2349252281533314,0.109881511289962,1.7478475597473158,0.9878787878787878,1
0.02,M0,long,2,8995,595,166.5317751746968,-1.6589772626033388,-2.4153191079296876,-1.8557483355495137,0.1292940522512507,1.7478475597473158,0.9878787878787878,1
0.02,M0,long,3,8947,596,150.686257835025,-1.5854776229658354,-2.495320830536357,-2.021289266774255,0.12071085279982117,1.7478475597473158,0.9878787878787878,1
0.02,M0,long,4,8950,689,183.82912656723505,-1.4823163674139364,-2.769646111080221,-1.8438682887068958,0.12044692737430168,1.7478475597473158,0.9878787878787878,1
0.02,M0,long,5,8957,743,220.88060773348064,-1.3318451480127045,-2.756325070411112,-1.6950439530347756,0.12347884336273306,1.7478475597473158,0.9878787878787878,1
0.02,M0,long,6,8960,796,270.0483214369659,-1.17536167075985,-2.5890345386042033,-1.457862118897892,0.12734375,1.7478475597473158,0.9878787878787878,1
0.02,M0,long,7,8993,848,359.83127175137963,-1.0224211683428315,-2.2377948919945134,-1.048463424340479,0.14511286556210387,1.7478475597473158,0.9878787878787878,1
0.02,M0,long,8,8938,814,408.07081508748956,-0.8855581132823032,-2.2800418552194714,-0.9500257303336732,0.15417319310807787,1.7478475597473158,0.9878787878787878,1
0.02,M0,long,9,8955,821,567.7905845925757,-0.5763741264388466,-2.13950278042919,-0.6357844192489163,0.17319932998324958,1.7478475597473158,0.9878787878787878,1
0.02,M1,long,0,8963,716,135.29276094417344,-2.562479461595046,-2.614671066744411,-2.6851947922630175,0.11882182305031798,2.4972432486362584,0.9878787878787878,1
0.02,M1,long,1,8962,831,130.0466070784798,-2.291401581017979,-2.59466496332804,-2.41826133985332,0.11504128542735996,2.4972432486362584,0.9878787878787878,1
0.02,M1,long,2,8963,965,133.61210412847626,-2.1735675543349564,-2.7264638386221502,-2.557078507329683,0.10878054222916435,2.4972432486362584,0.9878787878787878,1
0.02,M1,long,3,8961,1053,145.38035862059863,-2.060709647511438,-2.587638256621338,-2.3168340547111494,0.11550050217609642,2.4972432486362584,0.9878787878787878,1
0.02,M1,long,4,8962,1156,160.1005547898372,-1.9286635887106656,-2.702980945180245,-2.2370877058169225,0.11102432492747155,2.4972432486362584,0.9878787878787878,1
0.02,M1,long,5,8962,1261,187.63275044056195,-1.7719103382159085,-2.786945041813414,-2.1166625950753213,0.11515286766346798,2.4972432486362584,0.9878787878787878,1
0.02,M1,long,6,8962,1333,210.33033761241535,-1.5767163741792478,-2.630489844503904,-1.9379760076062258,0.12910064717696942,2.4972432486362584,0.9878787878787878,1
0.02,M1,long,7,8962,1506,298.5051869800486,-1.3124209945766079,-2.3842186489229262,-1.4651492749322037,0.13501450569069404,2.4972432486362584,0.9878787878787878,1
0.02,M1,long,8,8962,1715,473.4545670986522,-0.9591915652902081,-2.149732978465986,-0.8944132726812914,0.16279848248158893,2.4972432486362584,0.9878787878787878,1
0.02,M1,long,9,8962,1661,744.6447723067565,-0.3655334509927782,-2.0956972514451238,-0.18795154362675934,0.19962062039723277,2.4972432486362584,0.9878787878787878,1
0.02,M0,short,0,8970,467,160.81351454431038,-2.5022674692303584,-2.646374997969152,-2.209296487226999,0.11505016722408026,1.6354281787751566,0.9272727272727272,1
0.02,M0,short,1,8957,611,174.35083402220408,-2.101474956941716,-2.634635657585063,-1.9030559031370218,0.12671653455398013,1.6354281787751566,0.9272727272727272,1
0.02,M0,short,2,8964,699,163.22054549283322,-1.9524513148313747,-2.7153491553057107,-2.129457364029611,0.1111111111111111,1.6354281787751566,0.9272727272727272,1
0.02,M0,short,3,8960,723,163.69530992382983,-1.8388742106793579,-2.6347421175684587,-2.046098255745847,0.1234375,1.6354281787751566,0.9272727272727272,1
0.02,M0,short,4,8962,800,187.00527496115268,-1.7107986561721047,-2.6899331341421218,-1.9031457706502848,0.1115822361080116,1.6354281787751566,0.9272727272727272,1
0.02,M0,short,5,8967,835,224.40849617031728,-1.5620607146125902,-2.6416646268690855,-1.7162332382179057,0.12757890041262407,1.6354281787751566,0.9272727272727272,1
0.02,M0,short,6,8958,827,264.46431662221266,-1.394164602479797,-2.5108225647149727,-1.4355678852518676,0.1330654163875865,1.6354281787751566,0.9272727272727272,1
0.02,M0,short,7,8960,888,351.4316750674175,-1.2100262480056785,-2.508818654741235,-1.1279907333561285,0.13705357142857144,1.6354281787751566,0.9272727272727272,1
0.02,M0,short,8,8961,823,384.30309395293597,-1.0157970163496242,-2.3449592785772406,-1.0477132769290622,0.14060930699698695,1.6354281787751566,0.9272727272727272,1
0.02,M0,short,9,8962,810,545.3069392427865,-0.6985737903181514,-2.050363409427738,-0.5738683084518423,0.1595625976344566,1.6354281787751566,0.9272727272727272,1
0.02,M1,short,0,8963,618,141.57218038248004,-2.898232212597372,-3.0070047388055903,-2.907885821691472,0.10978467031127971,2.8364765543217474,0.9636363636363635,1
0.02,M1,short,1,8962,771,136.53795725825884,-2.339300384832132,-2.8262890205454823,-2.610710667353159,0.11135907163579559,2.8364765543217474,0.9636363636363635,1
0.02,M1,short,2,8962,940,148.3133350936651,-2.2111860396515106,-2.8328546873124942,-2.559429217963329,0.11169381834411962,2.8364765543217474,0.9636363636363635,1
0.02,M1,short,3,8965,1058,149.2277689621519,-2.0974713094759507,-2.746770283462171,-2.6301480293229424,0.10987172336865589,2.8364765543217474,0.9636363636363635,1
0.02,M1,short,4,8962,1133,162.02636380087674,-1.9866854346041902,-2.5808915017503242,-2.28388817311097,0.11559919660790002,2.8364765543217474,0.9636363636363635,1
0.02,M1,short,5,8959,1221,186.54547158811778,-1.863620448353688,-2.570573350372484,-2.1418074988789915,0.12110726643598616,2.8364765543217474,0.9636363636363635,1
0.02,M1,short,6,8962,1297,221.34331651093925,-1.7112526610316516,-2.5064755874074973,-1.8763039038556772,0.115376032135684,2.8364765543217474,0.9636363636363635,1
0.02,M1,short,7,8964,1483,287.3593553523191,-1.4817969095664008,-2.3992521109531357,-1.5434533827195074,0.13453815261044177,2.8364765543217474,0.9636363636363635,1
0.02,M1,short,8,8960,1657,438.22718916519307,-1.0994100955999295,-2.11341304556399,-0.8676167620479959,0.16194196428571428,2.8364765543217474,0.9636363636363635,1
0.02,M1,short,9,8962,1673,747.8470618859981,-0.5330841149019465,-1.794123001857921,-0.07140926736972467,0.19448783753626422,2.8364765543217474,0.9636363636363635,1
0.05,M0,long,0,8975,351,150.47096111326306,-1.8621153557206196,-2.9528858392446744,-2.3173376075722554,0.11119777158774373,1.636528965562781,0.9878787878787878,1
0.05,M0,long,1,8951,511,151.61324808442305,-1.7062696490256857,-2.64912265266084,-2.1771256052635786,0.11037872863367222,1.636528965562781,0.9878787878787878,1
0.05,M0,long,2,8976,588,156.77117245721917,-1.625785726455853,-2.483212832725058,-2.012914290232261,0.12611408199643495,1.636528965562781,0.9878787878787878,1
0.05,M0,long,3,8974,585,158.51528145581523,-1.5526407418672277,-2.4561322148921785,-1.8393840495096077,0.11700468018720749,1.636528965562781,0.9878787878787878,1
0.05,M0,long,4,8937,639,172.71446610398948,-1.4602443573825112,-2.633520427209024,-1.9675945226417133,0.1223005482824214,1.636528965562781,0.9878787878787878,1
0.05,M0,long,5,8963,737,222.87674339282938,-1.3160985560511864,-2.789425575622804,-1.6237905962570647,0.12283833537877943,1.636528965562781,0.9878787878787878,1
0.05,M0,long,6,8966,806,271.648796796817,-1.167184444112717,-2.611300959940221,-1.453584545319466,0.12513941556993086,1.636528965562781,0.9878787878787878,1
0.05,M0,long,7,8970,859,357.8119027502604,-1.0387284285932437,-2.314136524643503,-1.153789694180544,0.14503901895206242,1.636528965562781,0.9878787878787878,1
