kappa,symbol,model,direction,fold,rows,w_rmse,r2,spearman,baseline_wRMSE,rel_wrmse_improvement
0.005,CF,M0,long,3,4939,2.484252952056281,-0.08890444017911636,0.1754103051379729,2.5785304790216075,0.03656250245337372
0.005,POOLED,M0,long,-1,89621,2.8932562072157144,-0.14225728536092985,0.0633354728463365,2.9556443932846643,0.021108150293958985
0.005,AG,M1,long,0,7639,3.1131698985100615,-0.2037602225688695,0.03119338027221772,3.245150835660153,0.04067020111970936
0.005,AU,M1,long,2,7291,3.0011518897697362,-0.1505078018418513,0.1089716586331493,3.1784615960996185,0.05578475654620592
0.005,CU,M1,long,4,6857,2.5869302526512516,-0.060059466885176604,0.08877007132483851,2.7663872937978775,0.06487054128283516
0.005,AL,M1,long,1,6946,3.0593598729310716,-0.09398875406617102,0.11043786149212978,3.1965644061952374,0.04292249923018937
0.005,SN,M1,long,3,6987,2.866645128408967,-0.08680917900258822,0.012527855142530223,3.062371045439355,0.06391319475210994
0.005,NI,M1,long,3,6939,3.110832575379511,-0.14724388235653252,-0.013668003379274566,3.3571309433495147,0.07336573166975253
0.005,RB,M1,long,0,5128,2.133033922944339,-0.08637326533984924,0.0005615830655638017,2.2618368337755896,0.05694615496036706
0.005,I,M1,long,0,5024,2.3508534675892667,-0.04318921949870713,0.030106862266802606,2.4679459613119583,0.04744532317897484
0.005,SC,M1,long,2,7258,3.4431057806177265,-0.19068074167161186,0.12376626601689361,3.6515691477608563,0.05708870863665818
0.005,RU,M1,long,1,4834,2.2906388880509776,-0.04910223981334649,0.04534233411342206,2.394528272544751,0.04338615905477133
0.005,MA,M1,long,2,4800,2.900766879642273,-0.029995093518824234,0.0711087195804534,3.0198893901843435,0.039445984654026926
0.005,TA,M1,long,4,5028,2.7770007848755305,-0.07876244293337953,-0.0031009995702194633,2.8908693615914705,0.039389042697264426
0.005,M,M1,long,1,4916,2.079011458457154,-0.1255125754562707,0.031658905793264275,2.1309742126451776,0.02438450633502613
0.005,P,M1,long,4,5035,2.423970002753768,-0.033465184961454675,0.14257476682386694,2.6800589421359446,0.09555347285686175
0.005,CF,M1,long,3,4939,2.433677617121373,-0.056800335011061076,0.09038863717973492,2.5785304790216075,0.05617651723674687
0.005,POOLED,M1,long,-1,89621,2.7975591652644063,-0.09144983710776233,0.05221813004079294,2.9556443932846643,0.053485875492814236
0.005,AG,M0,short,0,7639,3.1699151556569447,-0.17974293070463232,0.0454076852812579,3.223953702007455,0.01676157641992883
0.005,AU,M0,short,2,7291,2.880765707990874,-0.08890551352962262,0.024155650725399196,2.922195689992238,0.014177689106602498
0.005,CU,M0,short,4,6857,3.1526943572066286,-0.11442521970336883,0.04483034196690623,3.2627788206938364,0.03373948083425346
0.005,AL,M0,short,1,6946,2.883491956773916,-0.1035296717797245,0.08508134652641665,2.977328309291302,0.03151696513432944
0.005,SN,M0,short,3,6987,2.893229746959725,-0.15834723430732378,0.05872265133250251,2.9769246628597443,0.028114556254715185
0.005,NI,M0,short,3,6939,3.316231451503923,-0.10220927751979647,-0.05078683929637434,3.3146033448270216,-0.0004911920092768267
0.005,RB,M0,short,0,5128,2.6867707293238645,-0.09014951298953977,-0.0215185622458998,2.7096668125134955,0.008449778062710415
0.005,I,M0,short,0,5024,2.137888190335548,-0.017708169725234812,0.04928074197609456,2.1736702184766115,0.01646157169422914
0.005,SC,M0,short,2,7258,3.554437851049336,-0.14096080817928702,0.08698781902614944,3.6079300453340264,0.014826283661976617
0.005,RU,M0,short,1,4834,2.5222144271582287,-0.07624096203489494,-0.003738675289613634,2.5136526958718597,-0.003406091581557739
0.005,MA,M0,short,2,4800,3.5431535633177442,-0.09455829974806229,0.055924403683220734,3.6084550163653426,0.01809679010863048
0.005,TA,M0,short,4,5028,2.808625784634326,-0.05601358244186838,0.11284751610796817,2.8388803166726917,0.010657205892295381
0.005,M,M0,short,1,4916,2.5578984417558344,-0.06879120519474524,0.04746120105894559,2.587927850773812,0.011603650004770623
0.005,P,M0,short,4,5035,2.862904237196397,-0.1120671899667125,-0.06263214615660251,2.9114532565719355,0.016675184211166785
0.005,CF,M0,short,3,4939,2.6403484078015844,-0.02614215324344804,0.03746963206883578,2.679319780136779,0.01454524862023199
0.005,POOLED,M0,short,-1,89621,2.9698593056167093,-0.09627221741103775,0.03634787972806819,3.017797864890859,0.015885278411741355
0.005,AG,M1,short,0,7639,3.0275432101786985,-0.1211809954275831,0.10296504957103017,3.223953702007455,0.06092224330220931
0.005,AU,M1,short,2,7291,2.7594387865354393,-0.021058464489052575,0.16520948164972865,2.922195689992238,0.05569678444677705
0.005,CU,M1,short,4,6857,3.083854648710882,-0.0957979298759466,0.06028034791334202,3.2627788206938364,0.05483797150090174
0.005,AL,M1,short,1,6946,2.770571140016802,-0.05707256392230975,0.12245875253643171,2.977328309291302,0.06944385966078244
0.005,SN,M1,short,3,6987,2.8081927937562785,-0.12674660954082184,0.013046682792764563,2.9769246628597443,0.05667992583372121
0.005,NI,M1,short,3,6939,3.1465473852734154,-0.06964988893392277,-0.0051082137433658805,3.3146033448270216,0.05070168043361354
0.005,RB,M1,short,0,5128,2.615632853016323,-0.03414209255151146,0.014042151684023885,2.7096668125134955,0.03470314470506661
0.005,I,M1,short,0,5024,2.2242742202849395,-0.11130989265989255,0.005892143373964534,2.1736702184766115,-0.023280441245495456
0.005,SC,M1,short,2,7258,3.415147499580538,-0.06965515873744255,0.1628109504571639,3.6079300453340264,0.053433005443884754
0.005,RU,M1,short,1,4834,2.3266049025839743,0.004535229357584991,0.10876406947673473,2.5136526958718597,0.074412743492795
0.005,MA,M1,short,2,4800,3.43810042535827,-0.06098039991166693,0.11855963806335144,3.6084550163653426,0.04720984195021623
0.005,TA,M1,short,4,5028,2.7004112362623887,-0.04282850519367676,0.08600673808107555,2.8388803166726917,0.048775948600959566
0.005,M,M1,short,1,4916,2.4366190221949267,-0.02422606274924477,0.13149295523566426,2.587927850773812,0.058467174242760545
0.005,P,M1,short,4,5035,2.767099417565183,-0.0696460757168651,-0.03476495633205059,2.9114532565719355,0.049581369263238945
0.005,CF,M1,short,3,4939,2.5548730001496724,0.0019704749025074575,0.12057061091590715,2.679319780136779,0.04644715457620879
0.005,POOLED,M1,short,-1,89621,2.859204644425795,-0.05384155871309204,0.08359238194705915,3.017797864890859,0.05255263194070814
0.01,AG,M0,long,0,7639,3.2211065076121055,-0.2201693033969523,0.07371044915017422,3.243249087858313,0.00682728327253752
0.01,AU,M0,long,2,7291,3.1216303370339453,-0.23765167782544383,0.12241921917460512,3.1762275840703222,0.01718933722199175
0.01,CU,M0,long,4,6857,2.6873890406565804,-0.1479520811408348,-0.005919187829612553,2.7645392675824003,0.027907083046531698
0.01,AL,M0,long,1,6946,3.147790488556386,-0.1376800438120842,0.05917695308408008,3.1950007204901985,0.014776282093159917
0.01,SN,M0,long,3,6987,2.9755029799314925,-0.1814023424821083,0.007608132807548503,3.0606456342405957,0.027818527357947036
0.01,NI,M0,long,3,6939,3.2321209061277796,-0.22004434251787997,-0.04838064439787606,3.355284138738082,0.03670724371397768
0.01,RB,M0,long,0,5128,2.2054665704673764,-0.10510580201959585,0.08227179093327124,2.2599503614587935,0.024108401635975718
0.01,I,M0,long,0,5024,2.378358596095362,-0.07724702731766686,0.016462732200162027,2.466358419557293,0.035680062866826484
0.01,SC,M0,long,2,7258,3.599862667989444,-0.2734294937835722,0.1200571488439713,3.6495282334360875,0.013608763179750074
0.01,RU,M0,long,1,4834,2.3277577687981688,-0.03200075960927573,0.13051550336192153,2.392649140861841,0.02712113989278763
0.01,MA,M0,long,2,4800,2.983242055100735,-0.08153447419926918,0.07723019695401802,3.0183006568438344,0.011615344436812851
0.01,TA,M0,long,4,5028,2.863711614362057,-0.07814739080120225,-0.016834842638748418,2.8895793272031853,0.008952068765720817
0.01,M,M0,long,1,4916,2.1120341199225754,-0.08285644943458093,0.035907212630949106,2.129072464231968,0.00800270756192358
0.01,P,M0,long,4,5035,2.5365972727726365,-0.12104102199875677,0.11424487094605784,2.678382685457169,0.052936950889947695
0.01,CF,M0,long,3,4939,2.4856419311918834,-0.09031403551166184,0.1656112273322224,2.5769007849161807,0.03541418988983921
0.01,POOLED,M0,long,-1,89621,2.8936739978745285,-0.1455993026522373,0.05524401319006782,2.9538348161122827,0.02036702184888437
0.01,AG,M1,long,0,7639,3.1128097858238046,-0.19305628424102084,0.019101842988741402,3.243249087858313,0.040218712316248385
0.01,AU,M1,long,2,7291,2.994059717328659,-0.14763810147686707,0.11227351158914352,3.1762275840703222,0.0573535308537985
0.01,CU,M1,long,4,6857,2.5797476468319958,-0.05910555510893167,0.08434437892427323,2.7645392675824003,0.06684355072011891
0.01,AL,M1,long,1,6946,3.0515528927295037,-0.09223400947669802,0.09218549569711339,3.1950007204901985,0.04489758854848897
0.01,SN,M1,long,3,6987,2.8601736013094454,-0.08940241936303805,0.008547428850821437,3.0606456342405957,0.06549991632105137
0.01,NI,M1,long,3,6939,3.112921365401838,-0.14581334176180993,-0.013203032238374286,3.355284138738082,0.07223315919449856
0.01,RB,M1,long,0,5128,2.142623570334596,-0.10129361364899925,-0.007983213151271172,2.2599503614587935,0.051915649620048875
0.01,I,M1,long,0,5024,2.384506669522792,-0.04875688388602728,0.021884698059355414,2.466358419557293,0.03318728915693986
0.01,SC,M1,long,2,7258,3.438207765526369,-0.19172949461529032,0.1193860164589615,3.6495282334360875,0.05790350269759573
0.01,RU,M1,long,1,4834,2.3044983948783946,-0.05302527341287622,0.034862415869074306,2.392649140861841,0.0368423202875847
0.01,MA,M1,long,2,4800,2.918154361643972,-0.031863261825512135,0.04668701553625959,3.0183006568438344,0.0331796949958534
0.01,TA,M1,long,4,5028,2.778034734864324,-0.07672193041881181,-0.006626662377649159,2.8895793272031853,0.03860236377273125
0.01,M,M1,long,1,4916,2.0799663656715714,-0.12784666331159156,0.03315670300309462,2.129072464231968,0.023064550120002938
0.01,P,M1,long,4,5035,2.4268185591327747,-0.03393587501452622,0.14833589705168626,2.678382685457169,0.09392389208992183
0.01,CF,M1,long,3,4939,2.431110743431963,-0.057317747643917505,0.09606024881329915,2.5769007849161807,0.056575729394626205
0.01,POOLED,M1,long,-1,89621,2.798570527508031,-0.09071622574603322,0.04796766935777142,2.9538348161122827,0.05256363279264358
0.01,AG,M0,short,0,7639,3.164011518982175,-0.16896883964990472,0.0708568430694967,3.2219632169048276,0.017986455468701416
0.01,AU,M0,short,2,7291,2.883193865263056,-0.09007502698730652,0.014154425521935094,2.9200787806447854,0.012631479543022682
0.01,CU,M0,short,4,6857,3.134928023239691,-0.0999414405296235,0.05261241201478872,3.260846994072039,0.038615418344147556
0.01,AL,M0,short,1,6946,2.8784131609538006,-0.09192315028888287,0.08479400171402647,2.975588000391893,0.03265735694097908
0.01,SN,M0,short,3,6987,2.891093078725759,-0.1569846513283617,0.053910662503617056,2.975307791162514,0.028304538000033512
0.01,NI,M0,short,3,6939,3.3036207510043503,-0.09797265307649106,-0.05015557197396586,3.3130638263304695,0.002850254574352196
0.01,RB,M0,short,0,5128,2.678795699355188,-0.09105372764551811,-0.018597196330975146,2.7081152756960503,0.0108265614111742
0.01,I,M0,short,0,5024,2.138512866466876,-0.01659848561491506,0.053684226481095255,2.1724481775812357,0.01562076898522045
0.01,SC,M0,short,2,7258,3.5552729379660235,-0.1386340735171192,0.090510595759005,3.605942714614661,0.014051741987823609
0.01,RU,M0,short,1,4834,2.5365440230182164,-0.07645626976608133,-0.025263142834709665,2.511615542089468,-0.00992527738063362
0.01,MA,M0,short,2,4800,3.560250223082066,-0.10232366197082499,0.022831332254081373,3.606780824149425,0.012900867376196027
0.01,TA,M0,short,4,5028,2.7872919326918217,-0.03274774208841169,0.1486334814294902,2.837092804641674,0.017553487100730226
0.01,M,M0,short,1,4916,2.551834048614281,-0.06300930453438425,0.04338057940483521,2.58619797116047,0.013287429241454967
0.01,P,M0,short,4,5035,2.8524792537676595,-0.09740995637309546,-0.042223128052729854,2.9097583130021114,0.019685160440474806
0.01,CF,M0,short,3,4939,2.6333150588901915,-0.025005781001649074,0.039649728769305226,2.6775688399822,0.01652759788327344
0.01,POOLED,M0,short,-1,89621,2.966681486484707,-0.09105791514581552,0.038648873701547355,3.0159955588296947,0.016350843820248567
