horizon,offset,fold,strategy,n,mean_return,median_return,win_rate,break_even_cost_bps
H5,0,5,RAW_CONTRARIAN,594,2.2981987925957897e-05,3.8582358397598604e-05,0.5218855218855218,0.11490993962978949
H5,0,5,RESID_CONTRARIAN,594,4.7432502717525136e-05,4.699190032297906e-05,0.5336700336700336,0.2371625135876257
H5,0,5,RESID_MOMENTUM,594,-4.7432502717525136e-05,-4.699190032297906e-05,0.4612794612794613,-0.2371625135876257
H5,0,6,RAW_CONTRARIAN,660,3.259988294627946e-05,6.531614064213265e-05,0.5363636363636364,0.1629994147313973
H5,0,6,RESID_CONTRARIAN,660,2.0560398307465233e-05,4.427137292420391e-05,0.5196969696969697,0.10280199153732617
H5,0,6,RESID_MOMENTUM,660,-2.0560398307465233e-05,-4.427137292420391e-05,0.4727272727272727,-0.10280199153732617
H5,1,0,RAW_CONTRARIAN,1276,-4.418464590931902e-06,0.0,0.49764890282131663,-0.02209232295465951
H5,1,0,RESID_CONTRARIAN,1276,-5.708389172274895e-06,0.0,0.49764890282131663,-0.028541945861374474
H5,1,0,RESID_MOMENTUM,1276,5.708389172274895e-06,0.0,0.4992163009404389,0.028541945861374474
H5,1,1,RAW_CONTRARIAN,1092,-1.6337425142700168e-05,-8.006018935866985e-06,0.47802197802197804,-0.08168712571350084
H5,1,1,RESID_CONTRARIAN,1092,-1.6342059653537708e-05,-8.006018935866985e-06,0.47893772893772896,-0.08171029826768854
H5,1,1,RESID_MOMENTUM,1092,1.6342059653537708e-05,8.006018935866985e-06,0.5192307692307693,0.08171029826768854
H5,1,2,RAW_CONTRARIAN,1227,-5.641323591280179e-05,-1.577530655505477e-05,0.47269763651181745,-0.2820661795640089
H5,1,2,RESID_CONTRARIAN,1227,-4.9032321984719236e-05,-1.1849408614761359e-05,0.4808475957620212,-0.24516160992359617
H5,1,2,RESID_MOMENTUM,1227,4.9032321984719236e-05,1.1849408614761359e-05,0.5183374083129584,0.24516160992359617
H5,1,3,RAW_CONTRARIAN,768,-0.00013658561655544322,-2.2529415113339835e-05,0.4869791666666667,-0.6829280827772161
H5,1,3,RESID_CONTRARIAN,768,-0.00018009182251461388,-4.1680499415414074e-05,0.4700520833333333,-0.9004591125730694
H5,1,3,RESID_MOMENTUM,768,0.00018009182251461388,4.1680499415414074e-05,0.5299479166666666,0.9004591125730694
H5,1,4,RAW_CONTRARIAN,633,-9.457165387778572e-06,3.212611624980877e-05,0.5150078988941548,-0.04728582693889286
H5,1,4,RESID_CONTRARIAN,633,5.381729204882384e-06,5.146317525284161e-05,0.5292259083728278,0.02690864602441192
H5,1,4,RESID_MOMENTUM,633,-5.381729204882384e-06,-5.146317525284161e-05,0.4707740916271722,-0.02690864602441192
H5,1,5,RAW_CONTRARIAN,594,-1.0809002301297385e-05,1.630396654876687e-05,0.5050505050505051,-0.054045011506486926
H5,1,5,RESID_CONTRARIAN,594,-1.572813407734703e-05,0.0,0.49663299663299665,-0.07864067038673515
H5,1,5,RESID_MOMENTUM,594,1.572813407734703e-05,0.0,0.49663299663299665,0.07864067038673515
H5,1,6,RAW_CONTRARIAN,660,8.891852360693403e-06,4.828665044645519e-05,0.5227272727272727,0.044459261803467015
H5,1,6,RESID_CONTRARIAN,660,1.215767866200388e-05,4.502485000976164e-05,0.5257575757575758,0.0607883933100194
H5,1,6,RESID_MOMENTUM,660,-1.215767866200388e-05,-4.502485000976164e-05,0.4696969696969697,-0.0607883933100194
H5,2,0,RAW_CONTRARIAN,1100,1.479006798415707e-06,1.3262721418679423e-05,0.5263636363636364,0.007395033992078535
H5,2,0,RESID_CONTRARIAN,1100,4.888969700111658e-07,1.4993585296066425e-05,0.5290909090909091,0.002444484850055829
H5,2,0,RESID_MOMENTUM,1100,-4.888969700111658e-07,-1.4993585296066425e-05,0.4690909090909091,-0.002444484850055829
H5,2,1,RAW_CONTRARIAN,940,-8.566457609046134e-06,1.209077095964961e-05,0.5223404255319148,-0.04283228804523067
H5,2,1,RESID_CONTRARIAN,940,-8.142600880166556e-06,1.0755303122056414e-05,0.5170212765957447,-0.04071300440083278
H5,2,1,RESID_MOMENTUM,940,8.142600880166556e-06,-1.0755303122056414e-05,0.4819148936170213,0.04071300440083278
H5,2,2,RAW_CONTRARIAN,1056,-2.116742190605351e-05,4.77792171105218e-07,0.5,-0.10583710953026755
H5,2,2,RESID_CONTRARIAN,1056,-2.4818351376178816e-05,-8.059052589159954e-07,0.4981060606060606,-0.12409175688089408
H5,2,2,RESID_MOMENTUM,1056,2.4818351376178816e-05,8.059052589159954e-07,0.5018939393939394,0.12409175688089408
H5,2,3,RAW_CONTRARIAN,633,4.721135478197214e-06,9.922201564149802e-05,0.5560821484992101,0.023605677390986072
H5,2,3,RESID_CONTRARIAN,633,-2.4875191097695185e-05,7.500414557176649e-05,0.5418641390205371,-0.12437595548847592
H5,2,3,RESID_MOMENTUM,633,2.4875191097695185e-05,-7.500414557176649e-05,0.45813586097946285,0.12437595548847592
H5,2,4,RAW_CONTRARIAN,463,2.295136996836072e-05,3.8285181458208584e-05,0.5118790496760259,0.11475684984180361
